context: This is a story about my father, my mother, and me. response:	About our family of three.
context: This is a story about my father, my mother, and me.\About our family of three. response:	I first came here a year ago now.
context: This is a story about my father, my mother, and me.\About our family of three.\I first came here a year ago now. response:	On my 18th birthday,
context: This is a story about my father, my mother, and me.\About our family of three.\I first came here a year ago now.\On my 18th birthday, response:	I came into possession of a secret key.
context: This is a story about my father, my mother, and me.\About our family of three.\I first came here a year ago now.\On my 18th birthday,\I came into possession of a secret key. response:	A side of him that I never knew is here.
context: This is a story about my father, my mother, and me.\About our family of three.\I first came here a year ago now.\On my 18th birthday,\I came into possession of a secret key.\A side of him that I never knew is here. response:	I was scared.
context: This is a story about my father, my mother, and me.\About our family of three.\I first came here a year ago now.\On my 18th birthday,\I came into possession of a secret key.\A side of him that I never knew is here.\I was scared. response:	I worried that learning what my father hid from me
context: This is a story about my father, my mother, and me.\About our family of three.\I first came here a year ago now.\On my 18th birthday,\I came into possession of a secret key.\A side of him that I never knew is here.\I was scared.\I worried that learning what my father hid from me response:	might ruin my impression of all the fun times we had together.
context: About our family of three.\I first came here a year ago now.\On my 18th birthday,\I came into possession of a secret key.\A side of him that I never knew is here.\I was scared.\I worried that learning what my father hid from me\might ruin my impression of all the fun times we had together. response:	What were you hiding?
context: I first came here a year ago now.\On my 18th birthday,\I came into possession of a secret key.\A side of him that I never knew is here.\I was scared.\I worried that learning what my father hid from me\might ruin my impression of all the fun times we had together.\What were you hiding? response:	Hime!
context: On my 18th birthday,\I came into possession of a secret key.\A side of him that I never knew is here.\I was scared.\I worried that learning what my father hid from me\might ruin my impression of all the fun times we had together.\What were you hiding?\Hime! response:	Be careful today.
context: I came into possession of a secret key.\A side of him that I never knew is here.\I was scared.\I worried that learning what my father hid from me\might ruin my impression of all the fun times we had together.\What were you hiding?\Hime!\Be careful today. response:	You too, Dad!
context: A side of him that I never knew is here.\I was scared.\I worried that learning what my father hid from me\might ruin my impression of all the fun times we had together.\What were you hiding?\Hime!\Be careful today.\You too, Dad! response:	Can't you change in the phone booth, Clark Kent?
context: I was scared.\I worried that learning what my father hid from me\might ruin my impression of all the fun times we had together.\What were you hiding?\Hime!\Be careful today.\You too, Dad!\Can't you change in the phone booth, Clark Kent? response:	My father was hiding
context: I worried that learning what my father hid from me\might ruin my impression of all the fun times we had together.\What were you hiding?\Hime!\Be careful today.\You too, Dad!\Can't you change in the phone booth, Clark Kent?\My father was hiding response:	My father was hiding
context: might ruin my impression of all the fun times we had together.\What were you hiding?\Hime!\Be careful today.\You too, Dad!\Can't you change in the phone booth, Clark Kent?\My father was hiding\My father was hiding response:	that he drew for a living.
context: What were you hiding?\Hime!\Be careful today.\You too, Dad!\Can't you change in the phone booth, Clark Kent?\My father was hiding\My father was hiding\that he drew for a living. response:	It all started 19 years ago.
context: Hime!\Be careful today.\You too, Dad!\Can't you change in the phone booth, Clark Kent?\My father was hiding\My father was hiding\that he drew for a living.\It all started 19 years ago. response:	She's a cute little girl!
context: Be careful today.\You too, Dad!\Can't you change in the phone booth, Clark Kent?\My father was hiding\My father was hiding\that he drew for a living.\It all started 19 years ago.\She's a cute little girl! response:	Please, hold her.
context: You too, Dad!\Can't you change in the phone booth, Clark Kent?\My father was hiding\My father was hiding\that he drew for a living.\It all started 19 years ago.\She's a cute little girl!\Please, hold her. response:	Okay!
context: Can't you change in the phone booth, Clark Kent?\My father was hiding\My father was hiding\that he drew for a living.\It all started 19 years ago.\She's a cute little girl!\Please, hold her.\Okay! response:	Congratulations!
context: My father was hiding\My father was hiding\that he drew for a living.\It all started 19 years ago.\She's a cute little girl!\Please, hold her.\Okay!\Congratulations! response:	Hm?
context: My father was hiding\that he drew for a living.\It all started 19 years ago.\She's a cute little girl!\Please, hold her.\Okay!\Congratulations!\Hm? response:	Wait, are you?
context: that he drew for a living.\It all started 19 years ago.\She's a cute little girl!\Please, hold her.\Okay!\Congratulations!\Hm?\Wait, are you? response:	The manga author, Goto Kakushi?!
context: It all started 19 years ago.\She's a cute little girl!\Please, hold her.\Okay!\Congratulations!\Hm?\Wait, are you?\The manga author, Goto Kakushi?! response:	I've read all of Testi-Coool!
context: She's a cute little girl!\Please, hold her.\Okay!\Congratulations!\Hm?\Wait, are you?\The manga author, Goto Kakushi?!\I've read all of Testi-Coool! response:	I love your manga!
context: Please, hold her.\Okay!\Congratulations!\Hm?\Wait, are you?\The manga author, Goto Kakushi?!\I've read all of Testi-Coool!\I love your manga! response:	Testi?
context: Okay!\Congratulations!\Hm?\Wait, are you?\The manga author, Goto Kakushi?!\I've read all of Testi-Coool!\I love your manga!\Testi? response:	Coool?
context: Congratulations!\Hm?\Wait, are you?\The manga author, Goto Kakushi?!\I've read all of Testi-Coool!\I love your manga!\Testi?\Coool? response:	Oh, I know that one! It's all pervy!
context: Hm?\Wait, are you?\The manga author, Goto Kakushi?!\I've read all of Testi-Coool!\I love your manga!\Testi?\Coool?\Oh, I know that one! It's all pervy! response:	It's all pervy!
context: Wait, are you?\The manga author, Goto Kakushi?!\I've read all of Testi-Coool!\I love your manga!\Testi?\Coool?\Oh, I know that one! It's all pervy!\It's all pervy! response:	That's when my father, for my sake,
context: The manga author, Goto Kakushi?!\I've read all of Testi-Coool!\I love your manga!\Testi?\Coool?\Oh, I know that one! It's all pervy!\It's all pervy!\That's when my father, for my sake, response:	swore to hide his profession for his whole life.
context: I've read all of Testi-Coool!\I love your manga!\Testi?\Coool?\Oh, I know that one! It's all pervy!\It's all pervy!\That's when my father, for my sake,\swore to hide his profession for his whole life. response:	That takes me back! Testi-Coool, right?
context: I love your manga!\Testi?\Coool?\Oh, I know that one! It's all pervy!\It's all pervy!\That's when my father, for my sake,\swore to hide his profession for his whole life.\That takes me back! Testi-Coool, right? response:	I used to copy it and get in so much trouble
context: Testi?\Coool?\Oh, I know that one! It's all pervy!\It's all pervy!\That's when my father, for my sake,\swore to hide his profession for his whole life.\That takes me back! Testi-Coool, right?\I used to copy it and get in so much trouble response:	I used to copy it and get in so much trouble
context: Coool?\Oh, I know that one! It's all pervy!\It's all pervy!\That's when my father, for my sake,\swore to hide his profession for his whole life.\That takes me back! Testi-Coool, right?\I used to copy it and get in so much trouble\I used to copy it and get in so much trouble response:	Hey.
context: Oh, I know that one! It's all pervy!\It's all pervy!\That's when my father, for my sake,\swore to hide his profession for his whole life.\That takes me back! Testi-Coool, right?\I used to copy it and get in so much trouble\I used to copy it and get in so much trouble\Hey. response:	I told you to never leave one of my books out at the office, didn't I?
