context: Is it true, Lizardia? response:	Yes, High Priestess.
context: Is it true, Lizardia?\Yes, High Priestess. response:	It's underground in the Holy Misurugi Empire.
context: Is it true, Lizardia?\Yes, High Priestess.\It's underground in the Holy Misurugi Empire. response:	The Aura signal certainly came from there.
context: Is it true, Lizardia?\Yes, High Priestess.\It's underground in the Holy Misurugi Empire.\The Aura signal certainly came from there. response:	You have done well.
context: Is it true, Lizardia?\Yes, High Priestess.\It's underground in the Holy Misurugi Empire.\The Aura signal certainly came from there.\You have done well. response:	The time has come.
context: Is it true, Lizardia?\Yes, High Priestess.\It's underground in the Holy Misurugi Empire.\The Aura signal certainly came from there.\You have done well.\The time has come. response:	Children of Aura, we will hereby recapture
context: Is it true, Lizardia?\Yes, High Priestess.\It's underground in the Holy Misurugi Empire.\The Aura signal certainly came from there.\You have done well.\The time has come.\Children of Aura, we will hereby recapture response:	the almighty mother Aura from Embryo's hands.
context: Is it true, Lizardia?\Yes, High Priestess.\It's underground in the Holy Misurugi Empire.\The Aura signal certainly came from there.\You have done well.\The time has come.\Children of Aura, we will hereby recapture\the almighty mother Aura from Embryo's hands. response:	Lizardia, open the Singularity as scheduled.
context: Yes, High Priestess.\It's underground in the Holy Misurugi Empire.\The Aura signal certainly came from there.\You have done well.\The time has come.\Children of Aura, we will hereby recapture\the almighty mother Aura from Embryo's hands.\Lizardia, open the Singularity as scheduled. response:	As you wish.
context: It's underground in the Holy Misurugi Empire.\The Aura signal certainly came from there.\You have done well.\The time has come.\Children of Aura, we will hereby recapture\the almighty mother Aura from Embryo's hands.\Lizardia, open the Singularity as scheduled.\As you wish. response:	This battle is for the fate of this world.
context: The Aura signal certainly came from there.\You have done well.\The time has come.\Children of Aura, we will hereby recapture\the almighty mother Aura from Embryo's hands.\Lizardia, open the Singularity as scheduled.\As you wish.\This battle is for the fate of this world. response:	May Aura and Earth have victory!
context: You have done well.\The time has come.\Children of Aura, we will hereby recapture\the almighty mother Aura from Embryo's hands.\Lizardia, open the Singularity as scheduled.\As you wish.\This battle is for the fate of this world.\May Aura and Earth have victory! response:	Victory!
context: The time has come.\Children of Aura, we will hereby recapture\the almighty mother Aura from Embryo's hands.\Lizardia, open the Singularity as scheduled.\As you wish.\This battle is for the fate of this world.\May Aura and Earth have victory!\Victory! response:	Resonant Battlefront
context: Children of Aura, we will hereby recapture\the almighty mother Aura from Embryo's hands.\Lizardia, open the Singularity as scheduled.\As you wish.\This battle is for the fate of this world.\May Aura and Earth have victory!\Victory!\Resonant Battlefront response:	The DRAGON world...
context: the almighty mother Aura from Embryo's hands.\Lizardia, open the Singularity as scheduled.\As you wish.\This battle is for the fate of this world.\May Aura and Earth have victory!\Victory!\Resonant Battlefront\The DRAGON world... response:	I don't intend to treat you like prisoners.
context: Lizardia, open the Singularity as scheduled.\As you wish.\This battle is for the fate of this world.\May Aura and Earth have victory!\Victory!\Resonant Battlefront\The DRAGON world...\I don't intend to treat you like prisoners. response:	That is Salamandinay-sama's wish.
context: As you wish.\This battle is for the fate of this world.\May Aura and Earth have victory!\Victory!\Resonant Battlefront\The DRAGON world...\I don't intend to treat you like prisoners.\That is Salamandinay-sama's wish. response:	What's she trying to pull? Jeez.
context: This battle is for the fate of this world.\May Aura and Earth have victory!\Victory!\Resonant Battlefront\The DRAGON world...\I don't intend to treat you like prisoners.\That is Salamandinay-sama's wish.\What's she trying to pull? Jeez. response:	Oh, I forgot.
context: May Aura and Earth have victory!\Victory!\Resonant Battlefront\The DRAGON world...\I don't intend to treat you like prisoners.\That is Salamandinay-sama's wish.\What's she trying to pull? Jeez.\Oh, I forgot. response:	That's awful! You're the one that wrapped me up!
context: Victory!\Resonant Battlefront\The DRAGON world...\I don't intend to treat you like prisoners.\That is Salamandinay-sama's wish.\What's she trying to pull? Jeez.\Oh, I forgot.\That's awful! You're the one that wrapped me up! response:	I didn't want to risk sleeping with a frustrated animal.
context: Resonant Battlefront\The DRAGON world...\I don't intend to treat you like prisoners.\That is Salamandinay-sama's wish.\What's she trying to pull? Jeez.\Oh, I forgot.\That's awful! You're the one that wrapped me up!\I didn't want to risk sleeping with a frustrated animal. response:	I told you, that was a misunderstanding!
context: The DRAGON world...\I don't intend to treat you like prisoners.\That is Salamandinay-sama's wish.\What's she trying to pull? Jeez.\Oh, I forgot.\That's awful! You're the one that wrapped me up!\I didn't want to risk sleeping with a frustrated animal.\I told you, that was a misunderstanding! response:	What are you looking at?
context: I don't intend to treat you like prisoners.\That is Salamandinay-sama's wish.\What's she trying to pull? Jeez.\Oh, I forgot.\That's awful! You're the one that wrapped me up!\I didn't want to risk sleeping with a frustrated animal.\I told you, that was a misunderstanding!\What are you looking at? response:	Huh? Nothing.
context: That is Salamandinay-sama's wish.\What's she trying to pull? Jeez.\Oh, I forgot.\That's awful! You're the one that wrapped me up!\I didn't want to risk sleeping with a frustrated animal.\I told you, that was a misunderstanding!\What are you looking at?\Huh? Nothing. response:	Good morning.
context: What's she trying to pull? Jeez.\Oh, I forgot.\That's awful! You're the one that wrapped me up!\I didn't want to risk sleeping with a frustrated animal.\I told you, that was a misunderstanding!\What are you looking at?\Huh? Nothing.\Good morning. response:	Huh?
context: Oh, I forgot.\That's awful! You're the one that wrapped me up!\I didn't want to risk sleeping with a frustrated animal.\I told you, that was a misunderstanding!\What are you looking at?\Huh? Nothing.\Good morning.\Huh? response:	Ah, morning intercourse, I see.
context: That's awful! You're the one that wrapped me up!\I didn't want to risk sleeping with a frustrated animal.\I told you, that was a misunderstanding!\What are you looking at?\Huh? Nothing.\Good morning.\Huh?\Ah, morning intercourse, I see. response:	Please, continue.
context: I didn't want to risk sleeping with a frustrated animal.\I told you, that was a misunderstanding!\What are you looking at?\Huh? Nothing.\Good morning.\Huh?\Ah, morning intercourse, I see.\Please, continue. response:	More, please.
context: I told you, that was a misunderstanding!\What are you looking at?\Huh? Nothing.\Good morning.\Huh?\Ah, morning intercourse, I see.\Please, continue.\More, please. response:	Dear, be sure to chew properly.
context: What are you looking at?\Huh? Nothing.\Good morning.\Huh?\Ah, morning intercourse, I see.\Please, continue.\More, please.\Dear, be sure to chew properly. response:	Okay, Mom-san.
context: Huh? Nothing.\Good morning.\Huh?\Ah, morning intercourse, I see.\Please, continue.\More, please.\Dear, be sure to chew properly.\Okay, Mom-san. response:	Vivian.
context: Good morning.\Huh?\Ah, morning intercourse, I see.\Please, continue.\More, please.\Dear, be sure to chew properly.\Okay, Mom-san.\Vivian. response:	Morning-san!
context: Huh?\Ah, morning intercourse, I see.\Please, continue.\More, please.\Dear, be sure to chew properly.\Okay, Mom-san.\Vivian.\Morning-san! response:	Salamandinay-sama.
context: Ah, morning intercourse, I see.\Please, continue.\More, please.\Dear, be sure to chew properly.\Okay, Mom-san.\Vivian.\Morning-san!\Salamandinay-sama. response:	Did you sleep well last night?
context: Please, continue.\More, please.\Dear, be sure to chew properly.\Okay, Mom-san.\Vivian.\Morning-san!\Salamandinay-sama.\Did you sleep well last night? response:	I ended up staying up all night talking with Mii.
context: More, please.\Dear, be sure to chew properly.\Okay, Mom-san.\Vivian.\Morning-san!\Salamandinay-sama.\Did you sleep well last night?\I ended up staying up all night talking with Mii. response:	I'm so tired!
context: Dear, be sure to chew properly.\Okay, Mom-san.\Vivian.\Morning-san!\Salamandinay-sama.\Did you sleep well last night?\I ended up staying up all night talking with Mii.\I'm so tired! response:	That's good to know.
context: Okay, Mom-san.\Vivian.\Morning-san!\Salamandinay-sama.\Did you sleep well last night?\I ended up staying up all night talking with Mii.\I'm so tired!\That's good to know. response:	Now, sit down.
context: Vivian.\Morning-san!\Salamandinay-sama.\Did you sleep well last night?\I ended up staying up all night talking with Mii.\I'm so tired!\That's good to know.\Now, sit down. response:	Let us have breakfast, as well.
context: Morning-san!\Salamandinay-sama.\Did you sleep well last night?\I ended up staying up all night talking with Mii.\I'm so tired!\That's good to know.\Now, sit down.\Let us have breakfast, as well. response:	Huh? Okay.
context: Salamandinay-sama.\Did you sleep well last night?\I ended up staying up all night talking with Mii.\I'm so tired!\That's good to know.\Now, sit down.\Let us have breakfast, as well.\Huh? Okay. response:	Please, eat up.
context: Did you sleep well last night?\I ended up staying up all night talking with Mii.\I'm so tired!\That's good to know.\Now, sit down.\Let us have breakfast, as well.\Huh? Okay.\Please, eat up. response:	Th-Thank you.
context: I ended up staying up all night talking with Mii.\I'm so tired!\That's good to know.\Now, sit down.\Let us have breakfast, as well.\Huh? Okay.\Please, eat up.\Th-Thank you. response:	Is it to your liking?
context: I'm so tired!\That's good to know.\Now, sit down.\Let us have breakfast, as well.\Huh? Okay.\Please, eat up.\Th-Thank you.\Is it to your liking? response:	It's really good.
context: That's good to know.\Now, sit down.\Let us have breakfast, as well.\Huh? Okay.\Please, eat up.\Th-Thank you.\Is it to your liking?\It's really good. response:	I've been eating emergency rations for so long...
context: Now, sit down.\Let us have breakfast, as well.\Huh? Okay.\Please, eat up.\Th-Thank you.\Is it to your liking?\It's really good.\I've been eating emergency rations for so long... response:	How can eat this stuff so casually?
context: Let us have breakfast, as well.\Huh? Okay.\Please, eat up.\Th-Thank you.\Is it to your liking?\It's really good.\I've been eating emergency rations for so long...\How can eat this stuff so casually? response:	What if it's poisoned or something?
context: Huh? Okay.\Please, eat up.\Th-Thank you.\Is it to your liking?\It's really good.\I've been eating emergency rations for so long...\How can eat this stuff so casually?\What if it's poisoned or something? response:	S-Sorry...
context: Please, eat up.\Th-Thank you.\Is it to your liking?\It's really good.\I've been eating emergency rations for so long...\How can eat this stuff so casually?\What if it's poisoned or something?\S-Sorry... response:	I wonder if Vivian's okay...
context: Th-Thank you.\Is it to your liking?\It's really good.\I've been eating emergency rations for so long...\How can eat this stuff so casually?\What if it's poisoned or something?\S-Sorry...\I wonder if Vivian's okay... response:	Huh?
context: Is it to your liking?\It's really good.\I've been eating emergency rations for so long...\How can eat this stuff so casually?\What if it's poisoned or something?\S-Sorry...\I wonder if Vivian's okay...\Huh? response:	Appeasing the enemy to gain information.
context: It's really good.\I've been eating emergency rations for so long...\How can eat this stuff so casually?\What if it's poisoned or something?\S-Sorry...\I wonder if Vivian's okay...\Huh?\Appeasing the enemy to gain information. response:	It's the oldest trick in the book.
context: I've been eating emergency rations for so long...\How can eat this stuff so casually?\What if it's poisoned or something?\S-Sorry...\I wonder if Vivian's okay...\Huh?\Appeasing the enemy to gain information.\It's the oldest trick in the book. response:	No way.
context: How can eat this stuff so casually?\What if it's poisoned or something?\S-Sorry...\I wonder if Vivian's okay...\Huh?\Appeasing the enemy to gain information.\It's the oldest trick in the book.\No way. response:	I'm not convinced that's even her real mom.
context: What if it's poisoned or something?\S-Sorry...\I wonder if Vivian's okay...\Huh?\Appeasing the enemy to gain information.\It's the oldest trick in the book.\No way.\I'm not convinced that's even her real mom. response:	They don't look like strangers, though...
context: S-Sorry...\I wonder if Vivian's okay...\Huh?\Appeasing the enemy to gain information.\It's the oldest trick in the book.\No way.\I'm not convinced that's even her real mom.\They don't look like strangers, though... response:	Eat up before it gets cold.
context: I wonder if Vivian's okay...\Huh?\Appeasing the enemy to gain information.\It's the oldest trick in the book.\No way.\I'm not convinced that's even her real mom.\They don't look like strangers, though...\Eat up before it gets cold. response:	I know.
context: Huh?\Appeasing the enemy to gain information.\It's the oldest trick in the book.\No way.\I'm not convinced that's even her real mom.\They don't look like strangers, though...\Eat up before it gets cold.\I know. response:	Going back home?
context: Appeasing the enemy to gain information.\It's the oldest trick in the book.\No way.\I'm not convinced that's even her real mom.\They don't look like strangers, though...\Eat up before it gets cold.\I know.\Going back home? response:	I wanted to show her the house she was born in.
context: It's the oldest trick in the book.\No way.\I'm not convinced that's even her real mom.\They don't look like strangers, though...\Eat up before it gets cold.\I know.\Going back home?\I wanted to show her the house she was born in. response:	I want to see it!
context: No way.\I'm not convinced that's even her real mom.\They don't look like strangers, though...\Eat up before it gets cold.\I know.\Going back home?\I wanted to show her the house she was born in.\I want to see it! response:	Okay, I'll be back in a bit.
context: I'm not convinced that's even her real mom.\They don't look like strangers, though...\Eat up before it gets cold.\I know.\Going back home?\I wanted to show her the house she was born in.\I want to see it!\Okay, I'll be back in a bit. response:	They're really getting along, huh?
context: They don't look like strangers, though...\Eat up before it gets cold.\I know.\Going back home?\I wanted to show her the house she was born in.\I want to see it!\Okay, I'll be back in a bit.\They're really getting along, huh? response:	Ange?
context: Eat up before it gets cold.\I know.\Going back home?\I wanted to show her the house she was born in.\I want to see it!\Okay, I'll be back in a bit.\They're really getting along, huh?\Ange? response:	I don't like it.
context: I know.\Going back home?\I wanted to show her the house she was born in.\I want to see it!\Okay, I'll be back in a bit.\They're really getting along, huh?\Ange?\I don't like it. response:	Any of it.
context: Going back home?\I wanted to show her the house she was born in.\I want to see it!\Okay, I'll be back in a bit.\They're really getting along, huh?\Ange?\I don't like it.\Any of it. response:	So?
