context: Rokuro, Saizo, Isanami. response:	The three of you will accompany me to the capitol.
context: Rokuro, Saizo, Isanami.\The three of you will accompany me to the capitol. response:	The rest of you will stay here.
context: Rokuro, Saizo, Isanami.\The three of you will accompany me to the capitol.\The rest of you will stay here. response:	What? The rest?
context: Rokuro, Saizo, Isanami.\The three of you will accompany me to the capitol.\The rest of you will stay here.\What? The rest? response:	Wait for us here.
context: Rokuro, Saizo, Isanami.\The three of you will accompany me to the capitol.\The rest of you will stay here.\What? The rest?\Wait for us here. response:	Ana, I'm sure the nights will be very lonely for you.
context: Rokuro, Saizo, Isanami.\The three of you will accompany me to the capitol.\The rest of you will stay here.\What? The rest?\Wait for us here.\Ana, I'm sure the nights will be very lonely for you. response:	I won't be lonely at all. Take your time.
context: Rokuro, Saizo, Isanami.\The three of you will accompany me to the capitol.\The rest of you will stay here.\What? The rest?\Wait for us here.\Ana, I'm sure the nights will be very lonely for you.\I won't be lonely at all. Take your time. response:	What?
context: Rokuro, Saizo, Isanami.\The three of you will accompany me to the capitol.\The rest of you will stay here.\What? The rest?\Wait for us here.\Ana, I'm sure the nights will be very lonely for you.\I won't be lonely at all. Take your time.\What? response:	You're so cute.
context: The three of you will accompany me to the capitol.\The rest of you will stay here.\What? The rest?\Wait for us here.\Ana, I'm sure the nights will be very lonely for you.\I won't be lonely at all. Take your time.\What?\You're so cute. response:	What?
context: The rest of you will stay here.\What? The rest?\Wait for us here.\Ana, I'm sure the nights will be very lonely for you.\I won't be lonely at all. Take your time.\What?\You're so cute.\What? response:	Yukimura-sama, be careful.
context: What? The rest?\Wait for us here.\Ana, I'm sure the nights will be very lonely for you.\I won't be lonely at all. Take your time.\What?\You're so cute.\What?\Yukimura-sama, be careful. response:	Keep it together.
context: Wait for us here.\Ana, I'm sure the nights will be very lonely for you.\I won't be lonely at all. Take your time.\What?\You're so cute.\What?\Yukimura-sama, be careful.\Keep it together. response:	Why are you acting all high and mighty, monkey?
context: Ana, I'm sure the nights will be very lonely for you.\I won't be lonely at all. Take your time.\What?\You're so cute.\What?\Yukimura-sama, be careful.\Keep it together.\Why are you acting all high and mighty, monkey? response:	But Isanami will be worried if I do not accompany her.
context: I won't be lonely at all. Take your time.\What?\You're so cute.\What?\Yukimura-sama, be careful.\Keep it together.\Why are you acting all high and mighty, monkey?\But Isanami will be worried if I do not accompany her. response:	I've got Saizo. I'll be fine.
context: What?\You're so cute.\What?\Yukimura-sama, be careful.\Keep it together.\Why are you acting all high and mighty, monkey?\But Isanami will be worried if I do not accompany her.\I've got Saizo. I'll be fine. response:	I'm going, too.
context: You're so cute.\What?\Yukimura-sama, be careful.\Keep it together.\Why are you acting all high and mighty, monkey?\But Isanami will be worried if I do not accompany her.\I've got Saizo. I'll be fine.\I'm going, too. response:	I'd be so bored without Saizo, I'd rot.
context: What?\Yukimura-sama, be careful.\Keep it together.\Why are you acting all high and mighty, monkey?\But Isanami will be worried if I do not accompany her.\I've got Saizo. I'll be fine.\I'm going, too.\I'd be so bored without Saizo, I'd rot. response:	I wanna fight Saizo.
context: Yukimura-sama, be careful.\Keep it together.\Why are you acting all high and mighty, monkey?\But Isanami will be worried if I do not accompany her.\I've got Saizo. I'll be fine.\I'm going, too.\I'd be so bored without Saizo, I'd rot.\I wanna fight Saizo. response:	You're so annoying.
context: Keep it together.\Why are you acting all high and mighty, monkey?\But Isanami will be worried if I do not accompany her.\I've got Saizo. I'll be fine.\I'm going, too.\I'd be so bored without Saizo, I'd rot.\I wanna fight Saizo.\You're so annoying. response:	What'd you say?
