context: Note that though we may be apart, if I am to hear response:	Can I copy your homework?
context: Note that though we may be apart, if I am to hear\Can I copy your homework? response:	No good. What was the second verse?
context: Note that though we may be apart, if I am to hear\Can I copy your homework?\No good. What was the second verse? response:	Again?
context: Note that though we may be apart, if I am to hear\Can I copy your homework?\No good. What was the second verse?\Again? response:	that you pine for me as the Inaba mountain pines, I shall return to you.
context: Note that though we may be apart, if I am to hear\Can I copy your homework?\No good. What was the second verse?\Again?\that you pine for me as the Inaba mountain pines, I shall return to you. response:	Chihaya is a good name.
context: Note that though we may be apart, if I am to hear\Can I copy your homework?\No good. What was the second verse?\Again?\that you pine for me as the Inaba mountain pines, I shall return to you.\Chihaya is a good name. response:	Look, this is your card.
context: Note that though we may be apart, if I am to hear\Can I copy your homework?\No good. What was the second verse?\Again?\that you pine for me as the Inaba mountain pines, I shall return to you.\Chihaya is a good name.\Look, this is your card. response:	the red that is the Tatsuta River
context: Note that though we may be apart, if I am to hear\Can I copy your homework?\No good. What was the second verse?\Again?\that you pine for me as the Inaba mountain pines, I shall return to you.\Chihaya is a good name.\Look, this is your card.\the red that is the Tatsuta River response:	The first verse for this card begins with Chihaya Furu.
context: Can I copy your homework?\No good. What was the second verse?\Again?\that you pine for me as the Inaba mountain pines, I shall return to you.\Chihaya is a good name.\Look, this is your card.\the red that is the Tatsuta River\The first verse for this card begins with Chihaya Furu. response:	This is the card you pick up when you hear Chihaya,
context: No good. What was the second verse?\Again?\that you pine for me as the Inaba mountain pines, I shall return to you.\Chihaya is a good name.\Look, this is your card.\the red that is the Tatsuta River\The first verse for this card begins with Chihaya Furu.\This is the card you pick up when you hear Chihaya, response:	so in my mind, it's the Chihaya card.
context: Again?\that you pine for me as the Inaba mountain pines, I shall return to you.\Chihaya is a good name.\Look, this is your card.\the red that is the Tatsuta River\The first verse for this card begins with Chihaya Furu.\This is the card you pick up when you hear Chihaya,\so in my mind, it's the Chihaya card. response:	Okay! I can do this!
context: that you pine for me as the Inaba mountain pines, I shall return to you.\Chihaya is a good name.\Look, this is your card.\the red that is the Tatsuta River\The first verse for this card begins with Chihaya Furu.\This is the card you pick up when you hear Chihaya,\so in my mind, it's the Chihaya card.\Okay! I can do this! response:	Good morning!
context: Chihaya is a good name.\Look, this is your card.\the red that is the Tatsuta River\The first verse for this card begins with Chihaya Furu.\This is the card you pick up when you hear Chihaya,\so in my mind, it's the Chihaya card.\Okay! I can do this!\Good morning! response:	Huh?
context: Look, this is your card.\the red that is the Tatsuta River\The first verse for this card begins with Chihaya Furu.\This is the card you pick up when you hear Chihaya,\so in my mind, it's the Chihaya card.\Okay! I can do this!\Good morning!\Huh? response:	Oh.
context: the red that is the Tatsuta River\The first verse for this card begins with Chihaya Furu.\This is the card you pick up when you hear Chihaya,\so in my mind, it's the Chihaya card.\Okay! I can do this!\Good morning!\Huh?\Oh. response:	Everyone's gonna start ignoring you tomorrow!
context: The first verse for this card begins with Chihaya Furu.\This is the card you pick up when you hear Chihaya,\so in my mind, it's the Chihaya card.\Okay! I can do this!\Good morning!\Huh?\Oh.\Everyone's gonna start ignoring you tomorrow! response:	I don't care!
context: This is the card you pick up when you hear Chihaya,\so in my mind, it's the Chihaya card.\Okay! I can do this!\Good morning!\Huh?\Oh.\Everyone's gonna start ignoring you tomorrow!\I don't care! response:	I'm gonna ignore you, too!
context: so in my mind, it's the Chihaya card.\Okay! I can do this!\Good morning!\Huh?\Oh.\Everyone's gonna start ignoring you tomorrow!\I don't care!\I'm gonna ignore you, too! response:	I mean it!
context: Okay! I can do this!\Good morning!\Huh?\Oh.\Everyone's gonna start ignoring you tomorrow!\I don't care!\I'm gonna ignore you, too!\I mean it! response:	I said that I don't care!
context: Good morning!\Huh?\Oh.\Everyone's gonna start ignoring you tomorrow!\I don't care!\I'm gonna ignore you, too!\I mean it!\I said that I don't care! response:	If you stop talking to the outsider,
context: Huh?\Oh.\Everyone's gonna start ignoring you tomorrow!\I don't care!\I'm gonna ignore you, too!\I mean it!\I said that I don't care!\If you stop talking to the outsider, response:	we'll stop ignoring you.
context: Oh.\Everyone's gonna start ignoring you tomorrow!\I don't care!\I'm gonna ignore you, too!\I mean it!\I said that I don't care!\If you stop talking to the outsider,\we'll stop ignoring you. response:	I don't mind.
context: Everyone's gonna start ignoring you tomorrow!\I don't care!\I'm gonna ignore you, too!\I mean it!\I said that I don't care!\If you stop talking to the outsider,\we'll stop ignoring you.\I don't mind. response:	You should stop ignoring Wataya-kun instead.
context: I don't care!\I'm gonna ignore you, too!\I mean it!\I said that I don't care!\If you stop talking to the outsider,\we'll stop ignoring you.\I don't mind.\You should stop ignoring Wataya-kun instead. response:	Why do you keep taking his side?!
context: I'm gonna ignore you, too!\I mean it!\I said that I don't care!\If you stop talking to the outsider,\we'll stop ignoring you.\I don't mind.\You should stop ignoring Wataya-kun instead.\Why do you keep taking his side?! response:	Why are you so mean?!
context: I mean it!\I said that I don't care!\If you stop talking to the outsider,\we'll stop ignoring you.\I don't mind.\You should stop ignoring Wataya-kun instead.\Why do you keep taking his side?!\Why are you so mean?! response:	There's nothing to like about this puny and poor bumpkin!
context: I said that I don't care!\If you stop talking to the outsider,\we'll stop ignoring you.\I don't mind.\You should stop ignoring Wataya-kun instead.\Why do you keep taking his side?!\Why are you so mean?!\There's nothing to like about this puny and poor bumpkin! response:	I-It's okay, Ayase-san.
