context: OP response:	*TS* : Super Vodka; : Danger! Do not mix!
context: OP\*TS* : Super Vodka; : Danger! Do not mix! response:	ED
context: OP\*TS* : Super Vodka; : Danger! Do not mix!\ED response:	*TS*
context: OP\*TS* : Super Vodka; : Danger! Do not mix!\ED\*TS* response:	*TS*Episode 5 - No way I regretted it
context: OP\*TS* : Super Vodka; : Danger! Do not mix!\ED\*TS*\*TS*Episode 5 - No way I regretted it response:	Are you here to see Kamijou-kun?
context: OP\*TS* : Super Vodka; : Danger! Do not mix!\ED\*TS*\*TS*Episode 5 - No way I regretted it\Are you here to see Kamijou-kun? response:	Huh? Yeah.
context: OP\*TS* : Super Vodka; : Danger! Do not mix!\ED\*TS*\*TS*Episode 5 - No way I regretted it\Are you here to see Kamijou-kun?\Huh? Yeah. response:	Oh, I'm sorry. We've arranged a new treatment for him. He's in the rehabilitation room right now.
context: OP\*TS* : Super Vodka; : Danger! Do not mix!\ED\*TS*\*TS*Episode 5 - No way I regretted it\Are you here to see Kamijou-kun?\Huh? Yeah.\Oh, I'm sorry. We've arranged a new treatment for him. He's in the rehabilitation room right now. response:	Oh, I see. Thank you.
context: *TS* : Super Vodka; : Danger! Do not mix!\ED\*TS*\*TS*Episode 5 - No way I regretted it\Are you here to see Kamijou-kun?\Huh? Yeah.\Oh, I'm sorry. We've arranged a new treatment for him. He's in the rehabilitation room right now.\Oh, I see. Thank you. response:	She always comes by to pay him a visit.
context: ED\*TS*\*TS*Episode 5 - No way I regretted it\Are you here to see Kamijou-kun?\Huh? Yeah.\Oh, I'm sorry. We've arranged a new treatment for him. He's in the rehabilitation room right now.\Oh, I see. Thank you.\She always comes by to pay him a visit. response:	That patient is a real handful. We're lucky to have her.
context: *TS*\*TS*Episode 5 - No way I regretted it\Are you here to see Kamijou-kun?\Huh? Yeah.\Oh, I'm sorry. We've arranged a new treatment for him. He's in the rehabilitation room right now.\Oh, I see. Thank you.\She always comes by to pay him a visit.\That patient is a real handful. We're lucky to have her. response:	I hope she can do something for him.
context: *TS*Episode 5 - No way I regretted it\Are you here to see Kamijou-kun?\Huh? Yeah.\Oh, I'm sorry. We've arranged a new treatment for him. He's in the rehabilitation room right now.\Oh, I see. Thank you.\She always comes by to pay him a visit.\That patient is a real handful. We're lucky to have her.\I hope she can do something for him. response:	Before the accident, he was a child prodigy with the violin.
context: Are you here to see Kamijou-kun?\Huh? Yeah.\Oh, I'm sorry. We've arranged a new treatment for him. He's in the rehabilitation room right now.\Oh, I see. Thank you.\She always comes by to pay him a visit.\That patient is a real handful. We're lucky to have her.\I hope she can do something for him.\Before the accident, he was a child prodigy with the violin. response:	Even if he's able to walk again, his fingers will prevent him from being able to play music.
context: Huh? Yeah.\Oh, I'm sorry. We've arranged a new treatment for him. He's in the rehabilitation room right now.\Oh, I see. Thank you.\She always comes by to pay him a visit.\That patient is a real handful. We're lucky to have her.\I hope she can do something for him.\Before the accident, he was a child prodigy with the violin.\Even if he's able to walk again, his fingers will prevent him from being able to play music. response:	Why did it have to be Kyosuke?
context: Oh, I'm sorry. We've arranged a new treatment for him. He's in the rehabilitation room right now.\Oh, I see. Thank you.\She always comes by to pay him a visit.\That patient is a real handful. We're lucky to have her.\I hope she can do something for him.\Before the accident, he was a child prodigy with the violin.\Even if he's able to walk again, his fingers will prevent him from being able to play music.\Why did it have to be Kyosuke? response:	No matter how well my fingers work, they'll never do me any good.
context: Oh, I see. Thank you.\She always comes by to pay him a visit.\That patient is a real handful. We're lucky to have her.\I hope she can do something for him.\Before the accident, he was a child prodigy with the violin.\Even if he's able to walk again, his fingers will prevent him from being able to play music.\Why did it have to be Kyosuke?\No matter how well my fingers work, they'll never do me any good. response:	Why did this have to happen to him instead of me?
