context: Why? response:	How?
context: Why?\How? response:	What the hell is this?
context: Why?\How?\What the hell is this? response:	Since I become a spirit, all I can do is watch...
context: Why?\How?\What the hell is this?\Since I become a spirit, all I can do is watch... response:	I can't do anything...
context: Why?\How?\What the hell is this?\Since I become a spirit, all I can do is watch...\I can't do anything... response:	This is bullshit.
context: Why?\How?\What the hell is this?\Since I become a spirit, all I can do is watch...\I can't do anything...\This is bullshit. response:	This is bullshit!
context: Why?\How?\What the hell is this?\Since I become a spirit, all I can do is watch...\I can't do anything...\This is bullshit.\This is bullshit! response:	You humans sure are selfish, huh?
context: Why?\How?\What the hell is this?\Since I become a spirit, all I can do is watch...\I can't do anything...\This is bullshit.\This is bullshit!\You humans sure are selfish, huh? response:	You didn't care when seven billion people died.
context: How?\What the hell is this?\Since I become a spirit, all I can do is watch...\I can't do anything...\This is bullshit.\This is bullshit!\You humans sure are selfish, huh?\You didn't care when seven billion people died. response:	Yet one person dies, and you're crying and screaming.
context: What the hell is this?\Since I become a spirit, all I can do is watch...\I can't do anything...\This is bullshit.\This is bullshit!\You humans sure are selfish, huh?\You didn't care when seven billion people died.\Yet one person dies, and you're crying and screaming. response:	That doesn't mean a damn thing!
context: Since I become a spirit, all I can do is watch...\I can't do anything...\This is bullshit.\This is bullshit!\You humans sure are selfish, huh?\You didn't care when seven billion people died.\Yet one person dies, and you're crying and screaming.\That doesn't mean a damn thing! response:	It doesn't, huh?
context: I can't do anything...\This is bullshit.\This is bullshit!\You humans sure are selfish, huh?\You didn't care when seven billion people died.\Yet one person dies, and you're crying and screaming.\That doesn't mean a damn thing!\It doesn't, huh? response:	You're quite cold.
context: This is bullshit.\This is bullshit!\You humans sure are selfish, huh?\You didn't care when seven billion people died.\Yet one person dies, and you're crying and screaming.\That doesn't mean a damn thing!\It doesn't, huh?\You're quite cold. response:	You're the cold one!
context: This is bullshit!\You humans sure are selfish, huh?\You didn't care when seven billion people died.\Yet one person dies, and you're crying and screaming.\That doesn't mean a damn thing!\It doesn't, huh?\You're quite cold.\You're the cold one! response:	Damn it...
context: You humans sure are selfish, huh?\You didn't care when seven billion people died.\Yet one person dies, and you're crying and screaming.\That doesn't mean a damn thing!\It doesn't, huh?\You're quite cold.\You're the cold one!\Damn it... response:	Damn it!
context: You didn't care when seven billion people died.\Yet one person dies, and you're crying and screaming.\That doesn't mean a damn thing!\It doesn't, huh?\You're quite cold.\You're the cold one!\Damn it...\Damn it! response:	Damn it!
context: Yet one person dies, and you're crying and screaming.\That doesn't mean a damn thing!\It doesn't, huh?\You're quite cold.\You're the cold one!\Damn it...\Damn it!\Damn it! response:	You just said you couldn't do anything, but maybe you just didn't do anything.
context: That doesn't mean a damn thing!\It doesn't, huh?\You're quite cold.\You're the cold one!\Damn it...\Damn it!\Damn it!\You just said you couldn't do anything, but maybe you just didn't do anything. response:	What's your point?
