context: Juiz, it looks like I did it again. response:	-You killed? -Yes.
context: Juiz, it looks like I did it again.\-You killed? -Yes. response:	I think we're in the same location as usual.
context: Juiz, it looks like I did it again.\-You killed? -Yes.\I think we're in the same location as usual. response:	I've pinpointed it. Room number 1109.
context: Juiz, it looks like I did it again.\-You killed? -Yes.\I think we're in the same location as usual.\I've pinpointed it. Room number 1109. response:	Could you deal with the aftermath?
context: Juiz, it looks like I did it again.\-You killed? -Yes.\I think we're in the same location as usual.\I've pinpointed it. Room number 1109.\Could you deal with the aftermath? response:	I'll leave the method to you, but as elegantly as possible, please.
context: Juiz, it looks like I did it again.\-You killed? -Yes.\I think we're in the same location as usual.\I've pinpointed it. Room number 1109.\Could you deal with the aftermath?\I'll leave the method to you, but as elegantly as possible, please. response:	I know.
context: Juiz, it looks like I did it again.\-You killed? -Yes.\I think we're in the same location as usual.\I've pinpointed it. Room number 1109.\Could you deal with the aftermath?\I'll leave the method to you, but as elegantly as possible, please.\I know. response:	Noblesse oblige. I pray that you shall continue to be a savior.
context: Juiz, it looks like I did it again.\-You killed? -Yes.\I think we're in the same location as usual.\I've pinpointed it. Room number 1109.\Could you deal with the aftermath?\I'll leave the method to you, but as elegantly as possible, please.\I know.\Noblesse oblige. I pray that you shall continue to be a savior. response:	Episode 5: This Is No Time to Be Thinking About That...
context: -You killed? -Yes.\I think we're in the same location as usual.\I've pinpointed it. Room number 1109.\Could you deal with the aftermath?\I'll leave the method to you, but as elegantly as possible, please.\I know.\Noblesse oblige. I pray that you shall continue to be a savior.\Episode 5: This Is No Time to Be Thinking About That... response:	So before I lost my memory,
context: I think we're in the same location as usual.\I've pinpointed it. Room number 1109.\Could you deal with the aftermath?\I'll leave the method to you, but as elegantly as possible, please.\I know.\Noblesse oblige. I pray that you shall continue to be a savior.\Episode 5: This Is No Time to Be Thinking About That...\So before I lost my memory, response:	I was already involved in this thorny game...
context: I've pinpointed it. Room number 1109.\Could you deal with the aftermath?\I'll leave the method to you, but as elegantly as possible, please.\I know.\Noblesse oblige. I pray that you shall continue to be a savior.\Episode 5: This Is No Time to Be Thinking About That...\So before I lost my memory,\I was already involved in this thorny game... response:	If I think of it as having sold my life to that Mr. Outside dude
