context: That's correct, Doma-san. response:	This formula will show up on the test, so please remember it.
context: That's correct, Doma-san.\This formula will show up on the test, so please remember it. response:	Umaru-san!
context: That's correct, Doma-san.\This formula will show up on the test, so please remember it.\Umaru-san! response:	I will not lose to you on the upcoming midterms!
context: That's correct, Doma-san.\This formula will show up on the test, so please remember it.\Umaru-san!\I will not lose to you on the upcoming midterms! response:	Shubaphyyn
context: That's correct, Doma-san.\This formula will show up on the test, so please remember it.\Umaru-san!\I will not lose to you on the upcoming midterms!\Shubaphyyn response:	The one who will get first place is I, Tachibana Sylphynford!
context: That's correct, Doma-san.\This formula will show up on the test, so please remember it.\Umaru-san!\I will not lose to you on the upcoming midterms!\Shubaphyyn\The one who will get first place is I, Tachibana Sylphynford! response:	Tachibana-san, we're in the middle of class...
context: That's correct, Doma-san.\This formula will show up on the test, so please remember it.\Umaru-san!\I will not lose to you on the upcoming midterms!\Shubaphyyn\The one who will get first place is I, Tachibana Sylphynford!\Tachibana-san, we're in the middle of class... response:	Oh, dear. Pardon me.
context: That's correct, Doma-san.\This formula will show up on the test, so please remember it.\Umaru-san!\I will not lose to you on the upcoming midterms!\Shubaphyyn\The one who will get first place is I, Tachibana Sylphynford!\Tachibana-san, we're in the middle of class...\Oh, dear. Pardon me. response:	Menacing
context: This formula will show up on the test, so please remember it.\Umaru-san!\I will not lose to you on the upcoming midterms!\Shubaphyyn\The one who will get first place is I, Tachibana Sylphynford!\Tachibana-san, we're in the middle of class...\Oh, dear. Pardon me.\Menacing response:	Episode 3 Umaru and Her Student
context: Umaru-san!\I will not lose to you on the upcoming midterms!\Shubaphyyn\The one who will get first place is I, Tachibana Sylphynford!\Tachibana-san, we're in the middle of class...\Oh, dear. Pardon me.\Menacing\Episode 3 Umaru and Her Student response:	Maybe it's because of the test next week,
context: I will not lose to you on the upcoming midterms!\Shubaphyyn\The one who will get first place is I, Tachibana Sylphynford!\Tachibana-san, we're in the middle of class...\Oh, dear. Pardon me.\Menacing\Episode 3 Umaru and Her Student\Maybe it's because of the test next week, response:	but everyone seems on edge.
context: Shubaphyyn\The one who will get first place is I, Tachibana Sylphynford!\Tachibana-san, we're in the middle of class...\Oh, dear. Pardon me.\Menacing\Episode 3 Umaru and Her Student\Maybe it's because of the test next week,\but everyone seems on edge. response:	Yeah... You're right...
context: The one who will get first place is I, Tachibana Sylphynford!\Tachibana-san, we're in the middle of class...\Oh, dear. Pardon me.\Menacing\Episode 3 Umaru and Her Student\Maybe it's because of the test next week,\but everyone seems on edge.\Yeah... You're right... response:	Wh-What's wrong, Ebina-chan?
context: Tachibana-san, we're in the middle of class...\Oh, dear. Pardon me.\Menacing\Episode 3 Umaru and Her Student\Maybe it's because of the test next week,\but everyone seems on edge.\Yeah... You're right...\Wh-What's wrong, Ebina-chan? response:	I'm not feeling very confident about our next test.
context: Oh, dear. Pardon me.\Menacing\Episode 3 Umaru and Her Student\Maybe it's because of the test next week,\but everyone seems on edge.\Yeah... You're right...\Wh-What's wrong, Ebina-chan?\I'm not feeling very confident about our next test. response:	I made so many mistakes on the last one.
context: Menacing\Episode 3 Umaru and Her Student\Maybe it's because of the test next week,\but everyone seems on edge.\Yeah... You're right...\Wh-What's wrong, Ebina-chan?\I'm not feeling very confident about our next test.\I made so many mistakes on the last one. response:	I make a lot of mistakes, too.
context: Episode 3 Umaru and Her Student\Maybe it's because of the test next week,\but everyone seems on edge.\Yeah... You're right...\Wh-What's wrong, Ebina-chan?\I'm not feeling very confident about our next test.\I made so many mistakes on the last one.\I make a lot of mistakes, too. response:	I even lost my student ID yesterday.
context: Maybe it's because of the test next week,\but everyone seems on edge.\Yeah... You're right...\Wh-What's wrong, Ebina-chan?\I'm not feeling very confident about our next test.\I made so many mistakes on the last one.\I make a lot of mistakes, too.\I even lost my student ID yesterday. response:	What? Really?
context: but everyone seems on edge.\Yeah... You're right...\Wh-What's wrong, Ebina-chan?\I'm not feeling very confident about our next test.\I made so many mistakes on the last one.\I make a lot of mistakes, too.\I even lost my student ID yesterday.\What? Really? response:	Maybe you just don't do well under pressure, Ebina-chan.
context: Yeah... You're right...\Wh-What's wrong, Ebina-chan?\I'm not feeling very confident about our next test.\I made so many mistakes on the last one.\I make a lot of mistakes, too.\I even lost my student ID yesterday.\What? Really?\Maybe you just don't do well under pressure, Ebina-chan. response:	Just stay calm and you'll do fine.
context: Wh-What's wrong, Ebina-chan?\I'm not feeling very confident about our next test.\I made so many mistakes on the last one.\I make a lot of mistakes, too.\I even lost my student ID yesterday.\What? Really?\Maybe you just don't do well under pressure, Ebina-chan.\Just stay calm and you'll do fine. response:	Y-You think so?
context: I'm not feeling very confident about our next test.\I made so many mistakes on the last one.\I make a lot of mistakes, too.\I even lost my student ID yesterday.\What? Really?\Maybe you just don't do well under pressure, Ebina-chan.\Just stay calm and you'll do fine.\Y-You think so? response:	Yeah. So let's both do our best.
context: I made so many mistakes on the last one.\I make a lot of mistakes, too.\I even lost my student ID yesterday.\What? Really?\Maybe you just don't do well under pressure, Ebina-chan.\Just stay calm and you'll do fine.\Y-You think so?\Yeah. So let's both do our best. response:	Umaru-chan...
context: I make a lot of mistakes, too.\I even lost my student ID yesterday.\What? Really?\Maybe you just don't do well under pressure, Ebina-chan.\Just stay calm and you'll do fine.\Y-You think so?\Yeah. So let's both do our best.\Umaru-chan... response:	If that's what you told her,
context: I even lost my student ID yesterday.\What? Really?\Maybe you just don't do well under pressure, Ebina-chan.\Just stay calm and you'll do fine.\Y-You think so?\Yeah. So let's both do our best.\Umaru-chan...\If that's what you told her, response:	you should study, too.
context: What? Really?\Maybe you just don't do well under pressure, Ebina-chan.\Just stay calm and you'll do fine.\Y-You think so?\Yeah. So let's both do our best.\Umaru-chan...\If that's what you told her,\you should study, too. response:	Aw, but that's such a pain.
context: Maybe you just don't do well under pressure, Ebina-chan.\Just stay calm and you'll do fine.\Y-You think so?\Yeah. So let's both do our best.\Umaru-chan...\If that's what you told her,\you should study, too.\Aw, but that's such a pain. response:	You sure you should be playing some war game and not studying for your test?
context: Just stay calm and you'll do fine.\Y-You think so?\Yeah. So let's both do our best.\Umaru-chan...\If that's what you told her,\you should study, too.\Aw, but that's such a pain.\You sure you should be playing some war game and not studying for your test? response:	It's an FPS, Onii-chan!
context: Y-You think so?\Yeah. So let's both do our best.\Umaru-chan...\If that's what you told her,\you should study, too.\Aw, but that's such a pain.\You sure you should be playing some war game and not studying for your test?\It's an FPS, Onii-chan! response:	Well, I guess it's okay.
context: Yeah. So let's both do our best.\Umaru-chan...\If that's what you told her,\you should study, too.\Aw, but that's such a pain.\You sure you should be playing some war game and not studying for your test?\It's an FPS, Onii-chan!\Well, I guess it's okay. response:	Even if you don't study,
context: Umaru-chan...\If that's what you told her,\you should study, too.\Aw, but that's such a pain.\You sure you should be playing some war game and not studying for your test?\It's an FPS, Onii-chan!\Well, I guess it's okay.\Even if you don't study, response:	you always listen in class, so your grades are good.
context: If that's what you told her,\you should study, too.\Aw, but that's such a pain.\You sure you should be playing some war game and not studying for your test?\It's an FPS, Onii-chan!\Well, I guess it's okay.\Even if you don't study,\you always listen in class, so your grades are good. response:	Oh, but midterms do have a lot of trick questions.
context: you should study, too.\Aw, but that's such a pain.\You sure you should be playing some war game and not studying for your test?\It's an FPS, Onii-chan!\Well, I guess it's okay.\Even if you don't study,\you always listen in class, so your grades are good.\Oh, but midterms do have a lot of trick questions. response:	It might be hard to get a good score just by going to class.
context: Aw, but that's such a pain.\You sure you should be playing some war game and not studying for your test?\It's an FPS, Onii-chan!\Well, I guess it's okay.\Even if you don't study,\you always listen in class, so your grades are good.\Oh, but midterms do have a lot of trick questions.\It might be hard to get a good score just by going to class. response:	But I guess you can't help that if you're just playing games before the test.
context: You sure you should be playing some war game and not studying for your test?\It's an FPS, Onii-chan!\Well, I guess it's okay.\Even if you don't study,\you always listen in class, so your grades are good.\Oh, but midterms do have a lot of trick questions.\It might be hard to get a good score just by going to class.\But I guess you can't help that if you're just playing games before the test. response:	An FPS is not a game!
context: It's an FPS, Onii-chan!\Well, I guess it's okay.\Even if you don't study,\you always listen in class, so your grades are good.\Oh, but midterms do have a lot of trick questions.\It might be hard to get a good score just by going to class.\But I guess you can't help that if you're just playing games before the test.\An FPS is not a game! response:	It's not a game! It's not a game!
context: Well, I guess it's okay.\Even if you don't study,\you always listen in class, so your grades are good.\Oh, but midterms do have a lot of trick questions.\It might be hard to get a good score just by going to class.\But I guess you can't help that if you're just playing games before the test.\An FPS is not a game!\It's not a game! It's not a game! response:	This is all your fault, Onii-chan!
context: Even if you don't study,\you always listen in class, so your grades are good.\Oh, but midterms do have a lot of trick questions.\It might be hard to get a good score just by going to class.\But I guess you can't help that if you're just playing games before the test.\An FPS is not a game!\It's not a game! It's not a game!\This is all your fault, Onii-chan! response:	The enemy's ridiculously strong!
context: you always listen in class, so your grades are good.\Oh, but midterms do have a lot of trick questions.\It might be hard to get a good score just by going to class.\But I guess you can't help that if you're just playing games before the test.\An FPS is not a game!\It's not a game! It's not a game!\This is all your fault, Onii-chan!\The enemy's ridiculously strong! response:	They're totally going for a headshot!
context: Oh, but midterms do have a lot of trick questions.\It might be hard to get a good score just by going to class.\But I guess you can't help that if you're just playing games before the test.\An FPS is not a game!\It's not a game! It's not a game!\This is all your fault, Onii-chan!\The enemy's ridiculously strong!\They're totally going for a headshot! response:	What? They're not really that strong.
context: It might be hard to get a good score just by going to class.\But I guess you can't help that if you're just playing games before the test.\An FPS is not a game!\It's not a game! It's not a game!\This is all your fault, Onii-chan!\The enemy's ridiculously strong!\They're totally going for a headshot!\What? They're not really that strong. response:	Perhaps you're just weak.
context: But I guess you can't help that if you're just playing games before the test.\An FPS is not a game!\It's not a game! It's not a game!\This is all your fault, Onii-chan!\The enemy's ridiculously strong!\They're totally going for a headshot!\What? They're not really that strong.\Perhaps you're just weak. response:	What?!
context: An FPS is not a game!\It's not a game! It's not a game!\This is all your fault, Onii-chan!\The enemy's ridiculously strong!\They're totally going for a headshot!\What? They're not really that strong.\Perhaps you're just weak.\What?! response:	Umaru-chan...
context: It's not a game! It's not a game!\This is all your fault, Onii-chan!\The enemy's ridiculously strong!\They're totally going for a headshot!\What? They're not really that strong.\Perhaps you're just weak.\What?!\Umaru-chan... response:	I'm really not confident about this...
context: This is all your fault, Onii-chan!\The enemy's ridiculously strong!\They're totally going for a headshot!\What? They're not really that strong.\Perhaps you're just weak.\What?!\Umaru-chan...\I'm really not confident about this... response:	Ebina-chan...
context: The enemy's ridiculously strong!\They're totally going for a headshot!\What? They're not really that strong.\Perhaps you're just weak.\What?!\Umaru-chan...\I'm really not confident about this...\Ebina-chan... response:	Perhaps you're just weak.
context: They're totally going for a headshot!\What? They're not really that strong.\Perhaps you're just weak.\What?!\Umaru-chan...\I'm really not confident about this...\Ebina-chan...\Perhaps you're just weak. response:	I'm really not confident about this...
context: What? They're not really that strong.\Perhaps you're just weak.\What?!\Umaru-chan...\I'm really not confident about this...\Ebina-chan...\Perhaps you're just weak.\I'm really not confident about this... response:	You're just weak.
context: Perhaps you're just weak.\What?!\Umaru-chan...\I'm really not confident about this...\Ebina-chan...\Perhaps you're just weak.\I'm really not confident about this...\You're just weak. response:	I'm not confident about this.
context: What?!\Umaru-chan...\I'm really not confident about this...\Ebina-chan...\Perhaps you're just weak.\I'm really not confident about this...\You're just weak.\I'm not confident about this. response:	Onii-chan, help me study!
context: Umaru-chan...\I'm really not confident about this...\Ebina-chan...\Perhaps you're just weak.\I'm really not confident about this...\You're just weak.\I'm not confident about this.\Onii-chan, help me study! response:	I-I thought she was a youkai...
context: I'm really not confident about this...\Ebina-chan...\Perhaps you're just weak.\I'm really not confident about this...\You're just weak.\I'm not confident about this.\Onii-chan, help me study!\I-I thought she was a youkai... response:	Youkai Umaru Nezumi: A youkai that falls on you in the night and clings. If you give it snacks, it'll go away.
context: Ebina-chan...\Perhaps you're just weak.\I'm really not confident about this...\You're just weak.\I'm not confident about this.\Onii-chan, help me study!\I-I thought she was a youkai...\Youkai Umaru Nezumi: A youkai that falls on you in the night and clings. If you give it snacks, it'll go away. response:	Umaru
