context: Good morning! response:	Morning!
context: Good morning!\Morning! response:	I'm sorry! Are you all right!?
context: Good morning!\Morning!\I'm sorry! Are you all right!? response:	I didn't realize anyone was there!
context: Good morning!\Morning!\I'm sorry! Are you all right!?\I didn't realize anyone was there! response:	Uh... I'm fine...
context: Good morning!\Morning!\I'm sorry! Are you all right!?\I didn't realize anyone was there!\Uh... I'm fine... response:	Oh! Your hat!
context: Good morning!\Morning!\I'm sorry! Are you all right!?\I didn't realize anyone was there!\Uh... I'm fine...\Oh! Your hat! response:	What's wrong, Emma?
context: Good morning!\Morning!\I'm sorry! Are you all right!?\I didn't realize anyone was there!\Uh... I'm fine...\Oh! Your hat!\What's wrong, Emma? response:	It's been a long time, ma'am.
context: Good morning!\Morning!\I'm sorry! Are you all right!?\I didn't realize anyone was there!\Uh... I'm fine...\Oh! Your hat!\What's wrong, Emma?\It's been a long time, ma'am. response:	It really has been a long time.
context: Morning!\I'm sorry! Are you all right!?\I didn't realize anyone was there!\Uh... I'm fine...\Oh! Your hat!\What's wrong, Emma?\It's been a long time, ma'am.\It really has been a long time. response:	You've grown tall.
context: I'm sorry! Are you all right!?\I didn't realize anyone was there!\Uh... I'm fine...\Oh! Your hat!\What's wrong, Emma?\It's been a long time, ma'am.\It really has been a long time.\You've grown tall. response:	But it's strange...
context: I didn't realize anyone was there!\Uh... I'm fine...\Oh! Your hat!\What's wrong, Emma?\It's been a long time, ma'am.\It really has been a long time.\You've grown tall.\But it's strange... response:	Your face looked a bit better back then.
context: Uh... I'm fine...\Oh! Your hat!\What's wrong, Emma?\It's been a long time, ma'am.\It really has been a long time.\You've grown tall.\But it's strange...\Your face looked a bit better back then. response:	Oh, well, that's...
context: Oh! Your hat!\What's wrong, Emma?\It's been a long time, ma'am.\It really has been a long time.\You've grown tall.\But it's strange...\Your face looked a bit better back then.\Oh, well, that's... response:	Episode 1 The Gift
context: What's wrong, Emma?\It's been a long time, ma'am.\It really has been a long time.\You've grown tall.\But it's strange...\Your face looked a bit better back then.\Oh, well, that's...\Episode 1 The Gift response:	Such bad timing! That's just like you.
context: It's been a long time, ma'am.\It really has been a long time.\You've grown tall.\But it's strange...\Your face looked a bit better back then.\Oh, well, that's...\Episode 1 The Gift\Such bad timing! That's just like you. response:	I told you, didn't I Emma?
context: It really has been a long time.\You've grown tall.\But it's strange...\Your face looked a bit better back then.\Oh, well, that's...\Episode 1 The Gift\Such bad timing! That's just like you.\I told you, didn't I Emma? response:	That I used to be a governess.
context: You've grown tall.\But it's strange...\Your face looked a bit better back then.\Oh, well, that's...\Episode 1 The Gift\Such bad timing! That's just like you.\I told you, didn't I Emma?\That I used to be a governess. response:	Yes.
context: But it's strange...\Your face looked a bit better back then.\Oh, well, that's...\Episode 1 The Gift\Such bad timing! That's just like you.\I told you, didn't I Emma?\That I used to be a governess.\Yes. response:	Well this is the Young Master I cared for, William Jones.
context: Your face looked a bit better back then.\Oh, well, that's...\Episode 1 The Gift\Such bad timing! That's just like you.\I told you, didn't I Emma?\That I used to be a governess.\Yes.\Well this is the Young Master I cared for, William Jones. response:	Y-Young Master...?
context: Oh, well, that's...\Episode 1 The Gift\Such bad timing! That's just like you.\I told you, didn't I Emma?\That I used to be a governess.\Yes.\Well this is the Young Master I cared for, William Jones.\Y-Young Master...? response:	Have you stopped wetting the bed?
context: Episode 1 The Gift\Such bad timing! That's just like you.\I told you, didn't I Emma?\That I used to be a governess.\Yes.\Well this is the Young Master I cared for, William Jones.\Y-Young Master...?\Have you stopped wetting the bed? response:	Of... Of course I have. A long time ago.
