context: Thanks to you, I've awakened. response:	This time for sure, see.
context: Thanks to you, I've awakened.\This time for sure, see. response:	So now I have a favor to ask of my partner.
context: Thanks to you, I've awakened.\This time for sure, see.\So now I have a favor to ask of my partner. response:	Do you mind?
context: Thanks to you, I've awakened.\This time for sure, see.\So now I have a favor to ask of my partner.\Do you mind? response:	Let's hear it.
context: Thanks to you, I've awakened.\This time for sure, see.\So now I have a favor to ask of my partner.\Do you mind?\Let's hear it. response:	Could you buy me just a little bit of time?
context: Thanks to you, I've awakened.\This time for sure, see.\So now I have a favor to ask of my partner.\Do you mind?\Let's hear it.\Could you buy me just a little bit of time? response:	There's something I want to try out.
context: Thanks to you, I've awakened.\This time for sure, see.\So now I have a favor to ask of my partner.\Do you mind?\Let's hear it.\Could you buy me just a little bit of time?\There's something I want to try out. response:	All right. I'll see what I can do.
context: Thanks to you, I've awakened.\This time for sure, see.\So now I have a favor to ask of my partner.\Do you mind?\Let's hear it.\Could you buy me just a little bit of time?\There's something I want to try out.\All right. I'll see what I can do. response:	But...
context: This time for sure, see.\So now I have a favor to ask of my partner.\Do you mind?\Let's hear it.\Could you buy me just a little bit of time?\There's something I want to try out.\All right. I'll see what I can do.\But... response:	I can't sustain it for too long.
context: So now I have a favor to ask of my partner.\Do you mind?\Let's hear it.\Could you buy me just a little bit of time?\There's something I want to try out.\All right. I'll see what I can do.\But...\I can't sustain it for too long. response:	Well, well, Gluhen Rose, what are you doing here by yourself?
context: Do you mind?\Let's hear it.\Could you buy me just a little bit of time?\There's something I want to try out.\All right. I'll see what I can do.\But...\I can't sustain it for too long.\Well, well, Gluhen Rose, what are you doing here by yourself? response:	Never Back Down
context: Let's hear it.\Could you buy me just a little bit of time?\There's something I want to try out.\All right. I'll see what I can do.\But...\I can't sustain it for too long.\Well, well, Gluhen Rose, what are you doing here by yourself?\Never Back Down response:	Surely you're not planning to take us on alone?
context: Could you buy me just a little bit of time?\There's something I want to try out.\All right. I'll see what I can do.\But...\I can't sustain it for too long.\Well, well, Gluhen Rose, what are you doing here by yourself?\Never Back Down\Surely you're not planning to take us on alone? response:	Is that a problem?
context: There's something I want to try out.\All right. I'll see what I can do.\But...\I can't sustain it for too long.\Well, well, Gluhen Rose, what are you doing here by yourself?\Never Back Down\Surely you're not planning to take us on alone?\Is that a problem? response:	I see we're being grossly underestimated.
context: All right. I'll see what I can do.\But...\I can't sustain it for too long.\Well, well, Gluhen Rose, what are you doing here by yourself?\Never Back Down\Surely you're not planning to take us on alone?\Is that a problem?\I see we're being grossly underestimated. response:	Yes... What a sad thought, Shenyun.
context: But...\I can't sustain it for too long.\Well, well, Gluhen Rose, what are you doing here by yourself?\Never Back Down\Surely you're not planning to take us on alone?\Is that a problem?\I see we're being grossly underestimated.\Yes... What a sad thought, Shenyun. response:	If I were you, I wouldn't underestimate me too much, either!
context: I can't sustain it for too long.\Well, well, Gluhen Rose, what are you doing here by yourself?\Never Back Down\Surely you're not planning to take us on alone?\Is that a problem?\I see we're being grossly underestimated.\Yes... What a sad thought, Shenyun.\If I were you, I wouldn't underestimate me too much, either! response:	Burst into bloom, Ranunculus!
context: Well, well, Gluhen Rose, what are you doing here by yourself?\Never Back Down\Surely you're not planning to take us on alone?\Is that a problem?\I see we're being grossly underestimated.\Yes... What a sad thought, Shenyun.\If I were you, I wouldn't underestimate me too much, either!\Burst into bloom, Ranunculus! response:	I see.
context: Never Back Down\Surely you're not planning to take us on alone?\Is that a problem?\I see we're being grossly underestimated.\Yes... What a sad thought, Shenyun.\If I were you, I wouldn't underestimate me too much, either!\Burst into bloom, Ranunculus!\I see. response:	So she was after the talismans.
context: Surely you're not planning to take us on alone?\Is that a problem?\I see we're being grossly underestimated.\Yes... What a sad thought, Shenyun.\If I were you, I wouldn't underestimate me too much, either!\Burst into bloom, Ranunculus!\I see.\So she was after the talismans. response:	But are you sure about this?
context: Is that a problem?\I see we're being grossly underestimated.\Yes... What a sad thought, Shenyun.\If I were you, I wouldn't underestimate me too much, either!\Burst into bloom, Ranunculus!\I see.\So she was after the talismans.\But are you sure about this? response:	Can you protect your partner while you're focusing on that move?
context: I see we're being grossly underestimated.\Yes... What a sad thought, Shenyun.\If I were you, I wouldn't underestimate me too much, either!\Burst into bloom, Ranunculus!\I see.\So she was after the talismans.\But are you sure about this?\Can you protect your partner while you're focusing on that move? response:	I won't let you get in Ayato's way!
context: Yes... What a sad thought, Shenyun.\If I were you, I wouldn't underestimate me too much, either!\Burst into bloom, Ranunculus!\I see.\So she was after the talismans.\But are you sure about this?\Can you protect your partner while you're focusing on that move?\I won't let you get in Ayato's way! response:	All right, then what do you say to this?
context: If I were you, I wouldn't underestimate me too much, either!\Burst into bloom, Ranunculus!\I see.\So she was after the talismans.\But are you sure about this?\Can you protect your partner while you're focusing on that move?\I won't let you get in Ayato's way!\All right, then what do you say to this? response:	Go!
context: Burst into bloom, Ranunculus!\I see.\So she was after the talismans.\But are you sure about this?\Can you protect your partner while you're focusing on that move?\I won't let you get in Ayato's way!\All right, then what do you say to this?\Go! response:	So it's an illusion!
context: I see.\So she was after the talismans.\But are you sure about this?\Can you protect your partner while you're focusing on that move?\I won't let you get in Ayato's way!\All right, then what do you say to this?\Go!\So it's an illusion! response:	I see.
context: So she was after the talismans.\But are you sure about this?\Can you protect your partner while you're focusing on that move?\I won't let you get in Ayato's way!\All right, then what do you say to this?\Go!\So it's an illusion!\I see. response:	Letting the illusion go past is a wise way to endure them.
context: But are you sure about this?\Can you protect your partner while you're focusing on that move?\I won't let you get in Ayato's way!\All right, then what do you say to this?\Go!\So it's an illusion!\I see.\Letting the illusion go past is a wise way to endure them. response:	All right, then I'll take this opportunity to target your partner.
context: Can you protect your partner while you're focusing on that move?\I won't let you get in Ayato's way!\All right, then what do you say to this?\Go!\So it's an illusion!\I see.\Letting the illusion go past is a wise way to endure them.\All right, then I'll take this opportunity to target your partner. response:	Sorry...
context: I won't let you get in Ayato's way!\All right, then what do you say to this?\Go!\So it's an illusion!\I see.\Letting the illusion go past is a wise way to endure them.\All right, then I'll take this opportunity to target your partner.\Sorry... response:	Damn!
context: All right, then what do you say to this?\Go!\So it's an illusion!\I see.\Letting the illusion go past is a wise way to endure them.\All right, then I'll take this opportunity to target your partner.\Sorry...\Damn! response:	Of course it hurts.
