context: = LOGO START = response:	= LOGO END =
context: = LOGO START =\= LOGO END = response:	= OP START =
context: = LOGO START =\= LOGO END =\= OP START = response:	= MAIN START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START = response:	You should be happy you can even get paid.
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\You should be happy you can even get paid. response:	< B Part 10:03 >
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\You should be happy you can even get paid.\< B Part 10:03 > response:	= MAIN END =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\You should be happy you can even get paid.\< B Part 10:03 >\= MAIN END = response:	= ED START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\You should be happy you can even get paid.\< B Part 10:03 >\= MAIN END =\= ED START = response:	neiki yori sotto yoake ga kuru
context: = LOGO END =\= OP START =\= MAIN START =\You should be happy you can even get paid.\< B Part 10:03 >\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru response:	kimi no yume wa ima mori wo kakeru
context: = OP START =\= MAIN START =\You should be happy you can even get paid.\< B Part 10:03 >\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru response:	mezamete akari wo sagasu shigusa
context: = MAIN START =\You should be happy you can even get paid.\< B Part 10:03 >\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa response:	nakushita nara mitsuketeageyou
context: You should be happy you can even get paid.\< B Part 10:03 >\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou response:	kimi to boku no mirai ni kakureteiru
context: < B Part 10:03 >\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru response:	saa koko he te wo tsunaidara
context: = MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara response:	hodokenai yo kimi to tooku he
context: = ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he response:	haruka na hi no kioku ni saita
context: neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita response:	aoi kuni no miru story
context: kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story response:	kagayaku hitomi
context: mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi response:	sono utagoe
context: nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe response:	tsutaeyou
context: kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou response:	Dawn comes softer than a sleeping breath
context: saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath response:	Your dream runs through the forest now
context: hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now response:	You wake up and stir to find the light
context: haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light response:	If you've lost it, I'll find it for you
context: aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you response:	It's hidden in our future
context: kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future response:	Now if we joined hands
context: sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands response:	we would go far away without letting go
context: tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go response:	In the memory of a far off day
context: Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day response:	the story of the blue country bloomed
context: Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed response:	Shining eyes
context: You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes response:	Your singing voice
context: If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice response:	Let's share it
context: It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it response:	Wolf and Enticing Traveler
context: Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Enticing Traveler response:	This is amazing!
context: we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Enticing Traveler\This is amazing! response:	I could watch this all day!
context: In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Enticing Traveler\This is amazing!\I could watch this all day! response:	We ended up doing this after all, huh.
context: the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Enticing Traveler\This is amazing!\I could watch this all day!\We ended up doing this after all, huh. response:	Though from here, it doesn't look like the city's having any particular problems.
context: Shining eyes\Your singing voice\Let's share it\Wolf and Enticing Traveler\This is amazing!\I could watch this all day!\We ended up doing this after all, huh.\Though from here, it doesn't look like the city's having any particular problems. response:	Even when wolf packs are having a violent war over territory,
context: Your singing voice\Let's share it\Wolf and Enticing Traveler\This is amazing!\I could watch this all day!\We ended up doing this after all, huh.\Though from here, it doesn't look like the city's having any particular problems.\Even when wolf packs are having a violent war over territory, response:	the forest looks as calm as it always does from a distance.
context: Let's share it\Wolf and Enticing Traveler\This is amazing!\I could watch this all day!\We ended up doing this after all, huh.\Though from here, it doesn't look like the city's having any particular problems.\Even when wolf packs are having a violent war over territory,\the forest looks as calm as it always does from a distance. response:	Even you can't tell with your eyes or ears from afar?
context: Wolf and Enticing Traveler\This is amazing!\I could watch this all day!\We ended up doing this after all, huh.\Though from here, it doesn't look like the city's having any particular problems.\Even when wolf packs are having a violent war over territory,\the forest looks as calm as it always does from a distance.\Even you can't tell with your eyes or ears from afar? response:	See them over there?
context: This is amazing!\I could watch this all day!\We ended up doing this after all, huh.\Though from here, it doesn't look like the city's having any particular problems.\Even when wolf packs are having a violent war over territory,\the forest looks as calm as it always does from a distance.\Even you can't tell with your eyes or ears from afar?\See them over there? response:	The tax on the goods they're shipping is ridiculously high,
context: I could watch this all day!\We ended up doing this after all, huh.\Though from here, it doesn't look like the city's having any particular problems.\Even when wolf packs are having a violent war over territory,\the forest looks as calm as it always does from a distance.\Even you can't tell with your eyes or ears from afar?\See them over there?\The tax on the goods they're shipping is ridiculously high, response:	and they're saying they don't want to hand over the goods at the original price.
context: We ended up doing this after all, huh.\Though from here, it doesn't look like the city's having any particular problems.\Even when wolf packs are having a violent war over territory,\the forest looks as calm as it always does from a distance.\Even you can't tell with your eyes or ears from afar?\See them over there?\The tax on the goods they're shipping is ridiculously high,\and they're saying they don't want to hand over the goods at the original price. response:	Something or other about the price per head.
context: Though from here, it doesn't look like the city's having any particular problems.\Even when wolf packs are having a violent war over territory,\the forest looks as calm as it always does from a distance.\Even you can't tell with your eyes or ears from afar?\See them over there?\The tax on the goods they're shipping is ridiculously high,\and they're saying they don't want to hand over the goods at the original price.\Something or other about the price per head. response:	A hostage tax, huh?
context: Even when wolf packs are having a violent war over territory,\the forest looks as calm as it always does from a distance.\Even you can't tell with your eyes or ears from afar?\See them over there?\The tax on the goods they're shipping is ridiculously high,\and they're saying they don't want to hand over the goods at the original price.\Something or other about the price per head.\A hostage tax, huh? response:	Good cargo might as well be hostage to the owner of the river.
context: the forest looks as calm as it always does from a distance.\Even you can't tell with your eyes or ears from afar?\See them over there?\The tax on the goods they're shipping is ridiculously high,\and they're saying they don't want to hand over the goods at the original price.\Something or other about the price per head.\A hostage tax, huh?\Good cargo might as well be hostage to the owner of the river. response:	The town is in heavy dispute because of the Northern expedition being canceled.
context: Even you can't tell with your eyes or ears from afar?\See them over there?\The tax on the goods they're shipping is ridiculously high,\and they're saying they don't want to hand over the goods at the original price.\Something or other about the price per head.\A hostage tax, huh?\Good cargo might as well be hostage to the owner of the river.\The town is in heavy dispute because of the Northern expedition being canceled. response:	You should be happy you can even get paid.
