context: Help me. response:	Somebody, help me.
context: Help me.\Somebody, help me. response:	Ima inochi ga hora kizashite chitte yuku
context: Help me.\Somebody, help me.\Ima inochi ga hora kizashite chitte yuku response:	Nigirishimeta unmei
context: Help me.\Somebody, help me.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei response:	Mou mayou koto wa nai
context: Help me.\Somebody, help me.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai response:	Musubiau kizuna
context: Help me.\Somebody, help me.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna response:	Akatsuki matsu sora ni
context: Help me.\Somebody, help me.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni response:	Aishi kimi dakishimete
context: Help me.\Somebody, help me.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete response:	Orenai inori wo
context: Somebody, help me.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo response:	Mada dare mo yoru no naka
context: Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka response:	Ima wa tada
context: Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada response:	Kokoro no oku ni sawatte
context: Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte response:	Afureru atsusa subete sasagetai
context: Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai response:	Yume miru ashita e
context: Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e response:	Hirogeru tsubasa wa
context: Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa response:	Ano hi no kimi ga kureta
context: Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta response:	Omoi wa kizamareta
context: Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta response:	Chikai no kotoba ga
context: Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga response:	Kiseki wo okosu yo
context: Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo response:	Takanaru mune habatake
context: Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake response:	Tobitateru negai haruka tataku
context: Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku response:	Feather 2: The Door to the New Residence
context: Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 2: The Door to the New Residence response:	Feather 2: The Door to the New Residence The rain's suddenly stopped, and the clouds look like they've been wrenched apart.
context: Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 2: The Door to the New Residence\Feather 2: The Door to the New Residence The rain's suddenly stopped, and the clouds look like they've been wrenched apart. response:	The rain's suddenly stopped, and the clouds look like they've been wrenched apart.
context: Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 2: The Door to the New Residence\Feather 2: The Door to the New Residence The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\The rain's suddenly stopped, and the clouds look like they've been wrenched apart. response:	This became lovely moon-viewing sake.
context: Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 2: The Door to the New Residence\Feather 2: The Door to the New Residence The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\This became lovely moon-viewing sake. response:	I wonder whose work that was.
context: Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 2: The Door to the New Residence\Feather 2: The Door to the New Residence The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\This became lovely moon-viewing sake.\I wonder whose work that was. response:	Musubi-chan.
context: Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 2: The Door to the New Residence\Feather 2: The Door to the New Residence The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\This became lovely moon-viewing sake.\I wonder whose work that was.\Musubi-chan. response:	Uh... um...
context: Tobitateru negai haruka tataku\Feather 2: The Door to the New Residence\Feather 2: The Door to the New Residence The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\This became lovely moon-viewing sake.\I wonder whose work that was.\Musubi-chan.\Uh... um... response:	W-What?
context: Feather 2: The Door to the New Residence\Feather 2: The Door to the New Residence The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\This became lovely moon-viewing sake.\I wonder whose work that was.\Musubi-chan.\Uh... um...\W-What? response:	I'm sorry, but I didn't think about how we'd land.
context: Feather 2: The Door to the New Residence The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\This became lovely moon-viewing sake.\I wonder whose work that was.\Musubi-chan.\Uh... um...\W-What?\I'm sorry, but I didn't think about how we'd land. response:	Ouch!
context: The rain's suddenly stopped, and the clouds look like they've been wrenched apart.\This became lovely moon-viewing sake.\I wonder whose work that was.\Musubi-chan.\Uh... um...\W-What?\I'm sorry, but I didn't think about how we'd land.\Ouch! response:	Huh!
context: This became lovely moon-viewing sake.\I wonder whose work that was.\Musubi-chan.\Uh... um...\W-What?\I'm sorry, but I didn't think about how we'd land.\Ouch!\Huh! response:	Are you all right, Musubi-chan?
context: I wonder whose work that was.\Musubi-chan.\Uh... um...\W-What?\I'm sorry, but I didn't think about how we'd land.\Ouch!\Huh!\Are you all right, Musubi-chan? response:	Yes, I'm sorry.
context: Musubi-chan.\Uh... um...\W-What?\I'm sorry, but I didn't think about how we'd land.\Ouch!\Huh!\Are you all right, Musubi-chan?\Yes, I'm sorry. response:	Um...
