context: Shiratorizawa response:	I haven't doubted once that we would win.
context: Shiratorizawa\I haven't doubted once that we would win. response:	But right now,
context: Shiratorizawa\I haven't doubted once that we would win.\But right now, response:	I am completely sure
context: Shiratorizawa\I haven't doubted once that we would win.\But right now,\I am completely sure response:	that I want to crush you.
context: Shiratorizawa\I haven't doubted once that we would win.\But right now,\I am completely sure\that I want to crush you. response:	All right!
context: Shiratorizawa\I haven't doubted once that we would win.\But right now,\I am completely sure\that I want to crush you.\All right! response:	Shiratorizawa Karasuno
context: Shiratorizawa\I haven't doubted once that we would win.\But right now,\I am completely sure\that I want to crush you.\All right!\Shiratorizawa Karasuno response:	One more point! One more point!
context: Shiratorizawa\I haven't doubted once that we would win.\But right now,\I am completely sure\that I want to crush you.\All right!\Shiratorizawa Karasuno\One more point! One more point! response:	One more point!
context: I haven't doubted once that we would win.\But right now,\I am completely sure\that I want to crush you.\All right!\Shiratorizawa Karasuno\One more point! One more point!\One more point! response:	Haikyu!!
context: But right now,\I am completely sure\that I want to crush you.\All right!\Shiratorizawa Karasuno\One more point! One more point!\One more point!\Haikyu!! response:	Karasuno High School vs Shiratorizawa Academy
context: I am completely sure\that I want to crush you.\All right!\Shiratorizawa Karasuno\One more point! One more point!\One more point!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy response:	Episode 09: The Volleyball Idiots
context: that I want to crush you.\All right!\Shiratorizawa Karasuno\One more point! One more point!\One more point!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 09: The Volleyball Idiots response:	Go! One more!
context: All right!\Shiratorizawa Karasuno\One more point! One more point!\One more point!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 09: The Volleyball Idiots\Go! One more! response:	Ugh, it hurts.
context: Shiratorizawa Karasuno\One more point! One more point!\One more point!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 09: The Volleyball Idiots\Go! One more!\Ugh, it hurts. response:	This seriously sucks.
context: One more point! One more point!\One more point!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 09: The Volleyball Idiots\Go! One more!\Ugh, it hurts.\This seriously sucks. response:	Don't come in feeling like a decoy.
context: One more point!\Haikyu!!\Karasuno High School vs Shiratorizawa Academy\Episode 09: The Volleyball Idiots\Go! One more!\Ugh, it hurts.\This seriously sucks.\Don't come in feeling like a decoy. response:	Stop, then jump up.
