context: <I'm better at flying than running!!> response:	<Sketch of Petya>
context: <I'm better at flying than running!!>\<Sketch of Petya> response:	Distance: 250 m.
context: <I'm better at flying than running!!>\<Sketch of Petya>\Distance: 250 m. response:	Wind speed: 1.5.
context: <I'm better at flying than running!!>\<Sketch of Petya>\Distance: 250 m.\Wind speed: 1.5. response:	Blowing from the right to the left.
context: <I'm better at flying than running!!>\<Sketch of Petya>\Distance: 250 m.\Wind speed: 1.5.\Blowing from the right to the left. response:	Don't stop your breathing.
context: <I'm better at flying than running!!>\<Sketch of Petya>\Distance: 250 m.\Wind speed: 1.5.\Blowing from the right to the left.\Don't stop your breathing. response:	Slowly... Quietly...
context: <I'm better at flying than running!!>\<Sketch of Petya>\Distance: 250 m.\Wind speed: 1.5.\Blowing from the right to the left.\Don't stop your breathing.\Slowly... Quietly... response:	Shoot.
context: <I'm better at flying than running!!>\<Sketch of Petya>\Distance: 250 m.\Wind speed: 1.5.\Blowing from the right to the left.\Don't stop your breathing.\Slowly... Quietly...\Shoot. response:	Shoot!
context: <Sketch of Petya>\Distance: 250 m.\Wind speed: 1.5.\Blowing from the right to the left.\Don't stop your breathing.\Slowly... Quietly...\Shoot.\Shoot! response:	With the passage of time, feeble humanity has evolved.
context: Distance: 250 m.\Wind speed: 1.5.\Blowing from the right to the left.\Don't stop your breathing.\Slowly... Quietly...\Shoot.\Shoot!\With the passage of time, feeble humanity has evolved. response:	We traded our fangs for wisdom, and claws for tools in order to live longer.
context: Wind speed: 1.5.\Blowing from the right to the left.\Don't stop your breathing.\Slowly... Quietly...\Shoot.\Shoot!\With the passage of time, feeble humanity has evolved.\We traded our fangs for wisdom, and claws for tools in order to live longer. response:	Papa...
context: Blowing from the right to the left.\Don't stop your breathing.\Slowly... Quietly...\Shoot.\Shoot!\With the passage of time, feeble humanity has evolved.\We traded our fangs for wisdom, and claws for tools in order to live longer.\Papa... response:	We will be tested soon.
context: Don't stop your breathing.\Slowly... Quietly...\Shoot.\Shoot!\With the passage of time, feeble humanity has evolved.\We traded our fangs for wisdom, and claws for tools in order to live longer.\Papa...\We will be tested soon. response:	When that time comes, you can't hesitate to pull the trigger.
context: Slowly... Quietly...\Shoot.\Shoot!\With the passage of time, feeble humanity has evolved.\We traded our fangs for wisdom, and claws for tools in order to live longer.\Papa...\We will be tested soon.\When that time comes, you can't hesitate to pull the trigger. response:	That's okay!
context: Shoot.\Shoot!\With the passage of time, feeble humanity has evolved.\We traded our fangs for wisdom, and claws for tools in order to live longer.\Papa...\We will be tested soon.\When that time comes, you can't hesitate to pull the trigger.\That's okay! response:	I'll protect Suou.
context: Shoot!\With the passage of time, feeble humanity has evolved.\We traded our fangs for wisdom, and claws for tools in order to live longer.\Papa...\We will be tested soon.\When that time comes, you can't hesitate to pull the trigger.\That's okay!\I'll protect Suou. response:	Shion.
context: With the passage of time, feeble humanity has evolved.\We traded our fangs for wisdom, and claws for tools in order to live longer.\Papa...\We will be tested soon.\When that time comes, you can't hesitate to pull the trigger.\That's okay!\I'll protect Suou.\Shion. response:	That was the last time I saw his real smile.
context: We traded our fangs for wisdom, and claws for tools in order to live longer.\Papa...\We will be tested soon.\When that time comes, you can't hesitate to pull the trigger.\That's okay!\I'll protect Suou.\Shion.\That was the last time I saw his real smile. response:	On the night of the Tokyo Explosion...
context: Papa...\We will be tested soon.\When that time comes, you can't hesitate to pull the trigger.\That's okay!\I'll protect Suou.\Shion.\That was the last time I saw his real smile.\On the night of the Tokyo Explosion... response:	Shion became a contractor
context: We will be tested soon.\When that time comes, you can't hesitate to pull the trigger.\That's okay!\I'll protect Suou.\Shion.\That was the last time I saw his real smile.\On the night of the Tokyo Explosion...\Shion became a contractor response:	and as remuneration, his legs were paralyzed.
context: When that time comes, you can't hesitate to pull the trigger.\That's okay!\I'll protect Suou.\Shion.\That was the last time I saw his real smile.\On the night of the Tokyo Explosion...\Shion became a contractor\and as remuneration, his legs were paralyzed. response:	That's why I swore that I will protect him.
context: That's okay!\I'll protect Suou.\Shion.\That was the last time I saw his real smile.\On the night of the Tokyo Explosion...\Shion became a contractor\and as remuneration, his legs were paralyzed.\That's why I swore that I will protect him. response:	If this is a test, I'll pass it with flying colors.
context: I'll protect Suou.\Shion.\That was the last time I saw his real smile.\On the night of the Tokyo Explosion...\Shion became a contractor\and as remuneration, his legs were paralyzed.\That's why I swore that I will protect him.\If this is a test, I'll pass it with flying colors. response:	I am his older sister after all.
context: Shion.\That was the last time I saw his real smile.\On the night of the Tokyo Explosion...\Shion became a contractor\and as remuneration, his legs were paralyzed.\That's why I swore that I will protect him.\If this is a test, I'll pass it with flying colors.\I am his older sister after all. response:	But...
context: That was the last time I saw his real smile.\On the night of the Tokyo Explosion...\Shion became a contractor\and as remuneration, his legs were paralyzed.\That's why I swore that I will protect him.\If this is a test, I'll pass it with flying colors.\I am his older sister after all.\But... response:	I didn't realize...
context: On the night of the Tokyo Explosion...\Shion became a contractor\and as remuneration, his legs were paralyzed.\That's why I swore that I will protect him.\If this is a test, I'll pass it with flying colors.\I am his older sister after all.\But...\I didn't realize... response:	the true test had only just begun.
context: Shion became a contractor\and as remuneration, his legs were paralyzed.\That's why I swore that I will protect him.\If this is a test, I'll pass it with flying colors.\I am his older sister after all.\But...\I didn't realize...\the true test had only just begun. response:	Tsukiakari no michishirube
context: and as remuneration, his legs were paralyzed.\That's why I swore that I will protect him.\If this is a test, I'll pass it with flying colors.\I am his older sister after all.\But...\I didn't realize...\the true test had only just begun.\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: That's why I swore that I will protect him.\If this is a test, I'll pass it with flying colors.\I am his older sister after all.\But...\I didn't realize...\the true test had only just begun.\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: If this is a test, I'll pass it with flying colors.\I am his older sister after all.\But...\I didn't realize...\the true test had only just begun.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: I am his older sister after all.\But...\I didn't realize...\the true test had only just begun.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: But...\I didn't realize...\the true test had only just begun.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: I didn't realize...\the true test had only just begun.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: the true test had only just begun.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Nee dareka oshiete
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete response:	Hey, someone, tell me
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me response:	Minna sou na no kana?
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana? response:	Is everyone like that?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that? response:	Kyou ga shiawase nara
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara response:	That they'feel it's good enough
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough response:	Sore de ii to omoeru tte
context: No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte response:	if they're if happy today'
context: Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today' response:	Osanai koro ni wa
context: Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa response:	When I was young
context: Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young response:	Tashika ni atta yo
context: Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo response:	They certainly existed
context: Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed response:	Yume o oikaketeta
context: That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta response:	I pursued my dreams
context: Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams response:	Demo sore mo tooi kioku
context: if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku response:	But that's also a distant memory
context: Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory response:	Kotae no nai mainichi ga
context: When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga response:	The each unanswered day-
context: Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day- response:	Tada sugite iku jikan ga
context: They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga response:	The time that is simply passing by-
context: Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by- response:	Kore kara saki dou naru no darou?
context: I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou? response:	What will happen beyond now?
context: Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now? response:	Wakaranai...
context: But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai... response:	They don't know...
context: Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know... response:	Tsukiakari no michishirube
context: The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube response:	The moonlight's guiding sign
