context: Beyond the seas of Kamogawa response:	Beyond the seas of Kamogawa
context: Beyond the seas of Kamogawa\Beyond the seas of Kamogawa response:	Get y our act to geth er, Madoka!
context: Beyond the seas of Kamogawa\Beyond the seas of Kamogawa\Get y our act to geth er, Madoka! response:	Another day in Kamogawa
context: Beyond the seas of Kamogawa\Beyond the seas of Kamogawa\Get y our act to geth er, Madoka!\Another day in Kamogawa response:	Another day in Kamogawa
context: Beyond the seas of Kamogawa\Beyond the seas of Kamogawa\Get y our act to geth er, Madoka!\Another day in Kamogawa\Another day in Kamogawa response:	No, don't...
context: Beyond the seas of Kamogawa\Beyond the seas of Kamogawa\Get y our act to geth er, Madoka!\Another day in Kamogawa\Another day in Kamogawa\No, don't... response:	Lan, Muginami...
context: Beyond the seas of Kamogawa\Beyond the seas of Kamogawa\Get y our act to geth er, Madoka!\Another day in Kamogawa\Another day in Kamogawa\No, don't...\Lan, Muginami... response:	I can't...
context: Beyond the seas of Kamogawa\Beyond the seas of Kamogawa\Get y our act to geth er, Madoka!\Another day in Kamogawa\Another day in Kamogawa\No, don't...\Lan, Muginami...\I can't... response:	This is already my seventh bowl.
context: Beyond the seas of Kamogawa\Get y our act to geth er, Madoka!\Another day in Kamogawa\Another day in Kamogawa\No, don't...\Lan, Muginami...\I can't...\This is already my seventh bowl. response:	It's a new record for me.
context: Get y our act to geth er, Madoka!\Another day in Kamogawa\Another day in Kamogawa\No, don't...\Lan, Muginami...\I can't...\This is already my seventh bowl.\It's a new record for me. response:	Huh?!
context: Another day in Kamogawa\Another day in Kamogawa\No, don't...\Lan, Muginami...\I can't...\This is already my seventh bowl.\It's a new record for me.\Huh?! response:	My Oraga Bowl?
context: Another day in Kamogawa\No, don't...\Lan, Muginami...\I can't...\This is already my seventh bowl.\It's a new record for me.\Huh?!\My Oraga Bowl? response:	Huh?
context: No, don't...\Lan, Muginami...\I can't...\This is already my seventh bowl.\It's a new record for me.\Huh?!\My Oraga Bowl?\Huh? response:	Let's see...
context: Lan, Muginami...\I can't...\This is already my seventh bowl.\It's a new record for me.\Huh?!\My Oraga Bowl?\Huh?\Let's see... response:	Where'd you go?!
context: I can't...\This is already my seventh bowl.\It's a new record for me.\Huh?!\My Oraga Bowl?\Huh?\Let's see...\Where'd you go?! response:	Stop hiding and come out, Lan's brother!
context: This is already my seventh bowl.\It's a new record for me.\Huh?!\My Oraga Bowl?\Huh?\Let's see...\Where'd you go?!\Stop hiding and come out, Lan's brother! response:	I still have a ton of things to say to you!
context: It's a new record for me.\Huh?!\My Oraga Bowl?\Huh?\Let's see...\Where'd you go?!\Stop hiding and come out, Lan's brother!\I still have a ton of things to say to you! response:	Where the hell...
context: Huh?!\My Oraga Bowl?\Huh?\Let's see...\Where'd you go?!\Stop hiding and come out, Lan's brother!\I still have a ton of things to say to you!\Where the hell... response:	am I?
context: My Oraga Bowl?\Huh?\Let's see...\Where'd you go?!\Stop hiding and come out, Lan's brother!\I still have a ton of things to say to you!\Where the hell...\am I? response:	Hey! Lan! Muginami!
context: Huh?\Let's see...\Where'd you go?!\Stop hiding and come out, Lan's brother!\I still have a ton of things to say to you!\Where the hell...\am I?\Hey! Lan! Muginami! response:	Huh?!
context: Let's see...\Where'd you go?!\Stop hiding and come out, Lan's brother!\I still have a ton of things to say to you!\Where the hell...\am I?\Hey! Lan! Muginami!\Huh?! response:	Back then we tried to fly with propellers that couldn't do it
context: Where'd you go?!\Stop hiding and come out, Lan's brother!\I still have a ton of things to say to you!\Where the hell...\am I?\Hey! Lan! Muginami!\Huh?!\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Stop hiding and come out, Lan's brother!\I still have a ton of things to say to you!\Where the hell...\am I?\Hey! Lan! Muginami!\Huh?!\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: I still have a ton of things to say to you!\Where the hell...\am I?\Hey! Lan! Muginami!\Huh?!\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Where the hell...\am I?\Hey! Lan! Muginami!\Huh?!\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: am I?\Hey! Lan! Muginami!\Huh?!\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Hey! Lan! Muginami!\Huh?!\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Huh?!\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
