context: What's with that face, Shihoko? response:	This isn't like you.
context: What's with that face, Shihoko?\This isn't like you. response:	Hey, what's wrong?
context: What's with that face, Shihoko?\This isn't like you.\Hey, what's wrong? response:	Damn.
context: What's with that face, Shihoko?\This isn't like you.\Hey, what's wrong?\Damn. response:	Kuno-san?
context: What's with that face, Shihoko?\This isn't like you.\Hey, what's wrong?\Damn.\Kuno-san? response:	What are they going to do about that?
context: What's with that face, Shihoko?\This isn't like you.\Hey, what's wrong?\Damn.\Kuno-san?\What are they going to do about that? response:	What do you mean? They're going to build a wall, that's all.
context: What's with that face, Shihoko?\This isn't like you.\Hey, what's wrong?\Damn.\Kuno-san?\What are they going to do about that?\What do you mean? They're going to build a wall, that's all. response:	Tokyo is crowded as it is. They're just making life more difficult.
context: What's with that face, Shihoko?\This isn't like you.\Hey, what's wrong?\Damn.\Kuno-san?\What are they going to do about that?\What do you mean? They're going to build a wall, that's all.\Tokyo is crowded as it is. They're just making life more difficult. response:	Whatever we did, we blew it.
context: This isn't like you.\Hey, what's wrong?\Damn.\Kuno-san?\What are they going to do about that?\What do you mean? They're going to build a wall, that's all.\Tokyo is crowded as it is. They're just making life more difficult.\Whatever we did, we blew it. response:	They ditched this place before we were ready to raid it.
context: Hey, what's wrong?\Damn.\Kuno-san?\What are they going to do about that?\What do you mean? They're going to build a wall, that's all.\Tokyo is crowded as it is. They're just making life more difficult.\Whatever we did, we blew it.\They ditched this place before we were ready to raid it. response:	What do you think about the rumor saying they were affiliated with the terrorists in South America?
context: Damn.\Kuno-san?\What are they going to do about that?\What do you mean? They're going to build a wall, that's all.\Tokyo is crowded as it is. They're just making life more difficult.\Whatever we did, we blew it.\They ditched this place before we were ready to raid it.\What do you think about the rumor saying they were affiliated with the terrorists in South America? response:	Who knows? That's the reason we came here in the first place.
context: Kuno-san?\What are they going to do about that?\What do you mean? They're going to build a wall, that's all.\Tokyo is crowded as it is. They're just making life more difficult.\Whatever we did, we blew it.\They ditched this place before we were ready to raid it.\What do you think about the rumor saying they were affiliated with the terrorists in South America?\Who knows? That's the reason we came here in the first place. response:	What is that?
