context: What is this? response:	How are we going to clean this up?
context: What is this?\How are we going to clean this up? response:	Achoo!
context: What is this?\How are we going to clean this up?\Achoo! response:	The Unfaithful Dog
context: What is this?\How are we going to clean this up?\Achoo!\The Unfaithful Dog response:	Yesterday...
context: What is this?\How are we going to clean this up?\Achoo!\The Unfaithful Dog\Yesterday... response:	Thank you for welcoming me,
context: What is this?\How are we going to clean this up?\Achoo!\The Unfaithful Dog\Yesterday...\Thank you for welcoming me, response:	my human toilets!
context: What is this?\How are we going to clean this up?\Achoo!\The Unfaithful Dog\Yesterday...\Thank you for welcoming me,\my human toilets! response:	Kage!
context: What is this?\How are we going to clean this up?\Achoo!\The Unfaithful Dog\Yesterday...\Thank you for welcoming me,\my human toilets!\Kage! response:	It's been forever!
context: How are we going to clean this up?\Achoo!\The Unfaithful Dog\Yesterday...\Thank you for welcoming me,\my human toilets!\Kage!\It's been forever! response:	Hey, it's Ririchiyo's fiance.
context: Achoo!\The Unfaithful Dog\Yesterday...\Thank you for welcoming me,\my human toilets!\Kage!\It's been forever!\Hey, it's Ririchiyo's fiance. response:	No, it isn't!
context: The Unfaithful Dog\Yesterday...\Thank you for welcoming me,\my human toilets!\Kage!\It's been forever!\Hey, it's Ririchiyo's fiance.\No, it isn't! response:	You came back soon this time!
context: Yesterday...\Thank you for welcoming me,\my human toilets!\Kage!\It's been forever!\Hey, it's Ririchiyo's fiance.\No, it isn't!\You came back soon this time! response:	Where did you go?
context: Thank you for welcoming me,\my human toilets!\Kage!\It's been forever!\Hey, it's Ririchiyo's fiance.\No, it isn't!\You came back soon this time!\Where did you go? response:	Hokkaido (M)
context: my human toilets!\Kage!\It's been forever!\Hey, it's Ririchiyo's fiance.\No, it isn't!\You came back soon this time!\Where did you go?\Hokkaido (M) response:	I was in Hokkaido!
context: Kage!\It's been forever!\Hey, it's Ririchiyo's fiance.\No, it isn't!\You came back soon this time!\Where did you go?\Hokkaido (M)\I was in Hokkaido! response:	And I brought gifts.
context: It's been forever!\Hey, it's Ririchiyo's fiance.\No, it isn't!\You came back soon this time!\Where did you go?\Hokkaido (M)\I was in Hokkaido!\And I brought gifts. response:	You get a dog collar!
context: Hey, it's Ririchiyo's fiance.\No, it isn't!\You came back soon this time!\Where did you go?\Hokkaido (M)\I was in Hokkaido!\And I brought gifts.\You get a dog collar! response:	And you, a candle!
context: No, it isn't!\You came back soon this time!\Where did you go?\Hokkaido (M)\I was in Hokkaido!\And I brought gifts.\You get a dog collar!\And you, a candle! response:	You get a whip!
context: You came back soon this time!\Where did you go?\Hokkaido (M)\I was in Hokkaido!\And I brought gifts.\You get a dog collar!\And you, a candle!\You get a whip! response:	Why do I always get a whip?
context: Where did you go?\Hokkaido (M)\I was in Hokkaido!\And I brought gifts.\You get a dog collar!\And you, a candle!\You get a whip!\Why do I always get a whip? response:	Shikoku (S)
context: Hokkaido (M)\I was in Hokkaido!\And I brought gifts.\You get a dog collar!\And you, a candle!\You get a whip!\Why do I always get a whip?\Shikoku (S) response:	I went to Shikoku, too!
context: I was in Hokkaido!\And I brought gifts.\You get a dog collar!\And you, a candle!\You get a whip!\Why do I always get a whip?\Shikoku (S)\I went to Shikoku, too! response:	Handcuffs!
context: And I brought gifts.\You get a dog collar!\And you, a candle!\You get a whip!\Why do I always get a whip?\Shikoku (S)\I went to Shikoku, too!\Handcuffs! response:	Manacles!
context: You get a dog collar!\And you, a candle!\You get a whip!\Why do I always get a whip?\Shikoku (S)\I went to Shikoku, too!\Handcuffs!\Manacles! response:	You get a whip!
context: And you, a candle!\You get a whip!\Why do I always get a whip?\Shikoku (S)\I went to Shikoku, too!\Handcuffs!\Manacles!\You get a whip! response:	Why do I always get a whip?
context: You get a whip!\Why do I always get a whip?\Shikoku (S)\I went to Shikoku, too!\Handcuffs!\Manacles!\You get a whip!\Why do I always get a whip? response:	I'm sorry.
context: Why do I always get a whip?\Shikoku (S)\I went to Shikoku, too!\Handcuffs!\Manacles!\You get a whip!\Why do I always get a whip?\I'm sorry. response:	But Miketsukami and I have an engagement,
context: Shikoku (S)\I went to Shikoku, too!\Handcuffs!\Manacles!\You get a whip!\Why do I always get a whip?\I'm sorry.\But Miketsukami and I have an engagement, response:	so if you'll excuse us.
context: I went to Shikoku, too!\Handcuffs!\Manacles!\You get a whip!\Why do I always get a whip?\I'm sorry.\But Miketsukami and I have an engagement,\so if you'll excuse us. response:	Let's go.
context: Handcuffs!\Manacles!\You get a whip!\Why do I always get a whip?\I'm sorry.\But Miketsukami and I have an engagement,\so if you'll excuse us.\Let's go. response:	Yes.
context: Manacles!\You get a whip!\Why do I always get a whip?\I'm sorry.\But Miketsukami and I have an engagement,\so if you'll excuse us.\Let's go.\Yes. response:	Rejoice!
context: You get a whip!\Why do I always get a whip?\I'm sorry.\But Miketsukami and I have an engagement,\so if you'll excuse us.\Let's go.\Yes.\Rejoice! response:	For I have bought you a gift as well, sow.
context: Why do I always get a whip?\I'm sorry.\But Miketsukami and I have an engagement,\so if you'll excuse us.\Let's go.\Yes.\Rejoice!\For I have bought you a gift as well, sow. response:	I'm fairly certain that last time, I told you I'd freeze you
context: I'm sorry.\But Miketsukami and I have an engagement,\so if you'll excuse us.\Let's go.\Yes.\Rejoice!\For I have bought you a gift as well, sow.\I'm fairly certain that last time, I told you I'd freeze you response:	if you ever came near me.
context: But Miketsukami and I have an engagement,\so if you'll excuse us.\Let's go.\Yes.\Rejoice!\For I have bought you a gift as well, sow.\I'm fairly certain that last time, I told you I'd freeze you\if you ever came near me. response:	More ice fetish play, I see?
context: so if you'll excuse us.\Let's go.\Yes.\Rejoice!\For I have bought you a gift as well, sow.\I'm fairly certain that last time, I told you I'd freeze you\if you ever came near me.\More ice fetish play, I see? response:	I like it.
context: Let's go.\Yes.\Rejoice!\For I have bought you a gift as well, sow.\I'm fairly certain that last time, I told you I'd freeze you\if you ever came near me.\More ice fetish play, I see?\I like it. response:	She's dangerous...
context: Yes.\Rejoice!\For I have bought you a gift as well, sow.\I'm fairly certain that last time, I told you I'd freeze you\if you ever came near me.\More ice fetish play, I see?\I like it.\She's dangerous... response:	Roromiya!
