context: Operation: Infiltrate a Planetoid Base response:	They're fast! I can't process their data quick enough!
context: Operation: Infiltrate a Planetoid Base\They're fast! I can't process their data quick enough! response:	My unit feels heavy!
context: Operation: Infiltrate a Planetoid Base\They're fast! I can't process their data quick enough!\My unit feels heavy! response:	Did it get fat?! Did it?!
context: Operation: Infiltrate a Planetoid Base\They're fast! I can't process their data quick enough!\My unit feels heavy!\Did it get fat?! Did it?! response:	There is gravity since we're on Earth!
context: Operation: Infiltrate a Planetoid Base\They're fast! I can't process their data quick enough!\My unit feels heavy!\Did it get fat?! Did it?!\There is gravity since we're on Earth! response:	Crap! I can't keep up with them!
context: Operation: Infiltrate a Planetoid Base\They're fast! I can't process their data quick enough!\My unit feels heavy!\Did it get fat?! Did it?!\There is gravity since we're on Earth!\Crap! I can't keep up with them! response:	Guys, get your acts together!
context: Operation: Infiltrate a Planetoid Base\They're fast! I can't process their data quick enough!\My unit feels heavy!\Did it get fat?! Did it?!\There is gravity since we're on Earth!\Crap! I can't keep up with them!\Guys, get your acts together! response:	Your controls will go bonkers if you panic!
context: Operation: Infiltrate a Planetoid Base\They're fast! I can't process their data quick enough!\My unit feels heavy!\Did it get fat?! Did it?!\There is gravity since we're on Earth!\Crap! I can't keep up with them!\Guys, get your acts together!\Your controls will go bonkers if you panic! response:	Right back at you!
context: They're fast! I can't process their data quick enough!\My unit feels heavy!\Did it get fat?! Did it?!\There is gravity since we're on Earth!\Crap! I can't keep up with them!\Guys, get your acts together!\Your controls will go bonkers if you panic!\Right back at you! response:	Isn't that Team Rabbits?
context: My unit feels heavy!\Did it get fat?! Did it?!\There is gravity since we're on Earth!\Crap! I can't keep up with them!\Guys, get your acts together!\Your controls will go bonkers if you panic!\Right back at you!\Isn't that Team Rabbits? response:	Supposedly their AHSMB units are under repair.
context: Did it get fat?! Did it?!\There is gravity since we're on Earth!\Crap! I can't keep up with them!\Guys, get your acts together!\Your controls will go bonkers if you panic!\Right back at you!\Isn't that Team Rabbits?\Supposedly their AHSMB units are under repair. response:	Since they're still considered students, they're getting a supplementary lesson.
context: There is gravity since we're on Earth!\Crap! I can't keep up with them!\Guys, get your acts together!\Your controls will go bonkers if you panic!\Right back at you!\Isn't that Team Rabbits?\Supposedly their AHSMB units are under repair.\Since they're still considered students, they're getting a supplementary lesson. response:	Is it just me, or do they suck even worse now?
context: Crap! I can't keep up with them!\Guys, get your acts together!\Your controls will go bonkers if you panic!\Right back at you!\Isn't that Team Rabbits?\Supposedly their AHSMB units are under repair.\Since they're still considered students, they're getting a supplementary lesson.\Is it just me, or do they suck even worse now? response:	Who're the other three?
context: Guys, get your acts together!\Your controls will go bonkers if you panic!\Right back at you!\Isn't that Team Rabbits?\Supposedly their AHSMB units are under repair.\Since they're still considered students, they're getting a supplementary lesson.\Is it just me, or do they suck even worse now?\Who're the other three? response:	Probably teachers.
context: Your controls will go bonkers if you panic!\Right back at you!\Isn't that Team Rabbits?\Supposedly their AHSMB units are under repair.\Since they're still considered students, they're getting a supplementary lesson.\Is it just me, or do they suck even worse now?\Who're the other three?\Probably teachers. response:	Students can't pull off moves like those.
context: Right back at you!\Isn't that Team Rabbits?\Supposedly their AHSMB units are under repair.\Since they're still considered students, they're getting a supplementary lesson.\Is it just me, or do they suck even worse now?\Who're the other three?\Probably teachers.\Students can't pull off moves like those. response:	I've gotta do something!
context: Isn't that Team Rabbits?\Supposedly their AHSMB units are under repair.\Since they're still considered students, they're getting a supplementary lesson.\Is it just me, or do they suck even worse now?\Who're the other three?\Probably teachers.\Students can't pull off moves like those.\I've gotta do something! response:	Now that it's come to this...!
context: Supposedly their AHSMB units are under repair.\Since they're still considered students, they're getting a supplementary lesson.\Is it just me, or do they suck even worse now?\Who're the other three?\Probably teachers.\Students can't pull off moves like those.\I've gotta do something!\Now that it's come to this...! response:	Shining Miracle Turn Smash!
context: Since they're still considered students, they're getting a supplementary lesson.\Is it just me, or do they suck even worse now?\Who're the other three?\Probably teachers.\Students can't pull off moves like those.\I've gotta do something!\Now that it's come to this...!\Shining Miracle Turn Smash! response:	What gives?
context: Is it just me, or do they suck even worse now?\Who're the other three?\Probably teachers.\Students can't pull off moves like those.\I've gotta do something!\Now that it's come to this...!\Shining Miracle Turn Smash!\What gives? response:	What the hell was that?
context: Who're the other three?\Probably teachers.\Students can't pull off moves like those.\I've gotta do something!\Now that it's come to this...!\Shining Miracle Turn Smash!\What gives?\What the hell was that? response:	And here I put my faith in you!
context: Probably teachers.\Students can't pull off moves like those.\I've gotta do something!\Now that it's come to this...!\Shining Miracle Turn Smash!\What gives?\What the hell was that?\And here I put my faith in you! response:	Fine! I'll charge ahead!
context: Students can't pull off moves like those.\I've gotta do something!\Now that it's come to this...!\Shining Miracle Turn Smash!\What gives?\What the hell was that?\And here I put my faith in you!\Fine! I'll charge ahead! response:	Whoo boy...
context: I've gotta do something!\Now that it's come to this...!\Shining Miracle Turn Smash!\What gives?\What the hell was that?\And here I put my faith in you!\Fine! I'll charge ahead!\Whoo boy... response:	Their formation is a mess...
context: Now that it's come to this...!\Shining Miracle Turn Smash!\What gives?\What the hell was that?\And here I put my faith in you!\Fine! I'll charge ahead!\Whoo boy...\Their formation is a mess... response:	What the heck was that Miracle-whatever?
context: Shining Miracle Turn Smash!\What gives?\What the hell was that?\And here I put my faith in you!\Fine! I'll charge ahead!\Whoo boy...\Their formation is a mess...\What the heck was that Miracle-whatever? response:	My secret move.
context: What gives?\What the hell was that?\And here I put my faith in you!\Fine! I'll charge ahead!\Whoo boy...\Their formation is a mess...\What the heck was that Miracle-whatever?\My secret move. response:	Yeah, figures. Most heroes have a secret move, don't they?
context: What the hell was that?\And here I put my faith in you!\Fine! I'll charge ahead!\Whoo boy...\Their formation is a mess...\What the heck was that Miracle-whatever?\My secret move.\Yeah, figures. Most heroes have a secret move, don't they? response:	I know, right?
context: And here I put my faith in you!\Fine! I'll charge ahead!\Whoo boy...\Their formation is a mess...\What the heck was that Miracle-whatever?\My secret move.\Yeah, figures. Most heroes have a secret move, don't they?\I know, right? response:	We don't need one!
context: Fine! I'll charge ahead!\Whoo boy...\Their formation is a mess...\What the heck was that Miracle-whatever?\My secret move.\Yeah, figures. Most heroes have a secret move, don't they?\I know, right?\We don't need one! response:	But heroes use secret moves to save the day.
context: Whoo boy...\Their formation is a mess...\What the heck was that Miracle-whatever?\My secret move.\Yeah, figures. Most heroes have a secret move, don't they?\I know, right?\We don't need one!\But heroes use secret moves to save the day. response:	I was sure I could pull it off...
context: Their formation is a mess...\What the heck was that Miracle-whatever?\My secret move.\Yeah, figures. Most heroes have a secret move, don't they?\I know, right?\We don't need one!\But heroes use secret moves to save the day.\I was sure I could pull it off... response:	If all we needed was confidence, we'd get 100's studying by ourselves!
context: What the heck was that Miracle-whatever?\My secret move.\Yeah, figures. Most heroes have a secret move, don't they?\I know, right?\We don't need one!\But heroes use secret moves to save the day.\I was sure I could pull it off...\If all we needed was confidence, we'd get 100's studying by ourselves! response:	I never got to show my stuff...
context: My secret move.\Yeah, figures. Most heroes have a secret move, don't they?\I know, right?\We don't need one!\But heroes use secret moves to save the day.\I was sure I could pull it off...\If all we needed was confidence, we'd get 100's studying by ourselves!\I never got to show my stuff... response:	Yo!
context: Yeah, figures. Most heroes have a secret move, don't they?\I know, right?\We don't need one!\But heroes use secret moves to save the day.\I was sure I could pull it off...\If all we needed was confidence, we'd get 100's studying by ourselves!\I never got to show my stuff...\Yo! response:	You weren't looking too hot out there, huh?
context: I know, right?\We don't need one!\But heroes use secret moves to save the day.\I was sure I could pull it off...\If all we needed was confidence, we'd get 100's studying by ourselves!\I never got to show my stuff...\Yo!\You weren't looking too hot out there, huh? response:	Freakin' out after that string of losses?
context: We don't need one!\But heroes use secret moves to save the day.\I was sure I could pull it off...\If all we needed was confidence, we'd get 100's studying by ourselves!\I never got to show my stuff...\Yo!\You weren't looking too hot out there, huh?\Freakin' out after that string of losses? response:	Your training session is over.
context: But heroes use secret moves to save the day.\I was sure I could pull it off...\If all we needed was confidence, we'd get 100's studying by ourselves!\I never got to show my stuff...\Yo!\You weren't looking too hot out there, huh?\Freakin' out after that string of losses?\Your training session is over. response:	Team Rabbits, everyone is to submit your
context: I was sure I could pull it off...\If all we needed was confidence, we'd get 100's studying by ourselves!\I never got to show my stuff...\Yo!\You weren't looking too hot out there, huh?\Freakin' out after that string of losses?\Your training session is over.\Team Rabbits, everyone is to submit your response:	own personal analysis on why you lost.
context: If all we needed was confidence, we'd get 100's studying by ourselves!\I never got to show my stuff...\Yo!\You weren't looking too hot out there, huh?\Freakin' out after that string of losses?\Your training session is over.\Team Rabbits, everyone is to submit your\own personal analysis on why you lost. response:	Assemble in the Meeting Room in 30 minutes with Team Doberman.
context: I never got to show my stuff...\Yo!\You weren't looking too hot out there, huh?\Freakin' out after that string of losses?\Your training session is over.\Team Rabbits, everyone is to submit your\own personal analysis on why you lost.\Assemble in the Meeting Room in 30 minutes with Team Doberman. response:	Over.
