context: After all the trouble we went through response:	to restore the Seven Monsters back into humans,
context: After all the trouble we went through\to restore the Seven Monsters back into humans, response:	you want to revive them?! You've gotta be kidding!
context: After all the trouble we went through\to restore the Seven Monsters back into humans,\you want to revive them?! You've gotta be kidding! response:	It's not like recycling cans!
context: After all the trouble we went through\to restore the Seven Monsters back into humans,\you want to revive them?! You've gotta be kidding!\It's not like recycling cans! response:	You are not getting away with this!
context: After all the trouble we went through\to restore the Seven Monsters back into humans,\you want to revive them?! You've gotta be kidding!\It's not like recycling cans!\You are not getting away with this! response:	In the name of the moon, Sailor Moon will punish you!
context: After all the trouble we went through\to restore the Seven Monsters back into humans,\you want to revive them?! You've gotta be kidding!\It's not like recycling cans!\You are not getting away with this!\In the name of the moon, Sailor Moon will punish you! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: After all the trouble we went through\to restore the Seven Monsters back into humans,\you want to revive them?! You've gotta be kidding!\It's not like recycling cans!\You are not getting away with this!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: After all the trouble we went through\to restore the Seven Monsters back into humans,\you want to revive them?! You've gotta be kidding!\It's not like recycling cans!\You are not getting away with this!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: to restore the Seven Monsters back into humans,\you want to revive them?! You've gotta be kidding!\It's not like recycling cans!\You are not getting away with this!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: you want to revive them?! You've gotta be kidding!\It's not like recycling cans!\You are not getting away with this!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: It's not like recycling cans!\You are not getting away with this!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: You are not getting away with this!\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	Who are you?!
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Who are you?! response:	I've been looking for you, Reika Nishimura.
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Who are you?!\I've been looking for you, Reika Nishimura. response:	Or, should I call you Rikokayder,
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Who are you?!\I've been looking for you, Reika Nishimura.\Or, should I call you Rikokayder, response:	one of the great Seven Monsters?
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Who are you?!\I've been looking for you, Reika Nishimura.\Or, should I call you Rikokayder,\one of the great Seven Monsters? response:	What are you talking about?!
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Who are you?!\I've been looking for you, Reika Nishimura.\Or, should I call you Rikokayder,\one of the great Seven Monsters?\What are you talking about?! response:	Now, come back to us once again!
context: We were born in the same land, miracle romance\I believe in it, miracle romance\Who are you?!\I've been looking for you, Reika Nishimura.\Or, should I call you Rikokayder,\one of the great Seven Monsters?\What are you talking about?!\Now, come back to us once again! response:	That leaves three more.
context: I believe in it, miracle romance\Who are you?!\I've been looking for you, Reika Nishimura.\Or, should I call you Rikokayder,\one of the great Seven Monsters?\What are you talking about?!\Now, come back to us once again!\That leaves three more. response:	I Won't Run From Love Anymore! Ami and Mamoru's Showdown
context: Who are you?!\I've been looking for you, Reika Nishimura.\Or, should I call you Rikokayder,\one of the great Seven Monsters?\What are you talking about?!\Now, come back to us once again!\That leaves three more.\I Won't Run From Love Anymore! Ami and Mamoru's Showdown response:	Hello, this is Mizuno.
context: I've been looking for you, Reika Nishimura.\Or, should I call you Rikokayder,\one of the great Seven Monsters?\What are you talking about?!\Now, come back to us once again!\That leaves three more.\I Won't Run From Love Anymore! Ami and Mamoru's Showdown\Hello, this is Mizuno. response:	Oh, is this Miss Ami? It's me, Urawa.
context: Or, should I call you Rikokayder,\one of the great Seven Monsters?\What are you talking about?!\Now, come back to us once again!\That leaves three more.\I Won't Run From Love Anymore! Ami and Mamoru's Showdown\Hello, this is Mizuno.\Oh, is this Miss Ami? It's me, Urawa. response:	Oh, Ryo. It's been so long.
context: one of the great Seven Monsters?\What are you talking about?!\Now, come back to us once again!\That leaves three more.\I Won't Run From Love Anymore! Ami and Mamoru's Showdown\Hello, this is Mizuno.\Oh, is this Miss Ami? It's me, Urawa.\Oh, Ryo. It's been so long. response:	Ami, do you have a TV nearby?
context: What are you talking about?!\Now, come back to us once again!\That leaves three more.\I Won't Run From Love Anymore! Ami and Mamoru's Showdown\Hello, this is Mizuno.\Oh, is this Miss Ami? It's me, Urawa.\Oh, Ryo. It's been so long.\Ami, do you have a TV nearby? response:	Yes, I do, but...
context: Now, come back to us once again!\That leaves three more.\I Won't Run From Love Anymore! Ami and Mamoru's Showdown\Hello, this is Mizuno.\Oh, is this Miss Ami? It's me, Urawa.\Oh, Ryo. It's been so long.\Ami, do you have a TV nearby?\Yes, I do, but... response:	Please turn it on immediately!
