context: Here we come! response:	It's the start of Inuyasha!
context: Here we come!\It's the start of Inuyasha! response:	We're going to gatherall the shards of the Sacred Jewel...
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel... response:	And I'll destroy Naraku with my Tetsusaiga!
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga! response:	Kikyo... who was resurrected into a body made of bones and earth
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Kikyo... who was resurrected into a body made of bones and earth response:	and continues to exist through souls of the dead.
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Kikyo... who was resurrected into a body made of bones and earth\and continues to exist through souls of the dead. response:	The bond she shared with Inuyasha remains strong...
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Kikyo... who was resurrected into a body made of bones and earth\and continues to exist through souls of the dead.\The bond she shared with Inuyasha remains strong... response:	I understand that, but...
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Kikyo... who was resurrected into a body made of bones and earth\and continues to exist through souls of the dead.\The bond she shared with Inuyasha remains strong...\I understand that, but... response:	Miroku, Sango, Shippo and Kirara...
context: It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Kikyo... who was resurrected into a body made of bones and earth\and continues to exist through souls of the dead.\The bond she shared with Inuyasha remains strong...\I understand that, but...\Miroku, Sango, Shippo and Kirara... response:	travel back in time!
context: We're going to gatherall the shards of the Sacred Jewel...\And I'll destroy Naraku with my Tetsusaiga!\Kikyo... who was resurrected into a body made of bones and earth\and continues to exist through souls of the dead.\The bond she shared with Inuyasha remains strong...\I understand that, but...\Miroku, Sango, Shippo and Kirara...\travel back in time! response:	To a Feudal Fairytale!
context: And I'll destroy Naraku with my Tetsusaiga!\Kikyo... who was resurrected into a body made of bones and earth\and continues to exist through souls of the dead.\The bond she shared with Inuyasha remains strong...\I understand that, but...\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale! response:	Inuyasha!
