context: The Hero Association has been weakened substantially, response:	and we still have our main forces in reserve.
context: The Hero Association has been weakened substantially,\and we still have our main forces in reserve. response:	Victory is certain for the Monster Association,
context: The Hero Association has been weakened substantially,\and we still have our main forces in reserve.\Victory is certain for the Monster Association, response:	Monster King Orochi.
context: The Hero Association has been weakened substantially,\and we still have our main forces in reserve.\Victory is certain for the Monster Association,\Monster King Orochi. response:	Now, then...
context: The Hero Association has been weakened substantially,\and we still have our main forces in reserve.\Victory is certain for the Monster Association,\Monster King Orochi.\Now, then... response:	Let's see what the Hero Association will do with their inferior numbers.
context: The Hero Association has been weakened substantially,\and we still have our main forces in reserve.\Victory is certain for the Monster Association,\Monster King Orochi.\Now, then...\Let's see what the Hero Association will do with their inferior numbers. response:	Charanko... I'll show you what true martial arts is.
context: The Hero Association has been weakened substantially,\and we still have our main forces in reserve.\Victory is certain for the Monster Association,\Monster King Orochi.\Now, then...\Let's see what the Hero Association will do with their inferior numbers.\Charanko... I'll show you what true martial arts is. response:	Come at me!
context: The Hero Association has been weakened substantially,\and we still have our main forces in reserve.\Victory is certain for the Monster Association,\Monster King Orochi.\Now, then...\Let's see what the Hero Association will do with their inferior numbers.\Charanko... I'll show you what true martial arts is.\Come at me! response:	Charanko took him out with one punch!
context: and we still have our main forces in reserve.\Victory is certain for the Monster Association,\Monster King Orochi.\Now, then...\Let's see what the Hero Association will do with their inferior numbers.\Charanko... I'll show you what true martial arts is.\Come at me!\Charanko took him out with one punch! response:	We now have our top four!
context: Victory is certain for the Monster Association,\Monster King Orochi.\Now, then...\Let's see what the Hero Association will do with their inferior numbers.\Charanko... I'll show you what true martial arts is.\Come at me!\Charanko took him out with one punch!\We now have our top four! response:	Who will come out on top?!
context: Monster King Orochi.\Now, then...\Let's see what the Hero Association will do with their inferior numbers.\Charanko... I'll show you what true martial arts is.\Come at me!\Charanko took him out with one punch!\We now have our top four!\Who will come out on top?! response:	Class S Heroes
context: Now, then...\Let's see what the Hero Association will do with their inferior numbers.\Charanko... I'll show you what true martial arts is.\Come at me!\Charanko took him out with one punch!\We now have our top four!\Who will come out on top?!\Class S Heroes response:	This thing's starting to make my head itchy...
context: Let's see what the Hero Association will do with their inferior numbers.\Charanko... I'll show you what true martial arts is.\Come at me!\Charanko took him out with one punch!\We now have our top four!\Who will come out on top?!\Class S Heroes\This thing's starting to make my head itchy... response:	Hey, you're up!
context: Charanko... I'll show you what true martial arts is.\Come at me!\Charanko took him out with one punch!\We now have our top four!\Who will come out on top?!\Class S Heroes\This thing's starting to make my head itchy...\Hey, you're up! response:	What's wrong? Why are you holding your head like that?
context: Come at me!\Charanko took him out with one punch!\We now have our top four!\Who will come out on top?!\Class S Heroes\This thing's starting to make my head itchy...\Hey, you're up!\What's wrong? Why are you holding your head like that? response:	You nervous?
context: Charanko took him out with one punch!\We now have our top four!\Who will come out on top?!\Class S Heroes\This thing's starting to make my head itchy...\Hey, you're up!\What's wrong? Why are you holding your head like that?\You nervous? response:	Uh... Yeah...
context: We now have our top four!\Who will come out on top?!\Class S Heroes\This thing's starting to make my head itchy...\Hey, you're up!\What's wrong? Why are you holding your head like that?\You nervous?\Uh... Yeah... response:	If I hadn't let my guard down during my fight with you,
context: Who will come out on top?!\Class S Heroes\This thing's starting to make my head itchy...\Hey, you're up!\What's wrong? Why are you holding your head like that?\You nervous?\Uh... Yeah...\If I hadn't let my guard down during my fight with you, response:	I'd probably be holding my head out of nervousness, too.
context: Class S Heroes\This thing's starting to make my head itchy...\Hey, you're up!\What's wrong? Why are you holding your head like that?\You nervous?\Uh... Yeah...\If I hadn't let my guard down during my fight with you,\I'd probably be holding my head out of nervousness, too. response:	That last semi-final match was amazing!
context: This thing's starting to make my head itchy...\Hey, you're up!\What's wrong? Why are you holding your head like that?\You nervous?\Uh... Yeah...\If I hadn't let my guard down during my fight with you,\I'd probably be holding my head out of nervousness, too.\That last semi-final match was amazing! response:	Suiryu took the guy down with one kick again.
context: Hey, you're up!\What's wrong? Why are you holding your head like that?\You nervous?\Uh... Yeah...\If I hadn't let my guard down during my fight with you,\I'd probably be holding my head out of nervousness, too.\That last semi-final match was amazing!\Suiryu took the guy down with one kick again. response:	But the guy you're up against is also pretty nasty.
context: What's wrong? Why are you holding your head like that?\You nervous?\Uh... Yeah...\If I hadn't let my guard down during my fight with you,\I'd probably be holding my head out of nervousness, too.\That last semi-final match was amazing!\Suiryu took the guy down with one kick again.\But the guy you're up against is also pretty nasty. response:	I think he's the real dark horse of this tournament.
context: You nervous?\Uh... Yeah...\If I hadn't let my guard down during my fight with you,\I'd probably be holding my head out of nervousness, too.\That last semi-final match was amazing!\Suiryu took the guy down with one kick again.\But the guy you're up against is also pretty nasty.\I think he's the real dark horse of this tournament. response:	Be careful out there, Charanko!
context: Uh... Yeah...\If I hadn't let my guard down during my fight with you,\I'd probably be holding my head out of nervousness, too.\That last semi-final match was amazing!\Suiryu took the guy down with one kick again.\But the guy you're up against is also pretty nasty.\I think he's the real dark horse of this tournament.\Be careful out there, Charanko! response:	He's starting to sound like a decent senior disciple...
context: If I hadn't let my guard down during my fight with you,\I'd probably be holding my head out of nervousness, too.\That last semi-final match was amazing!\Suiryu took the guy down with one kick again.\But the guy you're up against is also pretty nasty.\I think he's the real dark horse of this tournament.\Be careful out there, Charanko!\He's starting to sound like a decent senior disciple... response:	But I'm not Charanko.
context: I'd probably be holding my head out of nervousness, too.\That last semi-final match was amazing!\Suiryu took the guy down with one kick again.\But the guy you're up against is also pretty nasty.\I think he's the real dark horse of this tournament.\Be careful out there, Charanko!\He's starting to sound like a decent senior disciple...\But I'm not Charanko. response:	Watchdog Man.
context: That last semi-final match was amazing!\Suiryu took the guy down with one kick again.\But the guy you're up against is also pretty nasty.\I think he's the real dark horse of this tournament.\Be careful out there, Charanko!\He's starting to sound like a decent senior disciple...\But I'm not Charanko.\Watchdog Man. response:	Watchdog Man Class S Rank 12
context: Suiryu took the guy down with one kick again.\But the guy you're up against is also pretty nasty.\I think he's the real dark horse of this tournament.\Be careful out there, Charanko!\He's starting to sound like a decent senior disciple...\But I'm not Charanko.\Watchdog Man.\Watchdog Man Class S Rank 12 response:	Here I go.
context: But the guy you're up against is also pretty nasty.\I think he's the real dark horse of this tournament.\Be careful out there, Charanko!\He's starting to sound like a decent senior disciple...\But I'm not Charanko.\Watchdog Man.\Watchdog Man Class S Rank 12\Here I go. response:	We're gonna fight one-on-one!
context: I think he's the real dark horse of this tournament.\Be careful out there, Charanko!\He's starting to sound like a decent senior disciple...\But I'm not Charanko.\Watchdog Man.\Watchdog Man Class S Rank 12\Here I go.\We're gonna fight one-on-one! response:	There's more trouble!
context: Be careful out there, Charanko!\He's starting to sound like a decent senior disciple...\But I'm not Charanko.\Watchdog Man.\Watchdog Man Class S Rank 12\Here I go.\We're gonna fight one-on-one!\There's more trouble! response:	A horde of monsters showed up at Watchdog Plaza!
context: He's starting to sound like a decent senior disciple...\But I'm not Charanko.\Watchdog Man.\Watchdog Man Class S Rank 12\Here I go.\We're gonna fight one-on-one!\There's more trouble!\A horde of monsters showed up at Watchdog Plaza! response:	What?!
context: But I'm not Charanko.\Watchdog Man.\Watchdog Man Class S Rank 12\Here I go.\We're gonna fight one-on-one!\There's more trouble!\A horde of monsters showed up at Watchdog Plaza!\What?! response:	Numerous monsters have appeared in the suburbs, too!
context: Watchdog Man.\Watchdog Man Class S Rank 12\Here I go.\We're gonna fight one-on-one!\There's more trouble!\A horde of monsters showed up at Watchdog Plaza!\What?!\Numerous monsters have appeared in the suburbs, too! response:	It's a party!
context: Watchdog Man Class S Rank 12\Here I go.\We're gonna fight one-on-one!\There's more trouble!\A horde of monsters showed up at Watchdog Plaza!\What?!\Numerous monsters have appeared in the suburbs, too!\It's a party! response:	Stop that! Release them!
context: Here I go.\We're gonna fight one-on-one!\There's more trouble!\A horde of monsters showed up at Watchdog Plaza!\What?!\Numerous monsters have appeared in the suburbs, too!\It's a party!\Stop that! Release them! response:	I, Dogman, will face you!
context: We're gonna fight one-on-one!\There's more trouble!\A horde of monsters showed up at Watchdog Plaza!\What?!\Numerous monsters have appeared in the suburbs, too!\It's a party!\Stop that! Release them!\I, Dogman, will face you! response:	You call that poison?
context: There's more trouble!\A horde of monsters showed up at Watchdog Plaza!\What?!\Numerous monsters have appeared in the suburbs, too!\It's a party!\Stop that! Release them!\I, Dogman, will face you!\You call that poison? response:	You're not even alive, are you?
context: A horde of monsters showed up at Watchdog Plaza!\What?!\Numerous monsters have appeared in the suburbs, too!\It's a party!\Stop that! Release them!\I, Dogman, will face you!\You call that poison?\You're not even alive, are you? response:	Guess you got me. In that case...
context: What?!\Numerous monsters have appeared in the suburbs, too!\It's a party!\Stop that! Release them!\I, Dogman, will face you!\You call that poison?\You're not even alive, are you?\Guess you got me. In that case... response:	Gonna self-destruct now!
context: Numerous monsters have appeared in the suburbs, too!\It's a party!\Stop that! Release them!\I, Dogman, will face you!\You call that poison?\You're not even alive, are you?\Guess you got me. In that case...\Gonna self-destruct now! response:	The one controlling you is somewhere else!
context: It's a party!\Stop that! Release them!\I, Dogman, will face you!\You call that poison?\You're not even alive, are you?\Guess you got me. In that case...\Gonna self-destruct now!\The one controlling you is somewhere else! response:	Do we have an antidote for the poison in City Y yet?!
context: Stop that! Release them!\I, Dogman, will face you!\You call that poison?\You're not even alive, are you?\Guess you got me. In that case...\Gonna self-destruct now!\The one controlling you is somewhere else!\Do we have an antidote for the poison in City Y yet?! response:	Not that I know of.
context: I, Dogman, will face you!\You call that poison?\You're not even alive, are you?\Guess you got me. In that case...\Gonna self-destruct now!\The one controlling you is somewhere else!\Do we have an antidote for the poison in City Y yet?!\Not that I know of. response:	Damn it.
context: You call that poison?\You're not even alive, are you?\Guess you got me. In that case...\Gonna self-destruct now!\The one controlling you is somewhere else!\Do we have an antidote for the poison in City Y yet?!\Not that I know of.\Damn it. response:	It'll be all right.
context: You're not even alive, are you?\Guess you got me. In that case...\Gonna self-destruct now!\The one controlling you is somewhere else!\Do we have an antidote for the poison in City Y yet?!\Not that I know of.\Damn it.\It'll be all right. response:	They're on the move.
context: Guess you got me. In that case...\Gonna self-destruct now!\The one controlling you is somewhere else!\Do we have an antidote for the poison in City Y yet?!\Not that I know of.\Damn it.\It'll be all right.\They're on the move. response:	Class S Rank 9 Drive Knight
context: Gonna self-destruct now!\The one controlling you is somewhere else!\Do we have an antidote for the poison in City Y yet?!\Not that I know of.\Damn it.\It'll be all right.\They're on the move.\Class S Rank 9 Drive Knight response:	There are countless monsters appearing, but the Hero Association lacks information.
context: The one controlling you is somewhere else!\Do we have an antidote for the poison in City Y yet?!\Not that I know of.\Damn it.\It'll be all right.\They're on the move.\Class S Rank 9 Drive Knight\There are countless monsters appearing, but the Hero Association lacks information. response:	Choose.
context: Do we have an antidote for the poison in City Y yet?!\Not that I know of.\Damn it.\It'll be all right.\They're on the move.\Class S Rank 9 Drive Knight\There are countless monsters appearing, but the Hero Association lacks information.\Choose. response:	You can die as my tactical transformations inflict all manner of pain upon you,
context: Not that I know of.\Damn it.\It'll be all right.\They're on the move.\Class S Rank 9 Drive Knight\There are countless monsters appearing, but the Hero Association lacks information.\Choose.\You can die as my tactical transformations inflict all manner of pain upon you, response:	or you can tell me everything you know and die painlessly.
context: Damn it.\It'll be all right.\They're on the move.\Class S Rank 9 Drive Knight\There are countless monsters appearing, but the Hero Association lacks information.\Choose.\You can die as my tactical transformations inflict all manner of pain upon you,\or you can tell me everything you know and die painlessly. response:	How dare you disrupt my concert?
context: It'll be all right.\They're on the move.\Class S Rank 9 Drive Knight\There are countless monsters appearing, but the Hero Association lacks information.\Choose.\You can die as my tactical transformations inflict all manner of pain upon you,\or you can tell me everything you know and die painlessly.\How dare you disrupt my concert? response:	You can atone with your deaths.
context: They're on the move.\Class S Rank 9 Drive Knight\There are countless monsters appearing, but the Hero Association lacks information.\Choose.\You can die as my tactical transformations inflict all manner of pain upon you,\or you can tell me everything you know and die painlessly.\How dare you disrupt my concert?\You can atone with your deaths. response:	Found you.
context: Class S Rank 9 Drive Knight\There are countless monsters appearing, but the Hero Association lacks information.\Choose.\You can die as my tactical transformations inflict all manner of pain upon you,\or you can tell me everything you know and die painlessly.\How dare you disrupt my concert?\You can atone with your deaths.\Found you. response:	Class S Rank 5 Child Emperor
context: There are countless monsters appearing, but the Hero Association lacks information.\Choose.\You can die as my tactical transformations inflict all manner of pain upon you,\or you can tell me everything you know and die painlessly.\How dare you disrupt my concert?\You can atone with your deaths.\Found you.\Class S Rank 5 Child Emperor response:	You were the one controlling that robot, weren't you?
context: Choose.\You can die as my tactical transformations inflict all manner of pain upon you,\or you can tell me everything you know and die painlessly.\How dare you disrupt my concert?\You can atone with your deaths.\Found you.\Class S Rank 5 Child Emperor\You were the one controlling that robot, weren't you? response:	I've finished analyzing the poison. But...
