context: Motoba response:	Episode 9 Umaru and Valentine's
context: Motoba\Episode 9 Umaru and Valentine's response:	How to Make Basic Cookies
context: Motoba\Episode 9 Umaru and Valentine's\How to Make Basic Cookies response:	Easy And Fast! Cute homemade cookies are perfect for gifts. How about making a lot and inviting some friends over for a home cafe?
context: Motoba\Episode 9 Umaru and Valentine's\How to Make Basic Cookies\Easy And Fast! Cute homemade cookies are perfect for gifts. How about making a lot and inviting some friends over for a home cafe? response:	I've been watching you for a while, but what are you doing?
context: Motoba\Episode 9 Umaru and Valentine's\How to Make Basic Cookies\Easy And Fast! Cute homemade cookies are perfect for gifts. How about making a lot and inviting some friends over for a home cafe?\I've been watching you for a while, but what are you doing? response:	H-H-Hey!
context: Motoba\Episode 9 Umaru and Valentine's\How to Make Basic Cookies\Easy And Fast! Cute homemade cookies are perfect for gifts. How about making a lot and inviting some friends over for a home cafe?\I've been watching you for a while, but what are you doing?\H-H-Hey! response:	Are you trying to curse someone?
context: Motoba\Episode 9 Umaru and Valentine's\How to Make Basic Cookies\Easy And Fast! Cute homemade cookies are perfect for gifts. How about making a lot and inviting some friends over for a home cafe?\I've been watching you for a while, but what are you doing?\H-H-Hey!\Are you trying to curse someone? response:	N-No!
context: Motoba\Episode 9 Umaru and Valentine's\How to Make Basic Cookies\Easy And Fast! Cute homemade cookies are perfect for gifts. How about making a lot and inviting some friends over for a home cafe?\I've been watching you for a while, but what are you doing?\H-H-Hey!\Are you trying to curse someone?\N-No! response:	Oh, I get it. You're making sweets, aren't you?
context: Episode 9 Umaru and Valentine's\How to Make Basic Cookies\Easy And Fast! Cute homemade cookies are perfect for gifts. How about making a lot and inviting some friends over for a home cafe?\I've been watching you for a while, but what are you doing?\H-H-Hey!\Are you trying to curse someone?\N-No!\Oh, I get it. You're making sweets, aren't you? response:	Why would you make sweets when you don't have any friends?
context: How to Make Basic Cookies\Easy And Fast! Cute homemade cookies are perfect for gifts. How about making a lot and inviting some friends over for a home cafe?\I've been watching you for a while, but what are you doing?\H-H-Hey!\Are you trying to curse someone?\N-No!\Oh, I get it. You're making sweets, aren't you?\Why would you make sweets when you don't have any friends? response:	Did something happen? Well?
context: Easy And Fast! Cute homemade cookies are perfect for gifts. How about making a lot and inviting some friends over for a home cafe?\I've been watching you for a while, but what are you doing?\H-H-Hey!\Are you trying to curse someone?\N-No!\Oh, I get it. You're making sweets, aren't you?\Why would you make sweets when you don't have any friends?\Did something happen? Well? response:	Sh-Shut up!
context: I've been watching you for a while, but what are you doing?\H-H-Hey!\Are you trying to curse someone?\N-No!\Oh, I get it. You're making sweets, aren't you?\Why would you make sweets when you don't have any friends?\Did something happen? Well?\Sh-Shut up! response:	R-Really... Nothing happened.
context: H-H-Hey!\Are you trying to curse someone?\N-No!\Oh, I get it. You're making sweets, aren't you?\Why would you make sweets when you don't have any friends?\Did something happen? Well?\Sh-Shut up!\R-Really... Nothing happened. response:	Okay. Do your best.
context: Are you trying to curse someone?\N-No!\Oh, I get it. You're making sweets, aren't you?\Why would you make sweets when you don't have any friends?\Did something happen? Well?\Sh-Shut up!\R-Really... Nothing happened.\Okay. Do your best. response:	<For Example, When You're On Your Break>
context: N-No!\Oh, I get it. You're making sweets, aren't you?\Why would you make sweets when you don't have any friends?\Did something happen? Well?\Sh-Shut up!\R-Really... Nothing happened.\Okay. Do your best.\<For Example, When You're On Your Break> response:	Creating a Conversation with Homemade Cookies...
context: Oh, I get it. You're making sweets, aren't you?\Why would you make sweets when you don't have any friends?\Did something happen? Well?\Sh-Shut up!\R-Really... Nothing happened.\Okay. Do your best.\<For Example, When You're On Your Break>\Creating a Conversation with Homemade Cookies... response:	I made some cookies! Why don't we eat them together?
