context: Ladies and gentlemen, we are now preparing for landing. response:	Please fasten your seatbelts tightly.
context: Ladies and gentlemen, we are now preparing for landing.\Please fasten your seatbelts tightly. response:	Did I wake you up? Good morning.
context: Ladies and gentlemen, we are now preparing for landing.\Please fasten your seatbelts tightly.\Did I wake you up? Good morning. response:	Say, that's from the missile attack we saw on the news in D.C., right?
context: Ladies and gentlemen, we are now preparing for landing.\Please fasten your seatbelts tightly.\Did I wake you up? Good morning.\Say, that's from the missile attack we saw on the news in D.C., right? response:	Looks like it.
context: Ladies and gentlemen, we are now preparing for landing.\Please fasten your seatbelts tightly.\Did I wake you up? Good morning.\Say, that's from the missile attack we saw on the news in D.C., right?\Looks like it. response:	And there's a bunch of other places like it.
context: Ladies and gentlemen, we are now preparing for landing.\Please fasten your seatbelts tightly.\Did I wake you up? Good morning.\Say, that's from the missile attack we saw on the news in D.C., right?\Looks like it.\And there's a bunch of other places like it. response:	Are they from missiles too?
context: Ladies and gentlemen, we are now preparing for landing.\Please fasten your seatbelts tightly.\Did I wake you up? Good morning.\Say, that's from the missile attack we saw on the news in D.C., right?\Looks like it.\And there's a bunch of other places like it.\Are they from missiles too? response:	Yeah, they are.
context: Ladies and gentlemen, we are now preparing for landing.\Please fasten your seatbelts tightly.\Did I wake you up? Good morning.\Say, that's from the missile attack we saw on the news in D.C., right?\Looks like it.\And there's a bunch of other places like it.\Are they from missiles too?\Yeah, they are. response:	For real?
context: Please fasten your seatbelts tightly.\Did I wake you up? Good morning.\Say, that's from the missile attack we saw on the news in D.C., right?\Looks like it.\And there's a bunch of other places like it.\Are they from missiles too?\Yeah, they are.\For real? response:	But those craters are from Careless Monday, I think.
context: Did I wake you up? Good morning.\Say, that's from the missile attack we saw on the news in D.C., right?\Looks like it.\And there's a bunch of other places like it.\Are they from missiles too?\Yeah, they are.\For real?\But those craters are from Careless Monday, I think. response:	Careless Monday?
context: Say, that's from the missile attack we saw on the news in D.C., right?\Looks like it.\And there's a bunch of other places like it.\Are they from missiles too?\Yeah, they are.\For real?\But those craters are from Careless Monday, I think.\Careless Monday? response:	Come to think of it, today is Monday.
context: Looks like it.\And there's a bunch of other places like it.\Are they from missiles too?\Yeah, they are.\For real?\But those craters are from Careless Monday, I think.\Careless Monday?\Come to think of it, today is Monday. response:	Episode 2: Melancholy Monday
context: And there's a bunch of other places like it.\Are they from missiles too?\Yeah, they are.\For real?\But those craters are from Careless Monday, I think.\Careless Monday?\Come to think of it, today is Monday.\Episode 2: Melancholy Monday response:	Inbox
context: Are they from missiles too?\Yeah, they are.\For real?\But those craters are from Careless Monday, I think.\Careless Monday?\Come to think of it, today is Monday.\Episode 2: Melancholy Monday\Inbox response:	Osugi Osugi Osugi Osugi Osugi Osugi
context: Yeah, they are.\For real?\But those craters are from Careless Monday, I think.\Careless Monday?\Come to think of it, today is Monday.\Episode 2: Melancholy Monday\Inbox\Osugi Osugi Osugi Osugi Osugi Osugi response:	They're all from osugi...
context: For real?\But those craters are from Careless Monday, I think.\Careless Monday?\Come to think of it, today is Monday.\Episode 2: Melancholy Monday\Inbox\Osugi Osugi Osugi Osugi Osugi Osugi\They're all from osugi... response:	I didn't make it in time for that job interview after all...
context: But those craters are from Careless Monday, I think.\Careless Monday?\Come to think of it, today is Monday.\Episode 2: Melancholy Monday\Inbox\Osugi Osugi Osugi Osugi Osugi Osugi\They're all from osugi...\I didn't make it in time for that job interview after all... response:	One Boy and Girl Were Saved
context: Careless Monday?\Come to think of it, today is Monday.\Episode 2: Melancholy Monday\Inbox\Osugi Osugi Osugi Osugi Osugi Osugi\They're all from osugi...\I didn't make it in time for that job interview after all...\One Boy and Girl Were Saved response:	They're saying a plane crashed because of the missile.
