context: Unforgivable! He is the number one enemy of all junior high girls! response:	Impure fraternization! It's just unforgivable!
context: Unforgivable! He is the number one enemy of all junior high girls!\Impure fraternization! It's just unforgivable! response:	For the crime of staining everyone's favorite hangout with evil...
context: Unforgivable! He is the number one enemy of all junior high girls!\Impure fraternization! It's just unforgivable!\For the crime of staining everyone's favorite hangout with evil... response:	In the name of the moon, Sailor Moon will punish you!
context: Unforgivable! He is the number one enemy of all junior high girls!\Impure fraternization! It's just unforgivable!\For the crime of staining everyone's favorite hangout with evil...\In the name of the moon, Sailor Moon will punish you! response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: Unforgivable! He is the number one enemy of all junior high girls!\Impure fraternization! It's just unforgivable!\For the crime of staining everyone's favorite hangout with evil...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: Unforgivable! He is the number one enemy of all junior high girls!\Impure fraternization! It's just unforgivable!\For the crime of staining everyone's favorite hangout with evil...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: Unforgivable! He is the number one enemy of all junior high girls!\Impure fraternization! It's just unforgivable!\For the crime of staining everyone's favorite hangout with evil...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: Unforgivable! He is the number one enemy of all junior high girls!\Impure fraternization! It's just unforgivable!\For the crime of staining everyone's favorite hangout with evil...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: Impure fraternization! It's just unforgivable!\For the crime of staining everyone's favorite hangout with evil...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: For the crime of staining everyone's favorite hangout with evil...\In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: In the name of the moon, Sailor Moon will punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	I'm Usagi Tsukino. I don't look like a super heroine, but I am!
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am! response:	As you know, I transform myself by using a peculiar brooch
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch response:	and fight against bad guys.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys. response:	I'm the sailor warrior of love and justice, Sailor Moon!
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon! response:	And my friends are the smart and sweet Ami Mizuno,
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno, response:	and a slightly quick-tempered psychic girl, Rei Hino.
context: We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino. response:	Both of them are so dependable, I feel like I'll fall behind.
context: I believe in it, miracle romance\I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind. response:	But anyway, I just have to do my best!
context: I'm Usagi Tsukino. I don't look like a super heroine, but I am!\As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best! response:	Usagi is Frantic! Rei's First Date
context: As you know, I transform myself by using a peculiar brooch\and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi is Frantic! Rei's First Date response:	It's a nice and quiet place.
context: and fight against bad guys.\I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi is Frantic! Rei's First Date\It's a nice and quiet place. response:	Yup! Perfect for a date!
context: I'm the sailor warrior of love and justice, Sailor Moon!\And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi is Frantic! Rei's First Date\It's a nice and quiet place.\Yup! Perfect for a date! response:	So, do you like it?
context: And my friends are the smart and sweet Ami Mizuno,\and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi is Frantic! Rei's First Date\It's a nice and quiet place.\Yup! Perfect for a date!\So, do you like it? response:	I'm a bit surprised you know of a place like this.
context: and a slightly quick-tempered psychic girl, Rei Hino.\Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi is Frantic! Rei's First Date\It's a nice and quiet place.\Yup! Perfect for a date!\So, do you like it?\I'm a bit surprised you know of a place like this. response:	Really? I always come here to read
context: Both of them are so dependable, I feel like I'll fall behind.\But anyway, I just have to do my best!\Usagi is Frantic! Rei's First Date\It's a nice and quiet place.\Yup! Perfect for a date!\So, do you like it?\I'm a bit surprised you know of a place like this.\Really? I always come here to read response:	when I don't have cram school.
context: But anyway, I just have to do my best!\Usagi is Frantic! Rei's First Date\It's a nice and quiet place.\Yup! Perfect for a date!\So, do you like it?\I'm a bit surprised you know of a place like this.\Really? I always come here to read\when I don't have cram school. response:	Mr. Kunitachi.
context: Usagi is Frantic! Rei's First Date\It's a nice and quiet place.\Yup! Perfect for a date!\So, do you like it?\I'm a bit surprised you know of a place like this.\Really? I always come here to read\when I don't have cram school.\Mr. Kunitachi. response:	Oh, Ami.
