context: I realized that the time had come to face the problem I had been ignoring response:	by not thinking too deeply about it.
context: I realized that the time had come to face the problem I had been ignoring\by not thinking too deeply about it. response:	Yeah, yeah Yeah, yeah
context: I realized that the time had come to face the problem I had been ignoring\by not thinking too deeply about it.\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: I realized that the time had come to face the problem I had been ignoring\by not thinking too deeply about it.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Baby I'm standing alone
context: I realized that the time had come to face the problem I had been ignoring\by not thinking too deeply about it.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone response:	An unforgettable rainy day
context: I realized that the time had come to face the problem I had been ignoring\by not thinking too deeply about it.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day response:	Chasing after your shadow
context: I realized that the time had come to face the problem I had been ignoring\by not thinking too deeply about it.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow response:	And it's over, it's like sand now
context: I realized that the time had come to face the problem I had been ignoring\by not thinking too deeply about it.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now response:	I sigh every night
context: by not thinking too deeply about it.\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night response:	I scream like a child and cried
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried response:	It hangs there quietly, my sorrow
context: Yeah, yeah, keep going on\Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow response:	Please, please God, forgive my sins
context: Baby I'm standing alone\An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins response:	I don't need to hide no more
context: An unforgettable rainy day\Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more response:	Flowing toward the turquoise light
context: Chasing after your shadow\And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light response:	Just keep going on
context: And it's over, it's like sand now\I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on response:	You've got the chance now
context: I sigh every night\I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now response:	You've got the power
context: I scream like a child and cried\It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power response:	Know you gotta be so true to yourself
context: It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself response:	I show you my life now
context: Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now response:	I show you my love now
context: I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now response:	I show you my everything yeah yeah
context: Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah response:	You'd better change now You'd better catch now
context: Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now response:	Don't ever change so be yourself
context: You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself response:	I'll show you my strength now
context: You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now response:	I'll show you my love now
context: Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now response:	I'll show you my everything yeah yeah
context: I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah response:	Baby don't be afraid
context: I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid response:	Yeah, yeah Yeah, yeah
context: I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Yeah, yeah Yeah, yeah
context: Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	RE: IT'S ME, REIRA
context: I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\RE: IT'S ME, REIRA response:	Why does being pregnant make me so sleepy every day?
context: I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\RE: IT'S ME, REIRA\Why does being pregnant make me so sleepy every day? response:	NEW MESSAGE UNREAD EMAIL: 01 UNREAD TEXT MESSAGE: 01
context: Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\RE: IT'S ME, REIRA\Why does being pregnant make me so sleepy every day?\NEW MESSAGE UNREAD EMAIL: 01 UNREAD TEXT MESSAGE: 01 response:	SEPTEMBER 24 NOBU HOW ARE YOU?
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\RE: IT'S ME, REIRA\Why does being pregnant make me so sleepy every day?\NEW MESSAGE UNREAD EMAIL: 01 UNREAD TEXT MESSAGE: 01\SEPTEMBER 24 NOBU HOW ARE YOU? response:	RECEIVED MAIL SEPTEMBER 2402:36 NOBU HOW ARE YOU?
context: Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\RE: IT'S ME, REIRA\Why does being pregnant make me so sleepy every day?\NEW MESSAGE UNREAD EMAIL: 01 UNREAD TEXT MESSAGE: 01\SEPTEMBER 24 NOBU HOW ARE YOU?\RECEIVED MAIL SEPTEMBER 2402:36 NOBU HOW ARE YOU? response:	HOW ARE YOU? I WANT TO HAVE A PROPER TALK WITH YOU. IS IT POSSIBLE? I'LL BE WAITING FOR YOUR REPLY.
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\RE: IT'S ME, REIRA\Why does being pregnant make me so sleepy every day?\NEW MESSAGE UNREAD EMAIL: 01 UNREAD TEXT MESSAGE: 01\SEPTEMBER 24 NOBU HOW ARE YOU?\RECEIVED MAIL SEPTEMBER 2402:36 NOBU HOW ARE YOU?\HOW ARE YOU? I WANT TO HAVE A PROPER TALK WITH YOU. IS IT POSSIBLE? I'LL BE WAITING FOR YOUR REPLY. response:	NO NEW MESSAGES
context: Yeah, yeah, keep going on\RE: IT'S ME, REIRA\Why does being pregnant make me so sleepy every day?\NEW MESSAGE UNREAD EMAIL: 01 UNREAD TEXT MESSAGE: 01\SEPTEMBER 24 NOBU HOW ARE YOU?\RECEIVED MAIL SEPTEMBER 2402:36 NOBU HOW ARE YOU?\HOW ARE YOU? I WANT TO HAVE A PROPER TALK WITH YOU. IS IT POSSIBLE? I'LL BE WAITING FOR YOUR REPLY.\NO NEW MESSAGES response:	Nobu!
context: RE: IT'S ME, REIRA\Why does being pregnant make me so sleepy every day?\NEW MESSAGE UNREAD EMAIL: 01 UNREAD TEXT MESSAGE: 01\SEPTEMBER 24 NOBU HOW ARE YOU?\RECEIVED MAIL SEPTEMBER 2402:36 NOBU HOW ARE YOU?\HOW ARE YOU? I WANT TO HAVE A PROPER TALK WITH YOU. IS IT POSSIBLE? I'LL BE WAITING FOR YOUR REPLY.\NO NEW MESSAGES\Nobu! response:	Yasu says lunch is ready.
context: Why does being pregnant make me so sleepy every day?\NEW MESSAGE UNREAD EMAIL: 01 UNREAD TEXT MESSAGE: 01\SEPTEMBER 24 NOBU HOW ARE YOU?\RECEIVED MAIL SEPTEMBER 2402:36 NOBU HOW ARE YOU?\HOW ARE YOU? I WANT TO HAVE A PROPER TALK WITH YOU. IS IT POSSIBLE? I'LL BE WAITING FOR YOUR REPLY.\NO NEW MESSAGES\Nobu!\Yasu says lunch is ready. response:	Spaghetti with mushrooms!
context: NEW MESSAGE UNREAD EMAIL: 01 UNREAD TEXT MESSAGE: 01\SEPTEMBER 24 NOBU HOW ARE YOU?\RECEIVED MAIL SEPTEMBER 2402:36 NOBU HOW ARE YOU?\HOW ARE YOU? I WANT TO HAVE A PROPER TALK WITH YOU. IS IT POSSIBLE? I'LL BE WAITING FOR YOUR REPLY.\NO NEW MESSAGES\Nobu!\Yasu says lunch is ready.\Spaghetti with mushrooms! response:	I think we can count on a tasty meal. Yasu's cooking is the best.
context: SEPTEMBER 24 NOBU HOW ARE YOU?\RECEIVED MAIL SEPTEMBER 2402:36 NOBU HOW ARE YOU?\HOW ARE YOU? I WANT TO HAVE A PROPER TALK WITH YOU. IS IT POSSIBLE? I'LL BE WAITING FOR YOUR REPLY.\NO NEW MESSAGES\Nobu!\Yasu says lunch is ready.\Spaghetti with mushrooms!\I think we can count on a tasty meal. Yasu's cooking is the best. response:	Who are you expecting a reply from?
context: RECEIVED MAIL SEPTEMBER 2402:36 NOBU HOW ARE YOU?\HOW ARE YOU? I WANT TO HAVE A PROPER TALK WITH YOU. IS IT POSSIBLE? I'LL BE WAITING FOR YOUR REPLY.\NO NEW MESSAGES\Nobu!\Yasu says lunch is ready.\Spaghetti with mushrooms!\I think we can count on a tasty meal. Yasu's cooking is the best.\Who are you expecting a reply from? response:	You've been checking your email all morning.
context: HOW ARE YOU? I WANT TO HAVE A PROPER TALK WITH YOU. IS IT POSSIBLE? I'LL BE WAITING FOR YOUR REPLY.\NO NEW MESSAGES\Nobu!\Yasu says lunch is ready.\Spaghetti with mushrooms!\I think we can count on a tasty meal. Yasu's cooking is the best.\Who are you expecting a reply from?\You've been checking your email all morning. response:	Well, you know, because the reception is bad here.
context: NO NEW MESSAGES\Nobu!\Yasu says lunch is ready.\Spaghetti with mushrooms!\I think we can count on a tasty meal. Yasu's cooking is the best.\Who are you expecting a reply from?\You've been checking your email all morning.\Well, you know, because the reception is bad here. response:	But you usually leave your cell phone in your room.
context: Nobu!\Yasu says lunch is ready.\Spaghetti with mushrooms!\I think we can count on a tasty meal. Yasu's cooking is the best.\Who are you expecting a reply from?\You've been checking your email all morning.\Well, you know, because the reception is bad here.\But you usually leave your cell phone in your room. response:	Shin, do something about that habit of yours of closely observing others.
context: Yasu says lunch is ready.\Spaghetti with mushrooms!\I think we can count on a tasty meal. Yasu's cooking is the best.\Who are you expecting a reply from?\You've been checking your email all morning.\Well, you know, because the reception is bad here.\But you usually leave your cell phone in your room.\Shin, do something about that habit of yours of closely observing others. response:	Sorry. But you're easy to figure out even without observing closely.
context: Spaghetti with mushrooms!\I think we can count on a tasty meal. Yasu's cooking is the best.\Who are you expecting a reply from?\You've been checking your email all morning.\Well, you know, because the reception is bad here.\But you usually leave your cell phone in your room.\Shin, do something about that habit of yours of closely observing others.\Sorry. But you're easy to figure out even without observing closely. response:	I don't want you figuring me out!
context: I think we can count on a tasty meal. Yasu's cooking is the best.\Who are you expecting a reply from?\You've been checking your email all morning.\Well, you know, because the reception is bad here.\But you usually leave your cell phone in your room.\Shin, do something about that habit of yours of closely observing others.\Sorry. But you're easy to figure out even without observing closely.\I don't want you figuring me out! response:	But I can.
context: Who are you expecting a reply from?\You've been checking your email all morning.\Well, you know, because the reception is bad here.\But you usually leave your cell phone in your room.\Shin, do something about that habit of yours of closely observing others.\Sorry. But you're easy to figure out even without observing closely.\I don't want you figuring me out!\But I can. response:	It's dangerous here.
context: You've been checking your email all morning.\Well, you know, because the reception is bad here.\But you usually leave your cell phone in your room.\Shin, do something about that habit of yours of closely observing others.\Sorry. But you're easy to figure out even without observing closely.\I don't want you figuring me out!\But I can.\It's dangerous here. response:	Looking at the night sky, it's as if you can reach the stars.
context: Well, you know, because the reception is bad here.\But you usually leave your cell phone in your room.\Shin, do something about that habit of yours of closely observing others.\Sorry. But you're easy to figure out even without observing closely.\I don't want you figuring me out!\But I can.\It's dangerous here.\Looking at the night sky, it's as if you can reach the stars. response:	You get the feeling that your dreams will come true.
context: But you usually leave your cell phone in your room.\Shin, do something about that habit of yours of closely observing others.\Sorry. But you're easy to figure out even without observing closely.\I don't want you figuring me out!\But I can.\It's dangerous here.\Looking at the night sky, it's as if you can reach the stars.\You get the feeling that your dreams will come true. response:	Shin, thank you for your email.
context: Shin, do something about that habit of yours of closely observing others.\Sorry. But you're easy to figure out even without observing closely.\I don't want you figuring me out!\But I can.\It's dangerous here.\Looking at the night sky, it's as if you can reach the stars.\You get the feeling that your dreams will come true.\Shin, thank you for your email. response:	I feel it's been a long time since I've seen that many stars.
context: Sorry. But you're easy to figure out even without observing closely.\I don't want you figuring me out!\But I can.\It's dangerous here.\Looking at the night sky, it's as if you can reach the stars.\You get the feeling that your dreams will come true.\Shin, thank you for your email.\I feel it's been a long time since I've seen that many stars. response:	Even if I close my eyes,
