context: Zankoku na tenshi no youni Like an angel without a sense of mercy... response:	Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.
context: Zankoku na tenshi no youni Like an angel without a sense of mercy...\Shonen yo shinwa ni nare...rise young boy to the heavens as a legend. response:	Neon Genesis Evangelion
context: Zankoku na tenshi no youni Like an angel without a sense of mercy...\Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.\Neon Genesis Evangelion response:	Aoi kaze ga ima Cold winds, as blue as the sea...
context: Zankoku na tenshi no youni Like an angel without a sense of mercy...\Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.\Neon Genesis Evangelion\Aoi kaze ga ima Cold winds, as blue as the sea... response:	Mune no door wo tataitemo Tear open the door to your heart...
context: Zankoku na tenshi no youni Like an angel without a sense of mercy...\Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.\Neon Genesis Evangelion\Aoi kaze ga ima Cold winds, as blue as the sea...\Mune no door wo tataitemo Tear open the door to your heart... response:	Watashidake wo tada mitsumete But unknowing you seem, just staring at me...
context: Zankoku na tenshi no youni Like an angel without a sense of mercy...\Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.\Neon Genesis Evangelion\Aoi kaze ga ima Cold winds, as blue as the sea...\Mune no door wo tataitemo Tear open the door to your heart...\Watashidake wo tada mitsumete But unknowing you seem, just staring at me... response:	Hohoenderu anata Standing there smiling serenely.
context: Zankoku na tenshi no youni Like an angel without a sense of mercy...\Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.\Neon Genesis Evangelion\Aoi kaze ga ima Cold winds, as blue as the sea...\Mune no door wo tataitemo Tear open the door to your heart...\Watashidake wo tada mitsumete But unknowing you seem, just staring at me...\Hohoenderu anata Standing there smiling serenely. response:	Sotto fureru mono Desperate for something to touch...
context: Zankoku na tenshi no youni Like an angel without a sense of mercy...\Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.\Neon Genesis Evangelion\Aoi kaze ga ima Cold winds, as blue as the sea...\Mune no door wo tataitemo Tear open the door to your heart...\Watashidake wo tada mitsumete But unknowing you seem, just staring at me...\Hohoenderu anata Standing there smiling serenely.\Sotto fureru mono Desperate for something to touch... response:	Motomeru koto ni muchu de A moment of kindness like that in a dream..
context: Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.\Neon Genesis Evangelion\Aoi kaze ga ima Cold winds, as blue as the sea...\Mune no door wo tataitemo Tear open the door to your heart...\Watashidake wo tada mitsumete But unknowing you seem, just staring at me...\Hohoenderu anata Standing there smiling serenely.\Sotto fureru mono Desperate for something to touch...\Motomeru koto ni muchu de A moment of kindness like that in a dream.. response:	Unmei sae mada shiranai Your innocent eyes as yet have no idea...
context: Neon Genesis Evangelion\Aoi kaze ga ima Cold winds, as blue as the sea...\Mune no door wo tataitemo Tear open the door to your heart...\Watashidake wo tada mitsumete But unknowing you seem, just staring at me...\Hohoenderu anata Standing there smiling serenely.\Sotto fureru mono Desperate for something to touch...\Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea... response:	Itaikena hitomi...of the path your destiny will follow.
context: Aoi kaze ga ima Cold winds, as blue as the sea...\Mune no door wo tataitemo Tear open the door to your heart...\Watashidake wo tada mitsumete But unknowing you seem, just staring at me...\Hohoenderu anata Standing there smiling serenely.\Sotto fureru mono Desperate for something to touch...\Motomeru koto ni muchu de A moment of kindness like that in a dream..\Unmei sae mada shiranai Your innocent eyes as yet have no idea...\Itaikena hitomi...of the path your destiny will follow. response:	Dakedo itsuka kizuku deshou But someday you'll become aware of...
