context: The Grand Magic Games response:	are about to begin at last.
context: The Grand Magic Games\are about to begin at last. response:	And Jellal is participating after all!
context: The Grand Magic Games\are about to begin at last.\And Jellal is participating after all! response:	So we put ourselves at risk to meet Fairy Tail for nothing, right?
context: The Grand Magic Games\are about to begin at last.\And Jellal is participating after all!\So we put ourselves at risk to meet Fairy Tail for nothing, right? response:	Oh, it wasn't for nothing.
context: The Grand Magic Games\are about to begin at last.\And Jellal is participating after all!\So we put ourselves at risk to meet Fairy Tail for nothing, right?\Oh, it wasn't for nothing. response:	At least not for Jellal and Erza...
context: The Grand Magic Games\are about to begin at last.\And Jellal is participating after all!\So we put ourselves at risk to meet Fairy Tail for nothing, right?\Oh, it wasn't for nothing.\At least not for Jellal and Erza... response:	And now, the Grand Magic Games' opening game! Let's begin Hidden!
context: The Grand Magic Games\are about to begin at last.\And Jellal is participating after all!\So we put ourselves at risk to meet Fairy Tail for nothing, right?\Oh, it wasn't for nothing.\At least not for Jellal and Erza...\And now, the Grand Magic Games' opening game! Let's begin Hidden! response:	The first person to step up is Quatro Cerberus's Yeager!
context: The Grand Magic Games\are about to begin at last.\And Jellal is participating after all!\So we put ourselves at risk to meet Fairy Tail for nothing, right?\Oh, it wasn't for nothing.\At least not for Jellal and Erza...\And now, the Grand Magic Games' opening game! Let's begin Hidden!\The first person to step up is Quatro Cerberus's Yeager! response:	From Mermaid Heel, Beth Vanderwood!
context: are about to begin at last.\And Jellal is participating after all!\So we put ourselves at risk to meet Fairy Tail for nothing, right?\Oh, it wasn't for nothing.\At least not for Jellal and Erza...\And now, the Grand Magic Games' opening game! Let's begin Hidden!\The first person to step up is Quatro Cerberus's Yeager!\From Mermaid Heel, Beth Vanderwood! response:	From Raven Tail, Nalpudding!
context: And Jellal is participating after all!\So we put ourselves at risk to meet Fairy Tail for nothing, right?\Oh, it wasn't for nothing.\At least not for Jellal and Erza...\And now, the Grand Magic Games' opening game! Let's begin Hidden!\The first person to step up is Quatro Cerberus's Yeager!\From Mermaid Heel, Beth Vanderwood!\From Raven Tail, Nalpudding! response:	Eve has been called out! From Blue Pegasus, Eve Tilm!
context: So we put ourselves at risk to meet Fairy Tail for nothing, right?\Oh, it wasn't for nothing.\At least not for Jellal and Erza...\And now, the Grand Magic Games' opening game! Let's begin Hidden!\The first person to step up is Quatro Cerberus's Yeager!\From Mermaid Heel, Beth Vanderwood!\From Raven Tail, Nalpudding!\Eve has been called out! From Blue Pegasus, Eve Tilm! response:	All eyes are on Sabertooth, and they go with the minstrel who sings to the red moon!
