context: You're restless, Kanaloa... response:	Do you also feel a stirring in your heart?
context: You're restless, Kanaloa...\Do you also feel a stirring in your heart? response:	Yes. This is a holy war.
context: You're restless, Kanaloa...\Do you also feel a stirring in your heart?\Yes. This is a holy war. response:	And I shall give no quarter to any who would oppose me.
context: You're restless, Kanaloa...\Do you also feel a stirring in your heart?\Yes. This is a holy war.\And I shall give no quarter to any who would oppose me. response:	Who are you?!
context: You're restless, Kanaloa...\Do you also feel a stirring in your heart?\Yes. This is a holy war.\And I shall give no quarter to any who would oppose me.\Who are you?! response:	What...?!
context: You're restless, Kanaloa...\Do you also feel a stirring in your heart?\Yes. This is a holy war.\And I shall give no quarter to any who would oppose me.\Who are you?!\What...?! response:	You're Coco...?!
context: You're restless, Kanaloa...\Do you also feel a stirring in your heart?\Yes. This is a holy war.\And I shall give no quarter to any who would oppose me.\Who are you?!\What...?!\You're Coco...?! response:	What are you doing in this world?!
context: You're restless, Kanaloa...\Do you also feel a stirring in your heart?\Yes. This is a holy war.\And I shall give no quarter to any who would oppose me.\Who are you?!\What...?!\You're Coco...?!\What are you doing in this world?! response:	Um... Coco, you're that girl from Edolas, right?
context: Do you also feel a stirring in your heart?\Yes. This is a holy war.\And I shall give no quarter to any who would oppose me.\Who are you?!\What...?!\You're Coco...?!\What are you doing in this world?!\Um... Coco, you're that girl from Edolas, right? response:	I see! You must have come to Earthland while we were gone!
context: Yes. This is a holy war.\And I shall give no quarter to any who would oppose me.\Who are you?!\What...?!\You're Coco...?!\What are you doing in this world?!\Um... Coco, you're that girl from Edolas, right?\I see! You must have come to Earthland while we were gone! response:	Considering all that, you look pretty young...
context: And I shall give no quarter to any who would oppose me.\Who are you?!\What...?!\You're Coco...?!\What are you doing in this world?!\Um... Coco, you're that girl from Edolas, right?\I see! You must have come to Earthland while we were gone!\Considering all that, you look pretty young... response:	What the hell is going on here, Coco?!
context: Who are you?!\What...?!\You're Coco...?!\What are you doing in this world?!\Um... Coco, you're that girl from Edolas, right?\I see! You must have come to Earthland while we were gone!\Considering all that, you look pretty young...\What the hell is going on here, Coco?! response:	Please don't talk so familiarly to me.
context: What...?!\You're Coco...?!\What are you doing in this world?!\Um... Coco, you're that girl from Edolas, right?\I see! You must have come to Earthland while we were gone!\Considering all that, you look pretty young...\What the hell is going on here, Coco?!\Please don't talk so familiarly to me. response:	This is my first time meeting you people.
context: You're Coco...?!\What are you doing in this world?!\Um... Coco, you're that girl from Edolas, right?\I see! You must have come to Earthland while we were gone!\Considering all that, you look pretty young...\What the hell is going on here, Coco?!\Please don't talk so familiarly to me.\This is my first time meeting you people. response:	What?!
context: What are you doing in this world?!\Um... Coco, you're that girl from Edolas, right?\I see! You must have come to Earthland while we were gone!\Considering all that, you look pretty young...\What the hell is going on here, Coco?!\Please don't talk so familiarly to me.\This is my first time meeting you people.\What?! response:	How could you forget us?!
context: Um... Coco, you're that girl from Edolas, right?\I see! You must have come to Earthland while we were gone!\Considering all that, you look pretty young...\What the hell is going on here, Coco?!\Please don't talk so familiarly to me.\This is my first time meeting you people.\What?!\How could you forget us?! response:	That's not what's going on! I think...
context: I see! You must have come to Earthland while we were gone!\Considering all that, you look pretty young...\What the hell is going on here, Coco?!\Please don't talk so familiarly to me.\This is my first time meeting you people.\What?!\How could you forget us?!\That's not what's going on! I think... response:	Huh?
context: Considering all that, you look pretty young...\What the hell is going on here, Coco?!\Please don't talk so familiarly to me.\This is my first time meeting you people.\What?!\How could you forget us?!\That's not what's going on! I think...\Huh? response:	I'm starvin'!
context: What the hell is going on here, Coco?!\Please don't talk so familiarly to me.\This is my first time meeting you people.\What?!\How could you forget us?!\That's not what's going on! I think...\Huh?\I'm starvin'! response:	I wonder where Gajeel-san went off to...
context: Please don't talk so familiarly to me.\This is my first time meeting you people.\What?!\How could you forget us?!\That's not what's going on! I think...\Huh?\I'm starvin'!\I wonder where Gajeel-san went off to... response:	A Man doesn't flee from his enemy!
context: This is my first time meeting you people.\What?!\How could you forget us?!\That's not what's going on! I think...\Huh?\I'm starvin'!\I wonder where Gajeel-san went off to...\A Man doesn't flee from his enemy! response:	Who are they?
context: What?!\How could you forget us?!\That's not what's going on! I think...\Huh?\I'm starvin'!\I wonder where Gajeel-san went off to...\A Man doesn't flee from his enemy!\Who are they? response:	Clients?
context: How could you forget us?!\That's not what's going on! I think...\Huh?\I'm starvin'!\I wonder where Gajeel-san went off to...\A Man doesn't flee from his enemy!\Who are they?\Clients? response:	Huh?
context: That's not what's going on! I think...\Huh?\I'm starvin'!\I wonder where Gajeel-san went off to...\A Man doesn't flee from his enemy!\Who are they?\Clients?\Huh? response:	Natsu-san, this person...
context: Huh?\I'm starvin'!\I wonder where Gajeel-san went off to...\A Man doesn't flee from his enemy!\Who are they?\Clients?\Huh?\Natsu-san, this person... response:	Queen Shagotte...?
context: I'm starvin'!\I wonder where Gajeel-san went off to...\A Man doesn't flee from his enemy!\Who are they?\Clients?\Huh?\Natsu-san, this person...\Queen Shagotte...? response:	Not her...
context: I wonder where Gajeel-san went off to...\A Man doesn't flee from his enemy!\Who are they?\Clients?\Huh?\Natsu-san, this person...\Queen Shagotte...?\Not her... response:	Coco?!
context: A Man doesn't flee from his enemy!\Who are they?\Clients?\Huh?\Natsu-san, this person...\Queen Shagotte...?\Not her...\Coco?! response:	Long time no see! I mean, how did you get to Earthland?!
context: Who are they?\Clients?\Huh?\Natsu-san, this person...\Queen Shagotte...?\Not her...\Coco?!\Long time no see! I mean, how did you get to Earthland?! response:	It seems like they're totally mistaking us for other people!
context: Clients?\Huh?\Natsu-san, this person...\Queen Shagotte...?\Not her...\Coco?!\Long time no see! I mean, how did you get to Earthland?!\It seems like they're totally mistaking us for other people! response:	Not important, Mary Hughes.
context: Huh?\Natsu-san, this person...\Queen Shagotte...?\Not her...\Coco?!\Long time no see! I mean, how did you get to Earthland?!\It seems like they're totally mistaking us for other people!\Not important, Mary Hughes. response:	Let's hurry up and get to work, Sugar Boy-san.
context: Natsu-san, this person...\Queen Shagotte...?\Not her...\Coco?!\Long time no see! I mean, how did you get to Earthland?!\It seems like they're totally mistaking us for other people!\Not important, Mary Hughes.\Let's hurry up and get to work, Sugar Boy-san. response:	Hughes?
context: Queen Shagotte...?\Not her...\Coco?!\Long time no see! I mean, how did you get to Earthland?!\It seems like they're totally mistaking us for other people!\Not important, Mary Hughes.\Let's hurry up and get to work, Sugar Boy-san.\Hughes? response:	Sugar Boy?!
context: Not her...\Coco?!\Long time no see! I mean, how did you get to Earthland?!\It seems like they're totally mistaking us for other people!\Not important, Mary Hughes.\Let's hurry up and get to work, Sugar Boy-san.\Hughes?\Sugar Boy?! response:	The guys we fought at that royal amusement park!
context: Coco?!\Long time no see! I mean, how did you get to Earthland?!\It seems like they're totally mistaking us for other people!\Not important, Mary Hughes.\Let's hurry up and get to work, Sugar Boy-san.\Hughes?\Sugar Boy?!\The guys we fought at that royal amusement park! response:	Now that you mention it, the face is similar...
context: Long time no see! I mean, how did you get to Earthland?!\It seems like they're totally mistaking us for other people!\Not important, Mary Hughes.\Let's hurry up and get to work, Sugar Boy-san.\Hughes?\Sugar Boy?!\The guys we fought at that royal amusement park!\Now that you mention it, the face is similar... response:	And you were a man!
context: It seems like they're totally mistaking us for other people!\Not important, Mary Hughes.\Let's hurry up and get to work, Sugar Boy-san.\Hughes?\Sugar Boy?!\The guys we fought at that royal amusement park!\Now that you mention it, the face is similar...\And you were a man! response:	What are you dressed like a woman for?!
context: Not important, Mary Hughes.\Let's hurry up and get to work, Sugar Boy-san.\Hughes?\Sugar Boy?!\The guys we fought at that royal amusement park!\Now that you mention it, the face is similar...\And you were a man!\What are you dressed like a woman for?! response:	I hate this guy already...
context: Let's hurry up and get to work, Sugar Boy-san.\Hughes?\Sugar Boy?!\The guys we fought at that royal amusement park!\Now that you mention it, the face is similar...\And you were a man!\What are you dressed like a woman for?!\I hate this guy already... response:	By the way, um...
context: Hughes?\Sugar Boy?!\The guys we fought at that royal amusement park!\Now that you mention it, the face is similar...\And you were a man!\What are you dressed like a woman for?!\I hate this guy already...\By the way, um... response:	What have you come here for?
context: Sugar Boy?!\The guys we fought at that royal amusement park!\Now that you mention it, the face is similar...\And you were a man!\What are you dressed like a woman for?!\I hate this guy already...\By the way, um...\What have you come here for? response:	This is our guild!
context: The guys we fought at that royal amusement park!\Now that you mention it, the face is similar...\And you were a man!\What are you dressed like a woman for?!\I hate this guy already...\By the way, um...\What have you come here for?\This is our guild! response:	The rumors were right. You are a pitiful bunch of wizards.
context: Now that you mention it, the face is similar...\And you were a man!\What are you dressed like a woman for?!\I hate this guy already...\By the way, um...\What have you come here for?\This is our guild!\The rumors were right. You are a pitiful bunch of wizards. response:	What?!
context: And you were a man!\What are you dressed like a woman for?!\I hate this guy already...\By the way, um...\What have you come here for?\This is our guild!\The rumors were right. You are a pitiful bunch of wizards.\What?! response:	We've got just one demand.
context: What are you dressed like a woman for?!\I hate this guy already...\By the way, um...\What have you come here for?\This is our guild!\The rumors were right. You are a pitiful bunch of wizards.\What?!\We've got just one demand. response:	Hand over Lucy Heartfilia!
context: I hate this guy already...\By the way, um...\What have you come here for?\This is our guild!\The rumors were right. You are a pitiful bunch of wizards.\What?!\We've got just one demand.\Hand over Lucy Heartfilia! response:	Hand her over...?!
context: By the way, um...\What have you come here for?\This is our guild!\The rumors were right. You are a pitiful bunch of wizards.\What?!\We've got just one demand.\Hand over Lucy Heartfilia!\Hand her over...?! response:	This is my first time seeing a marriage proposal...
context: What have you come here for?\This is our guild!\The rumors were right. You are a pitiful bunch of wizards.\What?!\We've got just one demand.\Hand over Lucy Heartfilia!\Hand her over...?!\This is my first time seeing a marriage proposal... response:	That's not what this is!
context: This is our guild!\The rumors were right. You are a pitiful bunch of wizards.\What?!\We've got just one demand.\Hand over Lucy Heartfilia!\Hand her over...?!\This is my first time seeing a marriage proposal...\That's not what this is! response:	Targeted Lucy!
context: The rumors were right. You are a pitiful bunch of wizards.\What?!\We've got just one demand.\Hand over Lucy Heartfilia!\Hand her over...?!\This is my first time seeing a marriage proposal...\That's not what this is!\Targeted Lucy! response:	There's no point in hiding her.
context: What?!\We've got just one demand.\Hand over Lucy Heartfilia!\Hand her over...?!\This is my first time seeing a marriage proposal...\That's not what this is!\Targeted Lucy!\There's no point in hiding her. response:	We know Lucy Heartfilia belongs to this guild.
context: We've got just one demand.\Hand over Lucy Heartfilia!\Hand her over...?!\This is my first time seeing a marriage proposal...\That's not what this is!\Targeted Lucy!\There's no point in hiding her.\We know Lucy Heartfilia belongs to this guild. response:	Maybe we'd better introduce ourselves, baby!
context: Hand over Lucy Heartfilia!\Hand her over...?!\This is my first time seeing a marriage proposal...\That's not what this is!\Targeted Lucy!\There's no point in hiding her.\We know Lucy Heartfilia belongs to this guild.\Maybe we'd better introduce ourselves, baby! response:	What is this about?
context: Hand her over...?!\This is my first time seeing a marriage proposal...\That's not what this is!\Targeted Lucy!\There's no point in hiding her.\We know Lucy Heartfilia belongs to this guild.\Maybe we'd better introduce ourselves, baby!\What is this about? response:	Why are they after you, Nee-san?
context: This is my first time seeing a marriage proposal...\That's not what this is!\Targeted Lucy!\There's no point in hiding her.\We know Lucy Heartfilia belongs to this guild.\Maybe we'd better introduce ourselves, baby!\What is this about?\Why are they after you, Nee-san? response:	Don't ask me!
