context: Pathetic. response:	Pathetic, pathetic, pathetic!
context: Pathetic.\Pathetic, pathetic, pathetic! response:	I can't even stand to look at you anymore!
context: Pathetic.\Pathetic, pathetic, pathetic!\I can't even stand to look at you anymore! response:	This is the height of stupidity, Emiya Shirou!
context: Pathetic.\Pathetic, pathetic, pathetic!\I can't even stand to look at you anymore!\This is the height of stupidity, Emiya Shirou! response:	You'll become a hero of justice?
context: Pathetic.\Pathetic, pathetic, pathetic!\I can't even stand to look at you anymore!\This is the height of stupidity, Emiya Shirou!\You'll become a hero of justice? response:	I was right, but nothing more?
context: Pathetic.\Pathetic, pathetic, pathetic!\I can't even stand to look at you anymore!\This is the height of stupidity, Emiya Shirou!\You'll become a hero of justice?\I was right, but nothing more? response:	Given what you now know, why can't you see that you're wrong?
context: Pathetic.\Pathetic, pathetic, pathetic!\I can't even stand to look at you anymore!\This is the height of stupidity, Emiya Shirou!\You'll become a hero of justice?\I was right, but nothing more?\Given what you now know, why can't you see that you're wrong? response:	Justice is a representation of order.
context: Pathetic.\Pathetic, pathetic, pathetic!\I can't even stand to look at you anymore!\This is the height of stupidity, Emiya Shirou!\You'll become a hero of justice?\I was right, but nothing more?\Given what you now know, why can't you see that you're wrong?\Justice is a representation of order. response:	Saving all and saving the individual are two different things.
context: Pathetic, pathetic, pathetic!\I can't even stand to look at you anymore!\This is the height of stupidity, Emiya Shirou!\You'll become a hero of justice?\I was right, but nothing more?\Given what you now know, why can't you see that you're wrong?\Justice is a representation of order.\Saving all and saving the individual are two different things. response:	They are mutually exclusive!
context: I can't even stand to look at you anymore!\This is the height of stupidity, Emiya Shirou!\You'll become a hero of justice?\I was right, but nothing more?\Given what you now know, why can't you see that you're wrong?\Justice is a representation of order.\Saving all and saving the individual are two different things.\They are mutually exclusive! response:	The more you strive for proper salvation,
context: This is the height of stupidity, Emiya Shirou!\You'll become a hero of justice?\I was right, but nothing more?\Given what you now know, why can't you see that you're wrong?\Justice is a representation of order.\Saving all and saving the individual are two different things.\They are mutually exclusive!\The more you strive for proper salvation, response:	the more you'll be consumed by your own contradiction.
context: You'll become a hero of justice?\I was right, but nothing more?\Given what you now know, why can't you see that you're wrong?\Justice is a representation of order.\Saving all and saving the individual are two different things.\They are mutually exclusive!\The more you strive for proper salvation,\the more you'll be consumed by your own contradiction. response:	You'll end up a simple killer for hire!
context: I was right, but nothing more?\Given what you now know, why can't you see that you're wrong?\Justice is a representation of order.\Saving all and saving the individual are two different things.\They are mutually exclusive!\The more you strive for proper salvation,\the more you'll be consumed by your own contradiction.\You'll end up a simple killer for hire! response:	If you're unable to see that, then die.
context: Given what you now know, why can't you see that you're wrong?\Justice is a representation of order.\Saving all and saving the individual are two different things.\They are mutually exclusive!\The more you strive for proper salvation,\the more you'll be consumed by your own contradiction.\You'll end up a simple killer for hire!\If you're unable to see that, then die. response:	Be smashed to pieces, along with your ideals.
context: Justice is a representation of order.\Saving all and saving the individual are two different things.\They are mutually exclusive!\The more you strive for proper salvation,\the more you'll be consumed by your own contradiction.\You'll end up a simple killer for hire!\If you're unable to see that, then die.\Be smashed to pieces, along with your ideals. response:	Burn out before you're able to achieve anything!
context: Saving all and saving the individual are two different things.\They are mutually exclusive!\The more you strive for proper salvation,\the more you'll be consumed by your own contradiction.\You'll end up a simple killer for hire!\If you're unable to see that, then die.\Be smashed to pieces, along with your ideals.\Burn out before you're able to achieve anything! response:	Yes, if that happened, a mistake like me would vanish like mist.
