context: This feels okay? response:	Thanks, Sakura-chan.
context: This feels okay?\Thanks, Sakura-chan. response:	I'm so nervous!
context: This feels okay?\Thanks, Sakura-chan.\I'm so nervous! response:	I hope I won't say the wrong lines.
context: This feels okay?\Thanks, Sakura-chan.\I'm so nervous!\I hope I won't say the wrong lines. response:	Don't worry.
context: This feels okay?\Thanks, Sakura-chan.\I'm so nervous!\I hope I won't say the wrong lines.\Don't worry. response:	You guys practiced so much.
context: This feels okay?\Thanks, Sakura-chan.\I'm so nervous!\I hope I won't say the wrong lines.\Don't worry.\You guys practiced so much. response:	Sakura-chan, you still haven't changed yet?
context: This feels okay?\Thanks, Sakura-chan.\I'm so nervous!\I hope I won't say the wrong lines.\Don't worry.\You guys practiced so much.\Sakura-chan, you still haven't changed yet? response:	Tomoyo said she's making the costumes for Li-kun and me,
context: This feels okay?\Thanks, Sakura-chan.\I'm so nervous!\I hope I won't say the wrong lines.\Don't worry.\You guys practiced so much.\Sakura-chan, you still haven't changed yet?\Tomoyo said she's making the costumes for Li-kun and me, response:	But she's not here yet.
context: Thanks, Sakura-chan.\I'm so nervous!\I hope I won't say the wrong lines.\Don't worry.\You guys practiced so much.\Sakura-chan, you still haven't changed yet?\Tomoyo said she's making the costumes for Li-kun and me,\But she's not here yet. response:	Sorry to keep you waiting!
context: I'm so nervous!\I hope I won't say the wrong lines.\Don't worry.\You guys practiced so much.\Sakura-chan, you still haven't changed yet?\Tomoyo said she's making the costumes for Li-kun and me,\But she's not here yet.\Sorry to keep you waiting! response:	Tomoyo-chan!
context: I hope I won't say the wrong lines.\Don't worry.\You guys practiced so much.\Sakura-chan, you still haven't changed yet?\Tomoyo said she's making the costumes for Li-kun and me,\But she's not here yet.\Sorry to keep you waiting!\Tomoyo-chan! response:	I stayed up two nights to finish this.
context: Don't worry.\You guys practiced so much.\Sakura-chan, you still haven't changed yet?\Tomoyo said she's making the costumes for Li-kun and me,\But she's not here yet.\Sorry to keep you waiting!\Tomoyo-chan!\I stayed up two nights to finish this. response:	Are you okay?
context: You guys practiced so much.\Sakura-chan, you still haven't changed yet?\Tomoyo said she's making the costumes for Li-kun and me,\But she's not here yet.\Sorry to keep you waiting!\Tomoyo-chan!\I stayed up two nights to finish this.\Are you okay? response:	This is a costume that you are going to wear!
context: Sakura-chan, you still haven't changed yet?\Tomoyo said she's making the costumes for Li-kun and me,\But she's not here yet.\Sorry to keep you waiting!\Tomoyo-chan!\I stayed up two nights to finish this.\Are you okay?\This is a costume that you are going to wear! response:	I cannot allow any mistakes!
context: Tomoyo said she's making the costumes for Li-kun and me,\But she's not here yet.\Sorry to keep you waiting!\Tomoyo-chan!\I stayed up two nights to finish this.\Are you okay?\This is a costume that you are going to wear!\I cannot allow any mistakes! response:	Now, let us get changed quickly!
context: But she's not here yet.\Sorry to keep you waiting!\Tomoyo-chan!\I stayed up two nights to finish this.\Are you okay?\This is a costume that you are going to wear!\I cannot allow any mistakes!\Now, let us get changed quickly! response:	Li-kun too!
context: Sorry to keep you waiting!\Tomoyo-chan!\I stayed up two nights to finish this.\Are you okay?\This is a costume that you are going to wear!\I cannot allow any mistakes!\Now, let us get changed quickly!\Li-kun too! response:	Too bad your father can't make it.
context: Tomoyo-chan!\I stayed up two nights to finish this.\Are you okay?\This is a costume that you are going to wear!\I cannot allow any mistakes!\Now, let us get changed quickly!\Li-kun too!\Too bad your father can't make it. response:	He said he couldn't leave the excavation site no matter what.
context: I stayed up two nights to finish this.\Are you okay?\This is a costume that you are going to wear!\I cannot allow any mistakes!\Now, let us get changed quickly!\Li-kun too!\Too bad your father can't make it.\He said he couldn't leave the excavation site no matter what. response:	This is really too bad.
context: Are you okay?\This is a costume that you are going to wear!\I cannot allow any mistakes!\Now, let us get changed quickly!\Li-kun too!\Too bad your father can't make it.\He said he couldn't leave the excavation site no matter what.\This is really too bad. response:	So, you're taking pictures. Yeah.
context: This is a costume that you are going to wear!\I cannot allow any mistakes!\Now, let us get changed quickly!\Li-kun too!\Too bad your father can't make it.\He said he couldn't leave the excavation site no matter what.\This is really too bad.\So, you're taking pictures. Yeah. response:	Father asked me to take them.
context: I cannot allow any mistakes!\Now, let us get changed quickly!\Li-kun too!\Too bad your father can't make it.\He said he couldn't leave the excavation site no matter what.\This is really too bad.\So, you're taking pictures. Yeah.\Father asked me to take them. response:	Sakura's is the first class to perform.
context: Now, let us get changed quickly!\Li-kun too!\Too bad your father can't make it.\He said he couldn't leave the excavation site no matter what.\This is really too bad.\So, you're taking pictures. Yeah.\Father asked me to take them.\Sakura's is the first class to perform. response:	It's the Sleeping Beauty.
context: Li-kun too!\Too bad your father can't make it.\He said he couldn't leave the excavation site no matter what.\This is really too bad.\So, you're taking pictures. Yeah.\Father asked me to take them.\Sakura's is the first class to perform.\It's the Sleeping Beauty. response:	Come to think of it, you did one last year too
