context: I found it first! response:	No, I found it first, brat!
context: I found it first!\No, I found it first, brat! response:	Sakura, it's coming your way!
context: I found it first!\No, I found it first, brat!\Sakura, it's coming your way! response:	Hold it right there!
context: I found it first!\No, I found it first, brat!\Sakura, it's coming your way!\Hold it right there! response:	Return to thy true form'
context: I found it first!\No, I found it first, brat!\Sakura, it's coming your way!\Hold it right there!\Return to thy true form' response:	'Clow Ca'
context: I found it first!\No, I found it first, brat!\Sakura, it's coming your way!\Hold it right there!\Return to thy true form'\'Clow Ca' response:	Sakura, seal it!
context: I found it first!\No, I found it first, brat!\Sakura, it's coming your way!\Hold it right there!\Return to thy true form'\'Clow Ca'\Sakura, seal it! response:	Hurry, before it has a chance to run away!
context: I found it first!\No, I found it first, brat!\Sakura, it's coming your way!\Hold it right there!\Return to thy true form'\'Clow Ca'\Sakura, seal it!\Hurry, before it has a chance to run away! response:	Eh?
context: No, I found it first, brat!\Sakura, it's coming your way!\Hold it right there!\Return to thy true form'\'Clow Ca'\Sakura, seal it!\Hurry, before it has a chance to run away!\Eh? response:	While we've got a hold of it, hurry!
context: Sakura, it's coming your way!\Hold it right there!\Return to thy true form'\'Clow Ca'\Sakura, seal it!\Hurry, before it has a chance to run away!\Eh?\While we've got a hold of it, hurry! response:	Return to thy true form' Clow Card!
context: Hold it right there!\Return to thy true form'\'Clow Ca'\Sakura, seal it!\Hurry, before it has a chance to run away!\Eh?\While we've got a hold of it, hurry!\Return to thy true form' Clow Card! response:	You OK?
context: Return to thy true form'\'Clow Ca'\Sakura, seal it!\Hurry, before it has a chance to run away!\Eh?\While we've got a hold of it, hurry!\Return to thy true form' Clow Card!\You OK? response:	Oh, man.
context: 'Clow Ca'\Sakura, seal it!\Hurry, before it has a chance to run away!\Eh?\While we've got a hold of it, hurry!\Return to thy true form' Clow Card!\You OK?\Oh, man. response:	What the heck?
context: Sakura, seal it!\Hurry, before it has a chance to run away!\Eh?\While we've got a hold of it, hurry!\Return to thy true form' Clow Card!\You OK?\Oh, man.\What the heck? response:	Hey, calm down.
context: Hurry, before it has a chance to run away!\Eh?\While we've got a hold of it, hurry!\Return to thy true form' Clow Card!\You OK?\Oh, man.\What the heck?\Hey, calm down. response:	What happened? Don't tell me that'
context: Eh?\While we've got a hold of it, hurry!\Return to thy true form' Clow Card!\You OK?\Oh, man.\What the heck?\Hey, calm down.\What happened? Don't tell me that' response:	Kero, that speaking style'
context: While we've got a hold of it, hurry!\Return to thy true form' Clow Card!\You OK?\Oh, man.\What the heck?\Hey, calm down.\What happened? Don't tell me that'\Kero, that speaking style' response:	Sakura, listen carefully.
context: Return to thy true form' Clow Card!\You OK?\Oh, man.\What the heck?\Hey, calm down.\What happened? Don't tell me that'\Kero, that speaking style'\Sakura, listen carefully. response:	And Li-kun has an Osaka accent'
context: You OK?\Oh, man.\What the heck?\Hey, calm down.\What happened? Don't tell me that'\Kero, that speaking style'\Sakura, listen carefully.\And Li-kun has an Osaka accent' response:	Don't be too surprised. I'm Cerberus.
context: Oh, man.\What the heck?\Hey, calm down.\What happened? Don't tell me that'\Kero, that speaking style'\Sakura, listen carefully.\And Li-kun has an Osaka accent'\Don't be too surprised. I'm Cerberus. response:	W' what're you saying? Li-kun, don't kid around'
context: What the heck?\Hey, calm down.\What happened? Don't tell me that'\Kero, that speaking style'\Sakura, listen carefully.\And Li-kun has an Osaka accent'\Don't be too surprised. I'm Cerberus.\W' what're you saying? Li-kun, don't kid around' response:	It's not a joke. I'm Li Shao Lan.
context: Hey, calm down.\What happened? Don't tell me that'\Kero, that speaking style'\Sakura, listen carefully.\And Li-kun has an Osaka accent'\Don't be too surprised. I'm Cerberus.\W' what're you saying? Li-kun, don't kid around'\It's not a joke. I'm Li Shao Lan. response:	Eh!
context: What happened? Don't tell me that'\Kero, that speaking style'\Sakura, listen carefully.\And Li-kun has an Osaka accent'\Don't be too surprised. I'm Cerberus.\W' what're you saying? Li-kun, don't kid around'\It's not a joke. I'm Li Shao Lan.\Eh! response:	'Sa-ku-ra.'
context: Kero, that speaking style'\Sakura, listen carefully.\And Li-kun has an Osaka accent'\Don't be too surprised. I'm Cerberus.\W' what're you saying? Li-kun, don't kid around'\It's not a joke. I'm Li Shao Lan.\Eh!\'Sa-ku-ra.' response:	Alright, Kero, Let's go home.
context: Sakura, listen carefully.\And Li-kun has an Osaka accent'\Don't be too surprised. I'm Cerberus.\W' what're you saying? Li-kun, don't kid around'\It's not a joke. I'm Li Shao Lan.\Eh!\'Sa-ku-ra.'\Alright, Kero, Let's go home. response:	I'm not him!
context: And Li-kun has an Osaka accent'\Don't be too surprised. I'm Cerberus.\W' what're you saying? Li-kun, don't kid around'\It's not a joke. I'm Li Shao Lan.\Eh!\'Sa-ku-ra.'\Alright, Kero, Let's go home.\I'm not him! response:	So he's Kero and you're Li?
context: Don't be too surprised. I'm Cerberus.\W' what're you saying? Li-kun, don't kid around'\It's not a joke. I'm Li Shao Lan.\Eh!\'Sa-ku-ra.'\Alright, Kero, Let's go home.\I'm not him!\So he's Kero and you're Li? response:	That's right.
context: W' what're you saying? Li-kun, don't kid around'\It's not a joke. I'm Li Shao Lan.\Eh!\'Sa-ku-ra.'\Alright, Kero, Let's go home.\I'm not him!\So he's Kero and you're Li?\That's right. response:	What did this Card do?
context: It's not a joke. I'm Li Shao Lan.\Eh!\'Sa-ku-ra.'\Alright, Kero, Let's go home.\I'm not him!\So he's Kero and you're Li?\That's right.\What did this Card do? response:	What could happen to you two?
context: Eh!\'Sa-ku-ra.'\Alright, Kero, Let's go home.\I'm not him!\So he's Kero and you're Li?\That's right.\What did this Card do?\What could happen to you two? response:	What do you mean?
context: 'Sa-ku-ra.'\Alright, Kero, Let's go home.\I'm not him!\So he's Kero and you're Li?\That's right.\What did this Card do?\What could happen to you two?\What do you mean? response:	Ah, this time that ain't gonna happen.
context: Alright, Kero, Let's go home.\I'm not him!\So he's Kero and you're Li?\That's right.\What did this Card do?\What could happen to you two?\What do you mean?\Ah, this time that ain't gonna happen. response:	Eh?
context: I'm not him!\So he's Kero and you're Li?\That's right.\What did this Card do?\What could happen to you two?\What do you mean?\Ah, this time that ain't gonna happen.\Eh? response:	It's just a switching of body and soul.
context: So he's Kero and you're Li?\That's right.\What did this Card do?\What could happen to you two?\What do you mean?\Ah, this time that ain't gonna happen.\Eh?\It's just a switching of body and soul. response:	So, it's not like someone got angry and used this on you?
context: That's right.\What did this Card do?\What could happen to you two?\What do you mean?\Ah, this time that ain't gonna happen.\Eh?\It's just a switching of body and soul.\So, it's not like someone got angry and used this on you? response:	Not this time?
context: What did this Card do?\What could happen to you two?\What do you mean?\Ah, this time that ain't gonna happen.\Eh?\It's just a switching of body and soul.\So, it's not like someone got angry and used this on you?\Not this time? response:	Nope.
context: What could happen to you two?\What do you mean?\Ah, this time that ain't gonna happen.\Eh?\It's just a switching of body and soul.\So, it's not like someone got angry and used this on you?\Not this time?\Nope. response:	So how did this Card do it?
context: What do you mean?\Ah, this time that ain't gonna happen.\Eh?\It's just a switching of body and soul.\So, it's not like someone got angry and used this on you?\Not this time?\Nope.\So how did this Card do it? response:	Clow Reed, the guy who made the Cards,
context: Ah, this time that ain't gonna happen.\Eh?\It's just a switching of body and soul.\So, it's not like someone got angry and used this on you?\Not this time?\Nope.\So how did this Card do it?\Clow Reed, the guy who made the Cards, response:	did a lot of things.
context: Eh?\It's just a switching of body and soul.\So, it's not like someone got angry and used this on you?\Not this time?\Nope.\So how did this Card do it?\Clow Reed, the guy who made the Cards,\did a lot of things. response:	Pretty careless, aren't you?
context: It's just a switching of body and soul.\So, it's not like someone got angry and used this on you?\Not this time?\Nope.\So how did this Card do it?\Clow Reed, the guy who made the Cards,\did a lot of things.\Pretty careless, aren't you? response:	What did you say?
context: So, it's not like someone got angry and used this on you?\Not this time?\Nope.\So how did this Card do it?\Clow Reed, the guy who made the Cards,\did a lot of things.\Pretty careless, aren't you?\What did you say? response:	You might be okay'
context: Not this time?\Nope.\So how did this Card do it?\Clow Reed, the guy who made the Cards,\did a lot of things.\Pretty careless, aren't you?\What did you say?\You might be okay' response:	'but what about me in this stuffed animal's body?
context: Nope.\So how did this Card do it?\Clow Reed, the guy who made the Cards,\did a lot of things.\Pretty careless, aren't you?\What did you say?\You might be okay'\'but what about me in this stuffed animal's body? response:	Who's a stuffed animal?
