context: 'I Will Be the One Who Wins... Risking Survival, A Final Attack' response:	What's wrong!? Are you so afraid you'll wear yourself out you can't put out your full power!?
context: 'I Will Be the One Who Wins... Risking Survival, A Final Attack'\What's wrong!? Are you so afraid you'll wear yourself out you can't put out your full power!? response:	Don't get...
context: 'I Will Be the One Who Wins... Risking Survival, A Final Attack'\What's wrong!? Are you so afraid you'll wear yourself out you can't put out your full power!?\Don't get... response:	Don't get so...
context: 'I Will Be the One Who Wins... Risking Survival, A Final Attack'\What's wrong!? Are you so afraid you'll wear yourself out you can't put out your full power!?\Don't get...\Don't get so... response:	You underestimated me, didn't you? Let me tell you that this is still not my full power!
context: 'I Will Be the One Who Wins... Risking Survival, A Final Attack'\What's wrong!? Are you so afraid you'll wear yourself out you can't put out your full power!?\Don't get...\Don't get so...\You underestimated me, didn't you? Let me tell you that this is still not my full power! response:	That was only about 70 percent.
context: 'I Will Be the One Who Wins... Risking Survival, A Final Attack'\What's wrong!? Are you so afraid you'll wear yourself out you can't put out your full power!?\Don't get...\Don't get so...\You underestimated me, didn't you? Let me tell you that this is still not my full power!\That was only about 70 percent. response:	And, starting now...
context: 'I Will Be the One Who Wins... Risking Survival, A Final Attack'\What's wrong!? Are you so afraid you'll wear yourself out you can't put out your full power!?\Don't get...\Don't get so...\You underestimated me, didn't you? Let me tell you that this is still not my full power!\That was only about 70 percent.\And, starting now... response:	I'll settle this with my full power in one minute-no, thirty seconds!
context: 'I Will Be the One Who Wins... Risking Survival, A Final Attack'\What's wrong!? Are you so afraid you'll wear yourself out you can't put out your full power!?\Don't get...\Don't get so...\You underestimated me, didn't you? Let me tell you that this is still not my full power!\That was only about 70 percent.\And, starting now...\I'll settle this with my full power in one minute-no, thirty seconds! response:	It's no good! I can't find Bulma-san's Ki at all!
context: What's wrong!? Are you so afraid you'll wear yourself out you can't put out your full power!?\Don't get...\Don't get so...\You underestimated me, didn't you? Let me tell you that this is still not my full power!\That was only about 70 percent.\And, starting now...\I'll settle this with my full power in one minute-no, thirty seconds!\It's no good! I can't find Bulma-san's Ki at all! response:	And you know, something is beginning to happen to this planet! Something beyond hope!
context: Don't get...\Don't get so...\You underestimated me, didn't you? Let me tell you that this is still not my full power!\That was only about 70 percent.\And, starting now...\I'll settle this with my full power in one minute-no, thirty seconds!\It's no good! I can't find Bulma-san's Ki at all!\And you know, something is beginning to happen to this planet! Something beyond hope! response:	Besides which, Freeza's Ki seems to again be getting greater! What can it mean?
context: Don't get so...\You underestimated me, didn't you? Let me tell you that this is still not my full power!\That was only about 70 percent.\And, starting now...\I'll settle this with my full power in one minute-no, thirty seconds!\It's no good! I can't find Bulma-san's Ki at all!\And you know, something is beginning to happen to this planet! Something beyond hope!\Besides which, Freeza's Ki seems to again be getting greater! What can it mean? response:	W- whatever happens, you just watch me live through this!
context: You underestimated me, didn't you? Let me tell you that this is still not my full power!\That was only about 70 percent.\And, starting now...\I'll settle this with my full power in one minute-no, thirty seconds!\It's no good! I can't find Bulma-san's Ki at all!\And you know, something is beginning to happen to this planet! Something beyond hope!\Besides which, Freeza's Ki seems to again be getting greater! What can it mean?\W- whatever happens, you just watch me live through this! response:	Somebody, hurry and come save me! Please!
context: That was only about 70 percent.\And, starting now...\I'll settle this with my full power in one minute-no, thirty seconds!\It's no good! I can't find Bulma-san's Ki at all!\And you know, something is beginning to happen to this planet! Something beyond hope!\Besides which, Freeza's Ki seems to again be getting greater! What can it mean?\W- whatever happens, you just watch me live through this!\Somebody, hurry and come save me! Please! response:	Incredible! His Ki is billowing up and filling him out!
context: And, starting now...\I'll settle this with my full power in one minute-no, thirty seconds!\It's no good! I can't find Bulma-san's Ki at all!\And you know, something is beginning to happen to this planet! Something beyond hope!\Besides which, Freeza's Ki seems to again be getting greater! What can it mean?\W- whatever happens, you just watch me live through this!\Somebody, hurry and come save me! Please!\Incredible! His Ki is billowing up and filling him out! response:	So this is finally the realization of his 100 percent power, is it?
context: I'll settle this with my full power in one minute-no, thirty seconds!\It's no good! I can't find Bulma-san's Ki at all!\And you know, something is beginning to happen to this planet! Something beyond hope!\Besides which, Freeza's Ki seems to again be getting greater! What can it mean?\W- whatever happens, you just watch me live through this!\Somebody, hurry and come save me! Please!\Incredible! His Ki is billowing up and filling him out!\So this is finally the realization of his 100 percent power, is it? response:	What are you doing, Goku!?
context: It's no good! I can't find Bulma-san's Ki at all!\And you know, something is beginning to happen to this planet! Something beyond hope!\Besides which, Freeza's Ki seems to again be getting greater! What can it mean?\W- whatever happens, you just watch me live through this!\Somebody, hurry and come save me! Please!\Incredible! His Ki is billowing up and filling him out!\So this is finally the realization of his 100 percent power, is it?\What are you doing, Goku!? response:	Goku, can you hear me!? Hey!
