context: Are you... Mari?! response:	I had sworn to myself that I would never speak that way in front of you.
context: Are you... Mari?!\I had sworn to myself that I would never speak that way in front of you. response:	But to think that was precisely what made you remember me, Raku-sama...
context: Are you... Mari?!\I had sworn to myself that I would never speak that way in front of you.\But to think that was precisely what made you remember me, Raku-sama... response:	That's rather ironic, isn't it?
context: Are you... Mari?!\I had sworn to myself that I would never speak that way in front of you.\But to think that was precisely what made you remember me, Raku-sama...\That's rather ironic, isn't it? response:	It's starting to come back to me.
context: Are you... Mari?!\I had sworn to myself that I would never speak that way in front of you.\But to think that was precisely what made you remember me, Raku-sama...\That's rather ironic, isn't it?\It's starting to come back to me. response:	I actually did make friends with a girl who talked like that, many years ago.
context: Are you... Mari?!\I had sworn to myself that I would never speak that way in front of you.\But to think that was precisely what made you remember me, Raku-sama...\That's rather ironic, isn't it?\It's starting to come back to me.\I actually did make friends with a girl who talked like that, many years ago. response:	I'm really sure she was frail too.
context: Are you... Mari?!\I had sworn to myself that I would never speak that way in front of you.\But to think that was precisely what made you remember me, Raku-sama...\That's rather ironic, isn't it?\It's starting to come back to me.\I actually did make friends with a girl who talked like that, many years ago.\I'm really sure she was frail too. response:	Yes, our first meeting was during that summer ten years ago, Raku-sama.
context: Are you... Mari?!\I had sworn to myself that I would never speak that way in front of you.\But to think that was precisely what made you remember me, Raku-sama...\That's rather ironic, isn't it?\It's starting to come back to me.\I actually did make friends with a girl who talked like that, many years ago.\I'm really sure she was frail too.\Yes, our first meeting was during that summer ten years ago, Raku-sama. response:	That summer ten years ago?
context: I had sworn to myself that I would never speak that way in front of you.\But to think that was precisely what made you remember me, Raku-sama...\That's rather ironic, isn't it?\It's starting to come back to me.\I actually did make friends with a girl who talked like that, many years ago.\I'm really sure she was frail too.\Yes, our first meeting was during that summer ten years ago, Raku-sama.\That summer ten years ago? response:	That makes you the same as Onodera and Chitoge...
context: But to think that was precisely what made you remember me, Raku-sama...\That's rather ironic, isn't it?\It's starting to come back to me.\I actually did make friends with a girl who talked like that, many years ago.\I'm really sure she was frail too.\Yes, our first meeting was during that summer ten years ago, Raku-sama.\That summer ten years ago?\That makes you the same as Onodera and Chitoge... response:	Episode 15: Three Keys
context: That's rather ironic, isn't it?\It's starting to come back to me.\I actually did make friends with a girl who talked like that, many years ago.\I'm really sure she was frail too.\Yes, our first meeting was during that summer ten years ago, Raku-sama.\That summer ten years ago?\That makes you the same as Onodera and Chitoge...\Episode 15: Three Keys response:	Episode 15: Three Keys
context: It's starting to come back to me.\I actually did make friends with a girl who talked like that, many years ago.\I'm really sure she was frail too.\Yes, our first meeting was during that summer ten years ago, Raku-sama.\That summer ten years ago?\That makes you the same as Onodera and Chitoge...\Episode 15: Three Keys\Episode 15: Three Keys response:	Episode 15: Three Keys
context: I actually did make friends with a girl who talked like that, many years ago.\I'm really sure she was frail too.\Yes, our first meeting was during that summer ten years ago, Raku-sama.\That summer ten years ago?\That makes you the same as Onodera and Chitoge...\Episode 15: Three Keys\Episode 15: Three Keys\Episode 15: Three Keys response:	Our first meeting was during that summer ten years ago, Raku-sama.
context: I'm really sure she was frail too.\Yes, our first meeting was during that summer ten years ago, Raku-sama.\That summer ten years ago?\That makes you the same as Onodera and Chitoge...\Episode 15: Three Keys\Episode 15: Three Keys\Episode 15: Three Keys\Our first meeting was during that summer ten years ago, Raku-sama. response:	As I was very frail when I was a little girl,
context: Yes, our first meeting was during that summer ten years ago, Raku-sama.\That summer ten years ago?\That makes you the same as Onodera and Chitoge...\Episode 15: Three Keys\Episode 15: Three Keys\Episode 15: Three Keys\Our first meeting was during that summer ten years ago, Raku-sama.\As I was very frail when I was a little girl, response:	my father brought me to a sanatorium in the mountains, where the air was fresh and clean.
context: That summer ten years ago?\That makes you the same as Onodera and Chitoge...\Episode 15: Three Keys\Episode 15: Three Keys\Episode 15: Three Keys\Our first meeting was during that summer ten years ago, Raku-sama.\As I was very frail when I was a little girl,\my father brought me to a sanatorium in the mountains, where the air was fresh and clean. response:	It was another day of boredom for me in my hospital room.
context: That makes you the same as Onodera and Chitoge...\Episode 15: Three Keys\Episode 15: Three Keys\Episode 15: Three Keys\Our first meeting was during that summer ten years ago, Raku-sama.\As I was very frail when I was a little girl,\my father brought me to a sanatorium in the mountains, where the air was fresh and clean.\It was another day of boredom for me in my hospital room. response:	But then...
context: Episode 15: Three Keys\Episode 15: Three Keys\Episode 15: Three Keys\Our first meeting was during that summer ten years ago, Raku-sama.\As I was very frail when I was a little girl,\my father brought me to a sanatorium in the mountains, where the air was fresh and clean.\It was another day of boredom for me in my hospital room.\But then... response:	Since I'd always been so delicate,
context: Episode 15: Three Keys\Episode 15: Three Keys\Our first meeting was during that summer ten years ago, Raku-sama.\As I was very frail when I was a little girl,\my father brought me to a sanatorium in the mountains, where the air was fresh and clean.\It was another day of boredom for me in my hospital room.\But then...\Since I'd always been so delicate, response:	I'd never quite had the chance play outside with other children.
context: Episode 15: Three Keys\Our first meeting was during that summer ten years ago, Raku-sama.\As I was very frail when I was a little girl,\my father brought me to a sanatorium in the mountains, where the air was fresh and clean.\It was another day of boredom for me in my hospital room.\But then...\Since I'd always been so delicate,\I'd never quite had the chance play outside with other children. response:	Oh? So your name's Marika, huh?
context: Our first meeting was during that summer ten years ago, Raku-sama.\As I was very frail when I was a little girl,\my father brought me to a sanatorium in the mountains, where the air was fresh and clean.\It was another day of boredom for me in my hospital room.\But then...\Since I'd always been so delicate,\I'd never quite had the chance play outside with other children.\Oh? So your name's Marika, huh? response:	Well, my daddy always calls me Mari anyhow.
context: As I was very frail when I was a little girl,\my father brought me to a sanatorium in the mountains, where the air was fresh and clean.\It was another day of boredom for me in my hospital room.\But then...\Since I'd always been so delicate,\I'd never quite had the chance play outside with other children.\Oh? So your name's Marika, huh?\Well, my daddy always calls me Mari anyhow. response:	Anyhow? Mari it is, then.
context: my father brought me to a sanatorium in the mountains, where the air was fresh and clean.\It was another day of boredom for me in my hospital room.\But then...\Since I'd always been so delicate,\I'd never quite had the chance play outside with other children.\Oh? So your name's Marika, huh?\Well, my daddy always calls me Mari anyhow.\Anyhow? Mari it is, then. response:	When you heard that, you started coming to my room every day,
context: It was another day of boredom for me in my hospital room.\But then...\Since I'd always been so delicate,\I'd never quite had the chance play outside with other children.\Oh? So your name's Marika, huh?\Well, my daddy always calls me Mari anyhow.\Anyhow? Mari it is, then.\When you heard that, you started coming to my room every day, response:	Look!
context: But then...\Since I'd always been so delicate,\I'd never quite had the chance play outside with other children.\Oh? So your name's Marika, huh?\Well, my daddy always calls me Mari anyhow.\Anyhow? Mari it is, then.\When you heard that, you started coming to my room every day,\Look! response:	bringing me back little things you'd found on the mountain, as souvenirs, and showed me such a good time.
context: Since I'd always been so delicate,\I'd never quite had the chance play outside with other children.\Oh? So your name's Marika, huh?\Well, my daddy always calls me Mari anyhow.\Anyhow? Mari it is, then.\When you heard that, you started coming to my room every day,\Look!\bringing me back little things you'd found on the mountain, as souvenirs, and showed me such a good time. response:	Wow! That's amazing!
context: I'd never quite had the chance play outside with other children.\Oh? So your name's Marika, huh?\Well, my daddy always calls me Mari anyhow.\Anyhow? Mari it is, then.\When you heard that, you started coming to my room every day,\Look!\bringing me back little things you'd found on the mountain, as souvenirs, and showed me such a good time.\Wow! That's amazing! response:	She's right. I do remember doing that, years ago!
context: Oh? So your name's Marika, huh?\Well, my daddy always calls me Mari anyhow.\Anyhow? Mari it is, then.\When you heard that, you started coming to my room every day,\Look!\bringing me back little things you'd found on the mountain, as souvenirs, and showed me such a good time.\Wow! That's amazing!\She's right. I do remember doing that, years ago! response:	Your kindness made me so happy, Raku-sama.
context: Well, my daddy always calls me Mari anyhow.\Anyhow? Mari it is, then.\When you heard that, you started coming to my room every day,\Look!\bringing me back little things you'd found on the mountain, as souvenirs, and showed me such a good time.\Wow! That's amazing!\She's right. I do remember doing that, years ago!\Your kindness made me so happy, Raku-sama. response:	And then one day, my father asked me...
context: Anyhow? Mari it is, then.\When you heard that, you started coming to my room every day,\Look!\bringing me back little things you'd found on the mountain, as souvenirs, and showed me such a good time.\Wow! That's amazing!\She's right. I do remember doing that, years ago!\Your kindness made me so happy, Raku-sama.\And then one day, my father asked me... response:	Mari, have you taken a fancy to that young'n?
context: When you heard that, you started coming to my room every day,\Look!\bringing me back little things you'd found on the mountain, as souvenirs, and showed me such a good time.\Wow! That's amazing!\She's right. I do remember doing that, years ago!\Your kindness made me so happy, Raku-sama.\And then one day, my father asked me...\Mari, have you taken a fancy to that young'n? response:	Just say so, an' I'll make him marry you.
