context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J response:	J It's you and me I know it's my destiny J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J response:	J Pokemon! Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J response:	J Pokemon! Gotta catch'em all A heart so true J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J response:	J Our courage will pull us through J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J response:	J You teach me and I'll teach you Pokemon! J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J response:	J Gotta catch'em all, gotta catch'em all Pokemon! J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J response:	Blue skies.
context: J Pokemon! Gotta catch'em all J\J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Blue skies. response:	White clouds.
context: J It's you and me I know it's my destiny J\J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Blue skies.\White clouds. response:	And see as far as you can see.
context: J Pokemon! Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Blue skies.\White clouds.\And see as far as you can see. response:	Oh, I wish that ship could take us off this island.
context: J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Blue skies.\White clouds.\And see as far as you can see.\Oh, I wish that ship could take us off this island. response:	We find our heroes stranded at Porta Vista,
context: J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Blue skies.\White clouds.\And see as far as you can see.\Oh, I wish that ship could take us off this island.\We find our heroes stranded at Porta Vista, response:	the only town on the island with ferries to the mainland.
context: J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all, gotta catch'em all Pokemon! J\Blue skies.\White clouds.\And see as far as you can see.\Oh, I wish that ship could take us off this island.\We find our heroes stranded at Porta Vista,\the only town on the island with ferries to the mainland. response:	It seems our friends have missed the boat.
context: J Gotta catch'em all, gotta catch'em all Pokemon! J\Blue skies.\White clouds.\And see as far as you can see.\Oh, I wish that ship could take us off this island.\We find our heroes stranded at Porta Vista,\the only town on the island with ferries to the mainland.\It seems our friends have missed the boat. response:	It'll be a long three hours until the next ferry.
context: Blue skies.\White clouds.\And see as far as you can see.\Oh, I wish that ship could take us off this island.\We find our heroes stranded at Porta Vista,\the only town on the island with ferries to the mainland.\It seems our friends have missed the boat.\It'll be a long three hours until the next ferry. response:	-Pika. Chu chu! -Huh?
context: White clouds.\And see as far as you can see.\Oh, I wish that ship could take us off this island.\We find our heroes stranded at Porta Vista,\the only town on the island with ferries to the mainland.\It seems our friends have missed the boat.\It'll be a long three hours until the next ferry.\-Pika. Chu chu! -Huh? response:	Oh, look. It's a Horsea. How cute.
context: And see as far as you can see.\Oh, I wish that ship could take us off this island.\We find our heroes stranded at Porta Vista,\the only town on the island with ferries to the mainland.\It seems our friends have missed the boat.\It'll be a long three hours until the next ferry.\-Pika. Chu chu! -Huh?\Oh, look. It's a Horsea. How cute. response:	Huh? Where? Hey!
context: Oh, I wish that ship could take us off this island.\We find our heroes stranded at Porta Vista,\the only town on the island with ferries to the mainland.\It seems our friends have missed the boat.\It'll be a long three hours until the next ferry.\-Pika. Chu chu! -Huh?\Oh, look. It's a Horsea. How cute.\Huh? Where? Hey! response:	I'll just get Dexter to tell me about it.
context: We find our heroes stranded at Porta Vista,\the only town on the island with ferries to the mainland.\It seems our friends have missed the boat.\It'll be a long three hours until the next ferry.\-Pika. Chu chu! -Huh?\Oh, look. It's a Horsea. How cute.\Huh? Where? Hey!\I'll just get Dexter to tell me about it. response:	Horsea, a dragon Pokemon.
context: the only town on the island with ferries to the mainland.\It seems our friends have missed the boat.\It'll be a long three hours until the next ferry.\-Pika. Chu chu! -Huh?\Oh, look. It's a Horsea. How cute.\Huh? Where? Hey!\I'll just get Dexter to tell me about it.\Horsea, a dragon Pokemon. response:	With this unique Pokemon species,
