context: Sakura-chan, response:	you don't really feel asleep recently.
context: Sakura-chan,\you don't really feel asleep recently. response:	Yeah, if it's just a little,
context: Sakura-chan,\you don't really feel asleep recently.\Yeah, if it's just a little, response:	I won't feel too tired anymore.
context: Sakura-chan,\you don't really feel asleep recently.\Yeah, if it's just a little,\I won't feel too tired anymore. response:	This must mean your power is growing!
context: Sakura-chan,\you don't really feel asleep recently.\Yeah, if it's just a little,\I won't feel too tired anymore.\This must mean your power is growing! response:	Power?
context: Sakura-chan,\you don't really feel asleep recently.\Yeah, if it's just a little,\I won't feel too tired anymore.\This must mean your power is growing!\Power? response:	Everyday
context: Sakura-chan,\you don't really feel asleep recently.\Yeah, if it's just a little,\I won't feel too tired anymore.\This must mean your power is growing!\Power?\Everyday response:	you become more cute,
context: Sakura-chan,\you don't really feel asleep recently.\Yeah, if it's just a little,\I won't feel too tired anymore.\This must mean your power is growing!\Power?\Everyday\you become more cute, response:	pretty and confident.
context: you don't really feel asleep recently.\Yeah, if it's just a little,\I won't feel too tired anymore.\This must mean your power is growing!\Power?\Everyday\you become more cute,\pretty and confident. response:	So I don't ever want to stop being by your side to videotape you.
context: Yeah, if it's just a little,\I won't feel too tired anymore.\This must mean your power is growing!\Power?\Everyday\you become more cute,\pretty and confident.\So I don't ever want to stop being by your side to videotape you. response:	So I can help you with all of your costume!
context: I won't feel too tired anymore.\This must mean your power is growing!\Power?\Everyday\you become more cute,\pretty and confident.\So I don't ever want to stop being by your side to videotape you.\So I can help you with all of your costume! response:	It is just too great!
context: This must mean your power is growing!\Power?\Everyday\you become more cute,\pretty and confident.\So I don't ever want to stop being by your side to videotape you.\So I can help you with all of your costume!\It is just too great! response:	Tomoyo-chan'
context: Power?\Everyday\you become more cute,\pretty and confident.\So I don't ever want to stop being by your side to videotape you.\So I can help you with all of your costume!\It is just too great!\Tomoyo-chan' response:	But when we are together
context: Everyday\you become more cute,\pretty and confident.\So I don't ever want to stop being by your side to videotape you.\So I can help you with all of your costume!\It is just too great!\Tomoyo-chan'\But when we are together response:	something dangerous might happen to you.
context: you become more cute,\pretty and confident.\So I don't ever want to stop being by your side to videotape you.\So I can help you with all of your costume!\It is just too great!\Tomoyo-chan'\But when we are together\something dangerous might happen to you. response:	Compared with all I can get, this is actually small price to pay.
context: pretty and confident.\So I don't ever want to stop being by your side to videotape you.\So I can help you with all of your costume!\It is just too great!\Tomoyo-chan'\But when we are together\something dangerous might happen to you.\Compared with all I can get, this is actually small price to pay. response:	Besides' whenever I am with you, everything will be alright.
context: So I don't ever want to stop being by your side to videotape you.\So I can help you with all of your costume!\It is just too great!\Tomoyo-chan'\But when we are together\something dangerous might happen to you.\Compared with all I can get, this is actually small price to pay.\Besides' whenever I am with you, everything will be alright. response:	Re, really?
