context: Jheese, how high is my battle power now? response:	Yes, sir...
context: Jheese, how high is my battle power now?\Yes, sir... response:	What's wrong? Jheese, hurry up and tell me!
context: Jheese, how high is my battle power now?\Yes, sir...\What's wrong? Jheese, hurry up and tell me! response:	I- it's 23,000.
context: Jheese, how high is my battle power now?\Yes, sir...\What's wrong? Jheese, hurry up and tell me!\I- it's 23,000. response:	What's that? I can't hear you!
context: Jheese, how high is my battle power now?\Yes, sir...\What's wrong? Jheese, hurry up and tell me!\I- it's 23,000.\What's that? I can't hear you! response:	23,000!
context: Jheese, how high is my battle power now?\Yes, sir...\What's wrong? Jheese, hurry up and tell me!\I- it's 23,000.\What's that? I can't hear you!\23,000! response:	There, you hear that!?
context: Jheese, how high is my battle power now?\Yes, sir...\What's wrong? Jheese, hurry up and tell me!\I- it's 23,000.\What's that? I can't hear you!\23,000!\There, you hear that!? response:	Just 23,000! That's all!
context: Jheese, how high is my battle power now?\Yes, sir...\What's wrong? Jheese, hurry up and tell me!\I- it's 23,000.\What's that? I can't hear you!\23,000!\There, you hear that!?\Just 23,000! That's all! response:	Why?
context: Yes, sir...\What's wrong? Jheese, hurry up and tell me!\I- it's 23,000.\What's that? I can't hear you!\23,000!\There, you hear that!?\Just 23,000! That's all!\Why? response:	W- why, you ask?
context: What's wrong? Jheese, hurry up and tell me!\I- it's 23,000.\What's that? I can't hear you!\23,000!\There, you hear that!?\Just 23,000! That's all!\Why?\W- why, you ask? response:	23,000?
context: I- it's 23,000.\What's that? I can't hear you!\23,000!\There, you hear that!?\Just 23,000! That's all!\Why?\W- why, you ask?\23,000? response:	You say it's just 23,000!?
context: What's that? I can't hear you!\23,000!\There, you hear that!?\Just 23,000! That's all!\Why?\W- why, you ask?\23,000?\You say it's just 23,000!? response:	That's my body there.
context: 23,000!\There, you hear that!?\Just 23,000! That's all!\Why?\W- why, you ask?\23,000?\You say it's just 23,000!?\That's my body there. response:	You see, unless your mind and body are united,
context: There, you hear that!?\Just 23,000! That's all!\Why?\W- why, you ask?\23,000?\You say it's just 23,000!?\That's my body there.\You see, unless your mind and body are united, response:	you can't put out any great power!
context: Just 23,000! That's all!\Why?\W- why, you ask?\23,000?\You say it's just 23,000!?\That's my body there.\You see, unless your mind and body are united,\you can't put out any great power! response:	Kuririn, Gohan, you can beat this guy now!
context: Why?\W- why, you ask?\23,000?\You say it's just 23,000!?\That's my body there.\You see, unless your mind and body are united,\you can't put out any great power!\Kuririn, Gohan, you can beat this guy now! response:	I- impossible!
context: W- why, you ask?\23,000?\You say it's just 23,000!?\That's my body there.\You see, unless your mind and body are united,\you can't put out any great power!\Kuririn, Gohan, you can beat this guy now!\I- impossible! response:	T- this is impossible!
context: 23,000?\You say it's just 23,000!?\That's my body there.\You see, unless your mind and body are united,\you can't put out any great power!\Kuririn, Gohan, you can beat this guy now!\I- impossible!\T- this is impossible! response:	I- it's true! We just might be able to beat him like this!
context: You say it's just 23,000!?\That's my body there.\You see, unless your mind and body are united,\you can't put out any great power!\Kuririn, Gohan, you can beat this guy now!\I- impossible!\T- this is impossible!\I- it's true! We just might be able to beat him like this! response:	Let's go, Gohan!
context: That's my body there.\You see, unless your mind and body are united,\you can't put out any great power!\Kuririn, Gohan, you can beat this guy now!\I- impossible!\T- this is impossible!\I- it's true! We just might be able to beat him like this!\Let's go, Gohan! response:	R- right!
context: You see, unless your mind and body are united,\you can't put out any great power!\Kuririn, Gohan, you can beat this guy now!\I- impossible!\T- this is impossible!\I- it's true! We just might be able to beat him like this!\Let's go, Gohan!\R- right! response:	Now, Gohan!
context: you can't put out any great power!\Kuririn, Gohan, you can beat this guy now!\I- impossible!\T- this is impossible!\I- it's true! We just might be able to beat him like this!\Let's go, Gohan!\R- right!\Now, Gohan! response:	What's the matter, Gohan!?
context: Kuririn, Gohan, you can beat this guy now!\I- impossible!\T- this is impossible!\I- it's true! We just might be able to beat him like this!\Let's go, Gohan!\R- right!\Now, Gohan!\What's the matter, Gohan!? response:	Father...
context: I- impossible!\T- this is impossible!\I- it's true! We just might be able to beat him like this!\Let's go, Gohan!\R- right!\Now, Gohan!\What's the matter, Gohan!?\Father... response:	Gohan!
context: T- this is impossible!\I- it's true! We just might be able to beat him like this!\Let's go, Gohan!\R- right!\Now, Gohan!\What's the matter, Gohan!?\Father...\Gohan! response:	What's the matter, Gohan?
context: I- it's true! We just might be able to beat him like this!\Let's go, Gohan!\R- right!\Now, Gohan!\What's the matter, Gohan!?\Father...\Gohan!\What's the matter, Gohan? response:	I- I'm sorry. For a moment, he seemed like he really was Father.
context: Let's go, Gohan!\R- right!\Now, Gohan!\What's the matter, Gohan!?\Father...\Gohan!\What's the matter, Gohan?\I- I'm sorry. For a moment, he seemed like he really was Father. response:	I- I know what you mean. I feel the same way.
context: R- right!\Now, Gohan!\What's the matter, Gohan!?\Father...\Gohan!\What's the matter, Gohan?\I- I'm sorry. For a moment, he seemed like he really was Father.\I- I know what you mean. I feel the same way. response:	But that isn't Goku. It's Ginyu!
context: Now, Gohan!\What's the matter, Gohan!?\Father...\Gohan!\What's the matter, Gohan?\I- I'm sorry. For a moment, he seemed like he really was Father.\I- I know what you mean. I feel the same way.\But that isn't Goku. It's Ginyu! response:	Got it?
context: What's the matter, Gohan!?\Father...\Gohan!\What's the matter, Gohan?\I- I'm sorry. For a moment, he seemed like he really was Father.\I- I know what you mean. I feel the same way.\But that isn't Goku. It's Ginyu!\Got it? response:	Gohan... Kuririn...
context: Father...\Gohan!\What's the matter, Gohan?\I- I'm sorry. For a moment, he seemed like he really was Father.\I- I know what you mean. I feel the same way.\But that isn't Goku. It's Ginyu!\Got it?\Gohan... Kuririn... response:	Okay, it won't happen this time.
context: Gohan!\What's the matter, Gohan?\I- I'm sorry. For a moment, he seemed like he really was Father.\I- I know what you mean. I feel the same way.\But that isn't Goku. It's Ginyu!\Got it?\Gohan... Kuririn...\Okay, it won't happen this time. response:	Here we go!
context: What's the matter, Gohan?\I- I'm sorry. For a moment, he seemed like he really was Father.\I- I know what you mean. I feel the same way.\But that isn't Goku. It's Ginyu!\Got it?\Gohan... Kuririn...\Okay, it won't happen this time.\Here we go! response:	Jheese!
context: I- I'm sorry. For a moment, he seemed like he really was Father.\I- I know what you mean. I feel the same way.\But that isn't Goku. It's Ginyu!\Got it?\Gohan... Kuririn...\Okay, it won't happen this time.\Here we go!\Jheese! response:	What are you doing? Why don't you fight!?
context: I- I know what you mean. I feel the same way.\But that isn't Goku. It's Ginyu!\Got it?\Gohan... Kuririn...\Okay, it won't happen this time.\Here we go!\Jheese!\What are you doing? Why don't you fight!? response:	Y- yes, sir!
context: But that isn't Goku. It's Ginyu!\Got it?\Gohan... Kuririn...\Okay, it won't happen this time.\Here we go!\Jheese!\What are you doing? Why don't you fight!?\Y- yes, sir! response:	Whoa!
context: Got it?\Gohan... Kuririn...\Okay, it won't happen this time.\Here we go!\Jheese!\What are you doing? Why don't you fight!?\Y- yes, sir!\Whoa! response:	You're going to face me!
context: Gohan... Kuririn...\Okay, it won't happen this time.\Here we go!\Jheese!\What are you doing? Why don't you fight!?\Y- yes, sir!\Whoa!\You're going to face me! response:	Vegeta!
context: Okay, it won't happen this time.\Here we go!\Jheese!\What are you doing? Why don't you fight!?\Y- yes, sir!\Whoa!\You're going to face me!\Vegeta! response:	You mean that lousy Vegeta is still around?
context: Here we go!\Jheese!\What are you doing? Why don't you fight!?\Y- yes, sir!\Whoa!\You're going to face me!\Vegeta!\You mean that lousy Vegeta is still around? response:	You expect such a wimpy attack to hurt me?
context: Jheese!\What are you doing? Why don't you fight!?\Y- yes, sir!\Whoa!\You're going to face me!\Vegeta!\You mean that lousy Vegeta is still around?\You expect such a wimpy attack to hurt me? response:	W- why!? This body is supposed to have a power greater than 180,000!
context: What are you doing? Why don't you fight!?\Y- yes, sir!\Whoa!\You're going to face me!\Vegeta!\You mean that lousy Vegeta is still around?\You expect such a wimpy attack to hurt me?\W- why!? This body is supposed to have a power greater than 180,000! response:	Didn't you hear what Goku said before?
context: Y- yes, sir!\Whoa!\You're going to face me!\Vegeta!\You mean that lousy Vegeta is still around?\You expect such a wimpy attack to hurt me?\W- why!? This body is supposed to have a power greater than 180,000!\Didn't you hear what Goku said before? response:	You can't use that body very well.
context: Whoa!\You're going to face me!\Vegeta!\You mean that lousy Vegeta is still around?\You expect such a wimpy attack to hurt me?\W- why!? This body is supposed to have a power greater than 180,000!\Didn't you hear what Goku said before?\You can't use that body very well. response:	Why don't you just give up now?
context: You're going to face me!\Vegeta!\You mean that lousy Vegeta is still around?\You expect such a wimpy attack to hurt me?\W- why!? This body is supposed to have a power greater than 180,000!\Didn't you hear what Goku said before?\You can't use that body very well.\Why don't you just give up now? response:	G- give up? You expect me, Ginyu- sama to give up!?
context: Vegeta!\You mean that lousy Vegeta is still around?\You expect such a wimpy attack to hurt me?\W- why!? This body is supposed to have a power greater than 180,000!\Didn't you hear what Goku said before?\You can't use that body very well.\Why don't you just give up now?\G- give up? You expect me, Ginyu- sama to give up!? response:	Don't be ridiculous!
context: You mean that lousy Vegeta is still around?\You expect such a wimpy attack to hurt me?\W- why!? This body is supposed to have a power greater than 180,000!\Didn't you hear what Goku said before?\You can't use that body very well.\Why don't you just give up now?\G- give up? You expect me, Ginyu- sama to give up!?\Don't be ridiculous! response:	Kuririn... Gohan...
context: You expect such a wimpy attack to hurt me?\W- why!? This body is supposed to have a power greater than 180,000!\Didn't you hear what Goku said before?\You can't use that body very well.\Why don't you just give up now?\G- give up? You expect me, Ginyu- sama to give up!?\Don't be ridiculous!\Kuririn... Gohan... response:	For someone such as yourself to even consider picking a fight with me...
