context: It's one problem after another response:	I'm too scared to even go home
context: It's one problem after another\I'm too scared to even go home response:	I'll kill you
context: It's one problem after another\I'm too scared to even go home\I'll kill you response:	I guess I'll spend the night outside
context: It's one problem after another\I'm too scared to even go home\I'll kill you\I guess I'll spend the night outside response:	My hand, It's become stiff
context: It's one problem after another\I'm too scared to even go home\I'll kill you\I guess I'll spend the night outside\My hand, It's become stiff response:	The zombie force that caused this is really strong
context: It's one problem after another\I'm too scared to even go home\I'll kill you\I guess I'll spend the night outside\My hand, It's become stiff\The zombie force that caused this is really strong response:	That long fingered bastard
context: It's one problem after another\I'm too scared to even go home\I'll kill you\I guess I'll spend the night outside\My hand, It's become stiff\The zombie force that caused this is really strong\That long fingered bastard response:	It's him
context: It's one problem after another\I'm too scared to even go home\I'll kill you\I guess I'll spend the night outside\My hand, It's become stiff\The zombie force that caused this is really strong\That long fingered bastard\It's him response:	That monster has appeared
context: I'm too scared to even go home\I'll kill you\I guess I'll spend the night outside\My hand, It's become stiff\The zombie force that caused this is really strong\That long fingered bastard\It's him\That monster has appeared response:	I'll catch him!
context: I'll kill you\I guess I'll spend the night outside\My hand, It's become stiff\The zombie force that caused this is really strong\That long fingered bastard\It's him\That monster has appeared\I'll catch him! response:	Do you think you can escape me that easily?
context: I guess I'll spend the night outside\My hand, It's become stiff\The zombie force that caused this is really strong\That long fingered bastard\It's him\That monster has appeared\I'll catch him!\Do you think you can escape me that easily? response:	Explain yourself
context: My hand, It's become stiff\The zombie force that caused this is really strong\That long fingered bastard\It's him\That monster has appeared\I'll catch him!\Do you think you can escape me that easily?\Explain yourself response:	The suspect, we can't let him escape
context: The zombie force that caused this is really strong\That long fingered bastard\It's him\That monster has appeared\I'll catch him!\Do you think you can escape me that easily?\Explain yourself\The suspect, we can't let him escape response:	Cut the crap!
context: That long fingered bastard\It's him\That monster has appeared\I'll catch him!\Do you think you can escape me that easily?\Explain yourself\The suspect, we can't let him escape\Cut the crap! response:	I don't trust you anymore
context: It's him\That monster has appeared\I'll catch him!\Do you think you can escape me that easily?\Explain yourself\The suspect, we can't let him escape\Cut the crap!\I don't trust you anymore response:	You crazy women!
context: That monster has appeared\I'll catch him!\Do you think you can escape me that easily?\Explain yourself\The suspect, we can't let him escape\Cut the crap!\I don't trust you anymore\You crazy women! response:	Today I'll put an end to our conflict
