context: You look great, Honoka-chan. response:	Thank you. And so do you, Subaru-san.
context: You look great, Honoka-chan.\Thank you. And so do you, Subaru-san. response:	Sorry to make you wait, Master.
context: You look great, Honoka-chan.\Thank you. And so do you, Subaru-san.\Sorry to make you wait, Master. response:	Excuse me.
context: You look great, Honoka-chan.\Thank you. And so do you, Subaru-san.\Sorry to make you wait, Master.\Excuse me. response:	Yes
context: You look great, Honoka-chan.\Thank you. And so do you, Subaru-san.\Sorry to make you wait, Master.\Excuse me.\Yes response:	Misa-chan, can I borrow that tray?
context: You look great, Honoka-chan.\Thank you. And so do you, Subaru-san.\Sorry to make you wait, Master.\Excuse me.\Yes\Misa-chan, can I borrow that tray? response:	Watch out.
context: You look great, Honoka-chan.\Thank you. And so do you, Subaru-san.\Sorry to make you wait, Master.\Excuse me.\Yes\Misa-chan, can I borrow that tray?\Watch out. response:	This isn't our tray.
context: You look great, Honoka-chan.\Thank you. And so do you, Subaru-san.\Sorry to make you wait, Master.\Excuse me.\Yes\Misa-chan, can I borrow that tray?\Watch out.\This isn't our tray. response:	I'm sorry. I brought it from home for training purposes.
context: Thank you. And so do you, Subaru-san.\Sorry to make you wait, Master.\Excuse me.\Yes\Misa-chan, can I borrow that tray?\Watch out.\This isn't our tray.\I'm sorry. I brought it from home for training purposes. response:	W-W-What is this made of? It's wedged into the ground!
context: Sorry to make you wait, Master.\Excuse me.\Yes\Misa-chan, can I borrow that tray?\Watch out.\This isn't our tray.\I'm sorry. I brought it from home for training purposes.\W-W-What is this made of? It's wedged into the ground! response:	I found a perfect material from scraps.
context: Excuse me.\Yes\Misa-chan, can I borrow that tray?\Watch out.\This isn't our tray.\I'm sorry. I brought it from home for training purposes.\W-W-What is this made of? It's wedged into the ground!\I found a perfect material from scraps. response:	So easily?!
context: Yes\Misa-chan, can I borrow that tray?\Watch out.\This isn't our tray.\I'm sorry. I brought it from home for training purposes.\W-W-What is this made of? It's wedged into the ground!\I found a perfect material from scraps.\So easily?! response:	Prez, are you doing that because the sports fest is coming up?
context: Misa-chan, can I borrow that tray?\Watch out.\This isn't our tray.\I'm sorry. I brought it from home for training purposes.\W-W-What is this made of? It's wedged into the ground!\I found a perfect material from scraps.\So easily?!\Prez, are you doing that because the sports fest is coming up? response:	Of course.
context: Watch out.\This isn't our tray.\I'm sorry. I brought it from home for training purposes.\W-W-What is this made of? It's wedged into the ground!\I found a perfect material from scraps.\So easily?!\Prez, are you doing that because the sports fest is coming up?\Of course. response:	I'll finish first in all the races and get all the prizes.
context: This isn't our tray.\I'm sorry. I brought it from home for training purposes.\W-W-What is this made of? It's wedged into the ground!\I found a perfect material from scraps.\So easily?!\Prez, are you doing that because the sports fest is coming up?\Of course.\I'll finish first in all the races and get all the prizes. response:	For the sake of the girls in Seika.
context: I'm sorry. I brought it from home for training purposes.\W-W-What is this made of? It's wedged into the ground!\I found a perfect material from scraps.\So easily?!\Prez, are you doing that because the sports fest is coming up?\Of course.\I'll finish first in all the races and get all the prizes.\For the sake of the girls in Seika. response:	We will now begin the 81st Seika High School Sports Festival.
context: W-W-What is this made of? It's wedged into the ground!\I found a perfect material from scraps.\So easily?!\Prez, are you doing that because the sports fest is coming up?\Of course.\I'll finish first in all the races and get all the prizes.\For the sake of the girls in Seika.\We will now begin the 81st Seika High School Sports Festival. response:	They're so fired up.
context: I found a perfect material from scraps.\So easily?!\Prez, are you doing that because the sports fest is coming up?\Of course.\I'll finish first in all the races and get all the prizes.\For the sake of the girls in Seika.\We will now begin the 81st Seika High School Sports Festival.\They're so fired up. response:	Naturally, Yukimura.
context: So easily?!\Prez, are you doing that because the sports fest is coming up?\Of course.\I'll finish first in all the races and get all the prizes.\For the sake of the girls in Seika.\We will now begin the 81st Seika High School Sports Festival.\They're so fired up.\Naturally, Yukimura. response:	Seika's sports fest is fought between classes: every class from freshman to senior and the girls group.
context: Prez, are you doing that because the sports fest is coming up?\Of course.\I'll finish first in all the races and get all the prizes.\For the sake of the girls in Seika.\We will now begin the 81st Seika High School Sports Festival.\They're so fired up.\Naturally, Yukimura.\Seika's sports fest is fought between classes: every class from freshman to senior and the girls group. response:	And the special rules heat things up even more.
context: Of course.\I'll finish first in all the races and get all the prizes.\For the sake of the girls in Seika.\We will now begin the 81st Seika High School Sports Festival.\They're so fired up.\Naturally, Yukimura.\Seika's sports fest is fought between classes: every class from freshman to senior and the girls group.\And the special rules heat things up even more. response:	There's a prize for each race.
context: I'll finish first in all the races and get all the prizes.\For the sake of the girls in Seika.\We will now begin the 81st Seika High School Sports Festival.\They're so fired up.\Naturally, Yukimura.\Seika's sports fest is fought between classes: every class from freshman to senior and the girls group.\And the special rules heat things up even more.\There's a prize for each race. response:	The team with the winner will receive these prizes.
context: For the sake of the girls in Seika.\We will now begin the 81st Seika High School Sports Festival.\They're so fired up.\Naturally, Yukimura.\Seika's sports fest is fought between classes: every class from freshman to senior and the girls group.\And the special rules heat things up even more.\There's a prize for each race.\The team with the winner will receive these prizes. response:	Besides, the obstacle course from the morning races comes with a special prize.
context: We will now begin the 81st Seika High School Sports Festival.\They're so fired up.\Naturally, Yukimura.\Seika's sports fest is fought between classes: every class from freshman to senior and the girls group.\And the special rules heat things up even more.\There's a prize for each race.\The team with the winner will receive these prizes.\Besides, the obstacle course from the morning races comes with a special prize. response:	No way!!
context: They're so fired up.\Naturally, Yukimura.\Seika's sports fest is fought between classes: every class from freshman to senior and the girls group.\And the special rules heat things up even more.\There's a prize for each race.\The team with the winner will receive these prizes.\Besides, the obstacle course from the morning races comes with a special prize.\No way!! response:	Give it up, Hanazono Sakura! You've been chosen by the school survey as the No. 1 girl we want to be kissed by.
context: Naturally, Yukimura.\Seika's sports fest is fought between classes: every class from freshman to senior and the girls group.\And the special rules heat things up even more.\There's a prize for each race.\The team with the winner will receive these prizes.\Besides, the obstacle course from the morning races comes with a special prize.\No way!!\Give it up, Hanazono Sakura! You've been chosen by the school survey as the No. 1 girl we want to be kissed by. response:	I don't want to do this.
context: Seika's sports fest is fought between classes: every class from freshman to senior and the girls group.\And the special rules heat things up even more.\There's a prize for each race.\The team with the winner will receive these prizes.\Besides, the obstacle course from the morning races comes with a special prize.\No way!!\Give it up, Hanazono Sakura! You've been chosen by the school survey as the No. 1 girl we want to be kissed by.\I don't want to do this. response:	Sakura!
