context: Naraku had dispelled the barrier around his castle. response:	In otherwords, he had abandoned his castle
context: Naraku had dispelled the barrier around his castle.\In otherwords, he had abandoned his castle response:	and hid himself somewhere else.
context: Naraku had dispelled the barrier around his castle.\In otherwords, he had abandoned his castle\and hid himself somewhere else. response:	In the past, no matterwhere he hid,
context: Naraku had dispelled the barrier around his castle.\In otherwords, he had abandoned his castle\and hid himself somewhere else.\In the past, no matterwhere he hid, response:	I could sense the presence of his barrier.
context: Naraku had dispelled the barrier around his castle.\In otherwords, he had abandoned his castle\and hid himself somewhere else.\In the past, no matterwhere he hid,\I could sense the presence of his barrier. response:	But now, as though he had disappeared from this world,
context: Naraku had dispelled the barrier around his castle.\In otherwords, he had abandoned his castle\and hid himself somewhere else.\In the past, no matterwhere he hid,\I could sense the presence of his barrier.\But now, as though he had disappeared from this world, response:	there is absolutely no sign of Naraku.
context: Naraku had dispelled the barrier around his castle.\In otherwords, he had abandoned his castle\and hid himself somewhere else.\In the past, no matterwhere he hid,\I could sense the presence of his barrier.\But now, as though he had disappeared from this world,\there is absolutely no sign of Naraku. response:	There is something behind this.
context: Naraku had dispelled the barrier around his castle.\In otherwords, he had abandoned his castle\and hid himself somewhere else.\In the past, no matterwhere he hid,\I could sense the presence of his barrier.\But now, as though he had disappeared from this world,\there is absolutely no sign of Naraku.\There is something behind this. response:	I have had my soul collectors search forhis demonic aura.
context: In otherwords, he had abandoned his castle\and hid himself somewhere else.\In the past, no matterwhere he hid,\I could sense the presence of his barrier.\But now, as though he had disappeared from this world,\there is absolutely no sign of Naraku.\There is something behind this.\I have had my soul collectors search forhis demonic aura. response:	But they cannot detect a barrier.
context: and hid himself somewhere else.\In the past, no matterwhere he hid,\I could sense the presence of his barrier.\But now, as though he had disappeared from this world,\there is absolutely no sign of Naraku.\There is something behind this.\I have had my soul collectors search forhis demonic aura.\But they cannot detect a barrier. response:	A demonic aura of such size... how did he hide it?
context: In the past, no matterwhere he hid,\I could sense the presence of his barrier.\But now, as though he had disappeared from this world,\there is absolutely no sign of Naraku.\There is something behind this.\I have had my soul collectors search forhis demonic aura.\But they cannot detect a barrier.\A demonic aura of such size... how did he hide it? response:	Say, let's rest somewhere.
