context: TS response:	OP
context: TS\OP response:	There was a Scub Burst in Phoenix, Arizona eight hours ago.
context: TS\OP\There was a Scub Burst in Phoenix, Arizona eight hours ago. response:	Although the United States Army brought its full force to intercept the Secret,
context: TS\OP\There was a Scub Burst in Phoenix, Arizona eight hours ago.\Although the United States Army brought its full force to intercept the Secret, response:	they still failed.
context: TS\OP\There was a Scub Burst in Phoenix, Arizona eight hours ago.\Although the United States Army brought its full force to intercept the Secret,\they still failed. response:	Isn't this the first time a Scub showed up in America?
context: TS\OP\There was a Scub Burst in Phoenix, Arizona eight hours ago.\Although the United States Army brought its full force to intercept the Secret,\they still failed.\Isn't this the first time a Scub showed up in America? response:	Really?
context: TS\OP\There was a Scub Burst in Phoenix, Arizona eight hours ago.\Although the United States Army brought its full force to intercept the Secret,\they still failed.\Isn't this the first time a Scub showed up in America?\Really? response:	Scub Bursts have, in fact, occurred in the US a couple of times.
context: TS\OP\There was a Scub Burst in Phoenix, Arizona eight hours ago.\Although the United States Army brought its full force to intercept the Secret,\they still failed.\Isn't this the first time a Scub showed up in America?\Really?\Scub Bursts have, in fact, occurred in the US a couple of times. response:	However, no Secrets have ever emerged in any of those cases.
context: OP\There was a Scub Burst in Phoenix, Arizona eight hours ago.\Although the United States Army brought its full force to intercept the Secret,\they still failed.\Isn't this the first time a Scub showed up in America?\Really?\Scub Bursts have, in fact, occurred in the US a couple of times.\However, no Secrets have ever emerged in any of those cases. response:	Even though they failed to stop the Secret...
context: There was a Scub Burst in Phoenix, Arizona eight hours ago.\Although the United States Army brought its full force to intercept the Secret,\they still failed.\Isn't this the first time a Scub showed up in America?\Really?\Scub Bursts have, in fact, occurred in the US a couple of times.\However, no Secrets have ever emerged in any of those cases.\Even though they failed to stop the Secret... response:	Would they still request our help?
context: Although the United States Army brought its full force to intercept the Secret,\they still failed.\Isn't this the first time a Scub showed up in America?\Really?\Scub Bursts have, in fact, occurred in the US a couple of times.\However, no Secrets have ever emerged in any of those cases.\Even though they failed to stop the Secret...\Would they still request our help? response:	The last Scub Burst in America...
context: they still failed.\Isn't this the first time a Scub showed up in America?\Really?\Scub Bursts have, in fact, occurred in the US a couple of times.\However, no Secrets have ever emerged in any of those cases.\Even though they failed to stop the Secret...\Would they still request our help?\The last Scub Burst in America... response:	I can't imagine them requesting help from us.
context: Isn't this the first time a Scub showed up in America?\Really?\Scub Bursts have, in fact, occurred in the US a couple of times.\However, no Secrets have ever emerged in any of those cases.\Even though they failed to stop the Secret...\Would they still request our help?\The last Scub Burst in America...\I can't imagine them requesting help from us. response:	Well, it's not entirely out of the question either.
context: Really?\Scub Bursts have, in fact, occurred in the US a couple of times.\However, no Secrets have ever emerged in any of those cases.\Even though they failed to stop the Secret...\Would they still request our help?\The last Scub Burst in America...\I can't imagine them requesting help from us.\Well, it's not entirely out of the question either. response:	At the moment, team Pied Piper is standing by on the Mexican side of the Arizona border.
context: Scub Bursts have, in fact, occurred in the US a couple of times.\However, no Secrets have ever emerged in any of those cases.\Even though they failed to stop the Secret...\Would they still request our help?\The last Scub Burst in America...\I can't imagine them requesting help from us.\Well, it's not entirely out of the question either.\At the moment, team Pied Piper is standing by on the Mexican side of the Arizona border. response:	Yout just need to officially request our help using your power as the governor of the state.
