context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	In the mountains, toward the end of winter,
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\In the mountains, toward the end of winter, response:	a deep, quiet, whisper-like sound may be heard.
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\In the mountains, toward the end of winter,\a deep, quiet, whisper-like sound may be heard. response:	Hm? Shouldn't be long now.
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\In the mountains, toward the end of winter,\a deep, quiet, whisper-like sound may be heard.\Hm? Shouldn't be long now. response:	It heralds the awakening of the mountain's springtime mushi.
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\In the mountains, toward the end of winter,\a deep, quiet, whisper-like sound may be heard.\Hm? Shouldn't be long now.\It heralds the awakening of the mountain's springtime mushi. response:	It is the sound of the quiet voices of the mountain lords discussing when to have the awakening.
context: Mushi-Shi\Just for you\Like I used to\In the mountains, toward the end of winter,\a deep, quiet, whisper-like sound may be heard.\Hm? Shouldn't be long now.\It heralds the awakening of the mountain's springtime mushi.\It is the sound of the quiet voices of the mountain lords discussing when to have the awakening. response:	The Depths of Winter
context: Just for you\Like I used to\In the mountains, toward the end of winter,\a deep, quiet, whisper-like sound may be heard.\Hm? Shouldn't be long now.\It heralds the awakening of the mountain's springtime mushi.\It is the sound of the quiet voices of the mountain lords discussing when to have the awakening.\The Depths of Winter response:	Damn.
context: Like I used to\In the mountains, toward the end of winter,\a deep, quiet, whisper-like sound may be heard.\Hm? Shouldn't be long now.\It heralds the awakening of the mountain's springtime mushi.\It is the sound of the quiet voices of the mountain lords discussing when to have the awakening.\The Depths of Winter\Damn. response:	I was hoping to cross this River of Light before the mushi awaken...
context: In the mountains, toward the end of winter,\a deep, quiet, whisper-like sound may be heard.\Hm? Shouldn't be long now.\It heralds the awakening of the mountain's springtime mushi.\It is the sound of the quiet voices of the mountain lords discussing when to have the awakening.\The Depths of Winter\Damn.\I was hoping to cross this River of Light before the mushi awaken... response:	but it sounds like they'll come earlier than expected this year.
context: a deep, quiet, whisper-like sound may be heard.\Hm? Shouldn't be long now.\It heralds the awakening of the mountain's springtime mushi.\It is the sound of the quiet voices of the mountain lords discussing when to have the awakening.\The Depths of Winter\Damn.\I was hoping to cross this River of Light before the mushi awaken...\but it sounds like they'll come earlier than expected this year. response:	Newly awakened, hungry mushi are such a pain to deal with.
context: Hm? Shouldn't be long now.\It heralds the awakening of the mountain's springtime mushi.\It is the sound of the quiet voices of the mountain lords discussing when to have the awakening.\The Depths of Winter\Damn.\I was hoping to cross this River of Light before the mushi awaken...\but it sounds like they'll come earlier than expected this year.\Newly awakened, hungry mushi are such a pain to deal with. response:	Looks like I won't be able to make it there just yet.
context: It heralds the awakening of the mountain's springtime mushi.\It is the sound of the quiet voices of the mountain lords discussing when to have the awakening.\The Depths of Winter\Damn.\I was hoping to cross this River of Light before the mushi awaken...\but it sounds like they'll come earlier than expected this year.\Newly awakened, hungry mushi are such a pain to deal with.\Looks like I won't be able to make it there just yet. response:	It wasn't particularly urgent anyway.
context: It is the sound of the quiet voices of the mountain lords discussing when to have the awakening.\The Depths of Winter\Damn.\I was hoping to cross this River of Light before the mushi awaken...\but it sounds like they'll come earlier than expected this year.\Newly awakened, hungry mushi are such a pain to deal with.\Looks like I won't be able to make it there just yet.\It wasn't particularly urgent anyway. response:	I'll just hole myself up here for a few days.
context: The Depths of Winter\Damn.\I was hoping to cross this River of Light before the mushi awaken...\but it sounds like they'll come earlier than expected this year.\Newly awakened, hungry mushi are such a pain to deal with.\Looks like I won't be able to make it there just yet.\It wasn't particularly urgent anyway.\I'll just hole myself up here for a few days. response:	It's still pretty cold...
context: Damn.\I was hoping to cross this River of Light before the mushi awaken...\but it sounds like they'll come earlier than expected this year.\Newly awakened, hungry mushi are such a pain to deal with.\Looks like I won't be able to make it there just yet.\It wasn't particularly urgent anyway.\I'll just hole myself up here for a few days.\It's still pretty cold... response:	but by the time I wake up, spring should be here.
context: I was hoping to cross this River of Light before the mushi awaken...\but it sounds like they'll come earlier than expected this year.\Newly awakened, hungry mushi are such a pain to deal with.\Looks like I won't be able to make it there just yet.\It wasn't particularly urgent anyway.\I'll just hole myself up here for a few days.\It's still pretty cold...\but by the time I wake up, spring should be here. response:	I wonder if the coast is clear yet.
context: but it sounds like they'll come earlier than expected this year.\Newly awakened, hungry mushi are such a pain to deal with.\Looks like I won't be able to make it there just yet.\It wasn't particularly urgent anyway.\I'll just hole myself up here for a few days.\It's still pretty cold...\but by the time I wake up, spring should be here.\I wonder if the coast is clear yet. response:	It's oddly quiet, though.
context: Newly awakened, hungry mushi are such a pain to deal with.\Looks like I won't be able to make it there just yet.\It wasn't particularly urgent anyway.\I'll just hole myself up here for a few days.\It's still pretty cold...\but by the time I wake up, spring should be here.\I wonder if the coast is clear yet.\It's oddly quiet, though. response:	Huh?
context: Looks like I won't be able to make it there just yet.\It wasn't particularly urgent anyway.\I'll just hole myself up here for a few days.\It's still pretty cold...\but by the time I wake up, spring should be here.\I wonder if the coast is clear yet.\It's oddly quiet, though.\Huh? response:	What the hell?
context: It wasn't particularly urgent anyway.\I'll just hole myself up here for a few days.\It's still pretty cold...\but by the time I wake up, spring should be here.\I wonder if the coast is clear yet.\It's oddly quiet, though.\Huh?\What the hell? response:	Damn.
context: I'll just hole myself up here for a few days.\It's still pretty cold...\but by the time I wake up, spring should be here.\I wonder if the coast is clear yet.\It's oddly quiet, though.\Huh?\What the hell?\Damn. response:	Did I misread the signs somehow?
context: It's still pretty cold...\but by the time I wake up, spring should be here.\I wonder if the coast is clear yet.\It's oddly quiet, though.\Huh?\What the hell?\Damn.\Did I misread the signs somehow? response:	Just what is going on here?
context: but by the time I wake up, spring should be here.\I wonder if the coast is clear yet.\It's oddly quiet, though.\Huh?\What the hell?\Damn.\Did I misread the signs somehow?\Just what is going on here? response:	The snow should have thawed by now.
context: I wonder if the coast is clear yet.\It's oddly quiet, though.\Huh?\What the hell?\Damn.\Did I misread the signs somehow?\Just what is going on here?\The snow should have thawed by now. response:	The wind-whistling Oroshibue are still here...
context: It's oddly quiet, though.\Huh?\What the hell?\Damn.\Did I misread the signs somehow?\Just what is going on here?\The snow should have thawed by now.\The wind-whistling Oroshibue are still here... response:	though I guess they don't look like they're at their full midwinter strength.
context: Huh?\What the hell?\Damn.\Did I misread the signs somehow?\Just what is going on here?\The snow should have thawed by now.\The wind-whistling Oroshibue are still here...\though I guess they don't look like they're at their full midwinter strength. response:	There's no snow left on the next mountain over.
context: What the hell?\Damn.\Did I misread the signs somehow?\Just what is going on here?\The snow should have thawed by now.\The wind-whistling Oroshibue are still here...\though I guess they don't look like they're at their full midwinter strength.\There's no snow left on the next mountain over. response:	Does it get more sunlight than this one?
context: Damn.\Did I misread the signs somehow?\Just what is going on here?\The snow should have thawed by now.\The wind-whistling Oroshibue are still here...\though I guess they don't look like they're at their full midwinter strength.\There's no snow left on the next mountain over.\Does it get more sunlight than this one? response:	Hm?
context: Did I misread the signs somehow?\Just what is going on here?\The snow should have thawed by now.\The wind-whistling Oroshibue are still here...\though I guess they don't look like they're at their full midwinter strength.\There's no snow left on the next mountain over.\Does it get more sunlight than this one?\Hm? response:	That's...
context: Just what is going on here?\The snow should have thawed by now.\The wind-whistling Oroshibue are still here...\though I guess they don't look like they're at their full midwinter strength.\There's no snow left on the next mountain over.\Does it get more sunlight than this one?\Hm?\That's... response:	Those Oroshibue are migrating.
context: The snow should have thawed by now.\The wind-whistling Oroshibue are still here...\though I guess they don't look like they're at their full midwinter strength.\There's no snow left on the next mountain over.\Does it get more sunlight than this one?\Hm?\That's...\Those Oroshibue are migrating. response:	They're going back north.
context: The wind-whistling Oroshibue are still here...\though I guess they don't look like they're at their full midwinter strength.\There's no snow left on the next mountain over.\Does it get more sunlight than this one?\Hm?\That's...\Those Oroshibue are migrating.\They're going back north. response:	The flock here isn't joining them yet?
context: though I guess they don't look like they're at their full midwinter strength.\There's no snow left on the next mountain over.\Does it get more sunlight than this one?\Hm?\That's...\Those Oroshibue are migrating.\They're going back north.\The flock here isn't joining them yet? response:	Huh?
context: There's no snow left on the next mountain over.\Does it get more sunlight than this one?\Hm?\That's...\Those Oroshibue are migrating.\They're going back north.\The flock here isn't joining them yet?\Huh? response:	I doubled back somehow.
