context: TS response:	SCRIPT
context: TS\SCRIPT response:	Rukako...
context: TS\SCRIPT\Rukako... response:	Please calm down and listen to what I have to say.
context: TS\SCRIPT\Rukako...\Please calm down and listen to what I have to say. response:	You used to be a man.
context: TS\SCRIPT\Rukako...\Please calm down and listen to what I have to say.\You used to be a man. response:	You're saying this again?
context: TS\SCRIPT\Rukako...\Please calm down and listen to what I have to say.\You used to be a man.\You're saying this again? response:	Wait! Don't cry...
context: TS\SCRIPT\Rukako...\Please calm down and listen to what I have to say.\You used to be a man.\You're saying this again?\Wait! Don't cry... response:	Just let me finish!
context: TS\SCRIPT\Rukako...\Please calm down and listen to what I have to say.\You used to be a man.\You're saying this again?\Wait! Don't cry...\Just let me finish! response:	All of this is for Mayuri's sake.
context: SCRIPT\Rukako...\Please calm down and listen to what I have to say.\You used to be a man.\You're saying this again?\Wait! Don't cry...\Just let me finish!\All of this is for Mayuri's sake. response:	I need you to go back to being a guy.
context: Rukako...\Please calm down and listen to what I have to say.\You used to be a man.\You're saying this again?\Wait! Don't cry...\Just let me finish!\All of this is for Mayuri's sake.\I need you to go back to being a guy. response:	OP
context: Please calm down and listen to what I have to say.\You used to be a man.\You're saying this again?\Wait! Don't cry...\Just let me finish!\All of this is for Mayuri's sake.\I need you to go back to being a guy.\OP response:	suujuuoku mono kodou no kazu sae
context: You used to be a man.\You're saying this again?\Wait! Don't cry...\Just let me finish!\All of this is for Mayuri's sake.\I need you to go back to being a guy.\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: You're saying this again?\Wait! Don't cry...\Just let me finish!\All of this is for Mayuri's sake.\I need you to go back to being a guy.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: Wait! Don't cry...\Just let me finish!\All of this is for Mayuri's sake.\I need you to go back to being a guy.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
