context: Tsuritama Episode 2 response:	The day I moved to Enoshima,
context: Tsuritama Episode 2\The day I moved to Enoshima, response:	I met the self-proclaimed alien, Haru.
context: Tsuritama Episode 2\The day I moved to Enoshima,\I met the self-proclaimed alien, Haru. response:	I don't have any interest in fishing,
context: Tsuritama Episode 2\The day I moved to Enoshima,\I met the self-proclaimed alien, Haru.\I don't have any interest in fishing, response:	but he forced me into it with his mysterious water gun.
context: Tsuritama Episode 2\The day I moved to Enoshima,\I met the self-proclaimed alien, Haru.\I don't have any interest in fishing,\but he forced me into it with his mysterious water gun. response:	The fishing prince, Natsuki, was super harsh...
context: Tsuritama Episode 2\The day I moved to Enoshima,\I met the self-proclaimed alien, Haru.\I don't have any interest in fishing,\but he forced me into it with his mysterious water gun.\The fishing prince, Natsuki, was super harsh... response:	and for some reason, I'm living with that alien.
context: Tsuritama Episode 2\The day I moved to Enoshima,\I met the self-proclaimed alien, Haru.\I don't have any interest in fishing,\but he forced me into it with his mysterious water gun.\The fishing prince, Natsuki, was super harsh...\and for some reason, I'm living with that alien. response:	Haru Yuki Keito
context: Tsuritama Episode 2\The day I moved to Enoshima,\I met the self-proclaimed alien, Haru.\I don't have any interest in fishing,\but he forced me into it with his mysterious water gun.\The fishing prince, Natsuki, was super harsh...\and for some reason, I'm living with that alien.\Haru Yuki Keito response:	Thanks for the food!
context: The day I moved to Enoshima,\I met the self-proclaimed alien, Haru.\I don't have any interest in fishing,\but he forced me into it with his mysterious water gun.\The fishing prince, Natsuki, was super harsh...\and for some reason, I'm living with that alien.\Haru Yuki Keito\Thanks for the food! response:	The Frustrating Uni Knot
context: I met the self-proclaimed alien, Haru.\I don't have any interest in fishing,\but he forced me into it with his mysterious water gun.\The fishing prince, Natsuki, was super harsh...\and for some reason, I'm living with that alien.\Haru Yuki Keito\Thanks for the food!\The Frustrating Uni Knot response:	Haru, you shouldn't make so much noise when you eat.
context: I don't have any interest in fishing,\but he forced me into it with his mysterious water gun.\The fishing prince, Natsuki, was super harsh...\and for some reason, I'm living with that alien.\Haru Yuki Keito\Thanks for the food!\The Frustrating Uni Knot\Haru, you shouldn't make so much noise when you eat. response:	Okay.
context: but he forced me into it with his mysterious water gun.\The fishing prince, Natsuki, was super harsh...\and for some reason, I'm living with that alien.\Haru Yuki Keito\Thanks for the food!\The Frustrating Uni Knot\Haru, you shouldn't make so much noise when you eat.\Okay. response:	I didn't realize aliens also ate miso soup
context: The fishing prince, Natsuki, was super harsh...\and for some reason, I'm living with that alien.\Haru Yuki Keito\Thanks for the food!\The Frustrating Uni Knot\Haru, you shouldn't make so much noise when you eat.\Okay.\I didn't realize aliens also ate miso soup response:	We can. I like red miso.
context: and for some reason, I'm living with that alien.\Haru Yuki Keito\Thanks for the food!\The Frustrating Uni Knot\Haru, you shouldn't make so much noise when you eat.\Okay.\I didn't realize aliens also ate miso soup\We can. I like red miso. response:	I'll make that tomorrow.
