context: The be-in... response:	Why not return it?
context: The be-in...\Why not return it? response:	Like Akko.
context: The be-in...\Why not return it?\Like Akko. response:	What's with your outfits?
context: The be-in...\Why not return it?\Like Akko.\What's with your outfits? response:	His son, Lord Andrew, earned the egregia cum laude distinction at his prestigious school.
context: The be-in...\Why not return it?\Like Akko.\What's with your outfits?\His son, Lord Andrew, earned the egregia cum laude distinction at his prestigious school. response:	A party is being held to celebrate this occasion.
context: The be-in...\Why not return it?\Like Akko.\What's with your outfits?\His son, Lord Andrew, earned the egregia cum laude distinction at his prestigious school.\A party is being held to celebrate this occasion. response:	A party is being held in his honor.
context: The be-in...\Why not return it?\Like Akko.\What's with your outfits?\His son, Lord Andrew, earned the egregia cum laude distinction at his prestigious school.\A party is being held to celebrate this occasion.\A party is being held in his honor. response:	The Hanbridge and Cavendish families descended from a long and respected noble bloodline.
context: The be-in...\Why not return it?\Like Akko.\What's with your outfits?\His son, Lord Andrew, earned the egregia cum laude distinction at his prestigious school.\A party is being held to celebrate this occasion.\A party is being held in his honor.\The Hanbridge and Cavendish families descended from a long and respected noble bloodline. response:	Only nobles and the affluent are invited to the Earl's manor!
context: Why not return it?\Like Akko.\What's with your outfits?\His son, Lord Andrew, earned the egregia cum laude distinction at his prestigious school.\A party is being held to celebrate this occasion.\A party is being held in his honor.\The Hanbridge and Cavendish families descended from a long and respected noble bloodline.\Only nobles and the affluent are invited to the Earl's manor! response:	Little Miss Dunce over here with her ice cream-smeared cheeks will have to put up with watching from the sidelines.
context: Like Akko.\What's with your outfits?\His son, Lord Andrew, earned the egregia cum laude distinction at his prestigious school.\A party is being held to celebrate this occasion.\A party is being held in his honor.\The Hanbridge and Cavendish families descended from a long and respected noble bloodline.\Only nobles and the affluent are invited to the Earl's manor!\Little Miss Dunce over here with her ice cream-smeared cheeks will have to put up with watching from the sidelines. response:	Little miss dunce over here should just enjoy the ice cream smeared on her cheeks and grind her teeth in anger!
context: What's with your outfits?\His son, Lord Andrew, earned the egregia cum laude distinction at his prestigious school.\A party is being held to celebrate this occasion.\A party is being held in his honor.\The Hanbridge and Cavendish families descended from a long and respected noble bloodline.\Only nobles and the affluent are invited to the Earl's manor!\Little Miss Dunce over here with her ice cream-smeared cheeks will have to put up with watching from the sidelines.\Little miss dunce over here should just enjoy the ice cream smeared on her cheeks and grind her teeth in anger! response:	Not really, couldn't care less.
context: His son, Lord Andrew, earned the egregia cum laude distinction at his prestigious school.\A party is being held to celebrate this occasion.\A party is being held in his honor.\The Hanbridge and Cavendish families descended from a long and respected noble bloodline.\Only nobles and the affluent are invited to the Earl's manor!\Little Miss Dunce over here with her ice cream-smeared cheeks will have to put up with watching from the sidelines.\Little miss dunce over here should just enjoy the ice cream smeared on her cheeks and grind her teeth in anger!\Not really, couldn't care less. response:	Taking that on the chin without a fight would put the good name of witches to shame!
context: A party is being held to celebrate this occasion.\A party is being held in his honor.\The Hanbridge and Cavendish families descended from a long and respected noble bloodline.\Only nobles and the affluent are invited to the Earl's manor!\Little Miss Dunce over here with her ice cream-smeared cheeks will have to put up with watching from the sidelines.\Little miss dunce over here should just enjoy the ice cream smeared on her cheeks and grind her teeth in anger!\Not really, couldn't care less.\Taking that on the chin without a fight would put the good name of witches to shame! response:	Taking that without a fight would put the good name of witches to shame!
context: A party is being held in his honor.\The Hanbridge and Cavendish families descended from a long and respected noble bloodline.\Only nobles and the affluent are invited to the Earl's manor!\Little Miss Dunce over here with her ice cream-smeared cheeks will have to put up with watching from the sidelines.\Little miss dunce over here should just enjoy the ice cream smeared on her cheeks and grind her teeth in anger!\Not really, couldn't care less.\Taking that on the chin without a fight would put the good name of witches to shame!\Taking that without a fight would put the good name of witches to shame! response:	I will go!
