context: Um, may I help you? response:	Give me the medicine written on this note.
context: Um, may I help you?\Give me the medicine written on this note. response:	I'm afraid we can't give you this one.
context: Um, may I help you?\Give me the medicine written on this note.\I'm afraid we can't give you this one. response:	Psychotropic substances are available to you only at authorized facilities
context: Um, may I help you?\Give me the medicine written on this note.\I'm afraid we can't give you this one.\Psychotropic substances are available to you only at authorized facilities response:	and require a prescription along with your biological data
context: Um, may I help you?\Give me the medicine written on this note.\I'm afraid we can't give you this one.\Psychotropic substances are available to you only at authorized facilities\and require a prescription along with your biological data response:	Y-You don't get it, do you?
context: Um, may I help you?\Give me the medicine written on this note.\I'm afraid we can't give you this one.\Psychotropic substances are available to you only at authorized facilities\and require a prescription along with your biological data\Y-You don't get it, do you? response:	Someone! Someone, help!
context: Um, may I help you?\Give me the medicine written on this note.\I'm afraid we can't give you this one.\Psychotropic substances are available to you only at authorized facilities\and require a prescription along with your biological data\Y-You don't get it, do you?\Someone! Someone, help! response:	N-No one's coming to help you.
context: Um, may I help you?\Give me the medicine written on this note.\I'm afraid we can't give you this one.\Psychotropic substances are available to you only at authorized facilities\and require a prescription along with your biological data\Y-You don't get it, do you?\Someone! Someone, help!\N-No one's coming to help you. response:	Hand over the goddamn medicine!
context: Give me the medicine written on this note.\I'm afraid we can't give you this one.\Psychotropic substances are available to you only at authorized facilities\and require a prescription along with your biological data\Y-You don't get it, do you?\Someone! Someone, help!\N-No one's coming to help you.\Hand over the goddamn medicine! response:	This is the Criminal Investigation Department, part of the Public Safety Bureau.
context: I'm afraid we can't give you this one.\Psychotropic substances are available to you only at authorized facilities\and require a prescription along with your biological data\Y-You don't get it, do you?\Someone! Someone, help!\N-No one's coming to help you.\Hand over the goddamn medicine!\This is the Criminal Investigation Department, part of the Public Safety Bureau. response:	Access to this area is currently restricted to ensure safety.
context: Psychotropic substances are available to you only at authorized facilities\and require a prescription along with your biological data\Y-You don't get it, do you?\Someone! Someone, help!\N-No one's coming to help you.\Hand over the goddamn medicine!\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety. response:	To those who are passing by, please do not stop...
context: and require a prescription along with your biological data\Y-You don't get it, do you?\Someone! Someone, help!\N-No one's coming to help you.\Hand over the goddamn medicine!\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\To those who are passing by, please do not stop... response:	Hey.
context: Y-You don't get it, do you?\Someone! Someone, help!\N-No one's coming to help you.\Hand over the goddamn medicine!\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\To those who are passing by, please do not stop...\Hey. response:	Whoa!
context: Someone! Someone, help!\N-No one's coming to help you.\Hand over the goddamn medicine!\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\To those who are passing by, please do not stop...\Hey.\Whoa! response:	I think I know what's going through your head right now.
context: N-No one's coming to help you.\Hand over the goddamn medicine!\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\To those who are passing by, please do not stop...\Hey.\Whoa!\I think I know what's going through your head right now. response:	Kougami...
context: Hand over the goddamn medicine!\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\To those who are passing by, please do not stop...\Hey.\Whoa!\I think I know what's going through your head right now.\Kougami... response:	But for the time being, let's just focus on the case in front of us.
context: This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\To those who are passing by, please do not stop...\Hey.\Whoa!\I think I know what's going through your head right now.\Kougami...\But for the time being, let's just focus on the case in front of us. response:	Okay.
context: Access to this area is currently restricted to ensure safety.\To those who are passing by, please do not stop...\Hey.\Whoa!\I think I know what's going through your head right now.\Kougami...\But for the time being, let's just focus on the case in front of us.\Okay. response:	What's going on here?
context: To those who are passing by, please do not stop...\Hey.\Whoa!\I think I know what's going through your head right now.\Kougami...\But for the time being, let's just focus on the case in front of us.\Okay.\What's going on here? response:	Well... the crime itself is pretty straightforward.
context: Hey.\Whoa!\I think I know what's going through your head right now.\Kougami...\But for the time being, let's just focus on the case in front of us.\Okay.\What's going on here?\Well... the crime itself is pretty straightforward. response:	The culprit just waltzed right in through the entrance, killed the staff,
context: Whoa!\I think I know what's going through your head right now.\Kougami...\But for the time being, let's just focus on the case in front of us.\Okay.\What's going on here?\Well... the crime itself is pretty straightforward.\The culprit just waltzed right in through the entrance, killed the staff, response:	helped himself to whatever substances he wanted,
context: I think I know what's going through your head right now.\Kougami...\But for the time being, let's just focus on the case in front of us.\Okay.\What's going on here?\Well... the crime itself is pretty straightforward.\The culprit just waltzed right in through the entrance, killed the staff,\helped himself to whatever substances he wanted, response:	and then calmly strolled out through those doors.
context: Kougami...\But for the time being, let's just focus on the case in front of us.\Okay.\What's going on here?\Well... the crime itself is pretty straightforward.\The culprit just waltzed right in through the entrance, killed the staff,\helped himself to whatever substances he wanted,\and then calmly strolled out through those doors. response:	The security camera recorded the whole thing.
context: But for the time being, let's just focus on the case in front of us.\Okay.\What's going on here?\Well... the crime itself is pretty straightforward.\The culprit just waltzed right in through the entrance, killed the staff,\helped himself to whatever substances he wanted,\and then calmly strolled out through those doors.\The security camera recorded the whole thing. response:	Someone! Someone, help!
context: Okay.\What's going on here?\Well... the crime itself is pretty straightforward.\The culprit just waltzed right in through the entrance, killed the staff,\helped himself to whatever substances he wanted,\and then calmly strolled out through those doors.\The security camera recorded the whole thing.\Someone! Someone, help! response:	What the hell's with that helmet?
context: What's going on here?\Well... the crime itself is pretty straightforward.\The culprit just waltzed right in through the entrance, killed the staff,\helped himself to whatever substances he wanted,\and then calmly strolled out through those doors.\The security camera recorded the whole thing.\Someone! Someone, help!\What the hell's with that helmet? response:	N-No one's coming to help you.
context: Well... the crime itself is pretty straightforward.\The culprit just waltzed right in through the entrance, killed the staff,\helped himself to whatever substances he wanted,\and then calmly strolled out through those doors.\The security camera recorded the whole thing.\Someone! Someone, help!\What the hell's with that helmet?\N-No one's coming to help you. response:	Anyone'd think he looked suspicious.
context: The culprit just waltzed right in through the entrance, killed the staff,\helped himself to whatever substances he wanted,\and then calmly strolled out through those doors.\The security camera recorded the whole thing.\Someone! Someone, help!\What the hell's with that helmet?\N-No one's coming to help you.\Anyone'd think he looked suspicious. response:	Just looking suspicious isn't enough to set off the security.
context: helped himself to whatever substances he wanted,\and then calmly strolled out through those doors.\The security camera recorded the whole thing.\Someone! Someone, help!\What the hell's with that helmet?\N-No one's coming to help you.\Anyone'd think he looked suspicious.\Just looking suspicious isn't enough to set off the security. response:	From the time he entered the store,
context: and then calmly strolled out through those doors.\The security camera recorded the whole thing.\Someone! Someone, help!\What the hell's with that helmet?\N-No one's coming to help you.\Anyone'd think he looked suspicious.\Just looking suspicious isn't enough to set off the security.\From the time he entered the store, response:	his Psycho-Pass showed a normal value and his Hue was clear.
context: The security camera recorded the whole thing.\Someone! Someone, help!\What the hell's with that helmet?\N-No one's coming to help you.\Anyone'd think he looked suspicious.\Just looking suspicious isn't enough to set off the security.\From the time he entered the store,\his Psycho-Pass showed a normal value and his Hue was clear. response:	This was all logged by the scanner.
context: Someone! Someone, help!\What the hell's with that helmet?\N-No one's coming to help you.\Anyone'd think he looked suspicious.\Just looking suspicious isn't enough to set off the security.\From the time he entered the store,\his Psycho-Pass showed a normal value and his Hue was clear.\This was all logged by the scanner. response:	So he's just like that Makishima guy?
context: What the hell's with that helmet?\N-No one's coming to help you.\Anyone'd think he looked suspicious.\Just looking suspicious isn't enough to set off the security.\From the time he entered the store,\his Psycho-Pass showed a normal value and his Hue was clear.\This was all logged by the scanner.\So he's just like that Makishima guy? response:	He can kill while keeping his Psycho-Pass normal.
context: N-No one's coming to help you.\Anyone'd think he looked suspicious.\Just looking suspicious isn't enough to set off the security.\From the time he entered the store,\his Psycho-Pass showed a normal value and his Hue was clear.\This was all logged by the scanner.\So he's just like that Makishima guy?\He can kill while keeping his Psycho-Pass normal. response:	This helmet is probably the key.
context: Anyone'd think he looked suspicious.\Just looking suspicious isn't enough to set off the security.\From the time he entered the store,\his Psycho-Pass showed a normal value and his Hue was clear.\This was all logged by the scanner.\So he's just like that Makishima guy?\He can kill while keeping his Psycho-Pass normal.\This helmet is probably the key. response:	It must have had some means of deceiving the cymatic scan.
context: Just looking suspicious isn't enough to set off the security.\From the time he entered the store,\his Psycho-Pass showed a normal value and his Hue was clear.\This was all logged by the scanner.\So he's just like that Makishima guy?\He can kill while keeping his Psycho-Pass normal.\This helmet is probably the key.\It must have had some means of deceiving the cymatic scan. response:	That Makishima guy who got the jump on Inspector Tsunemori
context: From the time he entered the store,\his Psycho-Pass showed a normal value and his Hue was clear.\This was all logged by the scanner.\So he's just like that Makishima guy?\He can kill while keeping his Psycho-Pass normal.\This helmet is probably the key.\It must have had some means of deceiving the cymatic scan.\That Makishima guy who got the jump on Inspector Tsunemori response:	might have used a similar device.
context: his Psycho-Pass showed a normal value and his Hue was clear.\This was all logged by the scanner.\So he's just like that Makishima guy?\He can kill while keeping his Psycho-Pass normal.\This helmet is probably the key.\It must have had some means of deceiving the cymatic scan.\That Makishima guy who got the jump on Inspector Tsunemori\might have used a similar device. response:	But is a helmet like that all that's needed to fake one's Psycho-Pass?
context: This was all logged by the scanner.\So he's just like that Makishima guy?\He can kill while keeping his Psycho-Pass normal.\This helmet is probably the key.\It must have had some means of deceiving the cymatic scan.\That Makishima guy who got the jump on Inspector Tsunemori\might have used a similar device.\But is a helmet like that all that's needed to fake one's Psycho-Pass? response:	I could understand if all it did was block the cymatic scan.
