context: Hey, Kanna-san, Kanna-san. response:	Want to come play at my place next time?
context: Hey, Kanna-san, Kanna-san.\Want to come play at my place next time? response:	Your place?
context: Hey, Kanna-san, Kanna-san.\Want to come play at my place next time?\Your place? response:	Is it fun?
context: Hey, Kanna-san, Kanna-san.\Want to come play at my place next time?\Your place?\Is it fun? response:	It's fun!
context: Hey, Kanna-san, Kanna-san.\Want to come play at my place next time?\Your place?\Is it fun?\It's fun! response:	I have lots of games and snacks.
context: Hey, Kanna-san, Kanna-san.\Want to come play at my place next time?\Your place?\Is it fun?\It's fun!\I have lots of games and snacks. response:	Plus we have our own maid, too!
context: Hey, Kanna-san, Kanna-san.\Want to come play at my place next time?\Your place?\Is it fun?\It's fun!\I have lots of games and snacks.\Plus we have our own maid, too! response:	Maid?
context: Hey, Kanna-san, Kanna-san.\Want to come play at my place next time?\Your place?\Is it fun?\It's fun!\I have lots of games and snacks.\Plus we have our own maid, too!\Maid? response:	You could bring your maid with you, as well.
context: Want to come play at my place next time?\Your place?\Is it fun?\It's fun!\I have lots of games and snacks.\Plus we have our own maid, too!\Maid?\You could bring your maid with you, as well. response:	You know, the one who joined us for dodgeball.
context: Your place?\Is it fun?\It's fun!\I have lots of games and snacks.\Plus we have our own maid, too!\Maid?\You could bring your maid with you, as well.\You know, the one who joined us for dodgeball. response:	When I talked about that, our maid said she'd love to meet her.
context: Is it fun?\It's fun!\I have lots of games and snacks.\Plus we have our own maid, too!\Maid?\You could bring your maid with you, as well.\You know, the one who joined us for dodgeball.\When I talked about that, our maid said she'd love to meet her. response:	She wants to have a chance to discuss being a maid.
context: It's fun!\I have lots of games and snacks.\Plus we have our own maid, too!\Maid?\You could bring your maid with you, as well.\You know, the one who joined us for dodgeball.\When I talked about that, our maid said she'd love to meet her.\She wants to have a chance to discuss being a maid. response:	So it's okay, right, Kanna-san?
context: I have lots of games and snacks.\Plus we have our own maid, too!\Maid?\You could bring your maid with you, as well.\You know, the one who joined us for dodgeball.\When I talked about that, our maid said she'd love to meet her.\She wants to have a chance to discuss being a maid.\So it's okay, right, Kanna-san? response:	All right.
context: Plus we have our own maid, too!\Maid?\You could bring your maid with you, as well.\You know, the one who joined us for dodgeball.\When I talked about that, our maid said she'd love to meet her.\She wants to have a chance to discuss being a maid.\So it's okay, right, Kanna-san?\All right. response:	This is the place?
context: Maid?\You could bring your maid with you, as well.\You know, the one who joined us for dodgeball.\When I talked about that, our maid said she'd love to meet her.\She wants to have a chance to discuss being a maid.\So it's okay, right, Kanna-san?\All right.\This is the place? response:	The reckless person who dares challenge me as a maid lives here?
context: You could bring your maid with you, as well.\You know, the one who joined us for dodgeball.\When I talked about that, our maid said she'd love to meet her.\She wants to have a chance to discuss being a maid.\So it's okay, right, Kanna-san?\All right.\This is the place?\The reckless person who dares challenge me as a maid lives here? response:	I'll crush her!
context: You know, the one who joined us for dodgeball.\When I talked about that, our maid said she'd love to meet her.\She wants to have a chance to discuss being a maid.\So it's okay, right, Kanna-san?\All right.\This is the place?\The reckless person who dares challenge me as a maid lives here?\I'll crush her! response:	Why am I here, too?
context: When I talked about that, our maid said she'd love to meet her.\She wants to have a chance to discuss being a maid.\So it's okay, right, Kanna-san?\All right.\This is the place?\The reckless person who dares challenge me as a maid lives here?\I'll crush her!\Why am I here, too? response:	Because you know a lot about maids.
