context: Did you wait long, Takeo-kun? response:	No, I just got here!
context: Did you wait long, Takeo-kun?\No, I just got here! response:	Sunakawa-kun, why not come see a movie with us?
context: Did you wait long, Takeo-kun?\No, I just got here!\Sunakawa-kun, why not come see a movie with us? response:	Huh?
context: Did you wait long, Takeo-kun?\No, I just got here!\Sunakawa-kun, why not come see a movie with us?\Huh? response:	You like books and movies, right?
context: Did you wait long, Takeo-kun?\No, I just got here!\Sunakawa-kun, why not come see a movie with us?\Huh?\You like books and movies, right? response:	I don't really have any cash on me.
context: Did you wait long, Takeo-kun?\No, I just got here!\Sunakawa-kun, why not come see a movie with us?\Huh?\You like books and movies, right?\I don't really have any cash on me. response:	That's perfect!
context: Did you wait long, Takeo-kun?\No, I just got here!\Sunakawa-kun, why not come see a movie with us?\Huh?\You like books and movies, right?\I don't really have any cash on me.\That's perfect! response:	Huh?
context: Did you wait long, Takeo-kun?\No, I just got here!\Sunakawa-kun, why not come see a movie with us?\Huh?\You like books and movies, right?\I don't really have any cash on me.\That's perfect!\Huh? response:	No, nothing...
context: No, I just got here!\Sunakawa-kun, why not come see a movie with us?\Huh?\You like books and movies, right?\I don't really have any cash on me.\That's perfect!\Huh?\No, nothing... response:	Today is on me!
context: Sunakawa-kun, why not come see a movie with us?\Huh?\You like books and movies, right?\I don't really have any cash on me.\That's perfect!\Huh?\No, nothing...\Today is on me! response:	I got my paycheck.
context: Huh?\You like books and movies, right?\I don't really have any cash on me.\That's perfect!\Huh?\No, nothing...\Today is on me!\I got my paycheck. response:	Let's go!
context: You like books and movies, right?\I don't really have any cash on me.\That's perfect!\Huh?\No, nothing...\Today is on me!\I got my paycheck.\Let's go! response:	Yeah!
context: I don't really have any cash on me.\That's perfect!\Huh?\No, nothing...\Today is on me!\I got my paycheck.\Let's go!\Yeah! response:	Then, I guess I'll borrow money...
context: That's perfect!\Huh?\No, nothing...\Today is on me!\I got my paycheck.\Let's go!\Yeah!\Then, I guess I'll borrow money... response:	My name is Gouda Takeo. I'm a first-year in high school.
context: Huh?\No, nothing...\Today is on me!\I got my paycheck.\Let's go!\Yeah!\Then, I guess I'll borrow money...\My name is Gouda Takeo. I'm a first-year in high school. response:	It's almost fall, but right now,
context: No, nothing...\Today is on me!\I got my paycheck.\Let's go!\Yeah!\Then, I guess I'll borrow money...\My name is Gouda Takeo. I'm a first-year in high school.\It's almost fall, but right now, response:	it's the middle of springtime for me!
context: Today is on me!\I got my paycheck.\Let's go!\Yeah!\Then, I guess I'll borrow money...\My name is Gouda Takeo. I'm a first-year in high school.\It's almost fall, but right now,\it's the middle of springtime for me! response:	Today Is on Me
context: I got my paycheck.\Let's go!\Yeah!\Then, I guess I'll borrow money...\My name is Gouda Takeo. I'm a first-year in high school.\It's almost fall, but right now,\it's the middle of springtime for me!\Today Is on Me response:	Did you really see the killer?
context: Let's go!\Yeah!\Then, I guess I'll borrow money...\My name is Gouda Takeo. I'm a first-year in high school.\It's almost fall, but right now,\it's the middle of springtime for me!\Today Is on Me\Did you really see the killer? response:	Yes! I'm telling the truth.
context: Yeah!\Then, I guess I'll borrow money...\My name is Gouda Takeo. I'm a first-year in high school.\It's almost fall, but right now,\it's the middle of springtime for me!\Today Is on Me\Did you really see the killer?\Yes! I'm telling the truth. response:	That's strange...
context: Then, I guess I'll borrow money...\My name is Gouda Takeo. I'm a first-year in high school.\It's almost fall, but right now,\it's the middle of springtime for me!\Today Is on Me\Did you really see the killer?\Yes! I'm telling the truth.\That's strange... response:	All the streetlights in that area were out because a bolt of lightning
context: My name is Gouda Takeo. I'm a first-year in high school.\It's almost fall, but right now,\it's the middle of springtime for me!\Today Is on Me\Did you really see the killer?\Yes! I'm telling the truth.\That's strange...\All the streetlights in that area were out because a bolt of lightning response:	caused a power outage.
context: It's almost fall, but right now,\it's the middle of springtime for me!\Today Is on Me\Did you really see the killer?\Yes! I'm telling the truth.\That's strange...\All the streetlights in that area were out because a bolt of lightning\caused a power outage. response:	Takeo-kun...
context: it's the middle of springtime for me!\Today Is on Me\Did you really see the killer?\Yes! I'm telling the truth.\That's strange...\All the streetlights in that area were out because a bolt of lightning\caused a power outage.\Takeo-kun... response:	Suna!
context: Today Is on Me\Did you really see the killer?\Yes! I'm telling the truth.\That's strange...\All the streetlights in that area were out because a bolt of lightning\caused a power outage.\Takeo-kun...\Suna! response:	How was the movie?
context: Did you really see the killer?\Yes! I'm telling the truth.\That's strange...\All the streetlights in that area were out because a bolt of lightning\caused a power outage.\Takeo-kun...\Suna!\How was the movie? response:	Was it good?
context: Yes! I'm telling the truth.\That's strange...\All the streetlights in that area were out because a bolt of lightning\caused a power outage.\Takeo-kun...\Suna!\How was the movie?\Was it good? response:	The ending was different than the book,
context: That's strange...\All the streetlights in that area were out because a bolt of lightning\caused a power outage.\Takeo-kun...\Suna!\How was the movie?\Was it good?\The ending was different than the book, response:	but in a good way.
context: All the streetlights in that area were out because a bolt of lightning\caused a power outage.\Takeo-kun...\Suna!\How was the movie?\Was it good?\The ending was different than the book,\but in a good way. response:	Was it fun?
context: caused a power outage.\Takeo-kun...\Suna!\How was the movie?\Was it good?\The ending was different than the book,\but in a good way.\Was it fun? response:	Was it?
context: Takeo-kun...\Suna!\How was the movie?\Was it good?\The ending was different than the book,\but in a good way.\Was it fun?\Was it? response:	Huh?
context: Suna!\How was the movie?\Was it good?\The ending was different than the book,\but in a good way.\Was it fun?\Was it?\Huh? response:	Yeah, it was.
context: How was the movie?\Was it good?\The ending was different than the book,\but in a good way.\Was it fun?\Was it?\Huh?\Yeah, it was. response:	Great!
context: Was it good?\The ending was different than the book,\but in a good way.\Was it fun?\Was it?\Huh?\Yeah, it was.\Great! response:	What's with you guys?
context: The ending was different than the book,\but in a good way.\Was it fun?\Was it?\Huh?\Yeah, it was.\Great!\What's with you guys? response:	Anyway, when did the killer die?
context: but in a good way.\Was it fun?\Was it?\Huh?\Yeah, it was.\Great!\What's with you guys?\Anyway, when did the killer die? response:	While you were sleeping, Takeo-kun.
context: Was it fun?\Was it?\Huh?\Yeah, it was.\Great!\What's with you guys?\Anyway, when did the killer die?\While you were sleeping, Takeo-kun. response:	And he wasn't the killer.
context: Was it?\Huh?\Yeah, it was.\Great!\What's with you guys?\Anyway, when did the killer die?\While you were sleeping, Takeo-kun.\And he wasn't the killer. response:	Yeah!
context: Huh?\Yeah, it was.\Great!\What's with you guys?\Anyway, when did the killer die?\While you were sleeping, Takeo-kun.\And he wasn't the killer.\Yeah! response:	Look, Sunakawa-kun... Mountains!
context: Yeah, it was.\Great!\What's with you guys?\Anyway, when did the killer die?\While you were sleeping, Takeo-kun.\And he wasn't the killer.\Yeah!\Look, Sunakawa-kun... Mountains! response:	Yeah, mountains.
context: Great!\What's with you guys?\Anyway, when did the killer die?\While you were sleeping, Takeo-kun.\And he wasn't the killer.\Yeah!\Look, Sunakawa-kun... Mountains!\Yeah, mountains. response:	Well, Suna? They're mountains!
context: What's with you guys?\Anyway, when did the killer die?\While you were sleeping, Takeo-kun.\And he wasn't the killer.\Yeah!\Look, Sunakawa-kun... Mountains!\Yeah, mountains.\Well, Suna? They're mountains! response:	Yeah, mountains.
context: Anyway, when did the killer die?\While you were sleeping, Takeo-kun.\And he wasn't the killer.\Yeah!\Look, Sunakawa-kun... Mountains!\Yeah, mountains.\Well, Suna? They're mountains!\Yeah, mountains. response:	Sunakawa-kun, do you find mountains fun?
context: While you were sleeping, Takeo-kun.\And he wasn't the killer.\Yeah!\Look, Sunakawa-kun... Mountains!\Yeah, mountains.\Well, Suna? They're mountains!\Yeah, mountains.\Sunakawa-kun, do you find mountains fun? response:	So, Suna, do you find mountains fun?
context: And he wasn't the killer.\Yeah!\Look, Sunakawa-kun... Mountains!\Yeah, mountains.\Well, Suna? They're mountains!\Yeah, mountains.\Sunakawa-kun, do you find mountains fun?\So, Suna, do you find mountains fun? response:	Well... I don't really go mountain climbing.
context: Yeah!\Look, Sunakawa-kun... Mountains!\Yeah, mountains.\Well, Suna? They're mountains!\Yeah, mountains.\Sunakawa-kun, do you find mountains fun?\So, Suna, do you find mountains fun?\Well... I don't really go mountain climbing. response:	I guess.
context: Look, Sunakawa-kun... Mountains!\Yeah, mountains.\Well, Suna? They're mountains!\Yeah, mountains.\Sunakawa-kun, do you find mountains fun?\So, Suna, do you find mountains fun?\Well... I don't really go mountain climbing.\I guess. response:	Is this fun?
context: Yeah, mountains.\Well, Suna? They're mountains!\Yeah, mountains.\Sunakawa-kun, do you find mountains fun?\So, Suna, do you find mountains fun?\Well... I don't really go mountain climbing.\I guess.\Is this fun? response:	Is it?
context: Well, Suna? They're mountains!\Yeah, mountains.\Sunakawa-kun, do you find mountains fun?\So, Suna, do you find mountains fun?\Well... I don't really go mountain climbing.\I guess.\Is this fun?\Is it? response:	Yeah, it's fun...
context: Yeah, mountains.\Sunakawa-kun, do you find mountains fun?\So, Suna, do you find mountains fun?\Well... I don't really go mountain climbing.\I guess.\Is this fun?\Is it?\Yeah, it's fun... response:	Yeah!
context: Sunakawa-kun, do you find mountains fun?\So, Suna, do you find mountains fun?\Well... I don't really go mountain climbing.\I guess.\Is this fun?\Is it?\Yeah, it's fun...\Yeah! response:	Oh, good timing.
context: So, Suna, do you find mountains fun?\Well... I don't really go mountain climbing.\I guess.\Is this fun?\Is it?\Yeah, it's fun...\Yeah!\Oh, good timing. response:	We'll take a break there!
context: Well... I don't really go mountain climbing.\I guess.\Is this fun?\Is it?\Yeah, it's fun...\Yeah!\Oh, good timing.\We'll take a break there! response:	Sure, whatever.
context: I guess.\Is this fun?\Is it?\Yeah, it's fun...\Yeah!\Oh, good timing.\We'll take a break there!\Sure, whatever. response:	I'm not that tired, though
context: Is this fun?\Is it?\Yeah, it's fun...\Yeah!\Oh, good timing.\We'll take a break there!\Sure, whatever.\I'm not that tired, though response:	Suna!
context: Is it?\Yeah, it's fun...\Yeah!\Oh, good timing.\We'll take a break there!\Sure, whatever.\I'm not that tired, though\Suna! response:	Sunakawa-kun
context: Yeah, it's fun...\Yeah!\Oh, good timing.\We'll take a break there!\Sure, whatever.\I'm not that tired, though\Suna!\Sunakawa-kun response:	Happy...
context: Yeah!\Oh, good timing.\We'll take a break there!\Sure, whatever.\I'm not that tired, though\Suna!\Sunakawa-kun\Happy... response:	What?
context: Oh, good timing.\We'll take a break there!\Sure, whatever.\I'm not that tired, though\Suna!\Sunakawa-kun\Happy...\What? response:	It's your birthday, right?
context: We'll take a break there!\Sure, whatever.\I'm not that tired, though\Suna!\Sunakawa-kun\Happy...\What?\It's your birthday, right? response:	September 13th, right?
context: Sure, whatever.\I'm not that tired, though\Suna!\Sunakawa-kun\Happy...\What?\It's your birthday, right?\September 13th, right? response:	Yeah, September 13th.
context: I'm not that tired, though\Suna!\Sunakawa-kun\Happy...\What?\It's your birthday, right?\September 13th, right?\Yeah, September 13th. response:	9/13 (Sunday)
