context: The story so far. response:	There was an incident where all the girls in the class conspired to ostracize Yukino,
context: The story so far.\There was an incident where all the girls in the class conspired to ostracize Yukino, response:	at the instigation of Isawa Maho,
context: The story so far.\There was an incident where all the girls in the class conspired to ostracize Yukino,\at the instigation of Isawa Maho, response:	who had independently discovered her true character.
context: The story so far.\There was an incident where all the girls in the class conspired to ostracize Yukino,\at the instigation of Isawa Maho,\who had independently discovered her true character. response:	Meanwhile,
context: The story so far.\There was an incident where all the girls in the class conspired to ostracize Yukino,\at the instigation of Isawa Maho,\who had independently discovered her true character.\Meanwhile, response:	Shibahime Tsubasa, who had been secretly harboring feelings of love for Arima,
context: The story so far.\There was an incident where all the girls in the class conspired to ostracize Yukino,\at the instigation of Isawa Maho,\who had independently discovered her true character.\Meanwhile,\Shibahime Tsubasa, who had been secretly harboring feelings of love for Arima, response:	begins harassing her.
context: The story so far.\There was an incident where all the girls in the class conspired to ostracize Yukino,\at the instigation of Isawa Maho,\who had independently discovered her true character.\Meanwhile,\Shibahime Tsubasa, who had been secretly harboring feelings of love for Arima,\begins harassing her. response:	She was about to face the greatest crisis of her life.
context: The story so far.\There was an incident where all the girls in the class conspired to ostracize Yukino,\at the instigation of Isawa Maho,\who had independently discovered her true character.\Meanwhile,\Shibahime Tsubasa, who had been secretly harboring feelings of love for Arima,\begins harassing her.\She was about to face the greatest crisis of her life. response:	The story so far.
context: There was an incident where all the girls in the class conspired to ostracize Yukino,\at the instigation of Isawa Maho,\who had independently discovered her true character.\Meanwhile,\Shibahime Tsubasa, who had been secretly harboring feelings of love for Arima,\begins harassing her.\She was about to face the greatest crisis of her life.\The story so far. response:	After the deadlock that she brought upon herself,
context: at the instigation of Isawa Maho,\who had independently discovered her true character.\Meanwhile,\Shibahime Tsubasa, who had been secretly harboring feelings of love for Arima,\begins harassing her.\She was about to face the greatest crisis of her life.\The story so far.\After the deadlock that she brought upon herself, response:	Yukino snaps due to Tsubasa's harassment,
context: who had independently discovered her true character.\Meanwhile,\Shibahime Tsubasa, who had been secretly harboring feelings of love for Arima,\begins harassing her.\She was about to face the greatest crisis of her life.\The story so far.\After the deadlock that she brought upon herself,\Yukino snaps due to Tsubasa's harassment, response:	and her anger explodes.
context: Meanwhile,\Shibahime Tsubasa, who had been secretly harboring feelings of love for Arima,\begins harassing her.\She was about to face the greatest crisis of her life.\The story so far.\After the deadlock that she brought upon herself,\Yukino snaps due to Tsubasa's harassment,\and her anger explodes. response:	She goes berserk and plunges the school into the depths of fear.
context: Shibahime Tsubasa, who had been secretly harboring feelings of love for Arima,\begins harassing her.\She was about to face the greatest crisis of her life.\The story so far.\After the deadlock that she brought upon herself,\Yukino snaps due to Tsubasa's harassment,\and her anger explodes.\She goes berserk and plunges the school into the depths of fear. response:	This state of absolute terror abruptly brings all problems under control,
context: begins harassing her.\She was about to face the greatest crisis of her life.\The story so far.\After the deadlock that she brought upon herself,\Yukino snaps due to Tsubasa's harassment,\and her anger explodes.\She goes berserk and plunges the school into the depths of fear.\This state of absolute terror abruptly brings all problems under control, response:	and she acquires friends for the first time.
context: She was about to face the greatest crisis of her life.\The story so far.\After the deadlock that she brought upon herself,\Yukino snaps due to Tsubasa's harassment,\and her anger explodes.\She goes berserk and plunges the school into the depths of fear.\This state of absolute terror abruptly brings all problems under control,\and she acquires friends for the first time. response:	The story so far.
context: The story so far.\After the deadlock that she brought upon herself,\Yukino snaps due to Tsubasa's harassment,\and her anger explodes.\She goes berserk and plunges the school into the depths of fear.\This state of absolute terror abruptly brings all problems under control,\and she acquires friends for the first time.\The story so far. response:	The first semester finally ends,
context: After the deadlock that she brought upon herself,\Yukino snaps due to Tsubasa's harassment,\and her anger explodes.\She goes berserk and plunges the school into the depths of fear.\This state of absolute terror abruptly brings all problems under control,\and she acquires friends for the first time.\The story so far.\The first semester finally ends, response:	and Yukino is apart from Arima-kun for the time being.
context: Yukino snaps due to Tsubasa's harassment,\and her anger explodes.\She goes berserk and plunges the school into the depths of fear.\This state of absolute terror abruptly brings all problems under control,\and she acquires friends for the first time.\The story so far.\The first semester finally ends,\and Yukino is apart from Arima-kun for the time being. response:	In exchange, she has her debut as a friend with us,
context: and her anger explodes.\She goes berserk and plunges the school into the depths of fear.\This state of absolute terror abruptly brings all problems under control,\and she acquires friends for the first time.\The story so far.\The first semester finally ends,\and Yukino is apart from Arima-kun for the time being.\In exchange, she has her debut as a friend with us, response:	and we go out on a partying binge.
context: She goes berserk and plunges the school into the depths of fear.\This state of absolute terror abruptly brings all problems under control,\and she acquires friends for the first time.\The story so far.\The first semester finally ends,\and Yukino is apart from Arima-kun for the time being.\In exchange, she has her debut as a friend with us,\and we go out on a partying binge. response:	Yukino ends up depressed
context: This state of absolute terror abruptly brings all problems under control,\and she acquires friends for the first time.\The story so far.\The first semester finally ends,\and Yukino is apart from Arima-kun for the time being.\In exchange, she has her debut as a friend with us,\and we go out on a partying binge.\Yukino ends up depressed response:	because she feels once again that her only merit is grades.
context: and she acquires friends for the first time.\The story so far.\The first semester finally ends,\and Yukino is apart from Arima-kun for the time being.\In exchange, she has her debut as a friend with us,\and we go out on a partying binge.\Yukino ends up depressed\because she feels once again that her only merit is grades. response:	The story so far.
