context: Mob Psycho 100 response:	Namu Amida Butsu
context: Mob Psycho 100\Namu Amida Butsu response:	Believe it or not, the world is filled with strange phenomena
context: Mob Psycho 100\Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena response:	that science is yet to explain.
context: Mob Psycho 100\Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain. response:	And when people come face to face with them,
context: Mob Psycho 100\Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them, response:	they are helplessly thrown into the dark depths of fear.
context: Mob Psycho 100\Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear. response:	But there are those who fight every day
context: Mob Psycho 100\Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day response:	to shine a ray of hope into that chaotic darkness.
context: Mob Psycho 100\Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness. response:	People call them...
context: Namu Amida Butsu\Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them... response:	Psychics
context: Believe it or not, the world is filled with strange phenomena\that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them...\Psychics response:	Psychics.
context: that science is yet to explain.\And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them...\Psychics\Psychics. response:	I, Reigen Arataka, shall accept this job!
context: And when people come face to face with them,\they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them...\Psychics\Psychics.\I, Reigen Arataka, shall accept this job! response:	Reigen
context: they are helplessly thrown into the dark depths of fear.\But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them...\Psychics\Psychics.\I, Reigen Arataka, shall accept this job!\Reigen response:	Arataka
context: But there are those who fight every day\to shine a ray of hope into that chaotic darkness.\People call them...\Psychics\Psychics.\I, Reigen Arataka, shall accept this job!\Reigen\Arataka response:	Really? Thank you so much!
context: to shine a ray of hope into that chaotic darkness.\People call them...\Psychics\Psychics.\I, Reigen Arataka, shall accept this job!\Reigen\Arataka\Really? Thank you so much! response:	I was at a complete loss because no one else would take me seriously.
context: People call them...\Psychics\Psychics.\I, Reigen Arataka, shall accept this job!\Reigen\Arataka\Really? Thank you so much!\I was at a complete loss because no one else would take me seriously. response:	Client: Hanako
context: Psychics\Psychics.\I, Reigen Arataka, shall accept this job!\Reigen\Arataka\Really? Thank you so much!\I was at a complete loss because no one else would take me seriously.\Client: Hanako response:	I see, I see.
context: Psychics.\I, Reigen Arataka, shall accept this job!\Reigen\Arataka\Really? Thank you so much!\I was at a complete loss because no one else would take me seriously.\Client: Hanako\I see, I see. response:	As for my fees, it depends on which exorcism course you pick.
context: I, Reigen Arataka, shall accept this job!\Reigen\Arataka\Really? Thank you so much!\I was at a complete loss because no one else would take me seriously.\Client: Hanako\I see, I see.\As for my fees, it depends on which exorcism course you pick. response:	Course?
context: Reigen\Arataka\Really? Thank you so much!\I was at a complete loss because no one else would take me seriously.\Client: Hanako\I see, I see.\As for my fees, it depends on which exorcism course you pick.\Course? response:	Executing the Exorcism!!
context: Arataka\Really? Thank you so much!\I was at a complete loss because no one else would take me seriously.\Client: Hanako\I see, I see.\As for my fees, it depends on which exorcism course you pick.\Course?\Executing the Exorcism!! response:	We will do our best to reduce the spirit possessing you
context: Really? Thank you so much!\I was at a complete loss because no one else would take me seriously.\Client: Hanako\I see, I see.\As for my fees, it depends on which exorcism course you pick.\Course?\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you response:	Option A Trial Course
context: I was at a complete loss because no one else would take me seriously.\Client: Hanako\I see, I see.\As for my fees, it depends on which exorcism course you pick.\Course?\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you\Option A Trial Course response:	A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen.
context: Client: Hanako\I see, I see.\As for my fees, it depends on which exorcism course you pick.\Course?\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you\Option A Trial Course\A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen. response:	Option A, the trial course, gets you 20,
context: I see, I see.\As for my fees, it depends on which exorcism course you pick.\Course?\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you\Option A Trial Course\A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen.\Option A, the trial course, gets you 20, response:	Option B Serious Course
context: As for my fees, it depends on which exorcism course you pick.\Course?\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you\Option A Trial Course\A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen.\Option A, the trial course, gets you 20,\Option B Serious Course response:	A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8980 yen
context: Course?\Executing the Exorcism!!\We will do our best to reduce the spirit possessing you\Option A Trial Course\A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen.\Option A, the trial course, gets you 20,\Option B Serious Course\A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8980 yen response:	Option B, the serious course, gets you 50,
context: Executing the Exorcism!!\We will do our best to reduce the spirit possessing you\Option A Trial Course\A Mere 2,000 yen (Tax Excluded) Outside Offer Period: 3,980 yen.\Option A, the trial course, gets you 20,\Option B Serious Course\A Mere 5,000 yen (Tax Excluded) Outside of Offer Period: 8980 yen\Option B, the serious course, gets you 50, response:	Recommended Option C All-Out Course
