context: Oh, Hitoka-chan. Are you done changing? response:	I'll walk with you, so hold on a sec.
context: Oh, Hitoka-chan. Are you done changing?\I'll walk with you, so hold on a sec. response:	I'm going to go change, too.
context: Oh, Hitoka-chan. Are you done changing?\I'll walk with you, so hold on a sec.\I'm going to go change, too. response:	No, it's okay.
context: Oh, Hitoka-chan. Are you done changing?\I'll walk with you, so hold on a sec.\I'm going to go change, too.\No, it's okay. response:	I actually think I should be walking with you, or something, or...
context: Oh, Hitoka-chan. Are you done changing?\I'll walk with you, so hold on a sec.\I'm going to go change, too.\No, it's okay.\I actually think I should be walking with you, or something, or... response:	Don't worry about it.
context: Oh, Hitoka-chan. Are you done changing?\I'll walk with you, so hold on a sec.\I'm going to go change, too.\No, it's okay.\I actually think I should be walking with you, or something, or...\Don't worry about it. response:	What's wrong, Sensei?
context: Oh, Hitoka-chan. Are you done changing?\I'll walk with you, so hold on a sec.\I'm going to go change, too.\No, it's okay.\I actually think I should be walking with you, or something, or...\Don't worry about it.\What's wrong, Sensei? response:	Why the serious face?
context: Oh, Hitoka-chan. Are you done changing?\I'll walk with you, so hold on a sec.\I'm going to go change, too.\No, it's okay.\I actually think I should be walking with you, or something, or...\Don't worry about it.\What's wrong, Sensei?\Why the serious face? response:	Oh, well...
context: I'll walk with you, so hold on a sec.\I'm going to go change, too.\No, it's okay.\I actually think I should be walking with you, or something, or...\Don't worry about it.\What's wrong, Sensei?\Why the serious face?\Oh, well... response:	Apparently, the bus we were supposed to take for the away games in Tokyo
context: I'm going to go change, too.\No, it's okay.\I actually think I should be walking with you, or something, or...\Don't worry about it.\What's wrong, Sensei?\Why the serious face?\Oh, well...\Apparently, the bus we were supposed to take for the away games in Tokyo response:	was booked by another club, so it doesn't look like we'll get it.
context: No, it's okay.\I actually think I should be walking with you, or something, or...\Don't worry about it.\What's wrong, Sensei?\Why the serious face?\Oh, well...\Apparently, the bus we were supposed to take for the away games in Tokyo\was booked by another club, so it doesn't look like we'll get it. response:	It looks like it's going to cost us a lot more than expected,
context: I actually think I should be walking with you, or something, or...\Don't worry about it.\What's wrong, Sensei?\Why the serious face?\Oh, well...\Apparently, the bus we were supposed to take for the away games in Tokyo\was booked by another club, so it doesn't look like we'll get it.\It looks like it's going to cost us a lot more than expected, response:	so I was trying to figure out what to do.
