context: Episode 10 Umaru and Now and Once Upon a Time response:	I keep telling her she needs to sleep in her bed,
context: Episode 10 Umaru and Now and Once Upon a Time\I keep telling her she needs to sleep in her bed, response:	but she fell asleep playing a game again.
context: Episode 10 Umaru and Now and Once Upon a Time\I keep telling her she needs to sleep in her bed,\but she fell asleep playing a game again. response:	You've got a cold.
context: Episode 10 Umaru and Now and Once Upon a Time\I keep telling her she needs to sleep in her bed,\but she fell asleep playing a game again.\You've got a cold. response:	My head hurts, Onii-chan.
context: Episode 10 Umaru and Now and Once Upon a Time\I keep telling her she needs to sleep in her bed,\but she fell asleep playing a game again.\You've got a cold.\My head hurts, Onii-chan. response:	Stay home from school today.
context: Episode 10 Umaru and Now and Once Upon a Time\I keep telling her she needs to sleep in her bed,\but she fell asleep playing a game again.\You've got a cold.\My head hurts, Onii-chan.\Stay home from school today. response:	I actually don't feel that bad.
context: Episode 10 Umaru and Now and Once Upon a Time\I keep telling her she needs to sleep in her bed,\but she fell asleep playing a game again.\You've got a cold.\My head hurts, Onii-chan.\Stay home from school today.\I actually don't feel that bad. response:	I'll just have Onii-chan dote on me for a while, and laze around.
context: Episode 10 Umaru and Now and Once Upon a Time\I keep telling her she needs to sleep in her bed,\but she fell asleep playing a game again.\You've got a cold.\My head hurts, Onii-chan.\Stay home from school today.\I actually don't feel that bad.\I'll just have Onii-chan dote on me for a while, and laze around. response:	Aah
context: I keep telling her she needs to sleep in her bed,\but she fell asleep playing a game again.\You've got a cold.\My head hurts, Onii-chan.\Stay home from school today.\I actually don't feel that bad.\I'll just have Onii-chan dote on me for a while, and laze around.\Aah response:	Well, I'm heading to the office.
context: but she fell asleep playing a game again.\You've got a cold.\My head hurts, Onii-chan.\Stay home from school today.\I actually don't feel that bad.\I'll just have Onii-chan dote on me for a while, and laze around.\Aah\Well, I'm heading to the office. response:	Huh? Why?! You're not taking the day off?
context: You've got a cold.\My head hurts, Onii-chan.\Stay home from school today.\I actually don't feel that bad.\I'll just have Onii-chan dote on me for a while, and laze around.\Aah\Well, I'm heading to the office.\Huh? Why?! You're not taking the day off? response:	Onii-chan, you're actually going to leave your sick sister home alone, and go to work?
context: My head hurts, Onii-chan.\Stay home from school today.\I actually don't feel that bad.\I'll just have Onii-chan dote on me for a while, and laze around.\Aah\Well, I'm heading to the office.\Huh? Why?! You're not taking the day off?\Onii-chan, you're actually going to leave your sick sister home alone, and go to work? response:	No one stays home from work because their little sister has a cold.
context: Stay home from school today.\I actually don't feel that bad.\I'll just have Onii-chan dote on me for a while, and laze around.\Aah\Well, I'm heading to the office.\Huh? Why?! You're not taking the day off?\Onii-chan, you're actually going to leave your sick sister home alone, and go to work?\No one stays home from work because their little sister has a cold. response:	Not to mention, this time, you got what you deserved.
context: I actually don't feel that bad.\I'll just have Onii-chan dote on me for a while, and laze around.\Aah\Well, I'm heading to the office.\Huh? Why?! You're not taking the day off?\Onii-chan, you're actually going to leave your sick sister home alone, and go to work?\No one stays home from work because their little sister has a cold.\Not to mention, this time, you got what you deserved. response:	This happened because you fell asleep playing a game and left the AC on.
context: I'll just have Onii-chan dote on me for a while, and laze around.\Aah\Well, I'm heading to the office.\Huh? Why?! You're not taking the day off?\Onii-chan, you're actually going to leave your sick sister home alone, and go to work?\No one stays home from work because their little sister has a cold.\Not to mention, this time, you got what you deserved.\This happened because you fell asleep playing a game and left the AC on. response:	I'll be home early, so stay in bed and think about what you've done.
context: Aah\Well, I'm heading to the office.\Huh? Why?! You're not taking the day off?\Onii-chan, you're actually going to leave your sick sister home alone, and go to work?\No one stays home from work because their little sister has a cold.\Not to mention, this time, you got what you deserved.\This happened because you fell asleep playing a game and left the AC on.\I'll be home early, so stay in bed and think about what you've done. response:	I'll let Ebina-chan know.
context: Well, I'm heading to the office.\Huh? Why?! You're not taking the day off?\Onii-chan, you're actually going to leave your sick sister home alone, and go to work?\No one stays home from work because their little sister has a cold.\Not to mention, this time, you got what you deserved.\This happened because you fell asleep playing a game and left the AC on.\I'll be home early, so stay in bed and think about what you've done.\I'll let Ebina-chan know. response:	Hmph!
context: Huh? Why?! You're not taking the day off?\Onii-chan, you're actually going to leave your sick sister home alone, and go to work?\No one stays home from work because their little sister has a cold.\Not to mention, this time, you got what you deserved.\This happened because you fell asleep playing a game and left the AC on.\I'll be home early, so stay in bed and think about what you've done.\I'll let Ebina-chan know.\Hmph! response:	I hate you, Onii-chan!
context: Onii-chan, you're actually going to leave your sick sister home alone, and go to work?\No one stays home from work because their little sister has a cold.\Not to mention, this time, you got what you deserved.\This happened because you fell asleep playing a game and left the AC on.\I'll be home early, so stay in bed and think about what you've done.\I'll let Ebina-chan know.\Hmph!\I hate you, Onii-chan! response:	I'll just make myself sicker, and make you worry more.
context: No one stays home from work because their little sister has a cold.\Not to mention, this time, you got what you deserved.\This happened because you fell asleep playing a game and left the AC on.\I'll be home early, so stay in bed and think about what you've done.\I'll let Ebina-chan know.\Hmph!\I hate you, Onii-chan!\I'll just make myself sicker, and make you worry more. response:	The Next Day
context: Not to mention, this time, you got what you deserved.\This happened because you fell asleep playing a game and left the AC on.\I'll be home early, so stay in bed and think about what you've done.\I'll let Ebina-chan know.\Hmph!\I hate you, Onii-chan!\I'll just make myself sicker, and make you worry more.\The Next Day response:	Umaru is back!
context: This happened because you fell asleep playing a game and left the AC on.\I'll be home early, so stay in bed and think about what you've done.\I'll let Ebina-chan know.\Hmph!\I hate you, Onii-chan!\I'll just make myself sicker, and make you worry more.\The Next Day\Umaru is back! response:	Of course, my virus is totally lazy.
context: I'll be home early, so stay in bed and think about what you've done.\I'll let Ebina-chan know.\Hmph!\I hate you, Onii-chan!\I'll just make myself sicker, and make you worry more.\The Next Day\Umaru is back!\Of course, my virus is totally lazy. response:	What do you guys wanna do?
context: I'll let Ebina-chan know.\Hmph!\I hate you, Onii-chan!\I'll just make myself sicker, and make you worry more.\The Next Day\Umaru is back!\Of course, my virus is totally lazy.\What do you guys wanna do? response:	So tired.
context: Hmph!\I hate you, Onii-chan!\I'll just make myself sicker, and make you worry more.\The Next Day\Umaru is back!\Of course, my virus is totally lazy.\What do you guys wanna do?\So tired. response:	Let's not bother this time.
context: I hate you, Onii-chan!\I'll just make myself sicker, and make you worry more.\The Next Day\Umaru is back!\Of course, my virus is totally lazy.\What do you guys wanna do?\So tired.\Let's not bother this time. response:	Yeah.
context: I'll just make myself sicker, and make you worry more.\The Next Day\Umaru is back!\Of course, my virus is totally lazy.\What do you guys wanna do?\So tired.\Let's not bother this time.\Yeah. response:	They died in a day! Viva health!
context: The Next Day\Umaru is back!\Of course, my virus is totally lazy.\What do you guys wanna do?\So tired.\Let's not bother this time.\Yeah.\They died in a day! Viva health! response:	The morning after you get over a cold feels so good!
context: Umaru is back!\Of course, my virus is totally lazy.\What do you guys wanna do?\So tired.\Let's not bother this time.\Yeah.\They died in a day! Viva health!\The morning after you get over a cold feels so good! response:	I'll do some radio calisthenics that I vaguely remember!
