context: It's Ryu's brother that I like. response:	I'm going to spend some money on him this year.
context: It's Ryu's brother that I like.\I'm going to spend some money on him this year. response:	I wonder if she gave it to him.
context: It's Ryu's brother that I like.\I'm going to spend some money on him this year.\I wonder if she gave it to him. response:	Thanks for everything.
context: It's Ryu's brother that I like.\I'm going to spend some money on him this year.\I wonder if she gave it to him.\Thanks for everything. response:	No, thank you. It's been fun.
context: It's Ryu's brother that I like.\I'm going to spend some money on him this year.\I wonder if she gave it to him.\Thanks for everything.\No, thank you. It's been fun. response:	We'll be back again for New Year's.
context: It's Ryu's brother that I like.\I'm going to spend some money on him this year.\I wonder if she gave it to him.\Thanks for everything.\No, thank you. It's been fun.\We'll be back again for New Year's. response:	Chi never showed up again.
context: It's Ryu's brother that I like.\I'm going to spend some money on him this year.\I wonder if she gave it to him.\Thanks for everything.\No, thank you. It's been fun.\We'll be back again for New Year's.\Chi never showed up again. response:	I bet she's busy. She's growing up.
context: It's Ryu's brother that I like.\I'm going to spend some money on him this year.\I wonder if she gave it to him.\Thanks for everything.\No, thank you. It's been fun.\We'll be back again for New Year's.\Chi never showed up again.\I bet she's busy. She's growing up. response:	Ryu,
context: I'm going to spend some money on him this year.\I wonder if she gave it to him.\Thanks for everything.\No, thank you. It's been fun.\We'll be back again for New Year's.\Chi never showed up again.\I bet she's busy. She's growing up.\Ryu, response:	tell Chi to say hi properly next time.
context: I wonder if she gave it to him.\Thanks for everything.\No, thank you. It's been fun.\We'll be back again for New Year's.\Chi never showed up again.\I bet she's busy. She's growing up.\Ryu,\tell Chi to say hi properly next time. response:	Okay, I will.
context: Thanks for everything.\No, thank you. It's been fun.\We'll be back again for New Year's.\Chi never showed up again.\I bet she's busy. She's growing up.\Ryu,\tell Chi to say hi properly next time.\Okay, I will. response:	It's cold.
context: No, thank you. It's been fun.\We'll be back again for New Year's.\Chi never showed up again.\I bet she's busy. She's growing up.\Ryu,\tell Chi to say hi properly next time.\Okay, I will.\It's cold. response:	I don't have a face to show.
context: We'll be back again for New Year's.\Chi never showed up again.\I bet she's busy. She's growing up.\Ryu,\tell Chi to say hi properly next time.\Okay, I will.\It's cold.\I don't have a face to show. response:	You're late.
context: Chi never showed up again.\I bet she's busy. She's growing up.\Ryu,\tell Chi to say hi properly next time.\Okay, I will.\It's cold.\I don't have a face to show.\You're late. response:	My brother said to say hi properly next time.
context: I bet she's busy. She's growing up.\Ryu,\tell Chi to say hi properly next time.\Okay, I will.\It's cold.\I don't have a face to show.\You're late.\My brother said to say hi properly next time. response:	He went home around noon.
context: Ryu,\tell Chi to say hi properly next time.\Okay, I will.\It's cold.\I don't have a face to show.\You're late.\My brother said to say hi properly next time.\He went home around noon. response:	I-I know that.
context: tell Chi to say hi properly next time.\Okay, I will.\It's cold.\I don't have a face to show.\You're late.\My brother said to say hi properly next time.\He went home around noon.\I-I know that. response:	Are you trying to be nice to me?
context: Okay, I will.\It's cold.\I don't have a face to show.\You're late.\My brother said to say hi properly next time.\He went home around noon.\I-I know that.\Are you trying to be nice to me? response:	Are you starting a fight?
context: It's cold.\I don't have a face to show.\You're late.\My brother said to say hi properly next time.\He went home around noon.\I-I know that.\Are you trying to be nice to me?\Are you starting a fight? response:	Which is it?
context: I don't have a face to show.\You're late.\My brother said to say hi properly next time.\He went home around noon.\I-I know that.\Are you trying to be nice to me?\Are you starting a fight?\Which is it? response:	Nice?
context: You're late.\My brother said to say hi properly next time.\He went home around noon.\I-I know that.\Are you trying to be nice to me?\Are you starting a fight?\Which is it?\Nice? response:	Y-You thought it'd be bad to tell me about Tohru, didn't you?
context: My brother said to say hi properly next time.\He went home around noon.\I-I know that.\Are you trying to be nice to me?\Are you starting a fight?\Which is it?\Nice?\Y-You thought it'd be bad to tell me about Tohru, didn't you? response:	I wasn't being nice.
context: He went home around noon.\I-I know that.\Are you trying to be nice to me?\Are you starting a fight?\Which is it?\Nice?\Y-You thought it'd be bad to tell me about Tohru, didn't you?\I wasn't being nice. response:	I'm glad it's finally come to this.
context: I-I know that.\Are you trying to be nice to me?\Are you starting a fight?\Which is it?\Nice?\Y-You thought it'd be bad to tell me about Tohru, didn't you?\I wasn't being nice.\I'm glad it's finally come to this. response:	Why?
context: Are you trying to be nice to me?\Are you starting a fight?\Which is it?\Nice?\Y-You thought it'd be bad to tell me about Tohru, didn't you?\I wasn't being nice.\I'm glad it's finally come to this.\Why? response:	Now you can finally give up on my brother.
context: Are you starting a fight?\Which is it?\Nice?\Y-You thought it'd be bad to tell me about Tohru, didn't you?\I wasn't being nice.\I'm glad it's finally come to this.\Why?\Now you can finally give up on my brother. response:	You idiot. Idiot!
context: Which is it?\Nice?\Y-You thought it'd be bad to tell me about Tohru, didn't you?\I wasn't being nice.\I'm glad it's finally come to this.\Why?\Now you can finally give up on my brother.\You idiot. Idiot! response:	You baseball nut!
context: Nice?\Y-You thought it'd be bad to tell me about Tohru, didn't you?\I wasn't being nice.\I'm glad it's finally come to this.\Why?\Now you can finally give up on my brother.\You idiot. Idiot!\You baseball nut! response:	What's baseball got to do with anything?
context: Y-You thought it'd be bad to tell me about Tohru, didn't you?\I wasn't being nice.\I'm glad it's finally come to this.\Why?\Now you can finally give up on my brother.\You idiot. Idiot!\You baseball nut!\What's baseball got to do with anything? response:	Idiot.
context: I wasn't being nice.\I'm glad it's finally come to this.\Why?\Now you can finally give up on my brother.\You idiot. Idiot!\You baseball nut!\What's baseball got to do with anything?\Idiot. response:	I can't do anything, can I?
context: I'm glad it's finally come to this.\Why?\Now you can finally give up on my brother.\You idiot. Idiot!\You baseball nut!\What's baseball got to do with anything?\Idiot.\I can't do anything, can I? response:	Chizu-chan does so much for me.
context: Why?\Now you can finally give up on my brother.\You idiot. Idiot!\You baseball nut!\What's baseball got to do with anything?\Idiot.\I can't do anything, can I?\Chizu-chan does so much for me. response:	Maybe if I were like Kazehaya-kun, I might have been able to cheer her up.
context: Now you can finally give up on my brother.\You idiot. Idiot!\You baseball nut!\What's baseball got to do with anything?\Idiot.\I can't do anything, can I?\Chizu-chan does so much for me.\Maybe if I were like Kazehaya-kun, I might have been able to cheer her up. response:	Morning.
context: You idiot. Idiot!\You baseball nut!\What's baseball got to do with anything?\Idiot.\I can't do anything, can I?\Chizu-chan does so much for me.\Maybe if I were like Kazehaya-kun, I might have been able to cheer her up.\Morning. response:	Morning.
context: You baseball nut!\What's baseball got to do with anything?\Idiot.\I can't do anything, can I?\Chizu-chan does so much for me.\Maybe if I were like Kazehaya-kun, I might have been able to cheer her up.\Morning.\Morning. response:	I wonder if Chizu went to see Ryu's brother after what happened.
context: What's baseball got to do with anything?\Idiot.\I can't do anything, can I?\Chizu-chan does so much for me.\Maybe if I were like Kazehaya-kun, I might have been able to cheer her up.\Morning.\Morning.\I wonder if Chizu went to see Ryu's brother after what happened. response:	I wonder if she congratulated him.
context: Idiot.\I can't do anything, can I?\Chizu-chan does so much for me.\Maybe if I were like Kazehaya-kun, I might have been able to cheer her up.\Morning.\Morning.\I wonder if Chizu went to see Ryu's brother after what happened.\I wonder if she congratulated him. response:	In that mood?
context: I can't do anything, can I?\Chizu-chan does so much for me.\Maybe if I were like Kazehaya-kun, I might have been able to cheer her up.\Morning.\Morning.\I wonder if Chizu went to see Ryu's brother after what happened.\I wonder if she congratulated him.\In that mood? response:	Without a speck of disappointment?
context: Chizu-chan does so much for me.\Maybe if I were like Kazehaya-kun, I might have been able to cheer her up.\Morning.\Morning.\I wonder if Chizu went to see Ryu's brother after what happened.\I wonder if she congratulated him.\In that mood?\Without a speck of disappointment? response:	Congratulations, good going!
context: Maybe if I were like Kazehaya-kun, I might have been able to cheer her up.\Morning.\Morning.\I wonder if Chizu went to see Ryu's brother after what happened.\I wonder if she congratulated him.\In that mood?\Without a speck of disappointment?\Congratulations, good going! response:	Thanks.
context: Morning.\Morning.\I wonder if Chizu went to see Ryu's brother after what happened.\I wonder if she congratulated him.\In that mood?\Without a speck of disappointment?\Congratulations, good going!\Thanks. response:	In jeans.
context: Morning.\I wonder if Chizu went to see Ryu's brother after what happened.\I wonder if she congratulated him.\In that mood?\Without a speck of disappointment?\Congratulations, good going!\Thanks.\In jeans. response:	I know. I know, Sawako.
