context: Togashi's place? response:	Yup! After all, they've shacked up!
context: Togashi's place?\Yup! After all, they've shacked up! response:	Shacked up!
context: Togashi's place?\Yup! After all, they've shacked up!\Shacked up! response:	Don't you want to have a peek?
context: Togashi's place?\Yup! After all, they've shacked up!\Shacked up!\Don't you want to have a peek? response:	Shacking up isn't all that shocking.
context: Togashi's place?\Yup! After all, they've shacked up!\Shacked up!\Don't you want to have a peek?\Shacking up isn't all that shocking. response:	Enough!
context: Togashi's place?\Yup! After all, they've shacked up!\Shacked up!\Don't you want to have a peek?\Shacking up isn't all that shocking.\Enough! response:	My master merely shares a hideout with Dark Flame Master
context: Togashi's place?\Yup! After all, they've shacked up!\Shacked up!\Don't you want to have a peek?\Shacking up isn't all that shocking.\Enough!\My master merely shares a hideout with Dark Flame Master response:	under the terms of their formal contract.
context: Togashi's place?\Yup! After all, they've shacked up!\Shacked up!\Don't you want to have a peek?\Shacking up isn't all that shocking.\Enough!\My master merely shares a hideout with Dark Flame Master\under the terms of their formal contract. response:	They are not living the scandalous life you imagine.
context: Yup! After all, they've shacked up!\Shacked up!\Don't you want to have a peek?\Shacking up isn't all that shocking.\Enough!\My master merely shares a hideout with Dark Flame Master\under the terms of their formal contract.\They are not living the scandalous life you imagine. response:	She's right.
context: Shacked up!\Don't you want to have a peek?\Shacking up isn't all that shocking.\Enough!\My master merely shares a hideout with Dark Flame Master\under the terms of their formal contract.\They are not living the scandalous life you imagine.\She's right. response:	And besides, Togashi asked us not to talk about it at school.
context: Don't you want to have a peek?\Shacking up isn't all that shocking.\Enough!\My master merely shares a hideout with Dark Flame Master\under the terms of their formal contract.\They are not living the scandalous life you imagine.\She's right.\And besides, Togashi asked us not to talk about it at school. response:	I know that.
context: Shacking up isn't all that shocking.\Enough!\My master merely shares a hideout with Dark Flame Master\under the terms of their formal contract.\They are not living the scandalous life you imagine.\She's right.\And besides, Togashi asked us not to talk about it at school.\I know that. response:	But they're in high school! They're boyfriend and girlfriend!
context: Enough!\My master merely shares a hideout with Dark Flame Master\under the terms of their formal contract.\They are not living the scandalous life you imagine.\She's right.\And besides, Togashi asked us not to talk about it at school.\I know that.\But they're in high school! They're boyfriend and girlfriend! response:	And they're living together! Doesn't it bother you?
context: My master merely shares a hideout with Dark Flame Master\under the terms of their formal contract.\They are not living the scandalous life you imagine.\She's right.\And besides, Togashi asked us not to talk about it at school.\I know that.\But they're in high school! They're boyfriend and girlfriend!\And they're living together! Doesn't it bother you? response:	The only thing that bothers me is a decrepit non-sorcerer like yourself.
context: under the terms of their formal contract.\They are not living the scandalous life you imagine.\She's right.\And besides, Togashi asked us not to talk about it at school.\I know that.\But they're in high school! They're boyfriend and girlfriend!\And they're living together! Doesn't it bother you?\The only thing that bothers me is a decrepit non-sorcerer like yourself. response:	I am busy. Now be quiet.
context: They are not living the scandalous life you imagine.\She's right.\And besides, Togashi asked us not to talk about it at school.\I know that.\But they're in high school! They're boyfriend and girlfriend!\And they're living together! Doesn't it bother you?\The only thing that bothers me is a decrepit non-sorcerer like yourself.\I am busy. Now be quiet. response:	What are you doing, Deko?
context: She's right.\And besides, Togashi asked us not to talk about it at school.\I know that.\But they're in high school! They're boyfriend and girlfriend!\And they're living together! Doesn't it bother you?\The only thing that bothers me is a decrepit non-sorcerer like yourself.\I am busy. Now be quiet.\What are you doing, Deko? response:	I am creating an adventure log for my fallen
context: And besides, Togashi asked us not to talk about it at school.\I know that.\But they're in high school! They're boyfriend and girlfriend!\And they're living together! Doesn't it bother you?\The only thing that bothers me is a decrepit non-sorcerer like yourself.\I am busy. Now be quiet.\What are you doing, Deko?\I am creating an adventure log for my fallen response:	comrades who have retreated from the front line.
context: I know that.\But they're in high school! They're boyfriend and girlfriend!\And they're living together! Doesn't it bother you?\The only thing that bothers me is a decrepit non-sorcerer like yourself.\I am busy. Now be quiet.\What are you doing, Deko?\I am creating an adventure log for my fallen\comrades who have retreated from the front line. response:	Adventure log?
context: But they're in high school! They're boyfriend and girlfriend!\And they're living together! Doesn't it bother you?\The only thing that bothers me is a decrepit non-sorcerer like yourself.\I am busy. Now be quiet.\What are you doing, Deko?\I am creating an adventure log for my fallen\comrades who have retreated from the front line.\Adventure log? response:	She's assembling lesson notes for classmates who weren't at school.
context: And they're living together! Doesn't it bother you?\The only thing that bothers me is a decrepit non-sorcerer like yourself.\I am busy. Now be quiet.\What are you doing, Deko?\I am creating an adventure log for my fallen\comrades who have retreated from the front line.\Adventure log?\She's assembling lesson notes for classmates who weren't at school. response:	All right, you stay behind.
context: The only thing that bothers me is a decrepit non-sorcerer like yourself.\I am busy. Now be quiet.\What are you doing, Deko?\I am creating an adventure log for my fallen\comrades who have retreated from the front line.\Adventure log?\She's assembling lesson notes for classmates who weren't at school.\All right, you stay behind. response:	Are you interested, Kumin?
context: I am busy. Now be quiet.\What are you doing, Deko?\I am creating an adventure log for my fallen\comrades who have retreated from the front line.\Adventure log?\She's assembling lesson notes for classmates who weren't at school.\All right, you stay behind.\Are you interested, Kumin? response:	Hmm...
context: What are you doing, Deko?\I am creating an adventure log for my fallen\comrades who have retreated from the front line.\Adventure log?\She's assembling lesson notes for classmates who weren't at school.\All right, you stay behind.\Are you interested, Kumin?\Hmm... response:	A couple in love, living together.
context: I am creating an adventure log for my fallen\comrades who have retreated from the front line.\Adventure log?\She's assembling lesson notes for classmates who weren't at school.\All right, you stay behind.\Are you interested, Kumin?\Hmm...\A couple in love, living together. response:	I bet their hearts flutter when they make eye contact.
context: comrades who have retreated from the front line.\Adventure log?\She's assembling lesson notes for classmates who weren't at school.\All right, you stay behind.\Are you interested, Kumin?\Hmm...\A couple in love, living together.\I bet their hearts flutter when they make eye contact. response:	I bet they have little cuddles when nobody's around.
context: Adventure log?\She's assembling lesson notes for classmates who weren't at school.\All right, you stay behind.\Are you interested, Kumin?\Hmm...\A couple in love, living together.\I bet their hearts flutter when they make eye contact.\I bet they have little cuddles when nobody's around. response:	I'll bet they even sneak kisses when Little Sister isn't looking.
context: She's assembling lesson notes for classmates who weren't at school.\All right, you stay behind.\Are you interested, Kumin?\Hmm...\A couple in love, living together.\I bet their hearts flutter when they make eye contact.\I bet they have little cuddles when nobody's around.\I'll bet they even sneak kisses when Little Sister isn't looking. response:	What? Really?
context: All right, you stay behind.\Are you interested, Kumin?\Hmm...\A couple in love, living together.\I bet their hearts flutter when they make eye contact.\I bet they have little cuddles when nobody's around.\I'll bet they even sneak kisses when Little Sister isn't looking.\What? Really? response:	LOVE LOVE
context: Are you interested, Kumin?\Hmm...\A couple in love, living together.\I bet their hearts flutter when they make eye contact.\I bet they have little cuddles when nobody's around.\I'll bet they even sneak kisses when Little Sister isn't looking.\What? Really?\LOVE LOVE response:	Well, yeah!
context: Hmm...\A couple in love, living together.\I bet their hearts flutter when they make eye contact.\I bet they have little cuddles when nobody's around.\I'll bet they even sneak kisses when Little Sister isn't looking.\What? Really?\LOVE LOVE\Well, yeah! response:	LOVE LOVE LOVE LOVE LOVE LOVE LOVE
context: A couple in love, living together.\I bet their hearts flutter when they make eye contact.\I bet they have little cuddles when nobody's around.\I'll bet they even sneak kisses when Little Sister isn't looking.\What? Really?\LOVE LOVE\Well, yeah!\LOVE LOVE LOVE LOVE LOVE LOVE LOVE response:	Be quiet!
context: I bet their hearts flutter when they make eye contact.\I bet they have little cuddles when nobody's around.\I'll bet they even sneak kisses when Little Sister isn't looking.\What? Really?\LOVE LOVE\Well, yeah!\LOVE LOVE LOVE LOVE LOVE LOVE LOVE\Be quiet! response:	Be quiet! Be quiet! Be quiet!
context: I bet they have little cuddles when nobody's around.\I'll bet they even sneak kisses when Little Sister isn't looking.\What? Really?\LOVE LOVE\Well, yeah!\LOVE LOVE LOVE LOVE LOVE LOVE LOVE\Be quiet!\Be quiet! Be quiet! Be quiet! response:	So, it does bother you.
context: I'll bet they even sneak kisses when Little Sister isn't looking.\What? Really?\LOVE LOVE\Well, yeah!\LOVE LOVE LOVE LOVE LOVE LOVE LOVE\Be quiet!\Be quiet! Be quiet! Be quiet!\So, it does bother you. response:	It does not!
context: What? Really?\LOVE LOVE\Well, yeah!\LOVE LOVE LOVE LOVE LOVE LOVE LOVE\Be quiet!\Be quiet! Be quiet! Be quiet!\So, it does bother you.\It does not! response:	The dark wave motions prevent me from seeing my master.
context: LOVE LOVE\Well, yeah!\LOVE LOVE LOVE LOVE LOVE LOVE LOVE\Be quiet!\Be quiet! Be quiet! Be quiet!\So, it does bother you.\It does not!\The dark wave motions prevent me from seeing my master. response:	I cannot see her.
context: Well, yeah!\LOVE LOVE LOVE LOVE LOVE LOVE LOVE\Be quiet!\Be quiet! Be quiet! Be quiet!\So, it does bother you.\It does not!\The dark wave motions prevent me from seeing my master.\I cannot see her. response:	Master... Where are you, Master?
context: LOVE LOVE LOVE LOVE LOVE LOVE LOVE\Be quiet!\Be quiet! Be quiet! Be quiet!\So, it does bother you.\It does not!\The dark wave motions prevent me from seeing my master.\I cannot see her.\Master... Where are you, Master? response:	Face it. It seriously bothers you.
context: Be quiet!\Be quiet! Be quiet! Be quiet!\So, it does bother you.\It does not!\The dark wave motions prevent me from seeing my master.\I cannot see her.\Master... Where are you, Master?\Face it. It seriously bothers you. response:	You finished off those lesson notes incredibly fast.
context: Be quiet! Be quiet! Be quiet!\So, it does bother you.\It does not!\The dark wave motions prevent me from seeing my master.\I cannot see her.\Master... Where are you, Master?\Face it. It seriously bothers you.\You finished off those lesson notes incredibly fast. response:	Oh! I see Togashi!
context: So, it does bother you.\It does not!\The dark wave motions prevent me from seeing my master.\I cannot see her.\Master... Where are you, Master?\Face it. It seriously bothers you.\You finished off those lesson notes incredibly fast.\Oh! I see Togashi! response:	You're right! What is he doing?
context: It does not!\The dark wave motions prevent me from seeing my master.\I cannot see her.\Master... Where are you, Master?\Face it. It seriously bothers you.\You finished off those lesson notes incredibly fast.\Oh! I see Togashi!\You're right! What is he doing? response:	He's either testing the wind direction...
context: The dark wave motions prevent me from seeing my master.\I cannot see her.\Master... Where are you, Master?\Face it. It seriously bothers you.\You finished off those lesson notes incredibly fast.\Oh! I see Togashi!\You're right! What is he doing?\He's either testing the wind direction... response:	I think...
context: I cannot see her.\Master... Where are you, Master?\Face it. It seriously bothers you.\You finished off those lesson notes incredibly fast.\Oh! I see Togashi!\You're right! What is he doing?\He's either testing the wind direction...\I think... response:	I'm sorry. I forgot to take it in.
context: Master... Where are you, Master?\Face it. It seriously bothers you.\You finished off those lesson notes incredibly fast.\Oh! I see Togashi!\You're right! What is he doing?\He's either testing the wind direction...\I think...\I'm sorry. I forgot to take it in. response:	No, I believe it was Rikka's turn today.
context: Face it. It seriously bothers you.\You finished off those lesson notes incredibly fast.\Oh! I see Togashi!\You're right! What is he doing?\He's either testing the wind direction...\I think...\I'm sorry. I forgot to take it in.\No, I believe it was Rikka's turn today. response:	That's all right. I've always done the laundry.
context: You finished off those lesson notes incredibly fast.\Oh! I see Togashi!\You're right! What is he doing?\He's either testing the wind direction...\I think...\I'm sorry. I forgot to take it in.\No, I believe it was Rikka's turn today.\That's all right. I've always done the laundry. response:	Dolphin Ring Striker
context: Oh! I see Togashi!\You're right! What is he doing?\He's either testing the wind direction...\I think...\I'm sorry. I forgot to take it in.\No, I believe it was Rikka's turn today.\That's all right. I've always done the laundry.\Dolphin Ring Striker response:	That won't work. She's the one who suggested it.
context: You're right! What is he doing?\He's either testing the wind direction...\I think...\I'm sorry. I forgot to take it in.\No, I believe it was Rikka's turn today.\That's all right. I've always done the laundry.\Dolphin Ring Striker\That won't work. She's the one who suggested it. response:	BADDY
context: He's either testing the wind direction...\I think...\I'm sorry. I forgot to take it in.\No, I believe it was Rikka's turn today.\That's all right. I've always done the laundry.\Dolphin Ring Striker\That won't work. She's the one who suggested it.\BADDY response:	Yes. The Wicked Lord's chaotic trance dark hot pot is served.
context: I think...\I'm sorry. I forgot to take it in.\No, I believe it was Rikka's turn today.\That's all right. I've always done the laundry.\Dolphin Ring Striker\That won't work. She's the one who suggested it.\BADDY\Yes. The Wicked Lord's chaotic trance dark hot pot is served. response:	You're calling it dark hot pot.
context: I'm sorry. I forgot to take it in.\No, I believe it was Rikka's turn today.\That's all right. I've always done the laundry.\Dolphin Ring Striker\That won't work. She's the one who suggested it.\BADDY\Yes. The Wicked Lord's chaotic trance dark hot pot is served.\You're calling it dark hot pot. response:	Rikka, my big brother and I will take care of all the cooking from now on.
context: No, I believe it was Rikka's turn today.\That's all right. I've always done the laundry.\Dolphin Ring Striker\That won't work. She's the one who suggested it.\BADDY\Yes. The Wicked Lord's chaotic trance dark hot pot is served.\You're calling it dark hot pot.\Rikka, my big brother and I will take care of all the cooking from now on. response:	Understood.
context: That's all right. I've always done the laundry.\Dolphin Ring Striker\That won't work. She's the one who suggested it.\BADDY\Yes. The Wicked Lord's chaotic trance dark hot pot is served.\You're calling it dark hot pot.\Rikka, my big brother and I will take care of all the cooking from now on.\Understood. response:	Please assign me a different mission.
