context: Are you ready? response:	Start.
context: Are you ready?\Start. response:	That was quick. Looks like you haven't lost your edge.
context: Are you ready?\Start.\That was quick. Looks like you haven't lost your edge. response:	By the way, how far have you gotten with the Shuei syndicate's heir?
context: Are you ready?\Start.\That was quick. Looks like you haven't lost your edge.\By the way, how far have you gotten with the Shuei syndicate's heir? response:	Got any dirt on him yet?
context: Are you ready?\Start.\That was quick. Looks like you haven't lost your edge.\By the way, how far have you gotten with the Shuei syndicate's heir?\Got any dirt on him yet? response:	You villain! What do you think you're doing?!
context: Are you ready?\Start.\That was quick. Looks like you haven't lost your edge.\By the way, how far have you gotten with the Shuei syndicate's heir?\Got any dirt on him yet?\You villain! What do you think you're doing?! response:	If I'd known you were a girl, this would never...
context: Are you ready?\Start.\That was quick. Looks like you haven't lost your edge.\By the way, how far have you gotten with the Shuei syndicate's heir?\Got any dirt on him yet?\You villain! What do you think you're doing?!\If I'd known you were a girl, this would never... response:	No, nothing yet.
context: Are you ready?\Start.\That was quick. Looks like you haven't lost your edge.\By the way, how far have you gotten with the Shuei syndicate's heir?\Got any dirt on him yet?\You villain! What do you think you're doing?!\If I'd known you were a girl, this would never...\No, nothing yet. response:	I see.
context: Start.\That was quick. Looks like you haven't lost your edge.\By the way, how far have you gotten with the Shuei syndicate's heir?\Got any dirt on him yet?\You villain! What do you think you're doing?!\If I'd known you were a girl, this would never...\No, nothing yet.\I see. response:	Once you've confirmed that he and Mistress are not truly in love,
context: That was quick. Looks like you haven't lost your edge.\By the way, how far have you gotten with the Shuei syndicate's heir?\Got any dirt on him yet?\You villain! What do you think you're doing?!\If I'd known you were a girl, this would never...\No, nothing yet.\I see.\Once you've confirmed that he and Mistress are not truly in love, response:	take him out.
context: By the way, how far have you gotten with the Shuei syndicate's heir?\Got any dirt on him yet?\You villain! What do you think you're doing?!\If I'd known you were a girl, this would never...\No, nothing yet.\I see.\Once you've confirmed that he and Mistress are not truly in love,\take him out. response:	Is that understood?
context: Got any dirt on him yet?\You villain! What do you think you're doing?!\If I'd known you were a girl, this would never...\No, nothing yet.\I see.\Once you've confirmed that he and Mistress are not truly in love,\take him out.\Is that understood? response:	Naturally!
context: You villain! What do you think you're doing?!\If I'd known you were a girl, this would never...\No, nothing yet.\I see.\Once you've confirmed that he and Mistress are not truly in love,\take him out.\Is that understood?\Naturally! response:	That rude and insolent mongrel deserves it!
context: If I'd known you were a girl, this would never...\No, nothing yet.\I see.\Once you've confirmed that he and Mistress are not truly in love,\take him out.\Is that understood?\Naturally!\That rude and insolent mongrel deserves it! response:	Ah, you've finally seen him for what he truly is.
context: No, nothing yet.\I see.\Once you've confirmed that he and Mistress are not truly in love,\take him out.\Is that understood?\Naturally!\That rude and insolent mongrel deserves it!\Ah, you've finally seen him for what he truly is. response:	Yes.
context: I see.\Once you've confirmed that he and Mistress are not truly in love,\take him out.\Is that understood?\Naturally!\That rude and insolent mongrel deserves it!\Ah, you've finally seen him for what he truly is.\Yes. response:	Mistress deserves someone much better than him.
context: Once you've confirmed that he and Mistress are not truly in love,\take him out.\Is that understood?\Naturally!\That rude and insolent mongrel deserves it!\Ah, you've finally seen him for what he truly is.\Yes.\Mistress deserves someone much better than him. response:	That's a shame, because you're actually pretty cute.
context: take him out.\Is that understood?\Naturally!\That rude and insolent mongrel deserves it!\Ah, you've finally seen him for what he truly is.\Yes.\Mistress deserves someone much better than him.\That's a shame, because you're actually pretty cute. response:	What's his deal, anyway?
context: Is that understood?\Naturally!\That rude and insolent mongrel deserves it!\Ah, you've finally seen him for what he truly is.\Yes.\Mistress deserves someone much better than him.\That's a shame, because you're actually pretty cute.\What's his deal, anyway? response:	Episode 8: Happiness
context: Naturally!\That rude and insolent mongrel deserves it!\Ah, you've finally seen him for what he truly is.\Yes.\Mistress deserves someone much better than him.\That's a shame, because you're actually pretty cute.\What's his deal, anyway?\Episode 8: Happiness response:	Episode 8: Happiness
context: That rude and insolent mongrel deserves it!\Ah, you've finally seen him for what he truly is.\Yes.\Mistress deserves someone much better than him.\That's a shame, because you're actually pretty cute.\What's his deal, anyway?\Episode 8: Happiness\Episode 8: Happiness response:	Episode 8: Happiness
context: Ah, you've finally seen him for what he truly is.\Yes.\Mistress deserves someone much better than him.\That's a shame, because you're actually pretty cute.\What's his deal, anyway?\Episode 8: Happiness\Episode 8: Happiness\Episode 8: Happiness response:	It's been three days since our notorious transfer student, Tsugumi Seishirou, started attending.
context: Yes.\Mistress deserves someone much better than him.\That's a shame, because you're actually pretty cute.\What's his deal, anyway?\Episode 8: Happiness\Episode 8: Happiness\Episode 8: Happiness\It's been three days since our notorious transfer student, Tsugumi Seishirou, started attending. response:	All right, then. Allow me to introduce myself once more.
context: Mistress deserves someone much better than him.\That's a shame, because you're actually pretty cute.\What's his deal, anyway?\Episode 8: Happiness\Episode 8: Happiness\Episode 8: Happiness\It's been three days since our notorious transfer student, Tsugumi Seishirou, started attending.\All right, then. Allow me to introduce myself once more. response:	My name is Tsugumi Seishirou.
context: That's a shame, because you're actually pretty cute.\What's his deal, anyway?\Episode 8: Happiness\Episode 8: Happiness\Episode 8: Happiness\It's been three days since our notorious transfer student, Tsugumi Seishirou, started attending.\All right, then. Allow me to introduce myself once more.\My name is Tsugumi Seishirou. response:	It may be masculine, but I'm a bona fide girl.
