context: First, I'd like to say, thank you! response:	Well that was sudden.
context: First, I'd like to say, thank you!\Well that was sudden. response:	Me too! Thank you!
context: First, I'd like to say, thank you!\Well that was sudden.\Me too! Thank you! response:	To everyone who's watching this...
context: First, I'd like to say, thank you!\Well that was sudden.\Me too! Thank you!\To everyone who's watching this... response:	It's all thanks to the warm breeze of love that you've sent us!
context: First, I'd like to say, thank you!\Well that was sudden.\Me too! Thank you!\To everyone who's watching this...\It's all thanks to the warm breeze of love that you've sent us! response:	Thank you! Thank you!
context: First, I'd like to say, thank you!\Well that was sudden.\Me too! Thank you!\To everyone who's watching this...\It's all thanks to the warm breeze of love that you've sent us!\Thank you! Thank you! response:	We're really grateful.
context: First, I'd like to say, thank you!\Well that was sudden.\Me too! Thank you!\To everyone who's watching this...\It's all thanks to the warm breeze of love that you've sent us!\Thank you! Thank you!\We're really grateful. response:	It's a wonderful miracle, isn't it?
context: First, I'd like to say, thank you!\Well that was sudden.\Me too! Thank you!\To everyone who's watching this...\It's all thanks to the warm breeze of love that you've sent us!\Thank you! Thank you!\We're really grateful.\It's a wonderful miracle, isn't it? response:	No kinda-sappy lines allowed!
context: Well that was sudden.\Me too! Thank you!\To everyone who's watching this...\It's all thanks to the warm breeze of love that you've sent us!\Thank you! Thank you!\We're really grateful.\It's a wonderful miracle, isn't it?\No kinda-sappy lines allowed! response:	Huh? No kinda-sappy lines allowed!
context: Me too! Thank you!\To everyone who's watching this...\It's all thanks to the warm breeze of love that you've sent us!\Thank you! Thank you!\We're really grateful.\It's a wonderful miracle, isn't it?\No kinda-sappy lines allowed!\Huh? No kinda-sappy lines allowed! response:	Huh?
context: To everyone who's watching this...\It's all thanks to the warm breeze of love that you've sent us!\Thank you! Thank you!\We're really grateful.\It's a wonderful miracle, isn't it?\No kinda-sappy lines allowed!\Huh? No kinda-sappy lines allowed!\Huh? response:	Dear Ai, yesterday's rain has finally let up, and the weather is very pleasant today.
context: It's all thanks to the warm breeze of love that you've sent us!\Thank you! Thank you!\We're really grateful.\It's a wonderful miracle, isn't it?\No kinda-sappy lines allowed!\Huh? No kinda-sappy lines allowed!\Huh?\Dear Ai, yesterday's rain has finally let up, and the weather is very pleasant today. response:	But Alicia will be out all day, so the shop is closed.
context: Thank you! Thank you!\We're really grateful.\It's a wonderful miracle, isn't it?\No kinda-sappy lines allowed!\Huh? No kinda-sappy lines allowed!\Huh?\Dear Ai, yesterday's rain has finally let up, and the weather is very pleasant today.\But Alicia will be out all day, so the shop is closed. response:	Not only that, but Aika has work and Alice is at school.
context: We're really grateful.\It's a wonderful miracle, isn't it?\No kinda-sappy lines allowed!\Huh? No kinda-sappy lines allowed!\Huh?\Dear Ai, yesterday's rain has finally let up, and the weather is very pleasant today.\But Alicia will be out all day, so the shop is closed.\Not only that, but Aika has work and Alice is at school. response:	So, President Aria and I are going out, too!
context: It's a wonderful miracle, isn't it?\No kinda-sappy lines allowed!\Huh? No kinda-sappy lines allowed!\Huh?\Dear Ai, yesterday's rain has finally let up, and the weather is very pleasant today.\But Alicia will be out all day, so the shop is closed.\Not only that, but Aika has work and Alice is at school.\So, President Aria and I are going out, too! response:	Do you remember that day Oboeteimasuka ano hi o
context: No kinda-sappy lines allowed!\Huh? No kinda-sappy lines allowed!\Huh?\Dear Ai, yesterday's rain has finally let up, and the weather is very pleasant today.\But Alicia will be out all day, so the shop is closed.\Not only that, but Aika has work and Alice is at school.\So, President Aria and I are going out, too!\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: Huh? No kinda-sappy lines allowed!\Huh?\Dear Ai, yesterday's rain has finally let up, and the weather is very pleasant today.\But Alicia will be out all day, so the shop is closed.\Not only that, but Aika has work and Alice is at school.\So, President Aria and I are going out, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: Huh?\Dear Ai, yesterday's rain has finally let up, and the weather is very pleasant today.\But Alicia will be out all day, so the shop is closed.\Not only that, but Aika has work and Alice is at school.\So, President Aria and I are going out, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: Dear Ai, yesterday's rain has finally let up, and the weather is very pleasant today.\But Alicia will be out all day, so the shop is closed.\Not only that, but Aika has work and Alice is at school.\So, President Aria and I are going out, too!\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
