context: Shiina-san? response:	It's time to get up.
context: Shiina-san?\It's time to get up. response:	Let's do your laundry.
context: Shiina-san?\It's time to get up.\Let's do your laundry. response:	Shiina-san?
context: Shiina-san?\It's time to get up.\Let's do your laundry.\Shiina-san? response:	Kanda-kun, I'm opening the door!
context: Shiina-san?\It's time to get up.\Let's do your laundry.\Shiina-san?\Kanda-kun, I'm opening the door! response:	I'm opening the door, you hear?
context: Shiina-san?\It's time to get up.\Let's do your laundry.\Shiina-san?\Kanda-kun, I'm opening the door!\I'm opening the door, you hear? response:	There you are.
context: Shiina-san?\It's time to get up.\Let's do your laundry.\Shiina-san?\Kanda-kun, I'm opening the door!\I'm opening the door, you hear?\There you are. response:	Shiina-san, get up.
context: Shiina-san?\It's time to get up.\Let's do your laundry.\Shiina-san?\Kanda-kun, I'm opening the door!\I'm opening the door, you hear?\There you are.\Shiina-san, get up. response:	Shiina-san.
context: It's time to get up.\Let's do your laundry.\Shiina-san?\Kanda-kun, I'm opening the door!\I'm opening the door, you hear?\There you are.\Shiina-san, get up.\Shiina-san. response:	You can't sleep in a boy's room!
context: Let's do your laundry.\Shiina-san?\Kanda-kun, I'm opening the door!\I'm opening the door, you hear?\There you are.\Shiina-san, get up.\Shiina-san.\You can't sleep in a boy's room! response:	Where's Kanda-kun? I need to scold him.
context: Shiina-san?\Kanda-kun, I'm opening the door!\I'm opening the door, you hear?\There you are.\Shiina-san, get up.\Shiina-san.\You can't sleep in a boy's room!\Where's Kanda-kun? I need to scold him. response:	Sorata?
context: Kanda-kun, I'm opening the door!\I'm opening the door, you hear?\There you are.\Shiina-san, get up.\Shiina-san.\You can't sleep in a boy's room!\Where's Kanda-kun? I need to scold him.\Sorata? response:	Where's Sorata?
context: I'm opening the door, you hear?\There you are.\Shiina-san, get up.\Shiina-san.\You can't sleep in a boy's room!\Where's Kanda-kun? I need to scold him.\Sorata?\Where's Sorata? response:	That's what I just asked you...
context: There you are.\Shiina-san, get up.\Shiina-san.\You can't sleep in a boy's room!\Where's Kanda-kun? I need to scold him.\Sorata?\Where's Sorata?\That's what I just asked you... response:	When you've finished eating that, we'll do your laundry.
