context: What? response:	Okay, I'll say it again.
context: What?\Okay, I'll say it again. response:	An alliance between the Emilia and Crusch camps, on equal terms.
context: What?\Okay, I'll say it again.\An alliance between the Emilia and Crusch camps, on equal terms. response:	For this purpose, I'll provide the time and location of
context: What?\Okay, I'll say it again.\An alliance between the Emilia and Crusch camps, on equal terms.\For this purpose, I'll provide the time and location of response:	the White Whale's next appearance.
context: What?\Okay, I'll say it again.\An alliance between the Emilia and Crusch camps, on equal terms.\For this purpose, I'll provide the time and location of\the White Whale's next appearance. response:	That's the one card I can play.
context: What?\Okay, I'll say it again.\An alliance between the Emilia and Crusch camps, on equal terms.\For this purpose, I'll provide the time and location of\the White Whale's next appearance.\That's the one card I can play. response:	The Witch's Cult?
context: What?\Okay, I'll say it again.\An alliance between the Emilia and Crusch camps, on equal terms.\For this purpose, I'll provide the time and location of\the White Whale's next appearance.\That's the one card I can play.\The Witch's Cult? response:	Yeah, they're on the move and after Emilia.
context: What?\Okay, I'll say it again.\An alliance between the Emilia and Crusch camps, on equal terms.\For this purpose, I'll provide the time and location of\the White Whale's next appearance.\That's the one card I can play.\The Witch's Cult?\Yeah, they're on the move and after Emilia. response:	Roswaal-sama feared that might happen, as well.
context: Okay, I'll say it again.\An alliance between the Emilia and Crusch camps, on equal terms.\For this purpose, I'll provide the time and location of\the White Whale's next appearance.\That's the one card I can play.\The Witch's Cult?\Yeah, they're on the move and after Emilia.\Roswaal-sama feared that might happen, as well. response:	I want to stop them,
context: An alliance between the Emilia and Crusch camps, on equal terms.\For this purpose, I'll provide the time and location of\the White Whale's next appearance.\That's the one card I can play.\The Witch's Cult?\Yeah, they're on the move and after Emilia.\Roswaal-sama feared that might happen, as well.\I want to stop them, response:	but I don't have the fighting strength.
context: For this purpose, I'll provide the time and location of\the White Whale's next appearance.\That's the one card I can play.\The Witch's Cult?\Yeah, they're on the move and after Emilia.\Roswaal-sama feared that might happen, as well.\I want to stop them,\but I don't have the fighting strength. response:	I have to start negotiating now to pull some together.
context: the White Whale's next appearance.\That's the one card I can play.\The Witch's Cult?\Yeah, they're on the move and after Emilia.\Roswaal-sama feared that might happen, as well.\I want to stop them,\but I don't have the fighting strength.\I have to start negotiating now to pull some together. response:	Will you help me?
context: That's the one card I can play.\The Witch's Cult?\Yeah, they're on the move and after Emilia.\Roswaal-sama feared that might happen, as well.\I want to stop them,\but I don't have the fighting strength.\I have to start negotiating now to pull some together.\Will you help me? response:	The White Whale?
context: The Witch's Cult?\Yeah, they're on the move and after Emilia.\Roswaal-sama feared that might happen, as well.\I want to stop them,\but I don't have the fighting strength.\I have to start negotiating now to pull some together.\Will you help me?\The White Whale? response:	Please forgive my indiscretion.
context: Yeah, they're on the move and after Emilia.\Roswaal-sama feared that might happen, as well.\I want to stop them,\but I don't have the fighting strength.\I have to start negotiating now to pull some together.\Will you help me?\The White Whale?\Please forgive my indiscretion. response:	I suppose I still have much to learn.
