context: Seriously! response:	What are you going to do?!
context: Seriously!\What are you going to do?! response:	It's already summer vacation!
context: Seriously!\What are you going to do?!\It's already summer vacation! response:	You haven't made any progress whatsoever with Ichijou-kun yet!
context: Seriously!\What are you going to do?!\It's already summer vacation!\You haven't made any progress whatsoever with Ichijou-kun yet! response:	I just don't understand how you can be so spineless.
context: Seriously!\What are you going to do?!\It's already summer vacation!\You haven't made any progress whatsoever with Ichijou-kun yet!\I just don't understand how you can be so spineless. response:	After all the help I gave you, after you got all those chances,
context: Seriously!\What are you going to do?!\It's already summer vacation!\You haven't made any progress whatsoever with Ichijou-kun yet!\I just don't understand how you can be so spineless.\After all the help I gave you, after you got all those chances, response:	how can you possibly not make any progress?
context: Seriously!\What are you going to do?!\It's already summer vacation!\You haven't made any progress whatsoever with Ichijou-kun yet!\I just don't understand how you can be so spineless.\After all the help I gave you, after you got all those chances,\how can you possibly not make any progress? response:	I'm sorry.
context: Seriously!\What are you going to do?!\It's already summer vacation!\You haven't made any progress whatsoever with Ichijou-kun yet!\I just don't understand how you can be so spineless.\After all the help I gave you, after you got all those chances,\how can you possibly not make any progress?\I'm sorry. response:	I wish you'd take the initiative to try asking him out yourself once in a while.
context: What are you going to do?!\It's already summer vacation!\You haven't made any progress whatsoever with Ichijou-kun yet!\I just don't understand how you can be so spineless.\After all the help I gave you, after you got all those chances,\how can you possibly not make any progress?\I'm sorry.\I wish you'd take the initiative to try asking him out yourself once in a while. response:	Well, not that I think you're capable of such a thing, Kosaki-chan.
context: It's already summer vacation!\You haven't made any progress whatsoever with Ichijou-kun yet!\I just don't understand how you can be so spineless.\After all the help I gave you, after you got all those chances,\how can you possibly not make any progress?\I'm sorry.\I wish you'd take the initiative to try asking him out yourself once in a while.\Well, not that I think you're capable of such a thing, Kosaki-chan. response:	But at this rate, you'll never get anywhere.
context: You haven't made any progress whatsoever with Ichijou-kun yet!\I just don't understand how you can be so spineless.\After all the help I gave you, after you got all those chances,\how can you possibly not make any progress?\I'm sorry.\I wish you'd take the initiative to try asking him out yourself once in a while.\Well, not that I think you're capable of such a thing, Kosaki-chan.\But at this rate, you'll never get anywhere. response:	U-Um, Ruri-chan.
context: I just don't understand how you can be so spineless.\After all the help I gave you, after you got all those chances,\how can you possibly not make any progress?\I'm sorry.\I wish you'd take the initiative to try asking him out yourself once in a while.\Well, not that I think you're capable of such a thing, Kosaki-chan.\But at this rate, you'll never get anywhere.\U-Um, Ruri-chan. response:	What?
context: After all the help I gave you, after you got all those chances,\how can you possibly not make any progress?\I'm sorry.\I wish you'd take the initiative to try asking him out yourself once in a while.\Well, not that I think you're capable of such a thing, Kosaki-chan.\But at this rate, you'll never get anywhere.\U-Um, Ruri-chan.\What? response:	You see, the thing is, tomorrow...
context: how can you possibly not make any progress?\I'm sorry.\I wish you'd take the initiative to try asking him out yourself once in a while.\Well, not that I think you're capable of such a thing, Kosaki-chan.\But at this rate, you'll never get anywhere.\U-Um, Ruri-chan.\What?\You see, the thing is, tomorrow... response:	I invited Ichijou-kun to my house.
context: I'm sorry.\I wish you'd take the initiative to try asking him out yourself once in a while.\Well, not that I think you're capable of such a thing, Kosaki-chan.\But at this rate, you'll never get anywhere.\U-Um, Ruri-chan.\What?\You see, the thing is, tomorrow...\I invited Ichijou-kun to my house. response:	Episode 16: Typhoon
context: I wish you'd take the initiative to try asking him out yourself once in a while.\Well, not that I think you're capable of such a thing, Kosaki-chan.\But at this rate, you'll never get anywhere.\U-Um, Ruri-chan.\What?\You see, the thing is, tomorrow...\I invited Ichijou-kun to my house.\Episode 16: Typhoon response:	Episode 16: Typhoon
context: Well, not that I think you're capable of such a thing, Kosaki-chan.\But at this rate, you'll never get anywhere.\U-Um, Ruri-chan.\What?\You see, the thing is, tomorrow...\I invited Ichijou-kun to my house.\Episode 16: Typhoon\Episode 16: Typhoon response:	Episode 16: Typhoon
context: But at this rate, you'll never get anywhere.\U-Um, Ruri-chan.\What?\You see, the thing is, tomorrow...\I invited Ichijou-kun to my house.\Episode 16: Typhoon\Episode 16: Typhoon\Episode 16: Typhoon response:	The other day
