context: End Card Illustration: tanu response:	When you're with Tsutsugami Gai,
context: End Card Illustration: tanu\When you're with Tsutsugami Gai, response:	please press the blue button twice, and then the red one once.
context: End Card Illustration: tanu\When you're with Tsutsugami Gai,\please press the blue button twice, and then the red one once. response:	We will come to mete out the appropriate punishment on them.
context: End Card Illustration: tanu\When you're with Tsutsugami Gai,\please press the blue button twice, and then the red one once.\We will come to mete out the appropriate punishment on them. response:	No matter where they may be.
context: End Card Illustration: tanu\When you're with Tsutsugami Gai,\please press the blue button twice, and then the red one once.\We will come to mete out the appropriate punishment on them.\No matter where they may be. response:	How's Kido?
context: End Card Illustration: tanu\When you're with Tsutsugami Gai,\please press the blue button twice, and then the red one once.\We will come to mete out the appropriate punishment on them.\No matter where they may be.\How's Kido? response:	He's still sleeping.
context: End Card Illustration: tanu\When you're with Tsutsugami Gai,\please press the blue button twice, and then the red one once.\We will come to mete out the appropriate punishment on them.\No matter where they may be.\How's Kido?\He's still sleeping. response:	I don't know if it's due to the shock of having his Void used,
context: End Card Illustration: tanu\When you're with Tsutsugami Gai,\please press the blue button twice, and then the red one once.\We will come to mete out the appropriate punishment on them.\No matter where they may be.\How's Kido?\He's still sleeping.\I don't know if it's due to the shock of having his Void used, response:	but he shows no sign of waking.
context: When you're with Tsutsugami Gai,\please press the blue button twice, and then the red one once.\We will come to mete out the appropriate punishment on them.\No matter where they may be.\How's Kido?\He's still sleeping.\I don't know if it's due to the shock of having his Void used,\but he shows no sign of waking. response:	I see.
context: please press the blue button twice, and then the red one once.\We will come to mete out the appropriate punishment on them.\No matter where they may be.\How's Kido?\He's still sleeping.\I don't know if it's due to the shock of having his Void used,\but he shows no sign of waking.\I see. response:	In that case, I'll formally reintroduce him.
context: We will come to mete out the appropriate punishment on them.\No matter where they may be.\How's Kido?\He's still sleeping.\I don't know if it's due to the shock of having his Void used,\but he shows no sign of waking.\I see.\In that case, I'll formally reintroduce him. response:	This is Ouma Shu. He has the Void Genome.
context: No matter where they may be.\How's Kido?\He's still sleeping.\I don't know if it's due to the shock of having his Void used,\but he shows no sign of waking.\I see.\In that case, I'll formally reintroduce him.\This is Ouma Shu. He has the Void Genome. response:	We'll be placing Shu at the core of our strategies henceforth.
context: How's Kido?\He's still sleeping.\I don't know if it's due to the shock of having his Void used,\but he shows no sign of waking.\I see.\In that case, I'll formally reintroduce him.\This is Ouma Shu. He has the Void Genome.\We'll be placing Shu at the core of our strategies henceforth. response:	Now that he's joined us and we've acquired Kido Kenji,
