context: Vitya! response:	Don't go! Stay here!
context: Vitya!\Don't go! Stay here! response:	Yakov, you were the best coach I ever had.
context: Vitya!\Don't go! Stay here!\Yakov, you were the best coach I ever had. response:	You always will be.
context: Vitya!\Don't go! Stay here!\Yakov, you were the best coach I ever had.\You always will be. response:	If you walk away now, you can never come back!
context: Vitya!\Don't go! Stay here!\Yakov, you were the best coach I ever had.\You always will be.\If you walk away now, you can never come back! response:	Dasvidaniya.
context: Vitya!\Don't go! Stay here!\Yakov, you were the best coach I ever had.\You always will be.\If you walk away now, you can never come back!\Dasvidaniya. response:	I'm sorry I can't do as you say this time.
context: Vitya!\Don't go! Stay here!\Yakov, you were the best coach I ever had.\You always will be.\If you walk away now, you can never come back!\Dasvidaniya.\I'm sorry I can't do as you say this time. response:	You don't get to say that when you've never done as I said in the first place!
context: Vitya!\Don't go! Stay here!\Yakov, you were the best coach I ever had.\You always will be.\If you walk away now, you can never come back!\Dasvidaniya.\I'm sorry I can't do as you say this time.\You don't get to say that when you've never done as I said in the first place! response:	You should come visit Japan, Yakov.
context: Don't go! Stay here!\Yakov, you were the best coach I ever had.\You always will be.\If you walk away now, you can never come back!\Dasvidaniya.\I'm sorry I can't do as you say this time.\You don't get to say that when you've never done as I said in the first place!\You should come visit Japan, Yakov. response:	Second Skate Two Yuris?! Drama at Yu-topia
context: Yakov, you were the best coach I ever had.\You always will be.\If you walk away now, you can never come back!\Dasvidaniya.\I'm sorry I can't do as you say this time.\You don't get to say that when you've never done as I said in the first place!\You should come visit Japan, Yakov.\Second Skate Two Yuris?! Drama at Yu-topia response:	Two Yuris?! Drama at Yu-topia!
context: You always will be.\If you walk away now, you can never come back!\Dasvidaniya.\I'm sorry I can't do as you say this time.\You don't get to say that when you've never done as I said in the first place!\You should come visit Japan, Yakov.\Second Skate Two Yuris?! Drama at Yu-topia\Two Yuris?! Drama at Yu-topia! response:	Yuri! Why aren't you answering your cell?!
context: If you walk away now, you can never come back!\Dasvidaniya.\I'm sorry I can't do as you say this time.\You don't get to say that when you've never done as I said in the first place!\You should come visit Japan, Yakov.\Second Skate Two Yuris?! Drama at Yu-topia\Two Yuris?! Drama at Yu-topia!\Yuri! Why aren't you answering your cell?! response:	What's wrong?
context: Dasvidaniya.\I'm sorry I can't do as you say this time.\You don't get to say that when you've never done as I said in the first place!\You should come visit Japan, Yakov.\Second Skate Two Yuris?! Drama at Yu-topia\Two Yuris?! Drama at Yu-topia!\Yuri! Why aren't you answering your cell?!\What's wrong? response:	Everything's wrong!
context: I'm sorry I can't do as you say this time.\You don't get to say that when you've never done as I said in the first place!\You should come visit Japan, Yakov.\Second Skate Two Yuris?! Drama at Yu-topia\Two Yuris?! Drama at Yu-topia!\Yuri! Why aren't you answering your cell?!\What's wrong?\Everything's wrong! response:	There's a rumor that Victor's going to be Yuri's coach!
context: You don't get to say that when you've never done as I said in the first place!\You should come visit Japan, Yakov.\Second Skate Two Yuris?! Drama at Yu-topia\Two Yuris?! Drama at Yu-topia!\Yuri! Why aren't you answering your cell?!\What's wrong?\Everything's wrong!\There's a rumor that Victor's going to be Yuri's coach! response:	Oh, Vicchan's here already.
context: You should come visit Japan, Yakov.\Second Skate Two Yuris?! Drama at Yu-topia\Two Yuris?! Drama at Yu-topia!\Yuri! Why aren't you answering your cell?!\What's wrong?\Everything's wrong!\There's a rumor that Victor's going to be Yuri's coach!\Oh, Vicchan's here already. response:	What?
context: Second Skate Two Yuris?! Drama at Yu-topia\Two Yuris?! Drama at Yu-topia!\Yuri! Why aren't you answering your cell?!\What's wrong?\Everything's wrong!\There's a rumor that Victor's going to be Yuri's coach!\Oh, Vicchan's here already.\What? response:	Vicchan's sound asleep.
context: Two Yuris?! Drama at Yu-topia!\Yuri! Why aren't you answering your cell?!\What's wrong?\Everything's wrong!\There's a rumor that Victor's going to be Yuri's coach!\Oh, Vicchan's here already.\What?\Vicchan's sound asleep. response:	Hello! I'm Katsuki Yuri!
context: Yuri! Why aren't you answering your cell?!\What's wrong?\Everything's wrong!\There's a rumor that Victor's going to be Yuri's coach!\Oh, Vicchan's here already.\What?\Vicchan's sound asleep.\Hello! I'm Katsuki Yuri! response:	Top Certified Athletes
context: What's wrong?\Everything's wrong!\There's a rumor that Victor's going to be Yuri's coach!\Oh, Vicchan's here already.\What?\Vicchan's sound asleep.\Hello! I'm Katsuki Yuri!\Top Certified Athletes response:	I'm in a bit of a slump right now,
context: Everything's wrong!\There's a rumor that Victor's going to be Yuri's coach!\Oh, Vicchan's here already.\What?\Vicchan's sound asleep.\Hello! I'm Katsuki Yuri!\Top Certified Athletes\I'm in a bit of a slump right now, response:	but I'm a top figure skater certified by the JSF!
context: There's a rumor that Victor's going to be Yuri's coach!\Oh, Vicchan's here already.\What?\Vicchan's sound asleep.\Hello! I'm Katsuki Yuri!\Top Certified Athletes\I'm in a bit of a slump right now,\but I'm a top figure skater certified by the JSF! response:	Back home for the first time in five years, I was thinking of how to keep my career going...
context: Oh, Vicchan's here already.\What?\Vicchan's sound asleep.\Hello! I'm Katsuki Yuri!\Top Certified Athletes\I'm in a bit of a slump right now,\but I'm a top figure skater certified by the JSF!\Back home for the first time in five years, I was thinking of how to keep my career going... response:	when my idol, Victor, suddenly appeared!
context: What?\Vicchan's sound asleep.\Hello! I'm Katsuki Yuri!\Top Certified Athletes\I'm in a bit of a slump right now,\but I'm a top figure skater certified by the JSF!\Back home for the first time in five years, I was thinking of how to keep my career going...\when my idol, Victor, suddenly appeared! response:	I'm still in denial that this is actually happening!
context: Vicchan's sound asleep.\Hello! I'm Katsuki Yuri!\Top Certified Athletes\I'm in a bit of a slump right now,\but I'm a top figure skater certified by the JSF!\Back home for the first time in five years, I was thinking of how to keep my career going...\when my idol, Victor, suddenly appeared!\I'm still in denial that this is actually happening! response:	By the way, Victor Nikiforov is a living legend in figure skating.
context: Hello! I'm Katsuki Yuri!\Top Certified Athletes\I'm in a bit of a slump right now,\but I'm a top figure skater certified by the JSF!\Back home for the first time in five years, I was thinking of how to keep my career going...\when my idol, Victor, suddenly appeared!\I'm still in denial that this is actually happening!\By the way, Victor Nikiforov is a living legend in figure skating. response:	I never dreamed he'd be interested in me, but...
context: Top Certified Athletes\I'm in a bit of a slump right now,\but I'm a top figure skater certified by the JSF!\Back home for the first time in five years, I was thinking of how to keep my career going...\when my idol, Victor, suddenly appeared!\I'm still in denial that this is actually happening!\By the way, Victor Nikiforov is a living legend in figure skating.\I never dreamed he'd be interested in me, but... response:	Starting today, I'm your coach.
