context: they're gonna bash the Star Rose into the gate! response:	You're going to ram the Star Rose into the gate?!
context: they're gonna bash the Star Rose into the gate!\You're going to ram the Star Rose into the gate?! response:	That's right.
context: they're gonna bash the Star Rose into the gate!\You're going to ram the Star Rose into the gate?!\That's right. response:	But that's...
context: they're gonna bash the Star Rose into the gate!\You're going to ram the Star Rose into the gate?!\That's right.\But that's... response:	Captain Amane, issue the orders!
context: they're gonna bash the Star Rose into the gate!\You're going to ram the Star Rose into the gate?!\That's right.\But that's...\Captain Amane, issue the orders! response:	All fleets, concentrate on defending the Star Rose!
context: they're gonna bash the Star Rose into the gate!\You're going to ram the Star Rose into the gate?!\That's right.\But that's...\Captain Amane, issue the orders!\All fleets, concentrate on defending the Star Rose! response:	You can't be serious...!
context: they're gonna bash the Star Rose into the gate!\You're going to ram the Star Rose into the gate?!\That's right.\But that's...\Captain Amane, issue the orders!\All fleets, concentrate on defending the Star Rose!\You can't be serious...! response:	Commander Simon!
context: they're gonna bash the Star Rose into the gate!\You're going to ram the Star Rose into the gate?!\That's right.\But that's...\Captain Amane, issue the orders!\All fleets, concentrate on defending the Star Rose!\You can't be serious...!\Commander Simon! response:	I expect the Godinion to follow that order as well.
context: You're going to ram the Star Rose into the gate?!\That's right.\But that's...\Captain Amane, issue the orders!\All fleets, concentrate on defending the Star Rose!\You can't be serious...!\Commander Simon!\I expect the Godinion to follow that order as well. response:	Get moving!
context: That's right.\But that's...\Captain Amane, issue the orders!\All fleets, concentrate on defending the Star Rose!\You can't be serious...!\Commander Simon!\I expect the Godinion to follow that order as well.\Get moving! response:	Yes, sir.
context: But that's...\Captain Amane, issue the orders!\All fleets, concentrate on defending the Star Rose!\You can't be serious...!\Commander Simon!\I expect the Godinion to follow that order as well.\Get moving!\Yes, sir. response:	Daneel, we shall stand before it.
context: Captain Amane, issue the orders!\All fleets, concentrate on defending the Star Rose!\You can't be serious...!\Commander Simon!\I expect the Godinion to follow that order as well.\Get moving!\Yes, sir.\Daneel, we shall stand before it. response:	I'm counting on you, Princess!
context: All fleets, concentrate on defending the Star Rose!\You can't be serious...!\Commander Simon!\I expect the Godinion to follow that order as well.\Get moving!\Yes, sir.\Daneel, we shall stand before it.\I'm counting on you, Princess! response:	Flowers Falling in Space
context: You can't be serious...!\Commander Simon!\I expect the Godinion to follow that order as well.\Get moving!\Yes, sir.\Daneel, we shall stand before it.\I'm counting on you, Princess!\Flowers Falling in Space response:	Don't tell me
context: Commander Simon!\I expect the Godinion to follow that order as well.\Get moving!\Yes, sir.\Daneel, we shall stand before it.\I'm counting on you, Princess!\Flowers Falling in Space\Don't tell me response:	If they do, Commander Simon will...!
context: I expect the Godinion to follow that order as well.\Get moving!\Yes, sir.\Daneel, we shall stand before it.\I'm counting on you, Princess!\Flowers Falling in Space\Don't tell me\If they do, Commander Simon will...! response:	Captain!
context: Get moving!\Yes, sir.\Daneel, we shall stand before it.\I'm counting on you, Princess!\Flowers Falling in Space\Don't tell me\If they do, Commander Simon will...!\Captain! response:	The purpose of this mission is to destroy the gate.
context: Yes, sir.\Daneel, we shall stand before it.\I'm counting on you, Princess!\Flowers Falling in Space\Don't tell me\If they do, Commander Simon will...!\Captain!\The purpose of this mission is to destroy the gate. response:	That is why all of us have gone through such lengths.
context: Daneel, we shall stand before it.\I'm counting on you, Princess!\Flowers Falling in Space\Don't tell me\If they do, Commander Simon will...!\Captain!\The purpose of this mission is to destroy the gate.\That is why all of us have gone through such lengths. response:	Isn't there some other way?
context: I'm counting on you, Princess!\Flowers Falling in Space\Don't tell me\If they do, Commander Simon will...!\Captain!\The purpose of this mission is to destroy the gate.\That is why all of us have gone through such lengths.\Isn't there some other way? response:	Commander Simon has chosen the best option
context: Flowers Falling in Space\Don't tell me\If they do, Commander Simon will...!\Captain!\The purpose of this mission is to destroy the gate.\That is why all of us have gone through such lengths.\Isn't there some other way?\Commander Simon has chosen the best option response:	that is within our current capacity.
context: Don't tell me\If they do, Commander Simon will...!\Captain!\The purpose of this mission is to destroy the gate.\That is why all of us have gone through such lengths.\Isn't there some other way?\Commander Simon has chosen the best option\that is within our current capacity. response:	This is currently our best... option?
context: If they do, Commander Simon will...!\Captain!\The purpose of this mission is to destroy the gate.\That is why all of us have gone through such lengths.\Isn't there some other way?\Commander Simon has chosen the best option\that is within our current capacity.\This is currently our best... option? response:	Make sure to do your utmost to protect the Star Rose.
context: Captain!\The purpose of this mission is to destroy the gate.\That is why all of us have gone through such lengths.\Isn't there some other way?\Commander Simon has chosen the best option\that is within our current capacity.\This is currently our best... option?\Make sure to do your utmost to protect the Star Rose. response:	If it's destroyed before it hits the gate,
context: The purpose of this mission is to destroy the gate.\That is why all of us have gone through such lengths.\Isn't there some other way?\Commander Simon has chosen the best option\that is within our current capacity.\This is currently our best... option?\Make sure to do your utmost to protect the Star Rose.\If it's destroyed before it hits the gate, response:	the Commander's resolve will have been for naught!
context: That is why all of us have gone through such lengths.\Isn't there some other way?\Commander Simon has chosen the best option\that is within our current capacity.\This is currently our best... option?\Make sure to do your utmost to protect the Star Rose.\If it's destroyed before it hits the gate,\the Commander's resolve will have been for naught! response:	I will put everything I have into defending the Star Rose!
context: Isn't there some other way?\Commander Simon has chosen the best option\that is within our current capacity.\This is currently our best... option?\Make sure to do your utmost to protect the Star Rose.\If it's destroyed before it hits the gate,\the Commander's resolve will have been for naught!\I will put everything I have into defending the Star Rose! response:	Let's go!
context: Commander Simon has chosen the best option\that is within our current capacity.\This is currently our best... option?\Make sure to do your utmost to protect the Star Rose.\If it's destroyed before it hits the gate,\the Commander's resolve will have been for naught!\I will put everything I have into defending the Star Rose!\Let's go! response:	Absurd!
context: that is within our current capacity.\This is currently our best... option?\Make sure to do your utmost to protect the Star Rose.\If it's destroyed before it hits the gate,\the Commander's resolve will have been for naught!\I will put everything I have into defending the Star Rose!\Let's go!\Absurd! response:	Do they mean to crash that into the gate?
context: This is currently our best... option?\Make sure to do your utmost to protect the Star Rose.\If it's destroyed before it hits the gate,\the Commander's resolve will have been for naught!\I will put everything I have into defending the Star Rose!\Let's go!\Absurd!\Do they mean to crash that into the gate? response:	Prince Jiart! Prince Jiart!
context: Make sure to do your utmost to protect the Star Rose.\If it's destroyed before it hits the gate,\the Commander's resolve will have been for naught!\I will put everything I have into defending the Star Rose!\Let's go!\Absurd!\Do they mean to crash that into the gate?\Prince Jiart! Prince Jiart! response:	Please retreat for now!
context: If it's destroyed before it hits the gate,\the Commander's resolve will have been for naught!\I will put everything I have into defending the Star Rose!\Let's go!\Absurd!\Do they mean to crash that into the gate?\Prince Jiart! Prince Jiart!\Please retreat for now! response:	An enemy ship is about to crash into the gate!
context: the Commander's resolve will have been for naught!\I will put everything I have into defending the Star Rose!\Let's go!\Absurd!\Do they mean to crash that into the gate?\Prince Jiart! Prince Jiart!\Please retreat for now!\An enemy ship is about to crash into the gate! response:	Prince Jiart!
context: I will put everything I have into defending the Star Rose!\Let's go!\Absurd!\Do they mean to crash that into the gate?\Prince Jiart! Prince Jiart!\Please retreat for now!\An enemy ship is about to crash into the gate!\Prince Jiart! response:	You're a nuisance!
context: Let's go!\Absurd!\Do they mean to crash that into the gate?\Prince Jiart! Prince Jiart!\Please retreat for now!\An enemy ship is about to crash into the gate!\Prince Jiart!\You're a nuisance! response:	Right now, I merely wish to hunt!
context: Absurd!\Do they mean to crash that into the gate?\Prince Jiart! Prince Jiart!\Please retreat for now!\An enemy ship is about to crash into the gate!\Prince Jiart!\You're a nuisance!\Right now, I merely wish to hunt! response:	I want to hunt you!
context: Do they mean to crash that into the gate?\Prince Jiart! Prince Jiart!\Please retreat for now!\An enemy ship is about to crash into the gate!\Prince Jiart!\You're a nuisance!\Right now, I merely wish to hunt!\I want to hunt you! response:	Fight! Fight!
context: Prince Jiart! Prince Jiart!\Please retreat for now!\An enemy ship is about to crash into the gate!\Prince Jiart!\You're a nuisance!\Right now, I merely wish to hunt!\I want to hunt you!\Fight! Fight! response:	They're calling!
context: Please retreat for now!\An enemy ship is about to crash into the gate!\Prince Jiart!\You're a nuisance!\Right now, I merely wish to hunt!\I want to hunt you!\Fight! Fight!\They're calling! response:	My instincts are calling out to me!
context: An enemy ship is about to crash into the gate!\Prince Jiart!\You're a nuisance!\Right now, I merely wish to hunt!\I want to hunt you!\Fight! Fight!\They're calling!\My instincts are calling out to me! response:	Fight! Fight... Fight...
context: Prince Jiart!\You're a nuisance!\Right now, I merely wish to hunt!\I want to hunt you!\Fight! Fight!\They're calling!\My instincts are calling out to me!\Fight! Fight... Fight... response:	Is it awakening?
context: You're a nuisance!\Right now, I merely wish to hunt!\I want to hunt you!\Fight! Fight!\They're calling!\My instincts are calling out to me!\Fight! Fight... Fight...\Is it awakening? response:	Is it bringing out the beast inside of me?
context: Right now, I merely wish to hunt!\I want to hunt you!\Fight! Fight!\They're calling!\My instincts are calling out to me!\Fight! Fight... Fight...\Is it awakening?\Is it bringing out the beast inside of me? response:	No! I want to protect them!
context: I want to hunt you!\Fight! Fight!\They're calling!\My instincts are calling out to me!\Fight! Fight... Fight...\Is it awakening?\Is it bringing out the beast inside of me?\No! I want to protect them! response:	To protect everyone...!
context: Fight! Fight!\They're calling!\My instincts are calling out to me!\Fight! Fight... Fight...\Is it awakening?\Is it bringing out the beast inside of me?\No! I want to protect them!\To protect everyone...! response:	Fight... Fight... Fight...
context: They're calling!\My instincts are calling out to me!\Fight! Fight... Fight...\Is it awakening?\Is it bringing out the beast inside of me?\No! I want to protect them!\To protect everyone...!\Fight... Fight... Fight... response:	FIGHT!
context: My instincts are calling out to me!\Fight! Fight... Fight...\Is it awakening?\Is it bringing out the beast inside of me?\No! I want to protect them!\To protect everyone...!\Fight... Fight... Fight...\FIGHT! response:	That's right!
context: Fight! Fight... Fight...\Is it awakening?\Is it bringing out the beast inside of me?\No! I want to protect them!\To protect everyone...!\Fight... Fight... Fight...\FIGHT!\That's right! response:	I am sure you must understand... ME!
context: Is it awakening?\Is it bringing out the beast inside of me?\No! I want to protect them!\To protect everyone...!\Fight... Fight... Fight...\FIGHT!\That's right!\I am sure you must understand... ME! response:	All fleets, enter an oblique battle formation!
context: Is it bringing out the beast inside of me?\No! I want to protect them!\To protect everyone...!\Fight... Fight... Fight...\FIGHT!\That's right!\I am sure you must understand... ME!\All fleets, enter an oblique battle formation! response:	Protect the Star Rose at all costs!
context: No! I want to protect them!\To protect everyone...!\Fight... Fight... Fight...\FIGHT!\That's right!\I am sure you must understand... ME!\All fleets, enter an oblique battle formation!\Protect the Star Rose at all costs! response:	65 of enemy forces have concentrated on the AHSMB units.
context: To protect everyone...!\Fight... Fight... Fight...\FIGHT!\That's right!\I am sure you must understand... ME!\All fleets, enter an oblique battle formation!\Protect the Star Rose at all costs!\65 of enemy forces have concentrated on the AHSMB units. response:	35 are currently approaching the Star Rose.
