context: The fifth match, response:	the exam with Team Uraraka and Aoyama against Thirteen,
context: The fifth match,\the exam with Team Uraraka and Aoyama against Thirteen, response:	is in its final stages...
context: The fifth match,\the exam with Team Uraraka and Aoyama against Thirteen,\is in its final stages... response:	Yuga Aoyama - Quirk: Naval Laser Ochaco Uraraka - Quirk: Zero Gravity
context: The fifth match,\the exam with Team Uraraka and Aoyama against Thirteen,\is in its final stages...\Yuga Aoyama - Quirk: Naval Laser Ochaco Uraraka - Quirk: Zero Gravity response:	We were so close!
context: The fifth match,\the exam with Team Uraraka and Aoyama against Thirteen,\is in its final stages...\Yuga Aoyama - Quirk: Naval Laser Ochaco Uraraka - Quirk: Zero Gravity\We were so close! response:	Pro Hero - Thirteen - Quirk: Black Hole
context: The fifth match,\the exam with Team Uraraka and Aoyama against Thirteen,\is in its final stages...\Yuga Aoyama - Quirk: Naval Laser Ochaco Uraraka - Quirk: Zero Gravity\We were so close!\Pro Hero - Thirteen - Quirk: Black Hole response:	Oh no, I won't let you get away!
context: The fifth match,\the exam with Team Uraraka and Aoyama against Thirteen,\is in its final stages...\Yuga Aoyama - Quirk: Naval Laser Ochaco Uraraka - Quirk: Zero Gravity\We were so close!\Pro Hero - Thirteen - Quirk: Black Hole\Oh no, I won't let you get away! response:	This isn't good. We'll get caught!
context: The fifth match,\the exam with Team Uraraka and Aoyama against Thirteen,\is in its final stages...\Yuga Aoyama - Quirk: Naval Laser Ochaco Uraraka - Quirk: Zero Gravity\We were so close!\Pro Hero - Thirteen - Quirk: Black Hole\Oh no, I won't let you get away!\This isn't good. We'll get caught! response:	Think!
context: the exam with Team Uraraka and Aoyama against Thirteen,\is in its final stages...\Yuga Aoyama - Quirk: Naval Laser Ochaco Uraraka - Quirk: Zero Gravity\We were so close!\Pro Hero - Thirteen - Quirk: Black Hole\Oh no, I won't let you get away!\This isn't good. We'll get caught!\Think! response:	Think about how to get out of this!
context: is in its final stages...\Yuga Aoyama - Quirk: Naval Laser Ochaco Uraraka - Quirk: Zero Gravity\We were so close!\Pro Hero - Thirteen - Quirk: Black Hole\Oh no, I won't let you get away!\This isn't good. We'll get caught!\Think!\Think about how to get out of this! response:	Think!
context: Yuga Aoyama - Quirk: Naval Laser Ochaco Uraraka - Quirk: Zero Gravity\We were so close!\Pro Hero - Thirteen - Quirk: Black Hole\Oh no, I won't let you get away!\This isn't good. We'll get caught!\Think!\Think about how to get out of this!\Think! response:	What would Deku do in a time like this...
context: We were so close!\Pro Hero - Thirteen - Quirk: Black Hole\Oh no, I won't let you get away!\This isn't good. We'll get caught!\Think!\Think about how to get out of this!\Think!\What would Deku do in a time like this... response:	Hey.
context: Pro Hero - Thirteen - Quirk: Black Hole\Oh no, I won't let you get away!\This isn't good. We'll get caught!\Think!\Think about how to get out of this!\Think!\What would Deku do in a time like this...\Hey. response:	Hold on! Right now, I'm-
context: Oh no, I won't let you get away!\This isn't good. We'll get caught!\Think!\Think about how to get out of this!\Think!\What would Deku do in a time like this...\Hey.\Hold on! Right now, I'm- response:	You were thinking about what Izuku Midoriya would do, weren't you?
context: This isn't good. We'll get caught!\Think!\Think about how to get out of this!\Think!\What would Deku do in a time like this...\Hey.\Hold on! Right now, I'm-\You were thinking about what Izuku Midoriya would do, weren't you? response:	Do you...
context: Think!\Think about how to get out of this!\Think!\What would Deku do in a time like this...\Hey.\Hold on! Right now, I'm-\You were thinking about what Izuku Midoriya would do, weren't you?\Do you... response:	You should not fight on your opponent's field
context: Think about how to get out of this!\Think!\What would Deku do in a time like this...\Hey.\Hold on! Right now, I'm-\You were thinking about what Izuku Midoriya would do, weren't you?\Do you...\You should not fight on your opponent's field response:	Pro Hero - Gunhead
context: Think!\What would Deku do in a time like this...\Hey.\Hold on! Right now, I'm-\You were thinking about what Izuku Midoriya would do, weren't you?\Do you...\You should not fight on your opponent's field\Pro Hero - Gunhead response:	but on your own field, see?
context: What would Deku do in a time like this...\Hey.\Hold on! Right now, I'm-\You were thinking about what Izuku Midoriya would do, weren't you?\Do you...\You should not fight on your opponent's field\Pro Hero - Gunhead\but on your own field, see? response:	What?
context: Hey.\Hold on! Right now, I'm-\You were thinking about what Izuku Midoriya would do, weren't you?\Do you...\You should not fight on your opponent's field\Pro Hero - Gunhead\but on your own field, see?\What? response:	Whee!
context: Hold on! Right now, I'm-\You were thinking about what Izuku Midoriya would do, weren't you?\Do you...\You should not fight on your opponent's field\Pro Hero - Gunhead\but on your own field, see?\What?\Whee! response:	What I learned with Gunhead just happened to come in handy right now!
context: You were thinking about what Izuku Midoriya would do, weren't you?\Do you...\You should not fight on your opponent's field\Pro Hero - Gunhead\but on your own field, see?\What?\Whee!\What I learned with Gunhead just happened to come in handy right now! response:	Stripping the Varnish
context: Do you...\You should not fight on your opponent's field\Pro Hero - Gunhead\but on your own field, see?\What?\Whee!\What I learned with Gunhead just happened to come in handy right now!\Stripping the Varnish response:	Team Aoyama and Uraraka have passed!
context: You should not fight on your opponent's field\Pro Hero - Gunhead\but on your own field, see?\What?\Whee!\What I learned with Gunhead just happened to come in handy right now!\Stripping the Varnish\Team Aoyama and Uraraka have passed! response:	Nice judgment, Uraraka!
context: Pro Hero - Gunhead\but on your own field, see?\What?\Whee!\What I learned with Gunhead just happened to come in handy right now!\Stripping the Varnish\Team Aoyama and Uraraka have passed!\Nice judgment, Uraraka! response:	Izuku Midoriya - Quirk: One For All Tsuyu Asui - Quirk: Frog
context: but on your own field, see?\What?\Whee!\What I learned with Gunhead just happened to come in handy right now!\Stripping the Varnish\Team Aoyama and Uraraka have passed!\Nice judgment, Uraraka!\Izuku Midoriya - Quirk: One For All Tsuyu Asui - Quirk: Frog response:	I can't believe she thought to use her opponent's power to get in close!
context: What?\Whee!\What I learned with Gunhead just happened to come in handy right now!\Stripping the Varnish\Team Aoyama and Uraraka have passed!\Nice judgment, Uraraka!\Izuku Midoriya - Quirk: One For All Tsuyu Asui - Quirk: Frog\I can't believe she thought to use her opponent's power to get in close! response:	Ribbit...
context: Whee!\What I learned with Gunhead just happened to come in handy right now!\Stripping the Varnish\Team Aoyama and Uraraka have passed!\Nice judgment, Uraraka!\Izuku Midoriya - Quirk: One For All Tsuyu Asui - Quirk: Frog\I can't believe she thought to use her opponent's power to get in close!\Ribbit... response:	To me, it looked like Ochaco just happened to let go, though...
context: What I learned with Gunhead just happened to come in handy right now!\Stripping the Varnish\Team Aoyama and Uraraka have passed!\Nice judgment, Uraraka!\Izuku Midoriya - Quirk: One For All Tsuyu Asui - Quirk: Frog\I can't believe she thought to use her opponent's power to get in close!\Ribbit...\To me, it looked like Ochaco just happened to let go, though... response:	Really?
context: Stripping the Varnish\Team Aoyama and Uraraka have passed!\Nice judgment, Uraraka!\Izuku Midoriya - Quirk: One For All Tsuyu Asui - Quirk: Frog\I can't believe she thought to use her opponent's power to get in close!\Ribbit...\To me, it looked like Ochaco just happened to let go, though...\Really? response:	Yes. I wonder what she was talking about with Aoyama right before she let go?
context: Team Aoyama and Uraraka have passed!\Nice judgment, Uraraka!\Izuku Midoriya - Quirk: One For All Tsuyu Asui - Quirk: Frog\I can't believe she thought to use her opponent's power to get in close!\Ribbit...\To me, it looked like Ochaco just happened to let go, though...\Really?\Yes. I wonder what she was talking about with Aoyama right before she let go? response:	Who knows? We can't hear what they're saying over here.
context: Nice judgment, Uraraka!\Izuku Midoriya - Quirk: One For All Tsuyu Asui - Quirk: Frog\I can't believe she thought to use her opponent's power to get in close!\Ribbit...\To me, it looked like Ochaco just happened to let go, though...\Really?\Yes. I wonder what she was talking about with Aoyama right before she let go?\Who knows? We can't hear what they're saying over here. response:	Recovery Girl's Temporary Nurse's Office
context: Izuku Midoriya - Quirk: One For All Tsuyu Asui - Quirk: Frog\I can't believe she thought to use her opponent's power to get in close!\Ribbit...\To me, it looked like Ochaco just happened to let go, though...\Really?\Yes. I wonder what she was talking about with Aoyama right before she let go?\Who knows? We can't hear what they're saying over here.\Recovery Girl's Temporary Nurse's Office response:	Uraraka passed, huh? I don't expect any less.
context: I can't believe she thought to use her opponent's power to get in close!\Ribbit...\To me, it looked like Ochaco just happened to let go, though...\Really?\Yes. I wonder what she was talking about with Aoyama right before she let go?\Who knows? We can't hear what they're saying over here.\Recovery Girl's Temporary Nurse's Office\Uraraka passed, huh? I don't expect any less. response:	Tenya Iida - Quirk: Engine Momo Yaoyorozu - Quirk: Creation
context: Ribbit...\To me, it looked like Ochaco just happened to let go, though...\Really?\Yes. I wonder what she was talking about with Aoyama right before she let go?\Who knows? We can't hear what they're saying over here.\Recovery Girl's Temporary Nurse's Office\Uraraka passed, huh? I don't expect any less.\Tenya Iida - Quirk: Engine Momo Yaoyorozu - Quirk: Creation response:	Congrats to you and Yaoyorozu, too!
context: To me, it looked like Ochaco just happened to let go, though...\Really?\Yes. I wonder what she was talking about with Aoyama right before she let go?\Who knows? We can't hear what they're saying over here.\Recovery Girl's Temporary Nurse's Office\Uraraka passed, huh? I don't expect any less.\Tenya Iida - Quirk: Engine Momo Yaoyorozu - Quirk: Creation\Congrats to you and Yaoyorozu, too! response:	Ribbit!
context: Really?\Yes. I wonder what she was talking about with Aoyama right before she let go?\Who knows? We can't hear what they're saying over here.\Recovery Girl's Temporary Nurse's Office\Uraraka passed, huh? I don't expect any less.\Tenya Iida - Quirk: Engine Momo Yaoyorozu - Quirk: Creation\Congrats to you and Yaoyorozu, too!\Ribbit! response:	Thanks, Midoriya.
context: Yes. I wonder what she was talking about with Aoyama right before she let go?\Who knows? We can't hear what they're saying over here.\Recovery Girl's Temporary Nurse's Office\Uraraka passed, huh? I don't expect any less.\Tenya Iida - Quirk: Engine Momo Yaoyorozu - Quirk: Creation\Congrats to you and Yaoyorozu, too!\Ribbit!\Thanks, Midoriya. response:	I wonder which team will take the practical exam next?
context: Who knows? We can't hear what they're saying over here.\Recovery Girl's Temporary Nurse's Office\Uraraka passed, huh? I don't expect any less.\Tenya Iida - Quirk: Engine Momo Yaoyorozu - Quirk: Creation\Congrats to you and Yaoyorozu, too!\Ribbit!\Thanks, Midoriya.\I wonder which team will take the practical exam next? response:	The sixth match is Team Ashido and Kaminari.
context: Recovery Girl's Temporary Nurse's Office\Uraraka passed, huh? I don't expect any less.\Tenya Iida - Quirk: Engine Momo Yaoyorozu - Quirk: Creation\Congrats to you and Yaoyorozu, too!\Ribbit!\Thanks, Midoriya.\I wonder which team will take the practical exam next?\The sixth match is Team Ashido and Kaminari. response:	They will be up against Principal Nezu.
context: Uraraka passed, huh? I don't expect any less.\Tenya Iida - Quirk: Engine Momo Yaoyorozu - Quirk: Creation\Congrats to you and Yaoyorozu, too!\Ribbit!\Thanks, Midoriya.\I wonder which team will take the practical exam next?\The sixth match is Team Ashido and Kaminari.\They will be up against Principal Nezu. response:	The principal, huh?
context: Tenya Iida - Quirk: Engine Momo Yaoyorozu - Quirk: Creation\Congrats to you and Yaoyorozu, too!\Ribbit!\Thanks, Midoriya.\I wonder which team will take the practical exam next?\The sixth match is Team Ashido and Kaminari.\They will be up against Principal Nezu.\The principal, huh? response:	I wonder how he'll fight...
context: Congrats to you and Yaoyorozu, too!\Ribbit!\Thanks, Midoriya.\I wonder which team will take the practical exam next?\The sixth match is Team Ashido and Kaminari.\They will be up against Principal Nezu.\The principal, huh?\I wonder how he'll fight... response:	We must watch carefully.
context: Ribbit!\Thanks, Midoriya.\I wonder which team will take the practical exam next?\The sixth match is Team Ashido and Kaminari.\They will be up against Principal Nezu.\The principal, huh?\I wonder how he'll fight...\We must watch carefully. response:	-Yeah. -Ribbit.
context: Thanks, Midoriya.\I wonder which team will take the practical exam next?\The sixth match is Team Ashido and Kaminari.\They will be up against Principal Nezu.\The principal, huh?\I wonder how he'll fight...\We must watch carefully.\-Yeah. -Ribbit. response:	Team Ashido and Kaminari, practical exam.
context: I wonder which team will take the practical exam next?\The sixth match is Team Ashido and Kaminari.\They will be up against Principal Nezu.\The principal, huh?\I wonder how he'll fight...\We must watch carefully.\-Yeah. -Ribbit.\Team Ashido and Kaminari, practical exam. response:	Ready, go!
context: The sixth match is Team Ashido and Kaminari.\They will be up against Principal Nezu.\The principal, huh?\I wonder how he'll fight...\We must watch carefully.\-Yeah. -Ribbit.\Team Ashido and Kaminari, practical exam.\Ready, go! response:	Kaminari, what do you wanna do?
context: They will be up against Principal Nezu.\The principal, huh?\I wonder how he'll fight...\We must watch carefully.\-Yeah. -Ribbit.\Team Ashido and Kaminari, practical exam.\Ready, go!\Kaminari, what do you wanna do? response:	Basically, run.
context: The principal, huh?\I wonder how he'll fight...\We must watch carefully.\-Yeah. -Ribbit.\Team Ashido and Kaminari, practical exam.\Ready, go!\Kaminari, what do you wanna do?\Basically, run. response:	Even if we're found, the principal's small,
context: I wonder how he'll fight...\We must watch carefully.\-Yeah. -Ribbit.\Team Ashido and Kaminari, practical exam.\Ready, go!\Kaminari, what do you wanna do?\Basically, run.\Even if we're found, the principal's small, response:	so I should be able to take care of him with my electricity.
context: We must watch carefully.\-Yeah. -Ribbit.\Team Ashido and Kaminari, practical exam.\Ready, go!\Kaminari, what do you wanna do?\Basically, run.\Even if we're found, the principal's small,\so I should be able to take care of him with my electricity. response:	Denki Kaminari - Quirk: Electrification Mina Ashido - Quirk: Acid
