context: Yup, the Battle of Fairy Tail has been decided! response:	The Fantasia went great!
context: Yup, the Battle of Fairy Tail has been decided!\The Fantasia went great! response:	And everyone lived happily ever after!
context: Yup, the Battle of Fairy Tail has been decided!\The Fantasia went great!\And everyone lived happily ever after! response:	But Laxus ended up being expelled...
context: Yup, the Battle of Fairy Tail has been decided!\The Fantasia went great!\And everyone lived happily ever after!\But Laxus ended up being expelled... response:	This ain't sittin' right with me!
context: Yup, the Battle of Fairy Tail has been decided!\The Fantasia went great!\And everyone lived happily ever after!\But Laxus ended up being expelled...\This ain't sittin' right with me! response:	Speaking of which, you sure have bad luck with guys, Lucy.
context: Yup, the Battle of Fairy Tail has been decided!\The Fantasia went great!\And everyone lived happily ever after!\But Laxus ended up being expelled...\This ain't sittin' right with me!\Speaking of which, you sure have bad luck with guys, Lucy. response:	We weren't speaking about that!
context: Yup, the Battle of Fairy Tail has been decided!\The Fantasia went great!\And everyone lived happily ever after!\But Laxus ended up being expelled...\This ain't sittin' right with me!\Speaking of which, you sure have bad luck with guys, Lucy.\We weren't speaking about that! response:	Why are you bringing that up now?
context: Yup, the Battle of Fairy Tail has been decided!\The Fantasia went great!\And everyone lived happily ever after!\But Laxus ended up being expelled...\This ain't sittin' right with me!\Speaking of which, you sure have bad luck with guys, Lucy.\We weren't speaking about that!\Why are you bringing that up now? response:	It's been one week since the Harvest Festival ended.
context: The Fantasia went great!\And everyone lived happily ever after!\But Laxus ended up being expelled...\This ain't sittin' right with me!\Speaking of which, you sure have bad luck with guys, Lucy.\We weren't speaking about that!\Why are you bringing that up now?\It's been one week since the Harvest Festival ended. response:	The city is finally back to its usual, calm self.
context: And everyone lived happily ever after!\But Laxus ended up being expelled...\This ain't sittin' right with me!\Speaking of which, you sure have bad luck with guys, Lucy.\We weren't speaking about that!\Why are you bringing that up now?\It's been one week since the Harvest Festival ended.\The city is finally back to its usual, calm self. response:	It's true that everyone was quite shocked when Laxus was expelled...
context: But Laxus ended up being expelled...\This ain't sittin' right with me!\Speaking of which, you sure have bad luck with guys, Lucy.\We weren't speaking about that!\Why are you bringing that up now?\It's been one week since the Harvest Festival ended.\The city is finally back to its usual, calm self.\It's true that everyone was quite shocked when Laxus was expelled... response:	Natsu was whining about it like a little kid until yesterday.
