context: OP response:	ED
context: OP\ED response:	This is the end!
context: OP\ED\This is the end! response:	Homura-chan?
context: OP\ED\This is the end!\Homura-chan? response:	You...
context: OP\ED\This is the end!\Homura-chan?\You... response:	What the hell do you think you're doing?!
context: OP\ED\This is the end!\Homura-chan?\You...\What the hell do you think you're doing?! response:	I see. You're that irregular everyone's been talking about.
context: OP\ED\This is the end!\Homura-chan?\You...\What the hell do you think you're doing?!\I see. You're that irregular everyone's been talking about. response:	Using strange attacks like that...
context: OP\ED\This is the end!\Homura-chan?\You...\What the hell do you think you're doing?!\I see. You're that irregular everyone's been talking about.\Using strange attacks like that... response:	Don't interfere!
context: ED\This is the end!\Homura-chan?\You...\What the hell do you think you're doing?!\I see. You're that irregular everyone's been talking about.\Using strange attacks like that...\Don't interfere! response:	Sayaka-chan!
context: This is the end!\Homura-chan?\You...\What the hell do you think you're doing?!\I see. You're that irregular everyone's been talking about.\Using strange attacks like that...\Don't interfere!\Sayaka-chan! response:	Don't worry. She's only unconscious.
context: Homura-chan?\You...\What the hell do you think you're doing?!\I see. You're that irregular everyone's been talking about.\Using strange attacks like that...\Don't interfere!\Sayaka-chan!\Don't worry. She's only unconscious. response:	Who the hell are you?
context: You...\What the hell do you think you're doing?!\I see. You're that irregular everyone's been talking about.\Using strange attacks like that...\Don't interfere!\Sayaka-chan!\Don't worry. She's only unconscious.\Who the hell are you? response:	Whose side are you on?
context: What the hell do you think you're doing?!\I see. You're that irregular everyone's been talking about.\Using strange attacks like that...\Don't interfere!\Sayaka-chan!\Don't worry. She's only unconscious.\Who the hell are you?\Whose side are you on? response:	I am the ally of rationality and the enemy of needless conflict.
context: I see. You're that irregular everyone's been talking about.\Using strange attacks like that...\Don't interfere!\Sayaka-chan!\Don't worry. She's only unconscious.\Who the hell are you?\Whose side are you on?\I am the ally of rationality and the enemy of needless conflict. response:	Which might you be?
context: Using strange attacks like that...\Don't interfere!\Sayaka-chan!\Don't worry. She's only unconscious.\Who the hell are you?\Whose side are you on?\I am the ally of rationality and the enemy of needless conflict.\Which might you be? response:	Sakura Kyoko...
context: Don't interfere!\Sayaka-chan!\Don't worry. She's only unconscious.\Who the hell are you?\Whose side are you on?\I am the ally of rationality and the enemy of needless conflict.\Which might you be?\Sakura Kyoko... response:	Huh
